Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,232741,CME,0,232,80302,9067,46792,2218,2662,5459,692,38043,6107,11,4550,2228,0,57243,63507,23059,16795,,,,,,,,,,,,,,,,,,100,11.3,58.3,2.8,3.3,6.8,0.9,47.4,7.6,0.0,5.7,2.8,0.0,71.3,79.1,28.7,20.9,59,6.0,12.0,5.0,,5.0,,19.0,10.0,,,4.0,0.0,35,33,25.7,37.0,40.3,53.7,25.7,36.9,39.9,51.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,232741,CME,0,232,89389,8684,60618,2072,4660,5024,374,46343,2844,57,2147,2790,0,64337,73779,25052,15610,9087.0,-383.0,13826.0,-146.0,1998.0,-435.0,-318.0,8300.0,-3263.0,46.0,-2403.0,562.0,0.0,7094.0,10272.0,1993.0,-1185.0,100,9.7,67.8,2.3,5.2,5.6,0.4,51.8,3.2,0.1,2.4,3.1,0.0,72.0,82.5,28.0,17.5,63,5.0,13.0,5.0,,5.0,,24.0,8.0,4.0,,,0.0,40,34,27.6,45.5,42.2,63.6,27.6,44.0,42.1,61.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,232741,CME,0,232,99149,10515,67549,1926,6722,4961,411,52943,6991,40,2112,3211,0,74669,85089,24480,14060,9760.0,1831.0,6931.0,-146.0,2062.0,-63.0,37.0,6600.0,4147.0,-17.0,-35.0,421.0,0.0,10332.0,11310.0,-572.0,-1550.0,100,10.6,68.1,1.9,6.8,5.0,0.4,53.4,7.1,0.0,2.1,3.2,0.0,75.3,85.8,24.7,14.2,73,6.0,14.0,5.0,4.0,5.0,,26.0,12.0,,,4.0,0.0,44,38,28.9,44.7,42.0,62.0,28.9,43.5,41.5,60.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,232741,CME,0,232,114049,10411,79745,1736,10672,4220,411,61852,6847,57,2607,5019,0,87746,98035,26303,16014,14900.0,-104.0,12196.0,-190.0,3950.0,-741.0,0.0,8909.0,-144.0,17.0,495.0,1808.0,0.0,13077.0,12946.0,1823.0,1954.0,100,9.1,69.9,1.5,9.4,3.7,0.4,54.2,6.0,0.0,2.3,4.4,0.0,76.9,86.0,23.1,14.0,70,6.0,13.0,6.0,5.0,4.0,,25.0,9.0,,,5.0,0.0,46,33,29.0,47.8,42.5,64.9,29.0,47.7,42.5,63.6,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,232741,CME,0,232,120329,12759,86097,1734,12059,3856,327,64033,7861,472,2225,4373,24,93633,104744,26696,15585,6280.0,2348.0,6352.0,-2.0,1387.0,-364.0,-84.0,2181.0,1014.0,415.0,-382.0,-646.0,24.0,5887.0,6709.0,393.0,-429.0,100,10.6,71.6,1.4,10.0,3.2,0.3,53.2,6.5,0.4,1.8,3.6,0.0,77.8,87.0,22.2,13.0,74,6.0,14.0,5.0,5.0,,,28.0,11.0,4.0,,4.0,,50,35,29.7,50.5,41.9,66.6,29.7,50.3,41.6,65.4,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,232741,CME,0,232,107434,14380,74066,2249,12259,4456,327,51555,5653,1682,2217,3565,17,84686,92015,22748,15419,-12895.0,1621.0,-12031.0,515.0,200.0,600.0,0.0,-12478.0,-2208.0,1210.0,-8.0,-808.0,-7.0,-8947.0,-12729.0,-3948.0,-166.0,100,13.4,68.9,2.1,11.4,4.1,0.3,48.0,5.3,1.6,2.1,3.3,0.0,78.8,85.6,21.2,14.4,72,6.0,14.0,6.0,5.0,4.0,,27.0,10.0,6.0,,,,50,36,31.4,48.1,44.9,65.1,31.4,47.4,44.6,63.3,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,232741,CME,0,232,102439,15065,68567,2347,11795,4347,246,46383,5726,1843,807,3601,17,78503,86694,23936,15745,-4995.0,685.0,-5499.0,98.0,-464.0,-109.0,-81.0,-5172.0,73.0,161.0,-1410.0,36.0,0.0,-6183.0,-5321.0,1188.0,326.0,100,14.7,66.9,2.3,11.5,4.2,0.2,45.3,5.6,1.8,0.8,3.5,0.0,76.6,84.6,23.4,15.4,68,6.0,13.0,6.0,5.0,4.0,,25.0,11.0,5.0,,,,46,35,30.7,45.8,43.9,63.0,30.7,45.1,43.6,60.9,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,232741,CME,0,232,128346,14259,84915,6390,12091,3927,246,64708,10686,4022,807,4989,0,102523,115175,25823,13171,25907.0,-806.0,16348.0,4043.0,296.0,-420.0,0.0,18325.0,4960.0,2179.0,0.0,1388.0,-17.0,24020.0,28481.0,1887.0,-2574.0,100,11.1,66.2,5.0,9.4,3.1,0.2,50.4,8.3,3.1,0.6,3.9,0.0,79.9,89.7,20.1,10.3,71,6.0,14.0,8.0,5.0,,,28.0,10.0,5.0,,4.0,0.0,50,35,29.2,45.3,42.3,63.6,29.2,44.9,41.9,61.7,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,232741,CME,0,232,120308,4203,90818,464,13262,3811,246,72862,9848,233,807,2001,0,92077,107421,28231,12887,-8038.0,-10056.0,5903.0,-5926.0,1171.0,-116.0,0.0,8154.0,-838.0,-3789.0,0.0,-2988.0,0.0,-10446.0,-7754.0,2408.0,-284.0,100,3.5,75.5,0.4,11.0,3.2,0.2,60.6,8.2,0.2,0.7,1.7,0.0,76.5,89.3,23.5,10.7,70,,17.0,,5.0,,,29.0,10.0,,,,0.0,41,35,34.0,49.5,48.1,67.7,34.0,49.2,47.9,67.5,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,232741,CME,0,232,129713,4869,99977,457,16265,3811,190,76210,6481,193,1258,4880,0,99442,115989,30271,13724,9405.0,666.0,9159.0,-7.0,3003.0,0.0,-56.0,3348.0,-3367.0,-40.0,451.0,2879.0,0.0,7365.0,8568.0,2040.0,837.0,100,3.8,77.1,0.4,12.5,2.9,0.1,58.8,5.0,0.1,1.0,3.8,0.0,76.7,89.4,23.3,10.6,75,,17.0,,6.0,,,32.0,7.0,,4.0,,0.0,48,32,35.9,49.3,49.9,70.2,35.9,49.1,49.9,70.0,"(CONTRACTS OF AUD 100,000)",F10,FutOnly
