Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,96742,CME,0,96,124904,76011,40081,1564,15270,14545,571,14929,27288,635,500,17866,0,109480,102550,15424,22354,,,,,,,,,,,,,,,,,,100,60.9,32.1,1.3,12.2,11.6,0.5,12.0,21.8,0.5,0.4,14.3,0.0,87.7,82.1,12.3,17.9,88,8.0,14.0,,5.0,12.0,,18.0,23.0,9.0,,7.0,0.0,39,62,54.2,35.4,68.0,47.7,54.0,35.1,67.3,47.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,96742,CME,0,96,122570,71801,48137,797,16725,13548,572,15346,15478,538,500,17058,0,106279,96128,16291,26442,-2334.0,-4210.0,8056.0,-767.0,1455.0,-997.0,1.0,417.0,-11810.0,-97.0,0.0,-808.0,0.0,-3201.0,-6422.0,867.0,4088.0,100,58.6,39.3,0.7,13.6,11.1,0.5,12.5,12.6,0.4,0.4,13.9,0.0,86.7,78.4,13.3,21.6,81,8.0,13.0,,5.0,11.0,,20.0,17.0,7.0,,6.0,0.0,38,54,53.1,40.2,66.5,51.6,52.8,39.9,65.8,51.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,96742,CME,0,96,135454,63404,62646,1023,18215,13382,886,29579,15238,511,805,16298,0,114423,109984,21031,25470,12884.0,-8397.0,14509.0,226.0,1490.0,-166.0,314.0,14233.0,-240.0,-27.0,305.0,-760.0,0.0,8144.0,13856.0,4740.0,-972.0,100,46.8,46.2,0.8,13.4,9.9,0.7,21.8,11.2,0.4,0.6,12.0,0.0,84.5,81.2,15.5,18.8,87,9.0,13.0,,6.0,11.0,,24.0,17.0,7.0,,6.0,0.0,45,54,43.4,43.3,58.3,54.0,43.1,43.3,57.5,54.0,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,96742,CME,0,96,142227,63168,69886,802,17724,12481,899,34687,16326,367,865,17322,0,118512,118083,23715,24144,6773.0,-236.0,7240.0,-221.0,-491.0,-901.0,13.0,5108.0,1088.0,-144.0,60.0,1024.0,0.0,4089.0,8099.0,2684.0,-1326.0,100,44.4,49.1,0.6,12.5,8.8,0.6,24.4,11.5,0.3,0.6,12.2,0.0,83.3,83.0,16.7,17.0,83,8.0,13.0,,7.0,10.0,,27.0,11.0,9.0,,6.0,0.0,46,50,38.8,47.4,50.6,58.8,38.2,47.4,49.8,58.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,96742,CME,0,96,141441,64836,71690,814,18278,12832,805,28986,14742,587,1293,17072,0,115599,118542,25842,22899,-786.0,1668.0,1804.0,12.0,554.0,351.0,-94.0,-5701.0,-1584.0,220.0,428.0,-250.0,0.0,-2913.0,459.0,2127.0,-1245.0,100,45.8,50.7,0.6,12.9,9.1,0.6,20.5,10.4,0.4,0.9,12.1,0.0,81.7,83.8,18.3,16.2,84,8.0,14.0,,7.0,10.0,4.0,24.0,14.0,10.0,,6.0,0.0,45,55,40.3,48.3,53.9,59.1,39.8,48.3,53.2,58.8,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,96742,CME,0,96,139333,66053,68830,932,17778,13437,799,26929,13501,709,2046,17872,0,115246,116080,24087,23253,-2108.0,1217.0,-2860.0,118.0,-500.0,605.0,-6.0,-2057.0,-1241.0,122.0,753.0,800.0,0.0,-353.0,-2462.0,-1755.0,354.0,100,47.4,49.4,0.7,12.8,9.6,0.6,19.3,9.7,0.5,1.5,12.8,0.0,82.7,83.3,17.3,16.7,85,9.0,13.0,,6.0,10.0,,24.0,15.0,9.0,,6.0,0.0,45,54,41.4,48.1,54.5,58.8,40.7,48.1,53.8,58.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,96742,CME,0,96,144196,71628,63522,1098,16986,13107,674,26128,18447,721,2695,18032,0,119930,115601,24266,28595,4863.0,5575.0,-5308.0,166.0,-792.0,-330.0,-125.0,-801.0,4946.0,12.0,649.0,160.0,0.0,4684.0,-479.0,179.0,5342.0,100,49.7,44.1,0.8,11.8,9.1,0.5,18.1,12.8,0.5,1.9,12.5,0.0,83.2,80.2,16.8,19.8,85,10.0,12.0,,5.0,9.0,,25.0,16.0,10.0,,6.0,0.0,46,55,42.4,42.9,54.4,54.0,41.8,42.9,53.8,53.8,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,96742,CME,0,96,145712,78778,55522,2845,17481,13676,708,16653,20844,1641,1802,16692,0,119908,111928,25804,33784,1516.0,7150.0,-8000.0,1747.0,495.0,569.0,34.0,-9475.0,2397.0,920.0,-893.0,-1340.0,0.0,-22.0,-3673.0,1538.0,5189.0,100,54.1,38.1,2.0,12.0,9.4,0.5,11.4,14.3,1.1,1.2,11.5,0.0,82.3,76.8,17.7,23.2,87,12.0,12.0,4.0,6.0,9.0,4.0,20.0,20.0,8.0,,5.0,0.0,45,58,44.0,37.9,56.4,48.4,43.0,37.9,55.3,47.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,96742,CME,0,96,74850,15095,6297,390,14225,14429,621,21172,17710,31,719,13502,0,52253,52980,22597,21870,-70862.0,-63683.0,-49225.0,-2455.0,-3256.0,753.0,-87.0,4519.0,-3134.0,-1610.0,-1083.0,-3190.0,0.0,-67655.0,-58948.0,-3207.0,-11914.0,100,20.2,8.4,0.5,19.0,19.3,0.8,28.3,23.7,0.0,1.0,18.0,0.0,69.8,70.8,30.2,29.2,74,6.0,9.0,,5.0,10.0,,23.0,16.0,,,4.0,0.0,38,43,27.0,24.3,40.7,37.9,26.4,24.3,40.1,37.9,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,96742,CME,0,96,71318,15236,7859,358,14251,13559,606,16878,14147,42,859,13958,0,48230,50529,23088,20789,-3532.0,141.0,1562.0,-32.0,26.0,-870.0,-15.0,-4294.0,-3563.0,11.0,140.0,456.0,0.0,-4023.0,-2451.0,491.0,-1081.0,100,21.4,11.0,0.5,20.0,19.0,0.8,23.7,19.8,0.1,1.2,19.6,0.0,67.6,70.9,32.4,29.1,73,7.0,9.0,,7.0,9.0,5.0,19.0,16.0,4.0,,5.0,0.0,38,45,26.4,24.8,38.7,37.3,25.9,24.8,38.1,37.3,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
