Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,90741,CME,0,90,83317,5207,44130,829,8632,8196,228,20662,13187,993,8526,147,14,45091,67724,38226,15593,,,,,,,,,,,,,,,,,,100,6.2,53.0,1.0,10.4,9.8,0.3,24.8,15.8,1.2,10.2,0.2,0.0,54.1,81.3,45.9,18.7,62,4.0,10.0,,,4.0,,16.0,15.0,5.0,9.0,,,40,34,20.7,47.0,31.1,64.9,20.7,47.0,30.8,64.8,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,90741,CME,0,90,85121,3978,51381,743,8916,8224,226,27201,6961,998,5795,292,98,47955,68923,37166,16198,1804.0,-1229.0,7251.0,-86.0,284.0,28.0,-2.0,6539.0,-6226.0,5.0,-2731.0,145.0,84.0,2864.0,1199.0,-1060.0,605.0,100,4.7,60.4,0.9,10.5,9.7,0.3,32.0,8.2,1.2,6.8,0.3,0.1,56.3,81.0,43.7,19.0,64,4.0,11.0,4.0,,4.0,,21.0,11.0,6.0,9.0,,,46,32,19.3,52.6,30.3,69.3,19.3,52.6,30.1,68.5,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,90741,CME,0,90,99262,3148,60553,615,8292,7754,360,40184,12359,998,5008,1258,10,58615,83907,40647,15355,14141.0,-830.0,9172.0,-128.0,-624.0,-470.0,134.0,12983.0,5398.0,0.0,-787.0,966.0,-88.0,10660.0,14984.0,3481.0,-843.0,100,3.2,61.0,0.6,8.4,7.8,0.4,40.5,12.5,1.0,5.0,1.3,0.0,59.1,84.5,40.9,15.5,70,,12.0,,,,,28.0,12.0,6.0,7.0,,,50,32,21.1,49.5,31.7,67.5,21.1,49.5,31.4,67.5,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,90741,CME,0,90,105543,2571,69264,851,9643,8687,360,43473,8694,1520,5127,2206,10,63555,91592,41988,13951,6281.0,-577.0,8711.0,236.0,1351.0,933.0,0.0,3289.0,-3665.0,522.0,119.0,948.0,0.0,4940.0,7685.0,1341.0,-1404.0,100,2.4,65.6,0.8,9.1,8.2,0.3,41.2,8.2,1.4,4.9,2.1,0.0,60.2,86.8,39.8,13.2,67,,13.0,4.0,,,,32.0,5.0,7.0,8.0,,,51,30,21.3,50.5,31.1,67.6,21.3,50.4,30.8,67.4,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,90741,CME,0,90,94908,4800,59570,1420,10225,9292,334,34215,4698,1766,5552,2215,40,58352,79335,36556,15573,-10635.0,2229.0,-9694.0,569.0,582.0,605.0,-26.0,-9258.0,-3996.0,246.0,425.0,9.0,30.0,-5203.0,-12257.0,-5432.0,1622.0,100,5.1,62.8,1.5,10.8,9.8,0.4,36.1,5.0,1.9,5.8,2.3,0.0,61.5,83.6,38.5,16.4,63,,11.0,5.0,,,,30.0,4.0,7.0,8.0,,,52,26,20.6,51.9,31.7,70.4,20.6,51.6,31.4,69.3,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,90741,CME,0,90,94976,10331,49604,1118,11701,9461,438,26594,13860,2678,7041,0,0,59901,77159,35075,17817,68.0,5531.0,-9966.0,-302.0,1476.0,169.0,104.0,-7621.0,9162.0,912.0,1489.0,-2215.0,-40.0,1549.0,-2176.0,-1481.0,2244.0,100,10.9,52.2,1.2,12.3,10.0,0.5,28.0,14.6,2.8,7.4,0.0,0.0,63.1,81.2,36.9,18.8,65,6.0,9.0,4.0,,,,21.0,12.0,7.0,11.0,0.0,0.0,50,28,20.8,47.4,33.4,64.5,20.8,47.2,33.4,63.8,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,90741,CME,0,90,108003,22423,38338,2415,11837,9814,373,24678,34986,1917,7151,824,0,70794,88667,37209,19336,13027.0,12092.0,-11266.0,1297.0,136.0,353.0,-65.0,-1916.0,21126.0,-761.0,110.0,824.0,0.0,10893.0,11508.0,2134.0,1519.0,100,20.8,35.5,2.2,11.0,9.1,0.3,22.8,32.4,1.8,6.6,0.8,0.0,65.5,82.1,34.5,17.9,75,7.0,8.0,7.0,,,,23.0,18.0,7.0,12.0,,0.0,54,38,26.2,47.9,38.0,60.6,26.1,47.7,37.7,59.3,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,90741,CME,0,90,107378,21462,42332,4990,9931,9876,330,25903,30010,1249,7976,749,229,72070,89765,35308,17613,-625.0,-961.0,3994.0,2575.0,-1906.0,62.0,-43.0,1225.0,-4976.0,-668.0,825.0,-75.0,229.0,1276.0,1098.0,-1901.0,-1723.0,100,20.0,39.4,4.6,9.2,9.2,0.3,24.1,27.9,1.2,7.4,0.7,0.2,67.1,83.6,32.9,16.4,73,6.0,10.0,8.0,,,,24.0,14.0,5.0,11.0,,,55,35,27.2,45.4,39.0,63.4,26.2,45.2,36.5,61.0,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,90741,CME,0,90,110946,15006,52042,13818,8439,9237,324,29345,13529,2296,5638,1776,431,75297,93453,35649,17493,3568.0,-6456.0,9710.0,8828.0,-1492.0,-639.0,-6.0,3442.0,-16481.0,1047.0,-2338.0,1027.0,202.0,3227.0,3688.0,341.0,-120.0,100,13.5,46.9,12.5,7.6,8.3,0.3,26.4,12.2,2.1,5.1,1.6,0.4,67.9,84.2,32.1,15.8,76,6.0,15.0,9.0,,,,24.0,14.0,5.0,9.0,4.0,,52,41,29.6,42.7,42.8,58.1,26.6,40.1,36.0,52.0,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,90741,CME,0,90,101524,511,53981,1060,9188,9664,258,46148,15466,1014,6355,6012,0,64534,87455,36990,14069,-9422.0,-14495.0,1939.0,-12758.0,749.0,427.0,-66.0,16803.0,1937.0,-1282.0,717.0,4236.0,-431.0,-10763.0,-5998.0,1341.0,-3424.0,100,0.5,53.2,1.0,9.1,9.5,0.3,45.5,15.2,1.0,6.3,5.9,0.0,63.6,86.1,36.4,13.9,80,,16.0,4.0,,,,30.0,14.0,,11.0,,0.0,50,39,30.9,38.4,40.2,56.1,30.9,38.4,40.0,56.0,"(CONTRACTS OF CAD 100,000)",F10,FutOnly
