Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100720,2010-07-20,124603,CBT,0,124,82489,48580,30398,1034,5573,9151,1688,13728,20888,1168,220,2394,0,71991,66721,10498,15768,,,,,,,,,,,,,,,,,,100,58.9,36.9,1.3,6.8,11.1,2.0,16.6,25.3,1.4,0.3,2.9,0.0,87.3,80.9,12.7,19.1,86,16.0,17.0,,6.0,5.0,,25.0,12.0,7.0,,4.0,0.0,54,44,43.0,34.3,54.0,55.5,41.9,34.3,52.8,55.4,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100727,2010-07-27,124603,CBT,0,124,87047,47729,32707,415,5440,10095,1684,17428,22034,1139,220,2284,0,74055,70358,12992,16689,4558.0,-851.0,2309.0,-619.0,-133.0,944.0,-4.0,3700.0,1146.0,-29.0,0.0,-110.0,0.0,2064.0,3637.0,2494.0,921.0,100,54.8,37.6,0.5,6.2,11.6,1.9,20.0,25.3,1.3,0.3,2.6,0.0,85.1,80.8,14.9,19.2,82,15.0,18.0,,5.0,5.0,,24.0,12.0,4.0,,,0.0,49,41,38.7,35.5,50.3,55.8,38.2,35.5,49.9,55.8,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100803,2010-08-03,124603,CBT,0,124,89518,45778,39351,487,5402,11515,1627,23087,21973,1215,0,2540,0,77596,78708,11922,10810,2471.0,-1951.0,6644.0,72.0,-38.0,1420.0,-57.0,5659.0,-61.0,76.0,-220.0,256.0,0.0,3541.0,8350.0,-1070.0,-5879.0,100,51.1,44.0,0.5,6.0,12.9,1.8,25.8,24.5,1.4,0.0,2.8,0.0,86.7,87.9,13.3,12.1,88,15.0,18.0,,4.0,5.0,,33.0,11.0,5.0,0.0,,0.0,58,40,35.9,40.4,48.5,60.6,35.4,40.4,48.0,60.5,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100810,2010-08-10,124603,CBT,0,124,92553,47789,40807,381,5417,11587,1513,21795,21520,1560,0,2253,0,78455,79621,14098,12932,3035.0,2011.0,1456.0,-106.0,15.0,72.0,-114.0,-1292.0,-453.0,345.0,0.0,-287.0,0.0,859.0,913.0,2176.0,2122.0,100,51.6,44.1,0.4,5.9,12.5,1.6,23.5,23.3,1.7,0.0,2.4,0.0,84.8,86.0,15.2,14.0,84,16.0,17.0,,4.0,5.0,,30.0,10.0,6.0,0.0,,0.0,57,38,36.1,40.1,48.3,60.3,35.7,40.1,47.9,60.3,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100817,2010-08-17,124603,CBT,0,124,96804,44416,44712,519,5887,12985,1435,28858,23490,698,0,2313,0,81813,86152,14991,10652,4251.0,-3373.0,3905.0,138.0,470.0,1398.0,-78.0,7063.0,1970.0,-862.0,0.0,60.0,0.0,3358.0,6531.0,893.0,-2280.0,100,45.9,46.2,0.5,6.1,13.4,1.5,29.8,24.3,0.7,0.0,2.4,0.0,84.5,89.0,15.5,11.0,98,15.0,19.0,4.0,5.0,7.0,,39.0,10.0,8.0,0.0,,0.0,67,46,30.8,41.6,43.2,61.4,30.4,41.6,42.8,60.6,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100824,2010-08-24,124603,CBT,0,124,89215,42974,38666,664,5250,13991,1202,23349,20907,1094,300,2191,0,74833,78715,14382,10500,-7589.0,-1442.0,-6046.0,145.0,-637.0,1006.0,-233.0,-5509.0,-2583.0,396.0,300.0,-122.0,0.0,-6980.0,-7437.0,-609.0,-152.0,100,48.2,43.3,0.7,5.9,15.7,1.3,26.2,23.4,1.2,0.3,2.5,0.0,83.9,88.2,16.1,11.8,98,15.0,18.0,4.0,4.0,8.0,,34.0,15.0,10.0,,,0.0,63,52,32.8,39.1,45.0,61.2,32.2,39.1,44.4,59.9,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100831,2010-08-31,124603,CBT,0,124,86239,42811,37103,783,6340,12354,1297,20986,21676,801,400,2113,0,73418,76127,12821,10112,-2976.0,-163.0,-1563.0,119.0,1090.0,-1637.0,95.0,-2363.0,769.0,-293.0,100.0,-78.0,0.0,-1415.0,-2588.0,-1561.0,-388.0,100,49.6,43.0,0.9,7.4,14.3,1.5,24.3,25.1,0.9,0.5,2.5,0.0,85.1,88.3,14.9,11.7,98,15.0,18.0,4.0,6.0,8.0,,35.0,12.0,10.0,,,0.0,64,51,33.5,36.3,45.9,58.7,32.8,36.3,45.1,57.5,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100907,2010-09-07,124603,CBT,0,124,83081,44152,33908,563,6265,9334,841,17705,25809,1846,400,1604,0,71772,73905,11309,9176,-3158.0,1341.0,-3195.0,-220.0,-75.0,-3020.0,-456.0,-3281.0,4133.0,1045.0,0.0,-509.0,0.0,-1646.0,-2222.0,-1512.0,-936.0,100,53.1,40.8,0.7,7.5,11.2,1.0,21.3,31.1,2.2,0.5,1.9,0.0,86.4,89.0,13.6,11.0,97,15.0,19.0,4.0,5.0,7.0,,30.0,18.0,12.0,,,0.0,60,55,35.9,35.1,48.9,55.1,35.5,35.1,48.4,54.7,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100914,2010-09-14,124603,CBT,0,124,106701,44290,39274,10427,6528,7584,882,22841,28580,6045,400,2050,0,91413,94842,15288,11859,23620.0,138.0,5366.0,9864.0,263.0,-1750.0,41.0,5136.0,2771.0,4199.0,0.0,446.0,0.0,19641.0,20937.0,3979.0,2683.0,100,41.5,36.8,9.8,6.1,7.1,0.8,21.4,26.8,5.7,0.4,1.9,0.0,85.7,88.9,14.3,11.1,104,14.0,21.0,16.0,5.0,7.0,,34.0,19.0,17.0,,,0.0,72,67,31.5,36.4,44.4,51.1,29.6,30.7,40.5,45.4,($5 X DJIA INDEX),F20,FutOnly
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100921,2010-09-21,124603,CBT,0,124,78545,32700,29570,564,6649,9202,1163,25779,22880,712,0,2183,0,67567,66274,10978,12271,-28156.0,-11590.0,-9704.0,-9863.0,121.0,1618.0,281.0,2938.0,-5700.0,-5333.0,-400.0,133.0,0.0,-23846.0,-28568.0,-4310.0,412.0,100,41.6,37.6,0.7,8.5,11.7,1.5,32.8,29.1,0.9,0.0,2.8,0.0,86.0,84.4,14.0,15.6,86,13.0,18.0,,5.0,7.0,,23.0,17.0,5.0,0.0,,0.0,48,49,28.7,31.2,44.5,49.3,28.2,31.2,44.0,48.9,($5 X DJIA INDEX),F20,FutOnly
