Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,97741,CME,0,97,127658,6433,83629,1695,36284,9359,1362,50625,4756,144,1406,3752,0,97949,104697,29709,22961,,,,,,,,,,,,,,,,,,100,5.0,65.5,1.3,28.4,7.3,1.1,39.7,3.7,0.1,1.1,2.9,0.0,76.7,82.0,23.3,18.0,100,6.0,20.0,,11.0,9.0,4.0,33.0,13.0,6.0,,6.0,0.0,58,55,33.0,47.6,44.3,59.6,33.0,46.4,43.9,58.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,97741,CME,0,97,124595,7079,71422,2845,35593,8845,1304,47766,10100,132,1858,2607,0,96577,97255,28018,27340,-3063.0,646.0,-12207.0,1150.0,-691.0,-514.0,-58.0,-2859.0,5344.0,-12.0,452.0,-1145.0,0.0,-1372.0,-7442.0,-1691.0,4379.0,100,5.7,57.3,2.3,28.6,7.1,1.0,38.3,8.1,0.1,1.5,2.1,0.0,77.5,78.1,22.5,21.9,97,6.0,19.0,,11.0,9.0,,29.0,16.0,5.0,,5.0,0.0,55,53,31.2,44.8,42.1,57.8,30.9,43.0,41.7,55.6,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,97741,CME,0,97,133870,7078,85108,1858,34323,8869,1314,57738,6938,83,1499,1628,0,103893,105798,29977,28072,9275.0,-1.0,13686.0,-987.0,-1270.0,24.0,10.0,9972.0,-3162.0,-49.0,-359.0,-979.0,0.0,7316.0,8543.0,1959.0,732.0,100,5.3,63.6,1.4,25.6,6.6,1.0,43.1,5.2,0.1,1.1,1.2,0.0,77.6,79.0,22.4,21.0,100,7.0,18.0,,11.0,9.0,,34.0,17.0,5.0,,,0.0,60,51,31.3,47.6,42.5,58.9,31.3,46.5,42.0,57.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,97741,CME,0,97,136999,7416,86177,2011,34329,8612,1302,61285,7623,232,1562,2166,0,108137,108123,28862,28876,3129.0,338.0,1069.0,153.0,6.0,-257.0,-12.0,3547.0,685.0,149.0,63.0,538.0,0.0,4244.0,2325.0,-1115.0,804.0,100,5.4,62.9,1.5,25.1,6.3,1.0,44.7,5.6,0.2,1.1,1.6,0.0,78.9,78.9,21.1,21.1,102,6.0,18.0,5.0,11.0,9.0,4.0,35.0,17.0,4.0,,,0.0,63,52,31.7,49.1,43.7,59.9,31.7,47.7,43.2,58.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,97741,CME,0,97,137645,7831,85995,2265,36544,8212,1357,58420,6111,261,1803,2636,50,108531,106887,29114,30758,646.0,415.0,-182.0,254.0,2215.0,-400.0,55.0,-2865.0,-1512.0,29.0,241.0,470.0,50.0,394.0,-1236.0,252.0,1882.0,100,5.7,62.5,1.6,26.5,6.0,1.0,42.4,4.4,0.2,1.3,1.9,0.0,78.8,77.7,21.2,22.3,98,6.0,18.0,4.0,11.0,10.0,,31.0,15.0,,,4.0,,59,50,33.4,49.4,44.4,59.5,33.2,47.9,44.0,57.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,97741,CME,0,97,140128,8853,84545,1667,37734,8213,1360,55264,7208,1553,2049,2840,0,108480,107386,31648,32742,2483.0,1022.0,-1450.0,-598.0,1190.0,1.0,3.0,-3156.0,1097.0,1292.0,246.0,204.0,-50.0,-51.0,499.0,2534.0,1984.0,100,6.3,60.3,1.2,26.9,5.9,1.0,39.4,5.1,1.1,1.5,2.0,0.0,77.4,76.6,22.6,23.4,95,6.0,18.0,4.0,11.0,9.0,4.0,29.0,15.0,6.0,,4.0,0.0,58,51,32.0,45.9,42.4,56.5,31.6,45.0,42.1,55.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,97741,CME,0,97,139079,10059,81427,3054,40152,9071,1281,52788,7714,1369,1979,3318,0,110682,107234,28397,31845,-1049.0,1206.0,-3118.0,1387.0,2418.0,858.0,-79.0,-2476.0,506.0,-184.0,-70.0,478.0,0.0,2202.0,-152.0,-3251.0,-897.0,100,7.2,58.5,2.2,28.9,6.5,0.9,38.0,5.5,1.0,1.4,2.4,0.0,79.6,77.1,20.4,22.9,96,8.0,16.0,5.0,12.0,10.0,,28.0,15.0,5.0,,4.0,0.0,59,50,32.0,46.2,44.1,57.2,31.9,44.7,43.8,55.0,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,97741,CME,0,97,150513,11139,85606,7829,38816,7578,1132,55173,9992,4858,3506,2765,0,122453,119760,28060,30753,11434.0,1080.0,4179.0,4775.0,-1336.0,-1493.0,-149.0,2385.0,2278.0,3489.0,1527.0,-553.0,0.0,11771.0,12526.0,-337.0,-1092.0,100,7.4,56.9,5.2,25.8,5.0,0.8,36.7,6.6,3.2,2.3,1.8,0.0,81.4,79.6,18.6,20.4,101,13.0,15.0,8.0,11.0,9.0,4.0,27.0,18.0,7.0,5.0,,0.0,66,54,30.9,45.8,44.8,59.6,30.6,44.1,42.0,53.6,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,97741,CME,0,97,134360,8440,84316,337,41303,8228,1114,51948,9328,94,1802,3788,0,105038,107205,29322,27155,-16153.0,-2699.0,-1290.0,-7492.0,2487.0,650.0,-18.0,-3225.0,-664.0,-4764.0,-1704.0,1023.0,0.0,-17415.0,-12555.0,1262.0,-3598.0,100,6.3,62.8,0.3,30.7,6.1,0.8,38.7,6.9,0.1,1.3,2.8,0.0,78.2,79.8,21.8,20.2,98,9.0,14.0,,11.0,10.0,5.0,27.0,19.0,,4.0,4.0,0.0,57,49,37.7,45.2,48.5,58.2,37.4,45.0,48.1,58.0,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,97741,CME,0,97,113349,10033,67161,413,40272,5788,1021,33323,13240,103,1843,2639,0,87008,90365,26341,22984,-21011.0,1593.0,-17155.0,76.0,-1031.0,-2440.0,-93.0,-18625.0,3912.0,9.0,41.0,-1149.0,0.0,-18030.0,-16840.0,-2981.0,-4171.0,100,8.9,59.3,0.4,35.5,5.1,0.9,29.4,11.7,0.1,1.6,2.3,0.0,76.8,79.7,23.2,20.3,94,8.0,14.0,,10.0,8.0,4.0,25.0,22.0,,4.0,,0.0,53,49,40.2,48.9,49.2,58.7,39.8,48.7,48.8,58.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
