Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,209742,CME,0,209,315026,116519,59341,3338,78431,103275,17179,70708,76181,3876,5292,19954,0,295343,283144,19683,31882,,,,,,,,,,,,,,,,,,100,37.0,18.8,1.1,24.9,32.8,5.5,22.4,24.2,1.2,1.7,6.3,0.0,93.8,89.9,6.2,10.1,209,18.0,21.0,,31.0,25.0,10.0,44.0,51.0,12.0,10.0,9.0,0.0,110,124,34.6,23.1,51.5,35.7,34.0,23.1,50.0,35.7,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,209742,CME,0,209,323932,119963,74250,2831,83094,101260,15201,73387,78876,3719,5190,22671,0,303385,298808,20547,25124,8906.0,3444.0,14909.0,-507.0,4663.0,-2015.0,-1978.0,2679.0,2695.0,-157.0,-102.0,2717.0,0.0,8042.0,15664.0,864.0,-6758.0,100,37.0,22.9,0.9,25.7,31.3,4.7,22.7,24.3,1.1,1.6,7.0,0.0,93.7,92.2,6.3,7.8,210,20.0,24.0,,33.0,21.0,12.0,48.0,44.0,12.0,12.0,8.0,0.0,124,113,34.8,23.9,50.6,37.5,34.3,23.9,49.2,37.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,209742,CME,0,209,347797,119487,98392,3043,74726,108122,16990,102368,78165,1419,5853,20783,0,323886,326914,23911,20883,23865.0,-476.0,24142.0,212.0,-8368.0,6862.0,1789.0,28981.0,-711.0,-2300.0,663.0,-1888.0,0.0,20501.0,28106.0,3364.0,-4241.0,100,34.4,28.3,0.9,21.5,31.1,4.9,29.4,22.5,0.4,1.7,6.0,0.0,93.1,94.0,6.9,6.0,209,21.0,21.0,,29.0,21.0,12.0,54.0,42.0,10.0,13.0,8.0,0.0,125,109,33.6,29.0,50.1,42.8,33.1,29.0,49.3,42.8,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,209742,CME,0,209,362373,122227,104411,2567,77064,105909,16675,113755,88090,1855,5934,20164,0,340077,339671,22296,22702,14576.0,2740.0,6019.0,-476.0,2338.0,-2213.0,-315.0,11387.0,9925.0,436.0,81.0,-619.0,0.0,16191.0,12757.0,-1615.0,1819.0,100,33.7,28.8,0.7,21.3,29.2,4.6,31.4,24.3,0.5,1.6,5.6,0.0,93.8,93.7,6.2,6.3,218,22.0,22.0,,31.0,20.0,10.0,54.0,47.0,10.0,13.0,9.0,0.0,128,113,32.4,28.6,47.7,43.5,31.8,28.6,47.1,43.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,209742,CME,0,209,347043,131785,73429,2561,59402,110689,16713,107082,90719,2502,7965,22763,0,328010,319376,19033,27667,-15330.0,9558.0,-30982.0,-6.0,-17662.0,4780.0,38.0,-6673.0,2629.0,647.0,2031.0,2599.0,0.0,-12067.0,-20295.0,-3263.0,4965.0,100,38.0,21.2,0.7,17.1,31.9,4.8,30.9,26.1,0.7,2.3,6.6,0.0,94.5,92.0,5.5,8.0,222,22.0,24.0,,26.0,23.0,11.0,60.0,45.0,15.0,13.0,9.0,0.0,133,118,33.6,25.4,48.0,40.6,33.0,25.4,47.4,40.6,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,209742,CME,0,209,352705,154355,54232,2907,60031,117789,15759,90407,105097,3741,7281,22177,378,334859,322080,17846,30625,5662.0,22570.0,-19197.0,346.0,629.0,7100.0,-954.0,-16675.0,14378.0,1239.0,-684.0,-586.0,378.0,6849.0,2704.0,-1187.0,2958.0,100,43.8,15.4,0.8,17.0,33.4,4.5,25.6,29.8,1.1,2.1,6.3,0.1,94.9,91.3,5.1,8.7,217,25.0,21.0,5.0,25.0,26.0,11.0,47.0,50.0,13.0,11.0,11.0,,122,126,33.3,24.3,50.6,37.5,32.8,24.3,49.4,37.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,209742,CME,0,209,357315,173081,55105,3059,54054,121266,16197,85215,104096,3190,7244,23795,0,342040,326708,15275,30607,4610.0,18726.0,873.0,152.0,-5977.0,3477.0,438.0,-5192.0,-1001.0,-551.0,-37.0,1618.0,-378.0,7181.0,4628.0,-2571.0,-18.0,100,48.4,15.4,0.9,15.1,33.9,4.5,23.8,29.1,0.9,2.0,6.7,0.0,95.7,91.4,4.3,8.6,219,23.0,26.0,5.0,21.0,27.0,11.0,47.0,53.0,15.0,10.0,12.0,0.0,117,133,36.5,24.6,55.0,36.9,35.9,24.6,54.3,36.9,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,209742,CME,0,209,349561,164808,49289,3711,56972,116934,16457,81569,105853,3701,5760,23063,206,333184,319214,16377,30347,-7754.0,-8273.0,-5816.0,652.0,2918.0,-4332.0,260.0,-3646.0,1757.0,511.0,-1484.0,-732.0,206.0,-8856.0,-7494.0,1102.0,-260.0,100,47.1,14.1,1.1,16.3,33.5,4.7,23.3,30.3,1.1,1.6,6.6,0.1,95.3,91.3,4.7,8.7,219,22.0,21.0,8.0,29.0,24.0,12.0,40.0,62.0,14.0,9.0,11.0,,119,135,36.2,26.2,52.4,39.5,35.5,26.2,51.3,39.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,209742,CME,0,209,472288,146996,70114,76063,88406,113345,17153,102607,127276,6561,6383,23649,0,444169,434161,28119,38127,122727.0,-17812.0,20825.0,72352.0,31434.0,-3589.0,696.0,21038.0,21423.0,2860.0,623.0,586.0,-206.0,110985.0,114947.0,11742.0,7780.0,100,31.1,14.8,16.1,18.7,24.0,3.6,21.7,26.9,1.4,1.4,5.0,0.0,94.0,91.9,6.0,8.1,230,24.0,24.0,22.0,37.0,18.0,11.0,52.0,55.0,22.0,10.0,10.0,0.0,151,134,32.9,23.6,47.7,36.3,25.8,21.1,38.5,33.0,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,209742,CME,0,209,346065,85736,128011,4971,99150,87654,14890,99311,75139,3971,6223,15906,0,314252,330542,31813,15523,-126223.0,-61260.0,57897.0,-71092.0,10744.0,-25691.0,-2263.0,-3296.0,-52137.0,-2590.0,-160.0,-7743.0,0.0,-129917.0,-103619.0,3694.0,-22604.0,100,24.8,37.0,1.4,28.7,25.3,4.3,28.7,21.7,1.1,1.8,4.6,0.0,90.8,95.5,9.2,4.5,244,19.0,28.0,,42.0,16.0,10.0,58.0,55.0,10.0,12.0,14.0,0.0,139,128,28.9,27.0,41.1,40.2,28.2,27.0,39.7,40.2,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
