Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,112741,CME,0,112,18631,2251,10286,75,975,100,0,11247,6364,0,1486,612,0,16034,17437,2597,1194,,,,,,,,,,,,,,,,,,100,12.1,55.2,0.4,5.2,0.5,0.0,60.4,34.2,0.0,8.0,3.3,0.0,86.1,93.6,13.9,6.4,38,,10.0,,,,0.0,9.0,9.0,0.0,,,0.0,17,22,59.0,58.1,76.1,79.0,59.0,58.1,76.1,78.6,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,112741,CME,0,112,22919,2211,15400,75,867,100,0,16253,5486,0,399,700,0,19805,21761,3114,1158,4288.0,-40.0,5114.0,0.0,-108.0,0.0,0.0,5006.0,-878.0,0.0,-1087.0,88.0,0.0,3771.0,4324.0,517.0,-36.0,100,9.6,67.2,0.3,3.8,0.4,0.0,70.9,23.9,0.0,1.7,3.1,0.0,86.4,94.9,13.6,5.1,39,,11.0,,,,0.0,12.0,7.0,0.0,,,0.0,19,21,61.5,53.2,77.3,77.9,61.5,53.2,77.3,77.9,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,112741,CME,0,112,24399,2222,16746,75,258,416,7,18203,5301,0,404,491,0,21169,23036,3230,1363,1480.0,11.0,1346.0,0.0,-609.0,316.0,7.0,1950.0,-185.0,0.0,5.0,-209.0,0.0,1364.0,1275.0,116.0,205.0,100,9.1,68.6,0.3,1.1,1.7,0.0,74.6,21.7,0.0,1.7,2.0,0.0,86.8,94.4,13.2,5.6,39,,12.0,,,,,10.0,8.0,0.0,,,0.0,17,24,66.3,55.3,81.2,77.6,66.3,55.3,81.2,77.6,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,112741,CME,0,112,25036,2970,16336,124,618,241,25,16863,5198,744,281,1280,0,21625,23948,3411,1088,637.0,748.0,-410.0,49.0,360.0,-175.0,18.0,-1340.0,-103.0,744.0,-123.0,789.0,0.0,456.0,912.0,181.0,-275.0,100,11.9,65.3,0.5,2.5,1.0,0.1,67.4,20.8,3.0,1.1,5.1,0.0,86.4,95.7,13.6,4.3,45,,13.0,,,,,12.0,9.0,,,,0.0,20,28,64.0,56.1,76.7,76.4,64.0,56.1,73.7,76.4,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,112741,CME,0,112,23627,3400,14727,124,1461,120,0,14480,6342,0,1359,549,0,20824,21862,2803,1765,-1409.0,430.0,-1609.0,0.0,843.0,-121.0,-25.0,-2383.0,1144.0,-744.0,1078.0,-731.0,0.0,-801.0,-2086.0,-608.0,677.0,100,14.4,62.3,0.5,6.2,0.5,0.0,61.3,26.8,0.0,5.8,2.3,0.0,88.1,92.5,11.9,7.5,42,4.0,11.0,,,,0.0,9.0,10.0,0.0,,,0.0,19,24,62.7,59.1,76.2,78.3,62.7,59.1,76.2,78.3,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,112741,CME,0,112,20271,2797,13489,124,564,254,57,11989,3842,0,1397,280,0,16928,18046,3343,2225,-3356.0,-603.0,-1238.0,0.0,-897.0,134.0,57.0,-2491.0,-2500.0,0.0,38.0,-269.0,0.0,-3896.0,-3816.0,540.0,460.0,100,13.8,66.5,0.6,2.8,1.3,0.3,59.1,19.0,0.0,6.9,1.4,0.0,83.5,89.0,16.5,11.0,35,,11.0,,,,,9.0,5.0,0.0,,,0.0,17,20,60.8,65.3,73.5,78.7,60.8,65.3,73.5,78.1,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,112741,CME,0,112,20099,3914,12726,118,1237,120,0,11359,4570,0,521,380,0,17149,17914,2950,2185,-172.0,1117.0,-763.0,-6.0,673.0,-134.0,-57.0,-630.0,728.0,0.0,-876.0,100.0,0.0,221.0,-132.0,-393.0,-40.0,100,19.5,63.3,0.6,6.2,0.6,0.0,56.5,22.7,0.0,2.6,1.9,0.0,85.3,89.1,14.7,10.9,41,5.0,9.0,,,,0.0,12.0,8.0,0.0,,,0.0,22,20,51.9,66.0,64.9,78.3,51.9,66.0,64.9,77.7,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,112741,CME,0,112,27922,2906,14407,4063,997,0,0,13793,4888,3087,341,280,0,25187,26725,2735,1197,7823.0,-1008.0,1681.0,3945.0,-240.0,-120.0,0.0,2434.0,318.0,3087.0,-180.0,-100.0,0.0,8038.0,8811.0,-215.0,-988.0,100,10.4,51.6,14.6,3.6,0.0,0.0,49.4,17.5,11.1,1.2,1.0,0.0,90.2,95.7,9.8,4.3,36,,10.0,,,0.0,0.0,10.0,9.0,,,,0.0,19,22,57.4,61.8,77.3,81.9,45.3,50.2,56.9,61.4,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,112741,CME,0,112,25755,1801,17476,0,865,0,0,19140,6669,0,473,532,0,22279,24677,3476,1078,-2167.0,-1105.0,3069.0,-4063.0,-132.0,0.0,0.0,5347.0,1781.0,-3087.0,132.0,252.0,0.0,-2908.0,-2048.0,741.0,-119.0,100,7.0,67.9,0.0,3.4,0.0,0.0,74.3,25.9,0.0,1.8,2.1,0.0,86.5,95.8,13.5,4.2,29,,7.0,0.0,,0.0,0.0,9.0,5.0,0.0,,,0.0,15,14,69.6,60.1,80.7,86.6,69.6,60.1,80.7,86.6,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,112741,CME,0,112,26820,1801,18702,31,532,136,0,20494,6082,0,341,475,0,23199,25426,3621,1394,1065.0,0.0,1226.0,31.0,-333.0,136.0,0.0,1354.0,-587.0,0.0,-132.0,-57.0,0.0,920.0,749.0,145.0,316.0,100,6.7,69.7,0.1,2.0,0.5,0.0,76.4,22.7,0.0,1.3,1.8,0.0,86.5,94.8,13.5,5.2,35,,11.0,,,,0.0,10.0,7.0,0.0,,,0.0,15,21,71.6,56.1,82.1,80.2,71.6,56.1,82.1,80.2,"(CONTRACTS OF NZD 100,000)",F15,FutOnly
