Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,92741,CME,0,92,54918,13834,40233,529,1880,502,342,23559,4431,21,0,0,0,40165,46058,14753,8860,,,,,,,,,,,,,,,,,,100,25.2,73.3,1.0,3.4,0.9,0.6,42.9,8.1,0.0,0.0,0.0,0.0,73.1,83.9,26.9,16.1,40,5.0,9.0,,,,,18.0,5.0,,0.0,0.0,0.0,26,19,36.9,64.7,50.7,76.6,36.8,64.7,50.3,76.6,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,92741,CME,0,92,55722,15717,37255,528,1879,438,407,20681,7957,34,634,435,0,39880,47054,15842,8668,804.0,1883.0,-2978.0,-1.0,-1.0,-64.0,65.0,-2878.0,3526.0,13.0,634.0,435.0,0.0,-285.0,996.0,1089.0,-192.0,100,28.2,66.9,0.9,3.4,0.8,0.7,37.1,14.3,0.1,1.1,0.8,0.0,71.6,84.4,28.4,15.6,41,5.0,9.0,,,,,16.0,6.0,,,,0.0,25,21,35.4,61.1,48.4,74.0,35.3,61.1,48.3,74.0,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,92741,CME,0,92,57976,13493,44705,893,2095,434,488,25526,2592,51,0,435,0,42546,49598,15430,8378,2254.0,-2224.0,7450.0,365.0,216.0,-4.0,81.0,4845.0,-5365.0,17.0,-634.0,0.0,0.0,2666.0,2544.0,-412.0,-290.0,100,23.3,77.1,1.5,3.6,0.7,0.8,44.0,4.5,0.1,0.0,0.8,0.0,73.4,85.5,26.6,14.5,41,4.0,11.0,,,,,19.0,,,0.0,,0.0,27,21,33.6,67.8,48.4,77.6,33.5,67.8,47.8,76.5,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,92741,CME,0,92,52566,14720,32862,941,2062,427,501,20680,6310,49,0,935,0,38953,42025,13613,10541,-5410.0,1227.0,-11843.0,48.0,-33.0,-7.0,13.0,-4846.0,3718.0,-2.0,0.0,500.0,0.0,-3593.0,-7573.0,-1817.0,2163.0,100,28.0,62.5,1.8,3.9,0.8,1.0,39.3,12.0,0.1,0.0,1.8,0.0,74.1,79.9,25.9,20.1,41,5.0,8.0,,,,,18.0,5.0,,0.0,,0.0,27,20,40.0,55.9,53.8,68.5,39.8,55.9,53.2,67.2,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,92741,CME,0,92,54560,13502,34344,948,2254,393,472,21676,7048,26,0,1189,0,38878,44420,15682,10140,1994.0,-1218.0,1482.0,7.0,192.0,-34.0,-29.0,996.0,738.0,-23.0,0.0,254.0,0.0,-75.0,2395.0,2069.0,-401.0,100,24.7,62.9,1.7,4.1,0.7,0.9,39.7,12.9,0.0,0.0,2.2,0.0,71.3,81.4,28.7,18.6,40,5.0,8.0,,,,,14.0,8.0,,0.0,,0.0,24,23,39.3,56.5,54.9,68.4,39.3,56.5,54.5,67.0,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,92741,CME,0,92,57316,12608,38466,939,2256,387,478,24583,6411,254,0,750,0,41118,47685,16198,9631,2756.0,-894.0,4122.0,-9.0,2.0,-6.0,6.0,2907.0,-637.0,228.0,0.0,-439.0,0.0,2240.0,3265.0,516.0,-509.0,100,22.0,67.1,1.6,3.9,0.7,0.8,42.9,11.2,0.4,0.0,1.3,0.0,71.7,83.2,28.3,16.8,43,5.0,9.0,,,,,17.0,8.0,,0.0,,0.0,26,23,35.6,57.9,50.8,70.5,35.6,57.9,50.0,68.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,92741,CME,0,92,60655,11594,41826,721,2191,1008,403,26668,5580,611,0,750,0,42188,50899,18467,9756,3339.0,-1014.0,3360.0,-218.0,-65.0,621.0,-75.0,2085.0,-831.0,357.0,0.0,0.0,0.0,1070.0,3214.0,2269.0,125.0,100,19.1,69.0,1.2,3.6,1.7,0.7,44.0,9.2,1.0,0.0,1.2,0.0,69.6,83.9,30.4,16.1,44,,10.0,,,,,19.0,7.0,4.0,0.0,,0.0,28,24,33.6,59.5,49.1,71.7,33.3,58.4,47.8,70.6,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,92741,CME,0,92,74713,13144,45131,7809,2204,771,479,28396,5412,2424,0,3250,0,54456,65276,20257,9437,14058.0,1550.0,3305.0,7088.0,13.0,-237.0,76.0,1728.0,-168.0,1813.0,0.0,2500.0,0.0,12268.0,14377.0,1790.0,-319.0,100,17.6,60.4,10.5,2.9,1.0,0.6,38.0,7.2,3.2,0.0,4.3,0.0,72.9,87.4,27.1,12.6,44,6.0,11.0,4.0,,,,16.0,6.0,,0.0,,0.0,27,26,39.9,55.7,54.5,69.6,29.4,50.9,42.3,61.2,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,92741,CME,0,92,49352,2591,25446,292,2208,784,466,25013,13593,2,0,953,0,30572,41536,18780,7816,-25361.0,-10553.0,-19685.0,-7517.0,4.0,13.0,-13.0,-3383.0,8181.0,-2422.0,0.0,-2297.0,0.0,-23884.0,-23740.0,-1477.0,-1621.0,100,5.3,51.6,0.6,4.5,1.6,0.9,50.7,27.5,0.0,0.0,1.9,0.0,61.9,84.2,38.1,15.8,45,4.0,8.0,,,,,18.0,9.0,,0.0,,0.0,25,24,32.4,47.5,44.3,68.0,32.2,47.5,44.1,68.0,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,92741,CME,0,92,49910,4482,26520,222,1987,880,416,23974,13738,1,0,500,0,31082,42277,18828,7633,558.0,1891.0,1074.0,-70.0,-221.0,96.0,-50.0,-1039.0,145.0,-1.0,0.0,-453.0,0.0,510.0,741.0,48.0,-183.0,100,9.0,53.1,0.4,4.0,1.8,0.8,48.0,27.5,0.0,0.0,1.0,0.0,62.3,84.7,37.7,15.3,44,5.0,8.0,,,,,16.0,10.0,,0.0,,0.0,25,23,34.0,47.4,46.3,64.9,34.0,47.4,46.1,64.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
