Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100720,2010-07-20,98662,ICUS,1,98,24176,10227,15430,0,263,50,845,7377,4249,1157,580,528,4,20453,22263,3723,1913,,,,,,,,,,,,,,,,,,100,42.3,63.8,0.0,1.1,0.2,3.5,30.5,17.6,4.8,2.4,2.2,0.0,84.6,92.1,15.4,7.9,57,8.0,,0.0,,,,12.0,20.0,5.0,5.0,4.0,,32,33,63.1,70.7,72.6,81.0,62.0,70.4,67.6,77.2,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100727,2010-07-27,98662,ICUS,1,98,22557,10123,15301,0,90,50,828,6387,3049,532,500,722,4,18464,20486,4093,2071,-1619.0,-104.0,-129.0,0.0,-173.0,0.0,-17.0,-990.0,-1200.0,-625.0,-80.0,194.0,0.0,-1989.0,-1777.0,370.0,158.0,100,44.9,67.8,0.0,0.4,0.2,3.7,28.3,13.5,2.4,2.2,3.2,0.0,81.9,90.8,18.1,9.2,51,8.0,,0.0,,,,17.0,14.0,,4.0,,,32,24,58.7,75.7,69.1,84.0,57.7,74.8,65.2,80.3,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100803,2010-08-03,98662,ICUS,1,98,22911,9632,15185,0,84,135,839,6650,2748,732,914,919,4,18855,20562,4056,2349,354.0,-491.0,-116.0,0.0,-6.0,85.0,11.0,263.0,-301.0,200.0,414.0,197.0,0.0,391.0,76.0,-37.0,278.0,100,42.0,66.3,0.0,0.4,0.6,3.7,29.0,12.0,3.2,4.0,4.0,0.0,82.3,89.7,17.7,10.3,60,7.0,,0.0,,,,20.0,15.0,4.0,7.0,4.0,,38,28,56.7,72.6,67.1,81.6,55.6,71.8,63.2,77.4,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100810,2010-08-10,98662,ICUS,1,98,28784,10348,16099,30,148,145,792,11588,7100,617,818,1096,4,24345,25883,4439,2901,5873.0,716.0,914.0,30.0,64.0,10.0,-47.0,4938.0,4352.0,-115.0,-96.0,177.0,0.0,5490.0,5321.0,383.0,552.0,100,36.0,55.9,0.1,0.5,0.5,2.8,40.3,24.7,2.1,2.8,3.8,0.0,84.6,89.9,15.4,10.1,58,5.0,5.0,,,,,11.0,21.0,4.0,8.0,4.0,,31,34,69.1,64.7,76.4,76.2,68.9,64.5,73.4,74.8,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100817,2010-08-17,98662,ICUS,1,98,31979,11163,16923,30,313,0,797,14130,10773,655,640,652,4,27732,29834,4247,2145,3195.0,815.0,824.0,0.0,165.0,-145.0,5.0,2542.0,3673.0,38.0,-178.0,-444.0,0.0,3387.0,3951.0,-192.0,-756.0,100,34.9,52.9,0.1,1.0,0.0,2.5,44.2,33.7,2.0,2.0,2.0,0.0,86.7,93.3,13.3,6.7,58,6.0,5.0,,,0.0,,14.0,17.0,4.0,7.0,5.0,,35,30,74.5,74.6,79.7,84.5,73.4,74.5,75.9,82.0,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100824,2010-08-24,98662,ICUS,1,98,28979,11807,16220,30,585,0,729,9306,8673,530,617,649,5,23609,26836,5370,2143,-3000.0,644.0,-703.0,0.0,272.0,0.0,-68.0,-4824.0,-2100.0,-125.0,-23.0,-3.0,1.0,-4123.0,-2998.0,1123.0,-2.0,100,40.7,56.0,0.1,2.0,0.0,2.5,32.1,29.9,1.8,2.1,2.2,0.0,81.5,92.6,18.5,7.4,61,8.0,,,4.0,0.0,,22.0,12.0,4.0,7.0,4.0,,45,24,60.1,73.4,67.4,85.5,58.5,73.3,64.3,83.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100831,2010-08-31,98662,ICUS,1,98,24350,11627,14116,30,680,0,736,5088,6484,644,711,571,0,19516,22581,4834,1769,-4629.0,-180.0,-2104.0,0.0,95.0,0.0,7.0,-4218.0,-2189.0,114.0,94.0,-78.0,-5.0,-4093.0,-4255.0,-536.0,-374.0,100,47.7,58.0,0.1,2.8,0.0,3.0,20.9,26.6,2.6,2.9,2.3,0.0,80.1,92.7,19.9,7.3,55,7.0,4.0,,4.0,0.0,,17.0,12.0,4.0,6.0,4.0,0.0,37,24,58.6,77.3,66.6,86.3,56.7,77.1,62.0,82.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100907,2010-09-07,98662,ICUS,1,98,24239,11299,13365,124,677,0,725,5863,6174,875,403,840,292,20258,22395,3981,1844,-111.0,-328.0,-751.0,94.0,-3.0,0.0,-11.0,775.0,-310.0,231.0,-308.0,269.0,292.0,742.0,-186.0,-853.0,75.0,100,46.6,55.1,0.5,2.8,0.0,3.0,24.2,25.5,3.6,1.7,3.5,1.2,83.6,92.4,16.4,7.6,55,6.0,,,4.0,0.0,,17.0,14.0,5.0,4.0,5.0,,36,30,55.3,73.6,64.7,83.5,53.9,73.6,61.2,79.5,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100914,2010-09-14,98662,ICUS,1,98,24885,11253,7706,100,802,0,807,6730,11745,617,543,1039,1,20853,22015,4032,2870,646.0,-46.0,-5659.0,-24.0,125.0,0.0,82.0,867.0,5571.0,-258.0,140.0,199.0,-291.0,595.0,-380.0,51.0,1026.0,100,45.2,31.0,0.4,3.2,0.0,3.2,27.0,47.2,2.5,2.2,4.2,0.0,83.8,88.5,16.2,11.5,67,7.0,,,4.0,0.0,,17.0,27.0,5.0,4.0,4.0,,34,42,61.3,48.8,69.0,64.8,59.5,48.8,65.1,64.3,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100921,2010-09-21,98662,ICUS,1,98,28701,13182,7106,100,435,0,869,9288,15524,611,584,1362,1,25070,25573,3631,3128,3816.0,1929.0,-600.0,0.0,-367.0,0.0,62.0,2558.0,3779.0,-6.0,41.0,323.0,0.0,4217.0,3558.0,-401.0,258.0,100,45.9,24.8,0.3,1.5,0.0,3.0,32.4,54.1,2.1,2.0,4.7,0.0,87.3,89.1,12.7,10.9,65,8.0,,,,0.0,,12.0,31.0,4.0,5.0,,,29,44,65.0,46.9,74.2,62.1,64.6,46.9,72.0,62.1,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
