Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100720,2010-07-20,20601,CBT,0,20,682517,23450,158925,4038,365308,145858,54151,50816,132899,11162,27569,45480,0,536494,552513,146023,130004,,,,,,,,,,,,,,,,,,100,3.4,23.3,0.6,53.5,21.4,7.9,7.4,19.5,1.6,4.0,6.7,0.0,78.6,81.0,21.4,19.0,157,9.0,21.0,7.0,44.0,25.0,29.0,26.0,19.0,13.0,6.0,7.0,0.0,106,100,21.9,21.0,32.5,35.8,19.8,19.9,30.1,33.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100727,2010-07-27,20601,CBT,0,20,691590,23611,151869,3179,367419,153836,53118,56050,152170,11871,27944,43111,1,543193,569155,148397,122435,9073.0,161.0,-7056.0,-859.0,2111.0,7978.0,-1033.0,5234.0,19271.0,709.0,375.0,-2369.0,1.0,6699.0,16642.0,2374.0,-7569.0,100,3.4,22.0,0.5,53.1,22.2,7.7,8.1,22.0,1.7,4.0,6.2,0.0,78.5,82.3,21.5,17.7,151,8.0,20.0,6.0,43.0,26.0,30.0,22.0,21.0,12.0,6.0,5.0,,104,96,21.5,20.8,32.8,36.4,19.7,19.9,30.7,34.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100803,2010-08-03,20601,CBT,0,20,692587,19166,165586,3394,359695,143536,64245,65172,165763,10831,31466,36854,1841,555810,592050,136777,100537,997.0,-4445.0,13717.0,215.0,-7724.0,-10300.0,11127.0,9122.0,13593.0,-1040.0,3522.0,-6257.0,1840.0,12617.0,22895.0,-11620.0,-21898.0,100,2.8,23.9,0.5,51.9,20.7,9.3,9.4,23.9,1.6,4.5,5.3,0.3,80.3,85.5,19.7,14.5,154,6.0,23.0,6.0,42.0,27.0,30.0,23.0,20.0,13.0,8.0,5.0,,106,99,21.6,22.4,33.8,38.8,20.0,21.5,31.3,36.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100810,2010-08-10,20601,CBT,0,20,729581,16766,163620,3461,379197,155229,60154,59129,170545,8443,34802,41181,152,562104,602785,167477,126796,36994.0,-2400.0,-1966.0,67.0,19502.0,11693.0,-4091.0,-6043.0,4782.0,-2388.0,3336.0,4327.0,-1689.0,6294.0,10735.0,30700.0,26259.0,100,2.3,22.4,0.5,52.0,21.3,8.2,8.1,23.4,1.2,4.8,5.6,0.0,77.0,82.6,23.0,17.4,154,6.0,21.0,5.0,43.0,26.0,31.0,20.0,24.0,14.0,8.0,6.0,,102,104,20.7,23.7,32.3,38.8,19.1,22.4,30.1,36.3,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100817,2010-08-17,20601,CBT,0,20,715278,22065,174330,6104,367455,148536,52763,47222,161717,11638,35053,30422,242,542542,585752,172736,129526,-14303.0,5299.0,10710.0,2643.0,-11742.0,-6693.0,-7391.0,-11907.0,-8828.0,3195.0,251.0,-10759.0,90.0,-19562.0,-17033.0,5259.0,2730.0,100,3.1,24.4,0.9,51.4,20.8,7.4,6.6,22.6,1.6,4.9,4.3,0.0,75.9,81.9,24.1,18.1,164,9.0,24.0,7.0,44.0,25.0,31.0,25.0,23.0,18.0,8.0,6.0,,113,109,20.6,23.2,31.1,38.8,19.2,21.8,29.7,36.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100824,2010-08-24,20601,CBT,0,20,743828,31868,174111,5022,361465,160745,69284,63641,155821,15391,35273,29352,1264,583208,610990,160620,132838,28550.0,9803.0,-219.0,-1082.0,-5990.0,12209.0,16521.0,16419.0,-5896.0,3753.0,220.0,-1070.0,1022.0,40666.0,25238.0,-12116.0,3312.0,100,4.3,23.4,0.7,48.6,21.6,9.3,8.6,20.9,2.1,4.7,3.9,0.2,78.4,82.1,21.6,17.9,175,12.0,24.0,6.0,46.0,26.0,37.0,28.0,23.0,18.0,9.0,7.0,,126,113,19.5,20.7,29.7,35.7,18.1,19.5,28.2,33.9,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100831,2010-08-31,20601,CBT,0,20,780661,22888,134688,32498,351578,158540,64087,59704,168545,34656,31638,25618,7275,604324,625907,176337,154754,36833.0,-8980.0,-39423.0,27476.0,-9887.0,-2205.0,-5197.0,-3937.0,12724.0,19265.0,-3635.0,-3734.0,6011.0,21116.0,14917.0,15717.0,21916.0,100,2.9,17.3,4.2,45.0,20.3,8.2,7.6,21.6,4.4,4.1,3.3,0.9,77.4,80.2,22.6,19.8,161,7.0,23.0,9.0,43.0,24.0,31.0,27.0,20.0,15.0,9.0,5.0,4.0,121,99,17.7,22.6,28.1,38.6,16.4,19.0,26.0,31.9,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100907,2010-09-07,20601,CBT,0,20,681513,21879,131459,10215,335708,157554,66995,61122,146025,13385,26243,29868,520,536067,556021,145446,125492,-99148.0,-1009.0,-3229.0,-22283.0,-15870.0,-986.0,2908.0,1418.0,-22520.0,-21271.0,-5395.0,4250.0,-6755.0,-68257.0,-69886.0,-30891.0,-29262.0,100,3.2,19.3,1.5,49.3,23.1,9.8,9.0,21.4,2.0,3.9,4.4,0.1,78.7,81.6,21.3,18.4,161,9.0,24.0,8.0,44.0,22.0,33.0,28.0,22.0,14.0,8.0,4.0,,120,97,19.9,23.1,30.0,40.1,18.2,21.3,28.1,35.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100914,2010-09-14,20601,CBT,0,20,664989,25321,153101,2891,327158,154749,70742,57339,131287,10587,26238,23469,1530,521806,548356,143183,116633,-16524.0,3442.0,21642.0,-7324.0,-8550.0,-2805.0,3747.0,-3783.0,-14738.0,-2798.0,-5.0,-6399.0,1010.0,-14261.0,-7665.0,-2263.0,-8859.0,100,3.8,23.0,0.4,49.2,23.3,10.6,8.6,19.7,1.6,3.9,3.5,0.2,78.5,82.5,21.5,17.5,164,10.0,23.0,5.0,45.0,22.0,34.0,29.0,22.0,11.0,7.0,5.0,,118,98,19.7,23.2,29.8,37.4,17.8,22.0,27.7,34.9,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100921,2010-09-21,20601,CBT,0,20,666414,19349,157223,5689,338862,149440,71416,48930,138224,8478,23591,22514,1531,517846,554515,148568,111899,1425.0,-5972.0,4122.0,2798.0,11704.0,-5309.0,674.0,-8409.0,6937.0,-2109.0,-2647.0,-955.0,1.0,-3960.0,6159.0,5385.0,-4734.0,100,2.9,23.6,0.9,50.8,22.4,10.7,7.3,20.7,1.3,3.5,3.4,0.2,77.7,83.2,22.3,16.8,165,10.0,23.0,6.0,46.0,24.0,36.0,28.0,22.0,14.0,4.0,7.0,,121,103,20.9,25.2,31.1,39.4,19.4,23.7,29.5,37.5,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
