Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,13874A,CME,0,138,2814633,207952,543947,152096,1405126,619132,227012,402716,891084,37517,43029,69405,1937,2477385,2542130,337248,272503,,,,,,,,,,,,,,,,,,100,7.4,19.3,5.4,49.9,22.0,8.1,14.3,31.7,1.3,1.5,2.5,0.1,88.0,90.3,12.0,9.7,474,30.0,48.0,7.0,93.0,61.0,52.0,73.0,133.0,44.0,16.0,20.0,6.0,268,315,20.8,11.9,32.9,20.5,18.3,9.5,28.8,16.6,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,13874A,CME,0,138,2780454,225442,569071,146606,1385586,605119,231428,372016,861874,44751,35013,70353,1319,2442161,2530521,338293,249933,-34179.0,17490.0,25124.0,-5490.0,-19540.0,-14013.0,4416.0,-30700.0,-29210.0,7234.0,-8016.0,948.0,-618.0,-35224.0,-11609.0,1045.0,-22570.0,100,8.1,20.5,5.3,49.8,21.8,8.3,13.4,31.0,1.6,1.3,2.5,0.0,87.8,91.0,12.2,9.0,466,28.0,49.0,10.0,93.0,59.0,52.0,80.0,125.0,47.0,14.0,18.0,5.0,273,307,21.4,12.0,33.3,20.2,18.1,9.6,28.1,16.5,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,13874A,CME,0,138,2745286,226979,587288,154956,1353761,583107,229988,349906,838576,34179,42995,74023,1212,2393976,2503329,351310,241957,-35168.0,1537.0,18217.0,8350.0,-31825.0,-22012.0,-1440.0,-22110.0,-23298.0,-10572.0,7982.0,3670.0,-107.0,-48185.0,-27192.0,13017.0,-7976.0,100,8.3,21.4,5.6,49.3,21.2,8.4,12.7,30.5,1.2,1.6,2.7,0.0,87.2,91.2,12.8,8.8,467,29.0,49.0,12.0,91.0,57.0,53.0,83.0,124.0,46.0,15.0,19.0,,273,308,21.2,12.3,33.0,21.5,17.6,10.2,27.3,18.2,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,13874A,CME,0,138,2752036,235307,622825,159297,1385859,578342,232776,343479,818621,34299,53231,76242,1368,2445616,2523770,306420,228266,6750.0,8328.0,35537.0,4341.0,32098.0,-4765.0,2788.0,-6427.0,-19955.0,120.0,10236.0,2219.0,156.0,51640.0,20441.0,-44890.0,-13691.0,100,8.6,22.6,5.8,50.4,21.0,8.5,12.5,29.7,1.2,1.9,2.8,0.0,88.9,91.7,11.1,8.3,476,29.0,49.0,10.0,88.0,58.0,49.0,88.0,129.0,44.0,15.0,20.0,4.0,271,312,21.3,13.0,32.6,22.5,17.4,10.9,26.9,19.6,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,13874A,CME,0,138,2826725,257235,581648,157721,1359950,650420,228840,430577,832689,44676,57418,92960,1375,2537792,2590329,288933,236396,74689.0,21928.0,-41177.0,-1576.0,-25909.0,72078.0,-3936.0,87098.0,14068.0,10377.0,4187.0,16718.0,7.0,92176.0,66559.0,-17487.0,8130.0,100,9.1,20.6,5.6,48.1,23.0,8.1,15.2,29.5,1.6,2.0,3.3,0.0,89.8,91.6,10.2,8.4,493,30.0,48.0,10.0,88.0,59.0,52.0,94.0,130.0,45.0,19.0,25.0,,283,320,20.4,11.8,31.2,21.0,16.8,9.5,26.2,17.3,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,13874A,CME,0,138,2939121,263116,477956,199269,1380690,709579,235081,546967,926870,36430,65949,115673,1288,2728790,2702146,210331,236975,112396.0,5881.0,-103692.0,41548.0,20740.0,59159.0,6241.0,116390.0,94181.0,-8246.0,8531.0,22713.0,-87.0,190998.0,111817.0,-78602.0,579.0,100,9.0,16.3,6.8,47.0,24.1,8.0,18.6,31.5,1.2,2.2,3.9,0.0,92.8,91.9,7.2,8.1,483,29.0,45.0,13.0,90.0,61.0,54.0,83.0,132.0,43.0,18.0,25.0,,277,318,22.4,11.8,34.2,20.7,19.3,9.1,28.7,17.3,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,13874A,CME,0,138,3042646,293593,502840,206604,1427932,726715,240091,602807,966696,36275,74994,118355,1130,2883426,2798706,159220,243940,103525.0,30477.0,24884.0,7335.0,47242.0,17136.0,5010.0,55840.0,39826.0,-155.0,9045.0,2682.0,-158.0,154636.0,96560.0,-51111.0,6965.0,100,9.6,16.5,6.8,46.9,23.9,7.9,19.8,31.8,1.2,2.5,3.9,0.0,94.8,92.0,5.2,8.0,490,31.0,46.0,15.0,89.0,63.0,54.0,82.0,135.0,45.0,18.0,26.0,,278,328,22.8,11.7,34.6,20.5,19.9,9.2,30.3,16.8,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,13874A,CME,0,138,3025949,294117,513332,260312,1401137,679656,252412,528227,930182,37995,75182,106250,2582,2851964,2782721,173985,243228,-16697.0,524.0,10492.0,53708.0,-26795.0,-47059.0,12321.0,-74580.0,-36514.0,1720.0,188.0,-12105.0,1452.0,-31462.0,-15985.0,14765.0,-712.0,100,9.7,17.0,8.6,46.3,22.5,8.3,17.5,30.7,1.3,2.5,3.5,0.1,94.3,92.0,5.7,8.0,487,32.0,48.0,21.0,90.0,61.0,56.0,81.0,132.0,44.0,21.0,22.0,,282,329,21.4,11.9,33.3,21.0,18.2,9.6,28.7,17.0,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,13874A,CME,0,138,3460098,294814,584258,434446,1427163,633850,262636,522512,942330,78267,76381,113251,14613,3110832,3063651,349266,396447,434149.0,697.0,70926.0,174134.0,26026.0,-45806.0,10224.0,-5715.0,12148.0,40272.0,1199.0,7001.0,12031.0,258868.0,280930.0,175281.0,153219.0,100,8.5,16.9,12.6,41.2,18.3,7.6,15.1,27.2,2.3,2.2,3.3,0.4,89.9,88.5,10.1,11.5,497,32.0,46.0,40.0,85.0,59.0,57.0,89.0,138.0,75.0,23.0,25.0,9.0,327,351,19.0,12.0,29.8,19.9,15.1,8.9,24.2,15.8,($50 X S&P 500 INDEX),F20,FutOnly
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,13874A,CME,0,138,2480461,100544,546468,94689,1404749,548759,243194,277650,703528,22797,29955,64147,4930,2178508,2228512,301953,251949,-979637.0,-194270.0,-37790.0,-339757.0,-22414.0,-85091.0,-19442.0,-244862.0,-238802.0,-55470.0,-46426.0,-49104.0,-9683.0,-932324.0,-835139.0,-47313.0,-144498.0,100,4.1,22.0,3.8,56.6,22.1,9.8,11.2,28.4,0.9,1.2,2.6,0.2,87.8,89.8,12.2,10.2,468,23.0,46.0,8.0,87.0,60.0,52.0,83.0,132.0,48.0,14.0,23.0,,263,316,21.7,12.3,34.0,20.7,19.9,9.3,30.1,16.5,($50 X S&P 500 INDEX),F20,FutOnly
