Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100720,2010-07-20,45601,CBT,0,45,616778,132892,266227,201296,4796,3068,1201,170987,21762,57395,7122,3077,335,576024,554361,40754,62417,,,,,,,,,,,,,,,,,,100,21.5,43.2,32.6,0.8,0.5,0.2,27.7,3.5,9.3,1.2,0.5,0.1,93.4,89.9,6.6,10.1,109,23.0,28.0,37.0,,,,26.0,15.0,35.0,,,,94,90,31.4,39.8,50.4,52.2,26.6,23.3,35.3,32.1,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100727,2010-07-27,45601,CBT,0,45,632595,131015,279317,202847,14349,2007,1701,169036,17501,58113,7710,2817,762,585533,565065,47062,67530,15817.0,-1877.0,13090.0,1551.0,9553.0,-1061.0,500.0,-1951.0,-4261.0,718.0,588.0,-260.0,427.0,9509.0,10704.0,6308.0,5113.0,100,20.7,44.2,32.1,2.3,0.3,0.3,26.7,2.8,9.2,1.2,0.4,0.1,92.6,89.3,7.4,10.7,108,23.0,26.0,37.0,4.0,,,29.0,13.0,34.0,4.0,,,95,87,30.6,41.7,48.5,54.0,25.2,25.1,33.3,33.7,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100803,2010-08-03,45601,CBT,0,45,588561,126318,263408,183964,20203,3150,1158,151907,16338,57746,4601,2329,779,546676,528872,41885,59689,-44034.0,-4697.0,-15909.0,-18883.0,5854.0,1143.0,-543.0,-17129.0,-1163.0,-367.0,-3109.0,-488.0,17.0,-38857.0,-36193.0,-5177.0,-7841.0,100,21.5,44.8,31.3,3.4,0.5,0.2,25.8,2.8,9.8,0.8,0.4,0.1,92.9,89.9,7.1,10.1,109,22.0,27.0,38.0,4.0,,,28.0,15.0,34.0,,,,96,88,31.9,42.9,49.1,54.3,26.5,27.9,35.2,35.7,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100810,2010-08-10,45601,CBT,0,45,593701,128942,254054,198199,18539,543,1158,138814,16335,61676,2348,2329,751,550427,535045,43274,58656,5140.0,2624.0,-9354.0,14235.0,-1664.0,-2607.0,0.0,-13093.0,-3.0,3930.0,-2253.0,0.0,-28.0,3751.0,6173.0,1389.0,-1033.0,100,21.7,42.8,33.4,3.1,0.1,0.2,23.4,2.8,10.4,0.4,0.4,0.1,92.7,90.1,7.3,9.9,103,17.0,30.0,36.0,,,,29.0,13.0,32.0,,,,93,81,31.7,42.4,48.0,54.8,24.7,26.8,33.6,34.8,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100817,2010-08-17,45601,CBT,0,45,597316,127045,255229,202520,16912,885,1158,138318,18438,58608,7225,2329,1029,552815,540196,44501,57120,3615.0,-1897.0,1175.0,4321.0,-1627.0,342.0,0.0,-496.0,2103.0,-3068.0,4877.0,0.0,278.0,2388.0,5151.0,1227.0,-1536.0,100,21.3,42.7,33.9,2.8,0.1,0.2,23.2,3.1,9.8,1.2,0.4,0.2,92.5,90.4,7.5,9.6,106,19.0,29.0,37.0,,,,31.0,11.0,31.0,5.0,,,95,83,31.6,43.3,48.4,55.6,24.3,26.9,33.4,35.2,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100824,2010-08-24,45601,CBT,0,45,603936,125286,243956,206290,17577,885,1158,134899,24967,66727,5947,2376,3621,561505,549980,42431,53956,6620.0,-1759.0,-11273.0,3770.0,665.0,0.0,0.0,-3419.0,6529.0,8119.0,-1278.0,47.0,2592.0,8690.0,9784.0,-2070.0,-3164.0,100,20.7,40.4,34.2,2.9,0.1,0.2,22.3,4.1,11.0,1.0,0.4,0.6,93.0,91.1,7.0,8.9,103,19.0,26.0,35.0,,,,31.0,11.0,28.0,5.0,,4.0,92,79,32.6,43.2,49.3,55.4,23.8,26.8,32.6,34.6,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100831,2010-08-31,45601,CBT,0,45,626057,133635,247762,215263,19489,623,1308,143645,37478,65896,6731,2385,3234,589201,573949,36856,52108,22121.0,8349.0,3806.0,8973.0,1912.0,-262.0,150.0,8746.0,12511.0,-831.0,784.0,9.0,-387.0,27696.0,23969.0,-5575.0,-1848.0,100,21.3,39.6,34.4,3.1,0.1,0.2,22.9,6.0,10.5,1.1,0.4,0.5,94.1,91.7,5.9,8.3,108,22.0,24.0,38.0,,,,32.0,12.0,30.0,7.0,,4.0,99,82,32.0,41.6,49.8,54.5,22.9,24.0,32.9,33.2,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100907,2010-09-07,45601,CBT,0,45,565622,117547,224907,188168,17772,180,1308,130559,36464,64192,6500,1945,3247,529293,520411,36329,45211,-60435.0,-16088.0,-22855.0,-27095.0,-1717.0,-443.0,0.0,-13086.0,-1014.0,-1704.0,-231.0,-440.0,13.0,-59908.0,-53538.0,-527.0,-6897.0,100,20.8,39.8,33.3,3.1,0.0,0.2,23.1,6.4,11.3,1.1,0.3,0.6,93.6,92.0,6.4,8.0,107,20.0,25.0,39.0,,,,33.0,12.0,29.0,6.0,,4.0,96,84,33.2,43.0,48.6,54.6,22.6,27.8,31.8,36.8,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100914,2010-09-14,45601,CBT,0,45,580677,129037,229891,190415,16517,180,1308,129446,34077,71159,5602,2169,2903,546387,532102,34290,48575,15055.0,11490.0,4984.0,2247.0,-1255.0,0.0,0.0,-1113.0,-2387.0,6967.0,-898.0,224.0,-344.0,17094.0,11691.0,-2039.0,3364.0,100,22.2,39.6,32.8,2.8,0.0,0.2,22.3,5.9,12.3,1.0,0.4,0.5,94.1,91.6,5.9,8.4,105,25.0,21.0,37.0,,,,29.0,14.0,29.0,5.0,,4.0,94,82,32.9,41.9,48.3,54.5,20.9,27.5,30.0,35.9,"(CONTRACTS OF $5,000,000)",F33,FutOnly
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100921,2010-09-21,45601,CBT,0,45,597693,127141,232878,198545,17073,171,1308,142150,32601,74837,1260,2020,1353,563667,543713,34026,53980,17016.0,-1896.0,2987.0,8130.0,556.0,-9.0,0.0,12704.0,-1476.0,3678.0,-4342.0,-149.0,-1550.0,17280.0,11611.0,-264.0,5405.0,100,21.3,39.0,33.2,2.9,0.0,0.2,23.8,5.5,12.5,0.2,0.3,0.2,94.3,91.0,5.7,9.0,106,22.0,24.0,37.0,,,,31.0,16.0,31.0,,,,93,84,32.7,42.8,48.8,54.9,21.7,26.8,32.1,34.3,"(CONTRACTS OF $5,000,000)",F33,FutOnly
