Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100720,2010-07-20,132741,CME,0,132,7729322,1873626,3119071,1488967,1103568,282574,110459,1184296,545865,919710,163115,294438,64449,6908190,6825533,821132,903789,,,,,,,,,,,,,,,,,,100,24.2,40.4,19.3,14.3,3.7,1.4,15.3,7.1,11.9,2.1,3.8,0.8,89.4,88.3,10.6,11.7,270,33.0,67.0,91.0,9.0,12.0,15.0,63.0,52.0,74.0,9.0,14.0,13.0,238,225,30.4,29.0,45.4,39.4,30.3,24.4,40.9,31.4,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100727,2010-07-27,132741,CME,0,132,7772472,1749609,3032812,1488168,1074743,254579,118358,1256426,614782,943776,183136,297735,61636,6875852,6811846,896620,960626,43150.0,-124017.0,-86259.0,-799.0,-28825.0,-27995.0,7899.0,72130.0,68917.0,24066.0,20021.0,3297.0,-2813.0,-32338.0,-13687.0,75488.0,56837.0,100,22.5,39.0,19.1,13.8,3.3,1.5,16.2,7.9,12.1,2.4,3.8,0.8,88.5,87.6,11.5,12.4,262,33.0,61.0,89.0,8.0,12.0,16.0,56.0,56.0,77.0,10.0,14.0,12.0,230,226,29.3,27.8,44.6,38.3,29.1,23.4,40.1,30.2,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100803,2010-08-03,132741,CME,0,132,7823460,1849689,3073958,1430365,1027324,276871,107621,1281967,619578,979141,172523,307078,46472,6895102,6841084,928358,982376,50988.0,100080.0,41146.0,-57803.0,-47419.0,22292.0,-10737.0,25541.0,4796.0,35365.0,-10613.0,9343.0,-15164.0,19250.0,29238.0,31738.0,21750.0,100,23.6,39.3,18.3,13.1,3.5,1.4,16.4,7.9,12.5,2.2,3.9,0.6,88.1,87.4,11.9,12.6,262,37.0,59.0,88.0,8.0,13.0,15.0,59.0,55.0,78.0,7.0,15.0,10.0,228,225,28.7,27.5,42.9,38.2,28.5,23.2,38.7,30.7,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100810,2010-08-10,132741,CME,0,132,7941964,1804771,3164335,1420804,1028102,345730,114757,1396381,596456,1008469,174457,301941,48831,6996572,7001323,945392,940641,118504.0,-44918.0,90377.0,-9561.0,778.0,68859.0,7136.0,114414.0,-23122.0,29328.0,1934.0,-5137.0,2359.0,101470.0,160239.0,17034.0,-41735.0,100,22.7,39.8,17.9,12.9,4.4,1.4,17.6,7.5,12.7,2.2,3.8,0.6,88.1,88.2,11.9,11.8,260,33.0,61.0,88.0,10.0,13.0,16.0,61.0,50.0,77.0,8.0,14.0,10.0,227,224,28.7,27.7,42.3,39.2,28.2,23.5,38.3,32.3,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100817,2010-08-17,132741,CME,0,132,7860333,1823993,3160334,1425983,1030395,327581,122022,1369854,568796,994396,178694,311435,51293,6996630,6961840,863703,898493,-81631.0,19222.0,-4001.0,5179.0,2293.0,-18149.0,7265.0,-26527.0,-27660.0,-14073.0,4237.0,9494.0,2462.0,58.0,-39483.0,-81689.0,-42148.0,100,23.2,40.2,18.1,13.1,4.2,1.6,17.4,7.2,12.7,2.3,4.0,0.7,89.0,88.6,11.0,11.4,263,40.0,57.0,89.0,11.0,10.0,13.0,66.0,48.0,84.0,8.0,14.0,9.0,233,225,28.4,28.2,41.5,39.4,27.3,24.2,37.8,32.7,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100824,2010-08-24,132741,CME,0,132,7898270,1867168,3176632,1356138,1042168,321277,144403,1381100,614887,960854,193436,336225,60429,7005696,6970845,892574,927425,37937.0,43175.0,16298.0,-69845.0,11773.0,-6304.0,22381.0,11246.0,46091.0,-33542.0,14742.0,24790.0,9136.0,9066.0,9005.0,28871.0,28932.0,100,23.6,40.2,17.2,13.2,4.1,1.8,17.5,7.8,12.2,2.4,4.3,0.8,88.7,88.3,11.3,11.7,269,37.0,58.0,91.0,10.0,12.0,13.0,61.0,53.0,85.0,8.0,17.0,15.0,239,234,28.9,28.5,42.3,40.0,27.8,24.4,38.3,33.3,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100831,2010-08-31,132741,CME,0,132,7875678,1857492,3127516,1436349,1040871,291787,141540,1337512,672455,932534,183912,333734,69134,6999344,7005049,876334,870629,-22592.0,-9676.0,-49116.0,80211.0,-1297.0,-29490.0,-2863.0,-43588.0,57568.0,-28320.0,-9524.0,-2491.0,8705.0,-6352.0,34204.0,-16240.0,-56796.0,100,23.6,39.7,18.2,13.2,3.7,1.8,17.0,8.5,11.8,2.3,4.2,0.9,88.9,88.9,11.1,11.1,269,36.0,59.0,91.0,11.0,10.0,13.0,65.0,51.0,87.0,6.0,19.0,16.0,239,237,28.0,28.8,41.3,40.4,26.5,24.6,37.8,33.5,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100907,2010-09-07,132741,CME,0,132,7933258,1876672,3088619,1513132,958657,270127,151897,1372975,696264,920574,197310,330670,66811,7058028,7038094,875230,895164,57580.0,19180.0,-38897.0,76783.0,-82214.0,-21660.0,10357.0,35463.0,23809.0,-11960.0,13398.0,-3064.0,-2323.0,58684.0,33045.0,-1104.0,24535.0,100,23.7,38.9,19.1,12.1,3.4,1.9,17.3,8.8,11.6,2.5,4.2,0.8,89.0,88.7,11.0,11.3,264,39.0,56.0,94.0,10.0,10.0,13.0,60.0,51.0,83.0,7.0,19.0,15.0,236,233,28.4,28.8,40.4,39.9,26.9,24.1,36.8,32.8,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100914,2010-09-14,132741,CME,0,132,7060635,1774328,2868379,1276407,753705,131842,152101,1190431,552908,809683,184282,305259,56682,6197619,6153261,863016,907374,-872623.0,-102344.0,-220240.0,-236725.0,-204952.0,-138285.0,204.0,-182544.0,-143356.0,-110891.0,-13028.0,-25411.0,-10129.0,-860409.0,-884833.0,-12214.0,12210.0,100,25.1,40.6,18.1,10.7,1.9,2.2,16.9,7.8,11.5,2.6,4.3,0.8,87.8,87.1,12.2,12.9,241,34.0,52.0,80.0,9.0,9.0,15.0,56.0,44.0,74.0,7.0,14.0,11.0,215,206,30.2,30.4,42.0,41.5,28.6,25.5,37.5,33.8,"(CONTRACTS OF $1,000,000)",F33,FutOnly
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100921,2010-09-21,132741,CME,0,132,7349243,1655298,2879390,1341982,774947,218391,167817,1359218,550140,946077,187623,303017,56067,6489029,6462881,860214,886362,288608.0,-119030.0,11011.0,65575.0,21242.0,86549.0,15716.0,168787.0,-2768.0,136394.0,3341.0,-2242.0,-615.0,291410.0,309620.0,-2802.0,-21012.0,100,22.5,39.2,18.3,10.5,3.0,2.3,18.5,7.5,12.9,2.6,4.1,0.8,88.3,87.9,11.7,12.1,243,30.0,57.0,79.0,9.0,12.0,15.0,61.0,43.0,71.0,5.0,13.0,11.0,218,201,31.5,29.0,42.6,40.1,29.6,24.2,37.4,32.2,"(CONTRACTS OF $1,000,000)",F33,FutOnly
