Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,232741,CME,0,232,108728,62114,15006,41,20892,83608,83047,98655,25681,10073,108728,62114,15006,41,20892,83608,83047,98655,25681,10073,0,0,0,0,0,0,0,0,0,0,10263.0,8511.0,-2066.0,-146.0,431.0,12314.0,8796.0,10102.0,1467.0,161.0,100,57.1,13.8,0.0,19.2,76.9,76.4,90.7,23.6,9.3,100,57.1,13.8,0.0,19.2,76.9,76.4,90.7,23.6,9.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,28,12,4,10,17,40,31,64,28,12,4,10,17,40,31,0,0,0,0,0,0,0,0,38.8,54.6,55.2,75.3,38.8,54.4,55.2,75.1,38.8,54.6,55.2,75.3,38.8,54.4,55.2,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,232741,CME,0,232,126970,73240,13888,136,23798,100860,97174,114884,29796,12086,126970,73240,13888,136,23798,100860,97174,114884,29796,12086,0,0,0,0,0,0,0,0,0,0,18242.0,11126.0,-1118.0,95.0,2906.0,17252.0,14127.0,16229.0,4115.0,2013.0,100,57.7,10.9,0.1,18.7,79.4,76.5,90.5,23.5,9.5,100,57.7,10.9,0.1,18.7,79.4,76.5,90.5,23.5,9.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,36,11,2,8,16,44,29,68,36,11,2,8,16,44,29,0,0,0,0,0,0,0,0,33.8,55.2,50.2,77.2,33.8,55.0,50.2,76.3,33.8,55.2,50.2,77.2,33.8,55.0,50.2,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,232741,CME,0,232,133086,77331,14480,749,24229,107538,102309,122767,30777,10319,133086,77331,14480,749,24229,107538,102309,122767,30777,10319,0,0,0,0,0,0,0,0,0,0,6116.0,4091.0,592.0,613.0,431.0,6678.0,5135.0,7883.0,981.0,-1767.0,100,58.1,10.9,0.6,18.2,80.8,76.9,92.2,23.1,7.8,100,58.1,10.9,0.6,18.2,80.8,76.9,92.2,23.1,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,35,12,3,11,17,46,32,71,35,12,3,11,17,46,32,0,0,0,0,0,0,0,0,33.2,55.6,49.3,77.7,33.2,55.3,48.9,76.8,33.2,55.6,49.3,77.7,33.2,55.3,48.9,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,232741,CME,0,232,112867,61097,15779,1496,23947,84010,86540,101285,26327,11582,112867,61097,15779,1496,23947,84010,86540,101285,26327,11582,0,0,0,0,0,0,0,0,0,0,-20219.0,-16234.0,1299.0,747.0,-282.0,-23528.0,-15769.0,-21482.0,-4450.0,1263.0,100,54.1,14.0,1.3,21.2,74.4,76.7,89.7,23.3,10.3,100,54.1,14.0,1.3,21.2,74.4,76.7,89.7,23.3,10.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,27,13,2,10,17,37,32,63,27,13,2,10,17,37,32,0,0,0,0,0,0,0,0,38.0,52.7,55.4,72.0,38.0,52.2,54.4,70.8,38.0,52.7,55.4,72.0,38.0,52.2,54.4,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,232741,CME,0,232,98426,46531,13260,775,24041,69877,71347,83912,27079,14514,98426,46531,13260,775,24041,69877,71347,83912,27079,14514,0,0,0,0,0,0,0,0,0,0,-14441.0,-14566.0,-2519.0,-721.0,94.0,-14133.0,-15193.0,-17373.0,752.0,2932.0,100,47.3,13.5,0.8,24.4,71.0,72.5,85.3,27.5,14.7,100,47.3,13.5,0.8,24.4,71.0,72.5,85.3,27.5,14.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,24,13,2,9,15,34,29,57,24,13,2,9,15,34,29,0,0,0,0,0,0,0,0,41.3,46.9,52.4,67.3,41.3,46.7,51.5,64.7,41.3,46.9,52.4,67.3,41.3,46.7,51.5,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,232741,CME,0,232,99643,44346,16740,457,31470,64292,76273,81489,23370,18154,99643,44346,16740,457,31470,64292,76273,81489,23370,18154,0,0,0,0,0,0,0,0,0,0,1217.0,-2185.0,3480.0,-318.0,7429.0,-5585.0,4926.0,-2423.0,-3709.0,3640.0,100,44.5,16.8,0.5,31.6,64.5,76.5,81.8,23.5,18.2,100,44.5,16.8,0.5,31.6,64.5,76.5,81.8,23.5,18.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,24,17,3,10,14,36,32,61,24,17,3,10,14,36,32,0,0,0,0,0,0,0,0,43.0,40.8,56.3,59.4,40.7,40.7,50.2,52.8,43.0,40.8,56.3,59.4,40.7,40.7,50.2,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,232741,CME,0,232,98449,43315,16312,562,30745,65385,74622,82259,23827,16190,98449,43315,16312,562,30745,65385,74622,82259,23827,16190,0,0,0,0,0,0,0,0,0,0,-1194.0,-1031.0,-428.0,105.0,-725.0,1093.0,-1651.0,770.0,457.0,-1964.0,100,44.0,16.6,0.6,31.2,66.4,75.8,83.6,24.2,16.4,100,44.0,16.6,0.6,31.2,66.4,75.8,83.6,24.2,16.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,23,18,3,10,14,35,33,61,23,18,3,10,14,35,33,0,0,0,0,0,0,0,0,38.3,42.7,53.1,62.7,37.8,42.6,48.9,56.9,38.3,42.7,53.1,62.7,37.8,42.6,48.9,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,232741,CME,0,232,108320,51882,12890,551,27846,79853,80279,93294,28041,15026,108320,51882,12890,551,27846,79853,80279,93294,28041,15026,0,0,0,0,0,0,0,0,0,0,9871.0,8567.0,-3422.0,-11.0,-2899.0,14468.0,5657.0,11035.0,4214.0,-1164.0,100,47.9,11.9,0.5,25.7,73.7,74.1,86.1,25.9,13.9,100,47.9,11.9,0.5,25.7,73.7,74.1,86.1,25.9,13.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,31,12,3,11,15,44,28,65,31,12,3,11,15,44,28,0,0,0,0,0,0,0,0,34.9,45.4,47.3,67.0,34.9,45.1,46.2,65.3,34.9,45.4,47.3,67.0,34.9,45.1,46.2,65.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,232741,CME,0,232,116667,59106,10345,757,27975,92352,87838,103454,28829,13213,116667,59106,10345,757,27975,92352,87838,103454,28829,13213,0,0,0,0,0,0,0,0,0,0,8347.0,7224.0,-2545.0,206.0,129.0,12499.0,7559.0,10160.0,788.0,-1813.0,100,50.7,8.9,0.6,24.0,79.2,75.3,88.7,24.7,11.3,100,50.7,8.9,0.6,24.0,79.2,75.3,88.7,24.7,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,27,10,3,11,16,40,27,59,27,10,3,11,16,40,27,0,0,0,0,0,0,0,0,34.8,47.0,47.0,72.8,34.8,46.5,46.9,71.7,34.8,47.0,47.0,72.8,34.8,46.5,46.9,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,232741,CME,0,232,130808,69885,8600,1266,29687,108447,100838,118313,29970,12495,130808,69885,8600,1266,29687,108447,100838,118313,29970,12495,0,0,0,0,0,0,0,0,0,0,14141.0,10779.0,-1745.0,509.0,1712.0,16095.0,13000.0,14859.0,1141.0,-718.0,100,53.4,6.6,1.0,22.7,82.9,77.1,90.4,22.9,9.6,100,53.4,6.6,1.0,22.7,82.9,77.1,90.4,22.9,9.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,33,8,5,11,14,46,25,61,33,8,5,11,14,46,25,0,0,0,0,0,0,0,0,33.1,53.4,47.3,78.2,33.1,52.7,46.2,76.3,33.1,53.4,47.3,78.2,33.1,52.7,46.2,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF AUD 100,000)"
