Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,96742,CME,0,96,92891,18031,51595,44,60287,14463,78362,66102,14529,26789,92891,18031,51595,44,60287,14463,78362,66102,14529,26789,0,0,0,0,0,0,0,0,0,0,8099.0,-449.0,3640.0,-6.0,11500.0,735.0,11045.0,4369.0,-2946.0,3730.0,100,19.4,55.5,0.0,64.9,15.6,84.4,71.2,15.6,28.8,100,19.4,55.5,0.0,64.9,15.6,84.4,71.2,15.6,28.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,15,30,3,16,14,33,45,70,15,30,3,16,14,33,45,0,0,0,0,0,0,0,0,41.9,28.8,59.9,40.8,41.4,28.8,58.9,40.8,41.9,28.8,59.9,40.8,41.4,28.8,58.9,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,96742,CME,0,96,89147,15182,50649,110,56340,11583,71632,62342,17515,26805,89147,15182,50649,110,56340,11583,71632,62342,17515,26805,0,0,0,0,0,0,0,0,0,0,-3744.0,-2849.0,-946.0,66.0,-3947.0,-2880.0,-6730.0,-3760.0,2986.0,16.0,100,17.0,56.8,0.1,63.2,13.0,80.4,69.9,19.6,30.1,100,17.0,56.8,0.1,63.2,13.0,80.4,69.9,19.6,30.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,11,29,5,13,15,28,45,63,11,29,5,13,15,28,45,0,0,0,0,0,0,0,0,39.1,31.8,55.4,43.3,38.6,31.8,54.0,43.3,39.1,31.8,55.4,43.3,38.6,31.8,54.0,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,96742,CME,0,96,83337,21199,41370,419,41982,17464,63600,59253,19737,24084,83337,21199,41370,419,41982,17464,63600,59253,19737,24084,0,0,0,0,0,0,0,0,0,0,-5810.0,6017.0,-9279.0,309.0,-14358.0,5881.0,-8032.0,-3089.0,2222.0,-2721.0,100,25.4,49.6,0.5,50.4,21.0,76.3,71.1,23.7,28.9,100,25.4,49.6,0.5,50.4,21.0,76.3,71.1,23.7,28.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,15,27,6,14,18,34,46,70,15,27,6,14,18,34,46,0,0,0,0,0,0,0,0,31.6,32.5,45.7,42.1,30.8,32.5,44.5,42.1,31.6,32.5,45.7,42.1,30.8,32.5,44.5,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,96742,CME,0,96,86475,15075,42228,199,54925,21890,70199,64317,16276,22158,86475,15075,42228,199,54925,21890,70199,64317,16276,22158,0,0,0,0,0,0,0,0,0,0,3138.0,-6124.0,858.0,-220.0,12943.0,4426.0,6599.0,5064.0,-3461.0,-1926.0,100,17.4,48.8,0.2,63.5,25.3,81.2,74.4,18.8,25.6,100,17.4,48.8,0.2,63.5,25.3,81.2,74.4,18.8,25.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,13,30,6,14,20,32,51,72,13,30,6,14,20,32,51,0,0,0,0,0,0,0,0,40.4,30.9,54.6,41.9,39.6,30.9,53.3,41.9,40.4,30.9,54.6,41.9,39.6,30.9,53.3,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,96742,CME,0,96,95712,14611,48579,108,63527,19993,78246,68680,17466,27032,95712,14611,48579,108,63527,19993,78246,68680,17466,27032,0,0,0,0,0,0,0,0,0,0,9237.0,-464.0,6351.0,-91.0,8602.0,-1897.0,8047.0,4363.0,1190.0,4874.0,100,15.3,50.8,0.1,66.4,20.9,81.8,71.8,18.2,28.2,100,15.3,50.8,0.1,66.4,20.9,81.8,71.8,18.2,28.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,15,32,4,16,17,33,51,75,15,32,4,16,17,33,51,0,0,0,0,0,0,0,0,43.8,27.3,59.5,39.2,43.2,27.3,58.4,39.2,43.8,27.3,59.5,39.2,43.2,27.3,58.4,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,96742,CME,0,96,116362,14012,66768,224,84481,18914,98717,85906,17645,30456,116362,14012,66768,224,84481,18914,98717,85906,17645,30456,0,0,0,0,0,0,0,0,0,0,20650.0,-599.0,18189.0,116.0,20954.0,-1079.0,20471.0,17226.0,179.0,3424.0,100,12.0,57.4,0.2,72.6,16.3,84.8,73.8,15.2,26.2,100,12.0,57.4,0.2,72.6,16.3,84.8,73.8,15.2,26.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,14,38,5,16,18,33,58,80,14,38,5,16,18,33,58,0,0,0,0,0,0,0,0,49.5,23.8,65.9,38.4,48.8,23.7,64.7,38.3,49.5,23.8,65.9,38.4,48.8,23.7,64.7,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,96742,CME,0,96,119085,13922,70001,244,89737,17370,103903,87615,15182,31470,119085,13922,70001,244,89737,17370,103903,87615,15182,31470,0,0,0,0,0,0,0,0,0,0,2723.0,-90.0,3233.0,20.0,5256.0,-1544.0,5186.0,1709.0,-2463.0,1014.0,100,11.7,58.8,0.2,75.4,14.6,87.3,73.6,12.7,26.4,100,11.7,58.8,0.2,75.4,14.6,87.3,73.6,12.7,26.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,16,36,5,19,18,38,56,82,16,36,5,19,18,38,56,0,0,0,0,0,0,0,0,52.3,23.1,69.0,37.8,51.8,23.0,68.1,37.7,52.3,23.1,69.0,37.8,51.8,23.0,68.1,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,96742,CME,0,96,125106,13882,76766,224,96642,15674,110748,92664,14358,32442,125106,13882,76766,224,96642,15674,110748,92664,14358,32442,0,0,0,0,0,0,0,0,0,0,6021.0,-40.0,6765.0,-20.0,6905.0,-1696.0,6845.0,5049.0,-824.0,972.0,100,11.1,61.4,0.2,77.2,12.5,88.5,74.1,11.5,25.9,100,11.1,61.4,0.2,77.2,12.5,88.5,74.1,11.5,25.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,13,39,6,17,18,33,60,80,13,39,6,17,18,33,60,0,0,0,0,0,0,0,0,55.2,23.1,71.2,37.1,53.9,23.1,69.5,37.0,55.2,23.1,71.2,37.1,53.9,23.1,69.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,96742,CME,0,96,129123,13862,81411,204,94797,16253,108863,97868,20260,31255,129123,13862,81411,204,94797,16253,108863,97868,20260,31255,0,0,0,0,0,0,0,0,0,0,4017.0,-20.0,4645.0,-20.0,-1845.0,579.0,-1885.0,5204.0,5902.0,-1187.0,100,10.7,63.0,0.2,73.4,12.6,84.3,75.8,15.7,24.2,100,10.7,63.0,0.2,73.4,12.6,84.3,75.8,15.7,24.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,17,46,6,18,19,37,69,92,17,46,6,18,19,37,69,0,0,0,0,0,0,0,0,51.5,27.2,65.0,38.8,50.4,27.2,63.6,38.8,51.5,27.2,65.0,38.8,50.4,27.2,63.6,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,96742,CME,0,96,148562,10417,73890,1473,119211,38707,131101,114070,17461,34492,148562,10417,73890,1473,119211,38707,131101,114070,17461,34492,0,0,0,0,0,0,0,0,0,0,19439.0,-3445.0,-7521.0,1269.0,24414.0,22454.0,22238.0,16202.0,-2799.0,3237.0,100,7.0,49.7,1.0,80.2,26.1,88.2,76.8,11.8,23.2,100,7.0,49.7,1.0,80.2,26.1,88.2,76.8,11.8,23.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,15,42,7,17,20,34,67,83,15,42,7,17,20,34,67,0,0,0,0,0,0,0,0,54.4,31.6,69.4,42.4,42.0,23.2,56.2,32.9,54.4,31.6,69.4,42.4,42.0,23.2,56.2,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF GBP 62,500)"
