Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,90741,CME,0,90,107554,51736,11540,100,13715,80381,65551,92021,42003,15533,107554,51736,11540,100,13715,80381,65551,92021,42003,15533,0,0,0,0,0,0,0,0,0,0,6397.0,1279.0,1072.0,-14.0,649.0,4305.0,1914.0,5363.0,4483.0,1034.0,100,48.1,10.7,0.1,12.8,74.7,60.9,85.6,39.1,14.4,100,48.1,10.7,0.1,12.8,74.7,60.9,85.6,39.1,14.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,24,12,3,17,23,43,36,67,24,12,3,17,23,43,36,0,0,0,0,0,0,0,0,29.9,44.9,40.6,68.2,29.9,44.6,40.6,67.9,29.9,44.9,40.6,68.2,29.9,44.6,40.6,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,90741,CME,0,90,117310,60219,11524,70,15139,89153,75428,100747,41882,16563,117310,60219,11524,70,15139,89153,75428,100747,41882,16563,0,0,0,0,0,0,0,0,0,0,9756.0,8483.0,-16.0,-30.0,1424.0,8772.0,9877.0,8726.0,-121.0,1030.0,100,51.3,9.8,0.1,12.9,76.0,64.3,85.9,35.7,14.1,100,51.3,9.8,0.1,12.9,76.0,64.3,85.9,35.7,14.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,33,11,5,18,25,55,37,77,33,11,5,18,25,55,37,0,0,0,0,0,0,0,0,26.2,43.6,39.0,67.3,26.2,43.3,39.0,66.9,26.2,43.6,39.0,67.3,26.2,43.3,39.0,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,90741,CME,0,90,120271,58048,11245,41,17807,91505,75896,102791,44375,17480,120271,58048,11245,41,17807,91505,75896,102791,44375,17480,0,0,0,0,0,0,0,0,0,0,2961.0,-2171.0,-279.0,-29.0,2668.0,2352.0,468.0,2044.0,2493.0,917.0,100,48.3,9.3,0.0,14.8,76.1,63.1,85.5,36.9,14.5,100,48.3,9.3,0.0,14.8,76.1,63.1,85.5,36.9,14.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,31,10,5,19,26,54,37,76,31,10,5,19,26,54,37,0,0,0,0,0,0,0,0,29.0,43.2,40.5,67.2,29.0,42.8,40.5,66.8,29.0,43.2,40.5,67.2,29.0,42.8,40.5,66.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,90741,CME,0,90,91375,35659,9850,10,17315,65469,52984,75329,38391,16046,91375,35659,9850,10,17315,65469,52984,75329,38391,16046,0,0,0,0,0,0,0,0,0,0,-28896.0,-22389.0,-1395.0,-31.0,-492.0,-26036.0,-22912.0,-27462.0,-5984.0,-1434.0,100,39.0,10.8,0.0,18.9,71.6,58.0,82.4,42.0,17.6,100,39.0,10.8,0.0,18.9,71.6,58.0,82.4,42.0,17.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,27,16,1,18,26,46,42,78,27,16,1,18,26,46,42,0,0,0,0,0,0,0,0,22.4,39.3,35.7,55.8,22.4,38.6,35.7,55.1,22.4,39.3,35.7,55.8,22.4,38.6,35.7,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,90741,CME,0,90,82692,25639,10284,10,20658,53799,46307,64093,36385,18599,82692,25639,10284,10,20658,53799,46307,64093,36385,18599,0,0,0,0,0,0,0,0,0,0,-8683.0,-10020.0,434.0,0.0,3343.0,-11670.0,-6677.0,-11236.0,-2006.0,2553.0,100,31.0,12.4,0.0,25.0,65.1,56.0,77.5,44.0,22.5,100,31.0,12.4,0.0,25.0,65.1,56.0,77.5,44.0,22.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,26,19,1,19,24,46,43,80,26,19,1,19,24,46,43,0,0,0,0,0,0,0,0,22.5,36.3,32.4,50.7,22.5,35.4,32.2,49.6,22.5,36.3,32.4,50.7,22.5,35.4,32.2,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,90741,CME,0,90,84317,24285,15422,125,23962,51289,48372,66836,35945,17481,84317,24285,15422,125,23962,51289,48372,66836,35945,17481,0,0,0,0,0,0,0,0,0,0,1625.0,-1354.0,5138.0,115.0,3304.0,-2510.0,2065.0,2743.0,-440.0,-1118.0,100,28.8,18.3,0.1,28.4,60.8,57.4,79.3,42.6,20.7,100,28.8,18.3,0.1,28.4,60.8,57.4,79.3,42.6,20.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,26,18,7,18,26,48,47,79,26,18,7,18,26,48,47,0,0,0,0,0,0,0,0,24.5,32.7,35.9,47.2,24.4,32.5,35.6,46.2,24.5,32.7,35.9,47.2,24.4,32.5,35.6,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,90741,CME,0,90,93330,35026,11571,110,19153,65881,54289,77562,39041,15768,93330,35026,11571,110,19153,65881,54289,77562,39041,15768,0,0,0,0,0,0,0,0,0,0,9013.0,10741.0,-3851.0,-15.0,-4809.0,14592.0,5917.0,10726.0,3096.0,-1713.0,100,37.5,12.4,0.1,20.5,70.6,58.2,83.1,41.8,16.9,100,37.5,12.4,0.1,20.5,70.6,58.2,83.1,41.8,16.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,29,14,4,12,29,44,44,76,29,14,4,12,29,44,44,0,0,0,0,0,0,0,0,26.3,37.9,39.6,56.4,26.3,37.9,39.3,55.9,26.3,37.9,39.6,56.4,26.3,37.9,39.3,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,90741,CME,0,90,100629,40224,11803,154,19273,72712,59651,84669,40978,15960,100629,40224,11803,154,19273,72712,59651,84669,40978,15960,0,0,0,0,0,0,0,0,0,0,7299.0,5198.0,232.0,44.0,120.0,6831.0,5362.0,7107.0,1937.0,192.0,100,40.0,11.7,0.2,19.2,72.3,59.3,84.1,40.7,15.9,100,40.0,11.7,0.2,19.2,72.3,59.3,84.1,40.7,15.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,28,14,3,14,27,45,41,75,28,14,3,14,27,45,41,0,0,0,0,0,0,0,0,26.1,40.3,40.1,58.1,26.1,40.0,39.7,57.7,26.1,40.3,40.1,58.1,26.1,40.0,39.7,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,90741,CME,0,90,109517,47170,8881,266,21003,83479,68439,92626,41078,16891,109517,47170,8881,266,21003,83479,68439,92626,41078,16891,0,0,0,0,0,0,0,0,0,0,8888.0,6946.0,-2922.0,112.0,1730.0,10767.0,8788.0,7957.0,100.0,931.0,100,43.1,8.1,0.2,19.2,76.2,62.5,84.6,37.5,15.4,100,43.1,8.1,0.2,19.2,76.2,62.5,84.6,37.5,15.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,33,10,3,17,29,52,40,80,33,10,3,17,29,52,40,0,0,0,0,0,0,0,0,26.8,42.2,40.2,59.7,26.8,41.7,39.8,59.1,26.8,42.2,40.2,59.7,26.8,41.7,39.8,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,90741,CME,0,90,138991,71350,9951,1428,25132,113034,97910,124413,41081,14578,138991,71350,9951,1428,25132,113034,97910,124413,41081,14578,0,0,0,0,0,0,0,0,0,0,29474.0,24180.0,1070.0,1162.0,4129.0,29555.0,29471.0,31787.0,3.0,-2313.0,100,51.3,7.2,1.0,18.1,81.3,70.4,89.5,29.6,10.5,100,51.3,7.2,1.0,18.1,81.3,70.4,89.5,29.6,10.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,43,6,6,16,32,61,42,84,43,6,6,16,32,61,42,0,0,0,0,0,0,0,0,26.2,48.4,39.5,67.1,26.2,44.6,38.8,63.1,26.2,48.4,39.5,67.1,26.2,44.6,38.8,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CAD 100,000)"
