Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100105,2010-01-05,124603,CBT,0,124,65923,27699,6582,104,24595,49625,52398,56311,13525,9612,65923,27699,6582,104,24595,49625,52398,56311,13525,9612,0,0,0,0,0,0,0,0,0,0,1960.0,1129.0,-91.0,-462.0,-411.0,1716.0,256.0,1163.0,1704.0,797.0,100,42.0,10.0,0.2,37.3,75.3,79.5,85.4,20.5,14.6,100,42.0,10.0,0.2,37.3,75.3,79.5,85.4,20.5,14.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,29,13,2,26,31,55,46,91,29,13,2,26,31,55,46,0,0,0,0,0,0,0,0,16.2,38.2,28.5,58.8,16.0,38.2,27.7,58.0,16.2,38.2,28.5,58.8,16.0,38.2,27.7,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100112,2010-01-12,124603,CBT,0,124,62946,25089,7630,334,23042,41299,48465,49263,14481,13683,62946,25089,7630,334,23042,41299,48465,49263,14481,13683,0,0,0,0,0,0,0,0,0,0,-2977.0,-2610.0,1048.0,230.0,-1553.0,-8326.0,-3933.0,-7048.0,956.0,4071.0,100,39.9,12.1,0.5,36.6,65.6,77.0,78.3,23.0,21.7,100,39.9,12.1,0.5,36.6,65.6,77.0,78.3,23.0,21.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,26,13,2,22,30,48,45,83,26,13,2,22,30,48,45,0,0,0,0,0,0,0,0,16.0,31.5,28.8,49.3,16.0,31.5,28.1,46.8,16.0,31.5,28.8,49.3,16.0,31.5,28.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100119,2010-01-19,124603,CBT,0,124,69738,28326,8644,68,26010,48231,54404,56943,15334,12795,69738,28326,8644,68,26010,48231,54404,56943,15334,12795,0,0,0,0,0,0,0,0,0,0,6792.0,3237.0,1014.0,-266.0,2968.0,6932.0,5939.0,7680.0,853.0,-888.0,100,40.6,12.4,0.1,37.3,69.2,78.0,81.7,22.0,18.3,100,40.6,12.4,0.1,37.3,69.2,78.0,81.7,22.0,18.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,30,17,2,23,33,55,50,93,30,17,2,23,33,55,50,0,0,0,0,0,0,0,0,18.0,29.6,29.8,47.5,18.0,29.6,29.2,46.9,18.0,29.6,29.8,47.5,18.0,29.6,29.2,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100126,2010-01-26,124603,CBT,0,124,66083,25996,8878,640,24865,45681,51501,55199,14582,10884,66083,25996,8878,640,24865,45681,51501,55199,14582,10884,0,0,0,0,0,0,0,0,0,0,-3655.0,-2330.0,234.0,572.0,-1145.0,-2550.0,-2903.0,-1744.0,-752.0,-1911.0,100,39.3,13.4,1.0,37.6,69.1,77.9,83.5,22.1,16.5,100,39.3,13.4,1.0,37.6,69.1,77.9,83.5,22.1,16.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,32,14,4,23,27,57,43,87,32,14,4,23,27,57,43,0,0,0,0,0,0,0,0,18.5,35.7,31.0,52.5,18.4,34.5,30.9,49.9,18.5,35.7,31.0,52.5,18.4,34.5,30.9,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100202,2010-02-02,124603,CBT,0,124,62306,20835,11245,363,27809,38502,49007,50110,13299,12196,62306,20835,11245,363,27809,38502,49007,50110,13299,12196,0,0,0,0,0,0,0,0,0,0,-3777.0,-5161.0,2367.0,-277.0,2944.0,-7179.0,-2494.0,-5089.0,-1283.0,1312.0,100,33.4,18.0,0.6,44.6,61.8,78.7,80.4,21.3,19.6,100,33.4,18.0,0.6,44.6,61.8,78.7,80.4,21.3,19.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,28,18,6,27,30,58,51,92,28,18,6,27,30,58,51,0,0,0,0,0,0,0,0,19.9,30.8,33.3,50.2,19.8,29.6,32.8,47.1,19.9,30.8,33.3,50.2,19.8,29.6,32.8,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100209,2010-02-09,124603,CBT,0,124,61310,18071,7798,443,30379,41562,48893,49803,12417,11507,61310,18071,7798,443,30379,41562,48893,49803,12417,11507,0,0,0,0,0,0,0,0,0,0,-996.0,-2764.0,-3447.0,80.0,2570.0,3060.0,-114.0,-307.0,-882.0,-689.0,100,29.5,12.7,0.7,49.5,67.8,79.7,81.2,20.3,18.8,100,29.5,12.7,0.7,49.5,67.8,79.7,81.2,20.3,18.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,27,15,7,27,29,58,47,88,27,15,7,27,29,58,47,0,0,0,0,0,0,0,0,22.3,35.5,35.2,52.7,22.2,33.3,34.7,50.2,22.3,35.5,35.2,52.7,22.2,33.3,34.7,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100216,2010-02-16,124603,CBT,0,124,65138,18074,12783,743,33939,40187,52756,53713,12382,11425,65138,18074,12783,743,33939,40187,52756,53713,12382,11425,0,0,0,0,0,0,0,0,0,0,3828.0,3.0,4985.0,300.0,3560.0,-1375.0,3863.0,3910.0,-35.0,-82.0,100,27.7,19.6,1.1,52.1,61.7,81.0,82.5,19.0,17.5,100,27.7,19.6,1.1,52.1,61.7,81.0,82.5,19.0,17.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,30,18,8,28,32,61,55,96,30,18,8,28,32,61,55,0,0,0,0,0,0,0,0,23.5,31.2,36.5,47.5,23.5,29.5,36.1,44.9,23.5,31.2,36.5,47.5,23.5,29.5,36.1,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100223,2010-02-23,124603,CBT,0,124,71823,26869,11606,874,31386,48259,59129,60739,12694,11084,71823,26869,11606,874,31386,48259,59129,60739,12694,11084,0,0,0,0,0,0,0,0,0,0,6685.0,8795.0,-1177.0,131.0,-2553.0,8072.0,6373.0,7026.0,312.0,-341.0,100,37.4,16.2,1.2,43.7,67.2,82.3,84.6,17.7,15.4,100,37.4,16.2,1.2,43.7,67.2,82.3,84.6,17.7,15.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,30,17,7,23,28,56,49,90,30,17,7,23,28,56,49,0,0,0,0,0,0,0,0,23.0,37.2,36.4,53.9,22.9,36.0,36.2,51.6,23.0,37.2,36.4,53.9,22.9,36.0,36.2,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100302,2010-03-02,124603,CBT,0,124,75475,30035,9087,848,31346,55282,62229,65217,13246,10258,75475,30035,9087,848,31346,55282,62229,65217,13246,10258,0,0,0,0,0,0,0,0,0,0,3652.0,3166.0,-2519.0,-26.0,-40.0,7023.0,3100.0,4478.0,552.0,-826.0,100,39.8,12.0,1.1,41.5,73.2,82.4,86.4,17.6,13.6,100,39.8,12.0,1.1,41.5,73.2,82.4,86.4,17.6,13.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,36,12,5,25,34,62,50,96,36,12,5,25,34,62,50,0,0,0,0,0,0,0,0,23.1,40.3,36.3,57.0,23.0,39.7,35.9,54.7,23.1,40.3,36.3,57.0,23.0,39.7,35.9,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,100309,2010-03-09,124603,CBT,0,124,85308,38343,10757,550,33378,61293,72271,72600,13037,12708,85308,38343,10757,550,33378,61293,72271,72600,13037,12708,0,0,0,0,0,0,0,0,0,0,9833.0,8308.0,1670.0,-298.0,2032.0,6011.0,10042.0,7383.0,-209.0,2450.0,100,44.9,12.6,0.6,39.1,71.8,84.7,85.1,15.3,14.9,100,44.9,12.6,0.6,39.1,71.8,84.7,85.1,15.3,14.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,35,14,6,24,37,60,56,99,35,14,6,24,37,60,56,0,0,0,0,0,0,0,0,21.5,40.6,34.3,56.8,21.5,40.6,34.3,55.0,21.5,40.6,34.3,56.8,21.5,40.6,34.3,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($5 X DJIA INDEX)
