Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,97741,CME,0,97,104231,20634,37445,41,68983,41659,89658,79145,14573,25086,104231,20634,37445,41,68983,41659,89658,79145,14573,25086,0,0,0,0,0,0,0,0,0,0,9014.0,691.0,2599.0,41.0,9482.0,3943.0,10214.0,6583.0,-1200.0,2431.0,100,19.8,35.9,0.0,66.2,40.0,86.0,75.9,14.0,24.1,100,19.8,35.9,0.0,66.2,40.0,86.0,75.9,14.0,24.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,21,32,2,14,18,37,50,79,21,32,2,14,18,37,50,0,0,0,0,0,0,0,0,55.0,39.8,67.9,52.0,51.0,39.7,63.6,49.7,55.0,39.8,67.9,52.0,51.0,39.7,63.6,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,97741,CME,0,97,120568,21951,38695,319,82160,49902,104430,88916,16138,31652,120568,21951,38695,319,82160,49902,104430,88916,16138,31652,0,0,0,0,0,0,0,0,0,0,16337.0,1317.0,1250.0,278.0,13177.0,8243.0,14772.0,9771.0,1565.0,6566.0,100,18.2,32.1,0.3,68.1,41.4,86.6,73.7,13.4,26.3,100,18.2,32.1,0.3,68.1,41.4,86.6,73.7,13.4,26.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,20,29,3,14,22,36,52,78,20,29,3,14,22,36,52,0,0,0,0,0,0,0,0,59.7,31.5,71.5,46.3,54.9,31.4,66.3,44.1,59.7,31.5,71.5,46.3,54.9,31.4,66.3,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,97741,CME,0,97,122367,23718,40814,407,80293,51178,104418,92399,17949,29968,122367,23718,40814,407,80293,51178,104418,92399,17949,29968,0,0,0,0,0,0,0,0,0,0,1799.0,1767.0,2119.0,88.0,-1867.0,1276.0,-12.0,3483.0,1811.0,-1684.0,100,19.4,33.4,0.3,65.6,41.8,85.3,75.5,14.7,24.5,100,19.4,33.4,0.3,65.6,41.8,85.3,75.5,14.7,24.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,21,32,5,16,20,40,54,82,21,32,5,16,20,40,54,0,0,0,0,0,0,0,0,57.0,30.9,68.6,47.1,51.9,30.8,63.6,44.4,57.0,30.9,68.6,47.1,51.9,30.8,63.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,97741,CME,0,97,119819,28821,33168,379,67644,59405,96844,92952,22975,26867,119819,28821,33168,379,67644,59405,96844,92952,22975,26867,0,0,0,0,0,0,0,0,0,0,-2548.0,5103.0,-7646.0,-28.0,-12649.0,8227.0,-7574.0,553.0,5026.0,-3101.0,100,24.1,27.7,0.3,56.5,49.6,80.8,77.6,19.2,22.4,100,24.1,27.7,0.3,56.5,49.6,80.8,77.6,19.2,22.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,23,28,5,15,23,41,53,82,23,28,5,15,23,41,53,0,0,0,0,0,0,0,0,48.5,38.6,61.8,53.6,42.3,38.6,55.6,48.8,48.5,38.6,61.8,53.6,42.3,38.6,55.6,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,97741,CME,0,97,116129,30177,23042,473,63746,65814,94396,89329,21733,26800,116129,30177,23042,473,63746,65814,94396,89329,21733,26800,0,0,0,0,0,0,0,0,0,0,-3690.0,1356.0,-10126.0,94.0,-3898.0,6409.0,-2448.0,-3623.0,-1242.0,-67.0,100,26.0,19.8,0.4,54.9,56.7,81.3,76.9,18.7,23.1,100,26.0,19.8,0.4,54.9,56.7,81.3,76.9,18.7,23.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,23,30,5,14,22,40,54,82,23,30,5,14,22,40,54,0,0,0,0,0,0,0,0,46.9,43.3,59.8,53.9,40.7,42.2,53.3,49.1,46.9,43.3,59.8,53.9,40.7,42.2,53.3,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,97741,CME,0,97,120060,41352,18956,170,53299,73235,94821,92361,25239,27699,120060,41352,18956,170,53299,73235,94821,92361,25239,27699,0,0,0,0,0,0,0,0,0,0,3931.0,11175.0,-4086.0,-303.0,-10447.0,7421.0,425.0,3032.0,3506.0,899.0,100,34.4,15.8,0.1,44.4,61.0,79.0,76.9,21.0,23.1,100,34.4,15.8,0.1,44.4,61.0,79.0,76.9,21.0,23.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,30,18,5,16,22,48,43,78,30,18,5,16,22,48,43,0,0,0,0,0,0,0,0,40.8,47.8,53.5,59.2,33.9,45.7,46.2,53.4,40.8,47.8,53.5,59.2,33.9,45.7,46.2,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,97741,CME,0,97,119816,35691,21779,200,60328,70531,96219,92510,23597,27306,119816,35691,21779,200,60328,70531,96219,92510,23597,27306,0,0,0,0,0,0,0,0,0,0,-244.0,-5661.0,2823.0,30.0,7029.0,-2704.0,1398.0,149.0,-1642.0,-393.0,100,29.8,18.2,0.2,50.4,58.9,80.3,77.2,19.7,22.8,100,29.8,18.2,0.2,50.4,58.9,80.3,77.2,19.7,22.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,30,21,5,16,19,48,43,79,30,21,5,16,19,48,43,0,0,0,0,0,0,0,0,45.6,49.5,57.8,60.9,38.2,47.2,50.1,55.0,45.6,49.5,57.8,60.9,38.2,47.2,50.1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,97741,CME,0,97,122919,30432,28715,188,70481,65562,101101,94465,21818,28454,122919,30432,28715,188,70481,65562,101101,94465,21818,28454,0,0,0,0,0,0,0,0,0,0,3103.0,-5259.0,6936.0,-12.0,10153.0,-4969.0,4882.0,1955.0,-1779.0,1148.0,100,24.8,23.4,0.2,57.3,53.3,82.3,76.9,17.7,23.1,100,24.8,23.4,0.2,57.3,53.3,82.3,76.9,17.7,23.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,23,30,8,16,20,45,52,81,23,30,8,16,20,45,52,0,0,0,0,0,0,0,0,49.1,43.1,60.3,53.7,41.6,39.5,52.5,47.9,49.1,43.1,60.3,53.7,41.6,39.5,52.5,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,97741,CME,0,97,133600,57332,24780,270,50719,80941,108321,105991,25279,27609,133600,57332,24780,270,50719,80941,108321,105991,25279,27609,0,0,0,0,0,0,0,0,0,0,10681.0,26900.0,-3935.0,82.0,-19762.0,15379.0,7220.0,11526.0,3461.0,-845.0,100,42.9,18.5,0.2,38.0,60.6,81.1,79.3,18.9,20.7,100,42.9,18.5,0.2,38.0,60.6,81.1,79.3,18.9,20.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,32,30,8,15,22,53,54,90,32,30,8,15,22,53,54,0,0,0,0,0,0,0,0,40.3,48.2,52.9,58.6,33.4,45.0,45.8,52.6,40.3,48.2,52.9,58.6,33.4,45.0,45.8,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,97741,CME,0,97,137443,51919,25631,353,62037,85470,114309,111454,23134,25989,137443,51919,25631,353,62037,85470,114309,111454,23134,25989,0,0,0,0,0,0,0,0,0,0,3843.0,-5413.0,851.0,83.0,11318.0,4529.0,5988.0,5463.0,-2145.0,-1620.0,100,37.8,18.6,0.3,45.1,62.2,83.2,81.1,16.8,18.9,100,37.8,18.6,0.3,45.1,62.2,83.2,81.1,16.8,18.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,28,32,6,15,23,47,57,89,28,32,6,15,23,47,57,0,0,0,0,0,0,0,0,43.4,48.9,55.3,60.6,34.4,43.4,46.1,51.0,43.4,48.9,55.3,60.6,34.4,43.4,46.1,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF JPY 12,500,000)"
