Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,209742,CME,0,209,309733,127705,73863,3520,150145,218219,281370,295602,28363,14131,309733,127705,73863,3520,150145,218219,281370,295602,28363,14131,0,0,0,0,0,0,0,0,0,0,14996.0,4143.0,-23.0,-130.0,8909.0,16051.0,12922.0,15898.0,2074.0,-902.0,100,41.2,23.8,1.1,48.5,70.5,90.8,95.4,9.2,4.6,100,41.2,23.8,1.1,48.5,70.5,90.8,95.4,9.2,4.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,71,40,11,56,75,132,121,226,71,40,11,56,75,132,121,0,0,0,0,0,0,0,0,28.6,23.1,39.1,41.3,25.9,23.1,35.6,41.3,28.6,23.1,39.1,41.3,25.9,23.1,35.6,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,209742,CME,0,209,307193,108968,89294,6134,164355,196721,279457,292149,27736,15044,307193,108968,89294,6134,164355,196721,279457,292149,27736,15044,0,0,0,0,0,0,0,0,0,0,-2540.0,-18737.0,15431.0,2614.0,14210.0,-21498.0,-1913.0,-3453.0,-627.0,913.0,100,35.5,29.1,2.0,53.5,64.0,91.0,95.1,9.0,4.9,100,35.5,29.1,2.0,53.5,64.0,91.0,95.1,9.0,4.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,73,50,15,53,69,134,126,231,73,50,15,53,69,134,126,0,0,0,0,0,0,0,0,23.1,22.4,34.2,38.6,20.1,22.4,31.1,38.3,23.1,22.4,34.2,38.6,20.1,22.4,31.1,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,209742,CME,0,209,340412,139046,90375,5308,167268,229620,311622,325303,28790,15109,340412,139046,90375,5308,167268,229620,311622,325303,28790,15109,0,0,0,0,0,0,0,0,0,0,33219.0,30078.0,1081.0,-826.0,2913.0,32899.0,32165.0,33154.0,1054.0,65.0,100,40.8,26.5,1.6,49.1,67.5,91.5,95.6,8.5,4.4,100,40.8,26.5,1.6,49.1,67.5,91.5,95.6,8.5,4.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,74,43,10,54,75,131,125,231,74,43,10,54,75,131,125,0,0,0,0,0,0,0,0,25.8,26.4,35.9,41.2,22.8,26.4,32.7,40.9,25.8,26.4,35.9,41.2,22.8,26.4,32.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,209742,CME,0,209,361261,114778,83932,7936,214093,253368,336807,345236,24454,16025,361261,114778,83932,7936,214093,253368,336807,345236,24454,16025,0,0,0,0,0,0,0,0,0,0,20849.0,-24268.0,-6443.0,2628.0,46825.0,23748.0,25185.0,19933.0,-4336.0,916.0,100,31.8,23.2,2.2,59.3,70.1,93.2,95.6,6.8,4.4,100,31.8,23.2,2.2,59.3,70.1,93.2,95.6,6.8,4.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,69,43,8,63,66,136,113,226,69,43,8,63,66,136,113,0,0,0,0,0,0,0,0,26.6,36.1,37.1,48.5,23.9,36.1,33.4,48.0,26.6,36.1,37.1,48.5,23.9,36.1,33.4,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,209742,CME,0,209,410873,119493,98673,6390,254370,282126,380253,387189,30620,23684,410873,119493,98673,6390,254370,282126,380253,387189,30620,23684,0,0,0,0,0,0,0,0,0,0,49612.0,4715.0,14741.0,-1546.0,40277.0,28758.0,43446.0,41953.0,6166.0,7659.0,100,29.1,24.0,1.6,61.9,68.7,92.5,94.2,7.5,5.8,100,29.1,24.0,1.6,61.9,68.7,92.5,94.2,7.5,5.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,67,38,13,72,63,146,108,223,67,38,13,72,63,146,108,0,0,0,0,0,0,0,0,32.9,41.8,44.3,55.2,29.8,41.8,41.1,54.0,32.9,41.8,44.3,55.2,29.8,41.8,41.1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,209742,CME,0,209,386282,102773,87656,10554,254802,267013,368129,365223,18153,21059,386282,102773,87656,10554,254802,267013,368129,365223,18153,21059,0,0,0,0,0,0,0,0,0,0,-24591.0,-16720.0,-11017.0,4164.0,432.0,-15113.0,-12124.0,-21966.0,-12467.0,-2625.0,100,26.6,22.7,2.7,66.0,69.1,95.3,94.5,4.7,5.5,100,26.6,22.7,2.7,66.0,69.1,95.3,94.5,4.7,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,58,42,14,68,61,134,110,213,58,42,14,68,61,134,110,0,0,0,0,0,0,0,0,34.8,39.3,49.2,51.1,31.8,39.3,46.3,49.9,34.8,39.3,49.2,51.1,31.8,39.3,46.3,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,209742,CME,0,209,397418,119555,101710,4290,256036,267278,379881,373278,17537,24140,397418,119555,101710,4290,256036,267278,379881,373278,17537,24140,0,0,0,0,0,0,0,0,0,0,11136.0,16782.0,14054.0,-6264.0,1234.0,265.0,11752.0,8055.0,-616.0,3081.0,100,30.1,25.6,1.1,64.4,67.3,95.6,93.9,4.4,6.1,100,30.1,25.6,1.1,64.4,67.3,95.6,93.9,4.4,6.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,63,48,12,69,65,139,118,228,63,48,12,69,65,139,118,0,0,0,0,0,0,0,0,35.5,38.6,48.7,50.2,32.8,38.6,45.9,50.1,35.5,38.6,48.7,50.2,32.8,38.6,45.9,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,209742,CME,0,209,413304,143045,103800,3380,249430,285705,395855,392885,17449,20419,413304,143045,103800,3380,249430,285705,395855,392885,17449,20419,0,0,0,0,0,0,0,0,0,0,15886.0,23490.0,2090.0,-910.0,-6606.0,18427.0,15974.0,19607.0,-88.0,-3721.0,100,34.6,25.1,0.8,60.4,69.1,95.8,95.1,4.2,4.9,100,34.6,25.1,0.8,60.4,69.1,95.8,95.1,4.2,4.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,61,52,14,65,68,134,127,230,61,52,14,65,68,134,127,0,0,0,0,0,0,0,0,36.7,39.7,50.1,51.1,33.9,39.7,46.8,50.3,36.7,39.7,50.1,51.1,33.9,39.7,46.8,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,209742,CME,0,209,404426,152227,88493,5017,226418,292936,383662,386446,20764,17980,404426,152227,88493,5017,226418,292936,383662,386446,20764,17980,0,0,0,0,0,0,0,0,0,0,-8878.0,9182.0,-15307.0,1637.0,-23012.0,7231.0,-12193.0,-6439.0,3315.0,-2439.0,100,37.6,21.9,1.2,56.0,72.4,94.9,95.6,5.1,4.4,100,37.6,21.9,1.2,56.0,72.4,94.9,95.6,5.1,4.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,76,42,11,66,71,148,118,236,76,42,11,66,71,148,118,0,0,0,0,0,0,0,0,31.7,40.9,45.7,54.1,29.0,40.9,42.3,53.5,31.7,40.9,45.7,54.1,29.0,40.9,42.3,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,209742,CME,0,209,411761,168202,119445,4970,219299,272136,392471,396551,19290,15210,411761,168202,119445,4970,219299,272136,392471,396551,19290,15210,0,0,0,0,0,0,0,0,0,0,7335.0,15975.0,30952.0,-47.0,-7119.0,-20800.0,8809.0,10105.0,-1474.0,-2770.0,100,40.8,29.0,1.2,53.3,66.1,95.3,96.3,4.7,3.7,100,40.8,29.0,1.2,53.3,66.1,95.3,96.3,4.7,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,83,59,12,65,77,155,142,262,83,59,12,65,77,155,142,0,0,0,0,0,0,0,0,28.9,32.6,42.0,47.5,26.3,32.6,38.5,47.5,28.9,32.6,42.0,47.5,26.3,32.6,38.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NASDAQ 100 STOCK INDEX X $20)
