Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,112741,CME,0,112,23053,18106,5133,0,1457,16490,19563,21623,3490,1430,23053,18106,5133,0,1457,16490,19563,21623,3490,1430,0,0,0,0,0,0,0,0,0,0,4160.0,4234.0,66.0,0.0,-571.0,3886.0,3663.0,3952.0,497.0,208.0,100,78.5,22.3,0.0,6.3,71.5,84.9,93.8,15.1,6.2,100,78.5,22.3,0.0,6.3,71.5,84.9,93.8,15.1,6.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,12,6,0,5,10,17,16,31,12,6,0,5,10,17,16,0,0,0,0,0,0,0,0,65.6,55.3,77.8,79.8,65.6,54.9,77.8,79.4,65.6,55.3,77.8,79.8,65.6,54.9,77.8,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,112741,CME,0,112,25732,21417,5734,0,1196,18810,22613,24544,3119,1188,25732,21417,5734,0,1196,18810,22613,24544,3119,1188,0,0,0,0,0,0,0,0,0,0,2679.0,3311.0,601.0,0.0,-261.0,2320.0,3050.0,2921.0,-371.0,-242.0,100,83.2,22.3,0.0,4.6,73.1,87.9,95.4,12.1,4.6,100,83.2,22.3,0.0,4.6,73.1,87.9,95.4,12.1,4.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,17,7,0,4,11,21,18,37,17,7,0,4,11,21,18,0,0,0,0,0,0,0,0,64.0,54.1,79.8,77.3,64.0,53.3,79.8,76.5,64.0,54.1,79.8,77.3,64.0,53.3,79.8,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,112741,CME,0,112,26917,22397,6041,0,1218,19664,23615,25705,3302,1212,26917,22397,6041,0,1218,19664,23615,25705,3302,1212,0,0,0,0,0,0,0,0,0,0,1185.0,980.0,307.0,0.0,22.0,854.0,1002.0,1161.0,183.0,24.0,100,83.2,22.4,0.0,4.5,73.1,87.7,95.5,12.3,4.5,100,83.2,22.4,0.0,4.5,73.1,87.7,95.5,12.3,4.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,17,8,0,4,11,21,19,38,17,8,0,4,11,21,19,0,0,0,0,0,0,0,0,64.7,53.2,80.1,75.9,64.7,52.5,80.1,75.2,64.7,53.2,80.1,75.9,64.7,52.5,80.1,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,112741,CME,0,112,21440,16005,7534,0,2762,12630,18767,20164,2673,1276,21440,16005,7534,0,2762,12630,18767,20164,2673,1276,0,0,0,0,0,0,0,0,0,0,-5477.0,-6392.0,1493.0,0.0,1544.0,-7034.0,-4848.0,-5541.0,-629.0,64.0,100,74.7,35.1,0.0,12.9,58.9,87.5,94.0,12.5,6.0,100,74.7,35.1,0.0,12.9,58.9,87.5,94.0,12.5,6.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,9,0,6,9,18,18,35,12,9,0,6,9,18,18,0,0,0,0,0,0,0,0,61.9,59.6,76.9,83.4,61.9,59.6,76.9,82.3,61.9,59.6,76.9,83.4,61.9,59.6,76.9,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,112741,CME,0,112,21312,15251,9868,0,3659,9838,18910,19706,2402,1606,21312,15251,9868,0,3659,9838,18910,19706,2402,1606,0,0,0,0,0,0,0,0,0,0,-128.0,-754.0,2334.0,0.0,897.0,-2792.0,143.0,-458.0,-271.0,330.0,100,71.6,46.3,0.0,17.2,46.2,88.7,92.5,11.3,7.5,100,71.6,46.3,0.0,17.2,46.2,88.7,92.5,11.3,7.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,9,12,0,9,10,18,22,35,9,12,0,9,10,18,22,0,0,0,0,0,0,0,0,62.5,55.5,79.0,77.5,62.5,55.4,76.6,74.7,62.5,55.5,79.0,77.5,62.5,55.4,76.6,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,112741,CME,0,112,20171,14359,9636,0,3988,8734,18347,18370,1824,1801,20171,14359,9636,0,3988,8734,18347,18370,1824,1801,0,0,0,0,0,0,0,0,0,0,-1141.0,-892.0,-232.0,0.0,329.0,-1104.0,-563.0,-1336.0,-578.0,195.0,100,71.2,47.8,0.0,19.8,43.3,91.0,91.1,9.0,8.9,100,71.2,47.8,0.0,19.8,43.3,91.0,91.1,9.0,8.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,10,11,0,8,9,18,20,34,10,11,0,8,9,18,20,0,0,0,0,0,0,0,0,64.5,54.0,81.6,75.2,64.2,53.9,76.5,74.4,64.5,54.0,81.6,75.2,64.2,53.9,76.5,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,112741,CME,0,112,19679,14523,7088,0,3380,10366,17903,17454,1776,2225,19679,14523,7088,0,3380,10366,17903,17454,1776,2225,0,0,0,0,0,0,0,0,0,0,-492.0,164.0,-2548.0,0.0,-608.0,1632.0,-444.0,-916.0,-48.0,424.0,100,73.8,36.0,0.0,17.2,52.7,91.0,88.7,9.0,11.3,100,73.8,36.0,0.0,17.2,52.7,91.0,88.7,9.0,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,13,7,0,7,9,20,16,31,13,7,0,7,9,20,16,0,0,0,0,0,0,0,0,65.6,56.3,80.2,80.6,65.6,56.1,75.7,78.4,65.6,56.3,80.2,80.6,65.6,56.1,75.7,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,112741,CME,0,112,20201,14641,8249,0,3676,10223,18317,18472,1884,1729,20201,14641,8249,0,3676,10223,18317,18472,1884,1729,0,0,0,0,0,0,0,0,0,0,522.0,118.0,1161.0,0.0,296.0,-143.0,414.0,1018.0,108.0,-496.0,100,72.5,40.8,0.0,18.2,50.6,90.7,91.4,9.3,8.6,100,72.5,40.8,0.0,18.2,50.6,90.7,91.4,9.3,8.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,12,9,0,7,9,19,18,32,12,9,0,7,9,19,18,0,0,0,0,0,0,0,0,62.5,60.6,80.3,82.2,62.1,60.4,75.6,79.3,62.5,60.6,80.3,82.2,62.1,60.4,75.6,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,112741,CME,0,112,20158,13715,8603,0,4085,9678,17800,18281,2358,1877,20158,13715,8603,0,4085,9678,17800,18281,2358,1877,0,0,0,0,0,0,0,0,0,0,-43.0,-926.0,354.0,0.0,409.0,-545.0,-517.0,-191.0,474.0,148.0,100,68.0,42.7,0.0,20.3,48.0,88.3,90.7,11.7,9.3,100,68.0,42.7,0.0,20.3,48.0,88.3,90.7,11.7,9.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,11,8,0,6,8,17,16,29,11,8,0,6,8,17,16,0,0,0,0,0,0,0,0,61.6,57.7,78.6,81.3,58.5,57.3,72.9,77.6,61.6,57.7,78.6,81.3,58.5,57.3,72.9,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,112741,CME,0,112,21863,11964,8717,135,7237,11490,19336,20342,2527,1521,21863,11964,8717,135,7237,11490,19336,20342,2527,1521,0,0,0,0,0,0,0,0,0,0,1705.0,-1751.0,114.0,135.0,3152.0,1812.0,1536.0,2061.0,169.0,-356.0,100,54.7,39.9,0.6,33.1,52.6,88.4,93.0,11.6,7.0,100,54.7,39.9,0.6,33.1,52.6,88.4,93.0,11.6,7.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,11,11,2,8,11,20,24,36,11,11,2,8,11,20,24,0,0,0,0,0,0,0,0,52.9,50.6,71.7,74.6,47.9,50.6,64.9,69.2,52.9,50.6,71.7,74.6,47.9,50.6,64.9,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF NZD 100,000)"
