Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,92741,CME,0,92,35161,12488,15268,0,11260,9355,23748,24623,11413,10538,35161,12488,15268,0,11260,9355,23748,24623,11413,10538,0,0,0,0,0,0,0,0,0,0,-2872.0,2154.0,-2117.0,0.0,-6500.0,1159.0,-4346.0,-958.0,1474.0,-1914.0,100,35.5,43.4,0.0,32.0,26.6,67.5,70.0,32.5,30.0,100,35.5,43.4,0.0,32.0,26.6,67.5,70.0,32.5,30.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,13,11,0,8,8,21,19,37,13,11,0,8,8,21,19,0,0,0,0,0,0,0,0,33.7,40.5,47.3,55.6,33.5,40.5,46.8,55.6,33.7,40.5,47.3,55.6,33.5,40.5,46.8,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,92741,CME,0,92,38204,17213,3287,48,6378,24458,23639,27793,14565,10411,38204,17213,3287,48,6378,24458,23639,27793,14565,10411,0,0,0,0,0,0,0,0,0,0,3043.0,4725.0,-11981.0,48.0,-4882.0,15103.0,-109.0,3170.0,3152.0,-127.0,100,45.1,8.6,0.1,16.7,64.0,61.9,72.7,38.1,27.3,100,45.1,8.6,0.1,16.7,64.0,61.9,72.7,38.1,27.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,14,5,2,6,11,20,18,34,14,5,2,6,11,20,18,0,0,0,0,0,0,0,0,34.8,49.3,46.4,64.2,34.5,49.3,45.9,64.2,34.8,49.3,46.4,64.2,34.5,49.3,45.9,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,92741,CME,0,92,37744,17281,3310,176,5700,25353,23157,28839,14587,8905,37744,17281,3310,176,5700,25353,23157,28839,14587,8905,0,0,0,0,0,0,0,0,0,0,-460.0,68.0,23.0,128.0,-678.0,895.0,-482.0,1046.0,22.0,-1506.0,100,45.8,8.8,0.5,15.1,67.2,61.4,76.4,38.6,23.6,100,45.8,8.8,0.5,15.1,67.2,61.4,76.4,38.6,23.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,19,4,2,6,10,25,16,36,19,4,2,6,10,25,16,0,0,0,0,0,0,0,0,28.6,55.9,41.0,69.7,27.8,55.8,39.9,69.7,28.6,55.9,41.0,69.7,27.8,55.8,39.9,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,92741,CME,0,92,34075,12421,6716,5,10407,14719,22833,21440,11242,12635,34075,12421,6716,5,10407,14719,22833,21440,11242,12635,0,0,0,0,0,0,0,0,0,0,-3669.0,-4860.0,3406.0,-171.0,4707.0,-10634.0,-324.0,-7399.0,-3345.0,3730.0,100,36.5,19.7,0.0,30.5,43.2,67.0,62.9,33.0,37.1,100,36.5,19.7,0.0,30.5,43.2,67.0,62.9,33.0,37.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,14,7,1,7,8,21,16,34,14,7,1,7,8,21,16,0,0,0,0,0,0,0,0,33.4,39.2,47.0,52.7,33.0,39.2,46.2,52.7,33.4,39.2,47.0,52.7,33.0,39.2,46.2,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,92741,CME,0,92,36263,10344,12119,5,15425,10390,25774,22514,10489,13749,36263,10344,12119,5,15425,10390,25774,22514,10489,13749,0,0,0,0,0,0,0,0,0,0,2188.0,-2077.0,5403.0,0.0,5018.0,-4329.0,2941.0,1074.0,-753.0,1114.0,100,28.5,33.4,0.0,42.5,28.7,71.1,62.1,28.9,37.9,100,28.5,33.4,0.0,42.5,28.7,71.1,62.1,28.9,37.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,13,11,1,9,7,22,19,37,13,11,1,9,7,22,19,0,0,0,0,0,0,0,0,35.5,34.2,50.5,47.1,34.5,34.2,49.3,47.1,35.5,34.2,50.5,47.1,34.5,34.2,49.3,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,92741,CME,0,92,42359,9219,16115,5,21986,9772,31210,25892,11149,16467,42359,9219,16115,5,21986,9772,31210,25892,11149,16467,0,0,0,0,0,0,0,0,0,0,6096.0,-1125.0,3996.0,0.0,6561.0,-618.0,5436.0,3378.0,660.0,2718.0,100,21.8,38.0,0.0,51.9,23.1,73.7,61.1,26.3,38.9,100,21.8,38.0,0.0,51.9,23.1,73.7,61.1,26.3,38.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,10,12,1,11,9,21,22,38,10,12,1,11,9,21,22,0,0,0,0,0,0,0,0,37.4,31.4,51.4,48.3,37.1,31.4,50.7,48.3,37.4,31.4,51.4,48.3,37.1,31.4,50.7,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,92741,CME,0,92,40881,10763,15430,42,19380,12154,30185,27626,10696,13255,40881,10763,15430,42,19380,12154,30185,27626,10696,13255,0,0,0,0,0,0,0,0,0,0,-1478.0,1544.0,-685.0,37.0,-2606.0,2382.0,-1025.0,1734.0,-453.0,-3212.0,100,26.3,37.7,0.1,47.4,29.7,73.8,67.6,26.2,32.4,100,26.3,37.7,0.1,47.4,29.7,73.8,67.6,26.2,32.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,11,14,2,10,12,21,28,42,11,14,2,10,12,21,28,0,0,0,0,0,0,0,0,39.6,33.1,55.1,48.0,39.3,33.1,54.5,48.0,39.6,33.1,55.1,48.0,39.3,33.1,54.5,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,92741,CME,0,92,45407,12119,20938,3,23673,10095,35795,31036,9612,14371,45407,12119,20938,3,23673,10095,35795,31036,9612,14371,0,0,0,0,0,0,0,0,0,0,4526.0,1356.0,5508.0,-39.0,4293.0,-2059.0,5610.0,3410.0,-1084.0,1116.0,100,26.7,46.1,0.0,52.1,22.2,78.8,68.4,21.2,31.6,100,26.7,46.1,0.0,52.1,22.2,78.8,68.4,21.2,31.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,9,13,1,10,10,19,24,38,9,13,1,10,10,19,24,0,0,0,0,0,0,0,0,43.4,40.5,60.3,54.7,43.3,40.5,60.0,54.7,43.4,40.5,60.3,54.7,43.3,40.5,60.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,92741,CME,0,92,42147,11508,17818,24,20150,10198,31682,28040,10465,14107,42147,11508,17818,24,20150,10198,31682,28040,10465,14107,0,0,0,0,0,0,0,0,0,0,-3260.0,-611.0,-3120.0,21.0,-3523.0,103.0,-4113.0,-2996.0,853.0,-264.0,100,27.3,42.3,0.1,47.8,24.2,75.2,66.5,24.8,33.5,100,27.3,42.3,0.1,47.8,24.2,75.2,66.5,24.8,33.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,9,12,2,10,11,19,25,37,9,12,2,10,11,19,25,0,0,0,0,0,0,0,0,40.7,37.4,57.8,51.4,40.5,37.4,57.4,51.4,40.7,37.4,57.8,51.4,40.5,37.4,57.4,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,92741,CME,0,92,47810,10727,15872,8,27335,19784,38070,35664,9740,12146,47810,10727,15872,8,27335,19784,38070,35664,9740,12146,0,0,0,0,0,0,0,0,0,0,5663.0,-781.0,-1946.0,-16.0,7185.0,9586.0,6388.0,7624.0,-725.0,-1961.0,100,22.4,33.2,0.0,57.2,41.4,79.6,74.6,20.4,25.4,100,22.4,33.2,0.0,57.2,41.4,79.6,74.6,20.4,25.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,9,10,1,14,13,23,24,36,9,10,1,14,13,23,24,0,0,0,0,0,0,0,0,40.3,40.3,58.0,53.9,35.0,32.0,48.9,42.7,40.3,40.3,58.0,53.9,35.0,32.0,48.9,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF CHF 125,000)"
