Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100105,2010-01-05,98662,ICUS,1,98,62056,48623,9225,2066,6327,48115,57016,59406,5040,2650,62056,48623,9225,2066,6327,48115,57016,59406,5040,2650,0,0,0,0,0,0,0,0,0,0,-1128.0,-2427.0,-2791.0,62.0,561.0,1322.0,-1804.0,-1407.0,676.0,279.0,100,78.4,14.9,3.3,10.2,77.5,91.9,95.7,8.1,4.3,100,78.4,14.9,3.3,10.2,77.5,91.9,95.7,8.1,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,38,21,3,9,10,48,34,76,38,21,3,9,10,48,34,0,0,0,0,0,0,0,0,68.5,73.6,79.2,86.3,67.5,68.9,71.6,77.8,68.5,73.6,79.2,86.3,67.5,68.9,71.6,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100112,2010-01-12,98662,ICUS,1,98,52227,40164,6655,2199,4823,41133,47186,49987,5041,2240,52227,40164,6655,2199,4823,41133,47186,49987,5041,2240,0,0,0,0,0,0,0,0,0,0,-9829.0,-8459.0,-2570.0,133.0,-1504.0,-6982.0,-9830.0,-9419.0,1.0,-410.0,100,76.9,12.7,4.2,9.2,78.8,90.3,95.7,9.7,4.3,100,76.9,12.7,4.2,9.2,78.8,90.3,95.7,9.7,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,33,27,8,6,11,44,44,77,33,27,8,6,11,44,44,0,0,0,0,0,0,0,0,68.4,74.2,80.4,85.0,66.0,68.9,70.6,75.1,68.4,74.2,80.4,85.0,66.0,68.9,70.6,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100119,2010-01-19,98662,ICUS,1,98,49139,36332,6261,2342,5183,38317,43857,46920,5282,2219,49139,36332,6261,2342,5183,38317,43857,46920,5282,2219,0,0,0,0,0,0,0,0,0,0,-3088.0,-3832.0,-394.0,143.0,360.0,-2816.0,-3329.0,-3067.0,241.0,-21.0,100,73.9,12.7,4.8,10.5,78.0,89.3,95.5,10.7,4.5,100,73.9,12.7,4.8,10.5,78.0,89.3,95.5,10.7,4.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,33,27,8,9,11,47,44,81,33,27,8,9,11,47,44,0,0,0,0,0,0,0,0,67.4,73.2,77.9,84.6,63.8,67.5,67.4,74.1,67.4,73.2,77.9,84.6,63.8,67.5,67.4,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100126,2010-01-26,98662,ICUS,1,98,59330,44152,6606,2166,5852,47600,52170,56372,7160,2958,59330,44152,6606,2166,5852,47600,52170,56372,7160,2958,0,0,0,0,0,0,0,0,0,0,10191.0,7820.0,345.0,-176.0,669.0,9283.0,8313.0,9452.0,1878.0,739.0,100,74.4,11.1,3.7,9.9,80.2,87.9,95.0,12.1,5.0,100,74.4,11.1,3.7,9.9,80.2,87.9,95.0,12.1,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,38,18,5,6,12,47,34,74,38,18,5,6,12,47,34,0,0,0,0,0,0,0,0,61.1,75.7,74.2,87.2,61.0,70.6,66.9,78.0,61.1,75.7,74.2,87.2,61.0,70.6,66.9,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100202,2010-02-02,98662,ICUS,1,98,67283,53325,10886,2100,6092,52342,61517,65328,5766,1955,67283,53325,10886,2100,6092,52342,61517,65328,5766,1955,0,0,0,0,0,0,0,0,0,0,7953.0,9173.0,4280.0,-66.0,240.0,4742.0,9347.0,8956.0,-1394.0,-1003.0,100,79.3,16.2,3.1,9.1,77.8,91.4,97.1,8.6,2.9,100,79.3,16.2,3.1,9.1,77.8,91.4,97.1,8.6,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,42,19,4,9,10,55,31,80,42,19,4,9,10,55,31,0,0,0,0,0,0,0,0,66.8,73.8,78.7,87.4,66.8,69.4,72.8,80.4,66.8,73.8,78.7,87.4,66.8,69.4,72.8,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100209,2010-02-09,98662,ICUS,1,98,58939,45763,4774,2067,5568,50241,53398,57082,5541,1857,58939,45763,4774,2067,5568,50241,53398,57082,5541,1857,0,0,0,0,0,0,0,0,0,0,-8344.0,-7562.0,-6112.0,-33.0,-524.0,-2101.0,-8119.0,-8246.0,-225.0,-98.0,100,77.6,8.1,3.5,9.4,85.2,90.6,96.8,9.4,3.2,100,77.6,8.1,3.5,9.4,85.2,90.6,96.8,9.4,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,48,16,4,11,10,61,29,81,48,16,4,11,10,61,29,0,0,0,0,0,0,0,0,62.6,82.3,71.6,90.7,60.6,78.9,67.0,83.8,62.6,82.3,71.6,90.7,60.6,78.9,67.0,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100216,2010-02-16,98662,ICUS,1,98,58733,45728,8146,2173,5411,46331,53312,56650,5421,2083,58733,45728,8146,2173,5411,46331,53312,56650,5421,2083,0,0,0,0,0,0,0,0,0,0,-206.0,-35.0,3372.0,106.0,-157.0,-3910.0,-86.0,-432.0,-120.0,226.0,100,77.9,13.9,3.7,9.2,78.9,90.8,96.5,9.2,3.5,100,77.9,13.9,3.7,9.2,78.9,90.8,96.5,9.2,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,48,17,5,12,6,64,27,82,48,17,5,12,6,64,27,0,0,0,0,0,0,0,0,60.3,78.7,71.3,89.5,60.3,76.5,66.8,83.1,60.3,78.7,71.3,89.5,60.3,76.5,66.8,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100223,2010-02-23,98662,ICUS,1,98,57575,43653,5261,2088,6337,47732,52078,55081,5497,2494,57575,43653,5261,2088,6337,47732,52078,55081,5497,2494,0,0,0,0,0,0,0,0,0,0,-1158.0,-2075.0,-2885.0,-85.0,926.0,1401.0,-1234.0,-1569.0,76.0,411.0,100,75.8,9.1,3.6,11.0,82.9,90.5,95.7,9.5,4.3,100,75.8,9.1,3.6,11.0,82.9,90.5,95.7,9.5,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,48,21,6,13,10,65,34,88,48,21,6,13,10,65,34,0,0,0,0,0,0,0,0,60.5,80.4,72.3,88.5,60.5,77.3,67.4,81.9,60.5,80.4,72.3,88.5,60.5,77.3,67.4,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100302,2010-03-02,98662,ICUS,1,98,55702,43004,4931,2106,5491,46626,50601,53663,5101,2039,55702,43004,4931,2106,5491,46626,50601,53663,5101,2039,0,0,0,0,0,0,0,0,0,0,-1873.0,-649.0,-330.0,18.0,-846.0,-1106.0,-1477.0,-1418.0,-396.0,-455.0,100,77.2,8.9,3.8,9.9,83.7,90.8,96.3,9.2,3.7,100,77.2,8.9,3.8,9.9,83.7,90.8,96.3,9.2,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,48,19,5,14,9,64,32,86,48,19,5,14,9,64,32,0,0,0,0,0,0,0,0,59.0,81.3,71.4,89.1,59.0,79.1,67.6,83.4,59.0,81.3,71.4,89.1,59.0,79.1,67.6,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100309,2010-03-09,98662,ICUS,1,98,58121,40480,4535,4121,7941,47072,52542,55728,5579,2393,58121,40480,4535,4121,7941,47072,52542,55728,5579,2393,0,0,0,0,0,0,0,0,0,0,2419.0,-2524.0,-396.0,2015.0,2450.0,446.0,1941.0,2065.0,478.0,354.0,100,69.6,7.8,7.1,13.7,81.0,90.4,95.9,9.6,4.1,100,69.6,7.8,7.1,13.7,81.0,90.4,95.9,9.6,4.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,38,21,13,16,9,62,40,81,38,21,13,16,9,62,40,0,0,0,0,0,0,0,0,54.7,79.4,66.6,86.5,54.5,73.6,61.6,77.6,54.7,79.4,66.6,86.5,54.5,73.6,61.6,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(U.S. DOLLAR INDEX X $1000)
