Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100105,2010-01-05,20601,CBT,0,20,658969,49866,151399,1837,494457,371103,546160,524339,112809,134630,658969,49866,151399,1837,494457,371103,546160,524339,112809,134630,0,0,0,0,0,0,0,0,0,0,-11454.0,3676.0,1519.0,-710.0,-9011.0,-17214.0,-6045.0,-16405.0,-5409.0,4951.0,100,7.6,23.0,0.3,75.0,56.3,82.9,79.6,17.1,20.4,100,7.6,23.0,0.3,75.0,56.3,82.9,79.6,17.1,20.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,27,30,4,64,70,94,101,153,27,30,4,64,70,94,101,0,0,0,0,0,0,0,0,19.9,20.4,33.0,29.2,16.7,20.4,27.5,28.8,19.9,20.4,33.0,29.2,16.7,20.4,27.5,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100112,2010-01-12,20601,CBT,0,20,657643,49908,150989,8037,489097,349668,547042,508694,110601,148949,657643,49908,150989,8037,489097,349668,547042,508694,110601,148949,0,0,0,0,0,0,0,0,0,0,-1326.0,42.0,-410.0,6200.0,-5360.0,-21435.0,882.0,-15645.0,-2208.0,14319.0,100,7.6,23.0,1.2,74.4,53.2,83.2,77.4,16.8,22.6,100,7.6,23.0,1.2,74.4,53.2,83.2,77.4,16.8,22.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,28,36,17,63,70,100,114,161,28,36,17,63,70,100,114,0,0,0,0,0,0,0,0,20.2,20.3,33.6,29.2,16.1,20.1,28.2,28.3,20.2,20.3,33.6,29.2,16.1,20.1,28.2,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100119,2010-01-19,20601,CBT,0,20,652138,46509,152513,3837,490104,346802,540450,503152,111688,148986,652138,46509,152513,3837,490104,346802,540450,503152,111688,148986,0,0,0,0,0,0,0,0,0,0,-5505.0,-3399.0,1524.0,-4200.0,1007.0,-2866.0,-6592.0,-5542.0,1087.0,37.0,100,7.1,23.4,0.6,75.2,53.2,82.9,77.2,17.1,22.8,100,7.1,23.4,0.6,75.2,53.2,82.9,77.2,17.1,22.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,26,35,12,67,71,101,110,162,26,35,12,67,71,101,110,0,0,0,0,0,0,0,0,19.1,20.3,33.5,29.6,15.5,20.1,28.5,28.8,19.1,20.3,33.5,29.6,15.5,20.1,28.5,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100126,2010-01-26,20601,CBT,0,20,652424,41848,136270,5003,493378,360884,540229,502157,112195,150267,652424,41848,136270,5003,493378,360884,540229,502157,112195,150267,0,0,0,0,0,0,0,0,0,0,286.0,-4661.0,-16243.0,1166.0,3274.0,14082.0,-221.0,-995.0,507.0,1281.0,100,6.4,20.9,0.8,75.6,55.3,82.8,77.0,17.2,23.0,100,6.4,20.9,0.8,75.6,55.3,82.8,77.0,17.2,23.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,21,27,10,65,72,92,103,148,21,27,10,65,72,92,103,0,0,0,0,0,0,0,0,20.8,20.1,34.7,29.8,17.4,19.6,30.6,28.8,20.8,20.1,34.7,29.8,17.4,19.6,30.6,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100202,2010-02-02,20601,CBT,0,20,648854,39833,139575,4524,488255,364757,532612,508856,116242,139998,648854,39833,139575,4524,488255,364757,532612,508856,116242,139998,0,0,0,0,0,0,0,0,0,0,-3570.0,-2015.0,3305.0,-479.0,-5123.0,3873.0,-7617.0,6699.0,4047.0,-10269.0,100,6.1,21.5,0.7,75.2,56.2,82.1,78.4,17.9,21.6,100,6.1,21.5,0.7,75.2,56.2,82.1,78.4,17.9,21.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,17,28,13,69,75,95,107,147,17,28,13,69,75,95,107,0,0,0,0,0,0,0,0,21.2,19.8,34.5,29.7,17.7,19.6,30.9,29.3,21.2,19.8,34.5,29.7,17.7,19.6,30.9,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100209,2010-02-09,20601,CBT,0,20,670838,42554,149750,8269,494487,372497,545310,530516,125528,140322,670838,42554,149750,8269,494487,372497,545310,530516,125528,140322,0,0,0,0,0,0,0,0,0,0,21984.0,2721.0,10175.0,3745.0,6232.0,7740.0,12698.0,21660.0,9286.0,324.0,100,6.3,22.3,1.2,73.7,55.5,81.3,79.1,18.7,20.9,100,6.3,22.3,1.2,73.7,55.5,81.3,79.1,18.7,20.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,19,29,14,69,76,97,110,147,19,29,14,69,76,97,110,0,0,0,0,0,0,0,0,21.1,20.4,34.2,29.8,17.6,18.7,30.0,27.6,21.1,20.4,34.2,29.8,17.6,18.7,30.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100216,2010-02-16,20601,CBT,0,20,667028,42281,150109,9158,495529,364797,546968,524064,120060,142964,667028,42281,150109,9158,495529,364797,546968,524064,120060,142964,0,0,0,0,0,0,0,0,0,0,-3810.0,-273.0,359.0,889.0,1042.0,-7700.0,1658.0,-6452.0,-5468.0,2642.0,100,6.3,22.5,1.4,74.3,54.7,82.0,78.6,18.0,21.4,100,6.3,22.5,1.4,74.3,54.7,82.0,78.6,18.0,21.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,21,30,15,68,74,99,109,149,21,30,15,68,74,99,109,0,0,0,0,0,0,0,0,21.0,20.6,34.3,29.8,17.3,19.4,30.1,28.1,21.0,20.6,34.3,29.8,17.3,19.4,30.1,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100223,2010-02-23,20601,CBT,0,20,703202,46872,148387,13804,517963,359757,578639,521948,124563,181254,703202,46872,148387,13804,517963,359757,578639,521948,124563,181254,0,0,0,0,0,0,0,0,0,0,36174.0,4591.0,-1722.0,4646.0,22434.0,-5040.0,31671.0,-2116.0,4503.0,38290.0,100,6.7,21.1,2.0,73.7,51.2,82.3,74.2,17.7,25.8,100,6.7,21.1,2.0,73.7,51.2,82.3,74.2,17.7,25.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,25,27,18,67,76,101,112,146,25,27,18,67,76,101,112,0,0,0,0,0,0,0,0,21.9,19.0,36.2,27.5,19.5,18.2,32.5,26.1,21.9,19.0,36.2,27.5,19.5,18.2,32.5,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100302,2010-03-02,20601,CBT,0,20,680023,46082,147570,15760,503471,372546,565313,535876,114710,144147,680023,46082,147570,15760,503471,372546,565313,535876,114710,144147,0,0,0,0,0,0,0,0,0,0,-23179.0,-790.0,-817.0,1956.0,-14492.0,12789.0,-13326.0,13928.0,-9853.0,-37107.0,100,6.8,21.7,2.3,74.0,54.8,83.1,78.8,16.9,21.2,100,6.8,21.7,2.3,74.0,54.8,83.1,78.8,16.9,21.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,19,33,10,68,77,93,114,149,19,33,10,68,77,93,114,0,0,0,0,0,0,0,0,21.4,20.3,34.0,29.5,18.4,19.0,30.7,27.5,21.4,20.3,34.0,29.5,18.4,19.0,30.7,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100309,2010-03-09,20601,CBT,0,20,638248,41701,148335,15440,472205,335652,529346,499427,108902,138821,638248,41701,148335,15440,472205,335652,529346,499427,108902,138821,0,0,0,0,0,0,0,0,0,0,-41775.0,-4381.0,765.0,-320.0,-31266.0,-36894.0,-35967.0,-36449.0,-5808.0,-5326.0,100,6.5,23.2,2.4,74.0,52.6,82.9,78.2,17.1,21.8,100,6.5,23.2,2.4,74.0,52.6,82.9,78.2,17.1,21.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,18,39,9,68,72,92,114,154,18,39,9,68,72,92,114,0,0,0,0,0,0,0,0,22.4,20.4,36.2,29.1,20.1,20.0,33.5,28.6,22.4,20.4,36.2,29.1,20.1,20.0,33.5,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 FACE VALUE)"
