Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100105,2010-01-05,85692,CMX,1,85,158539,51738,35210,15538,76411,94843,143687,145591,14852,12948,158539,51738,35210,15538,76411,94843,143687,145591,14852,12948,0,0,0,0,0,0,0,0,0,0,3980.0,1265.0,-729.0,807.0,1017.0,3051.0,3089.0,3129.0,891.0,851.0,100,32.6,22.2,9.8,48.2,59.8,90.6,91.8,9.4,8.2,100,32.6,22.2,9.8,48.2,59.8,90.6,91.8,9.4,8.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,62,51,34,40,45,125,117,179,62,51,34,40,45,125,117,0,0,0,0,0,0,0,0,31.7,43.1,48.4,54.6,31.2,42.5,45.9,52.9,31.7,43.1,48.4,54.6,31.2,42.5,45.9,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100112,2010-01-12,85692,CMX,1,85,151321,51974,29433,15595,66816,93719,134385,138747,16936,12574,151321,51974,29433,15595,66816,93719,134385,138747,16936,12574,0,0,0,0,0,0,0,0,0,0,-7218.0,236.0,-5777.0,57.0,-9595.0,-1124.0,-9302.0,-6844.0,2084.0,-374.0,100,34.3,19.5,10.3,44.2,61.9,88.8,91.7,11.2,8.3,100,34.3,19.5,10.3,44.2,61.9,88.8,91.7,11.2,8.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,64,50,35,41,45,129,116,179,64,50,35,41,45,129,116,0,0,0,0,0,0,0,0,28.5,41.9,44.5,53.2,28.0,41.6,41.7,51.6,28.5,41.9,44.5,53.2,28.0,41.6,41.7,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100119,2010-01-19,85692,CMX,1,85,143012,50762,23095,16755,60389,91363,127906,131213,15106,11799,143012,50762,23095,16755,60389,91363,127906,131213,15106,11799,0,0,0,0,0,0,0,0,0,0,-8309.0,-1212.0,-6338.0,1160.0,-6427.0,-2356.0,-6479.0,-7534.0,-1830.0,-775.0,100,35.5,16.1,11.7,42.2,63.9,89.4,91.7,10.6,8.3,100,35.5,16.1,11.7,42.2,63.9,89.4,91.7,10.6,8.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,64,55,40,40,45,133,125,189,64,55,40,40,45,133,125,0,0,0,0,0,0,0,0,27.1,41.4,41.8,51.3,26.6,39.9,40.0,49.2,27.1,41.4,41.8,51.3,26.6,39.9,40.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100126,2010-01-26,85692,CMX,1,85,140683,48727,19957,19026,58061,87467,125814,126450,14869,14233,140683,48727,19957,19026,58061,87467,125814,126450,14869,14233,0,0,0,0,0,0,0,0,0,0,-2329.0,-2035.0,-3138.0,2271.0,-2328.0,-3896.0,-2092.0,-4763.0,-237.0,2434.0,100,34.6,14.2,13.5,41.3,62.2,89.4,89.9,10.6,10.1,100,34.6,14.2,13.5,41.3,62.2,89.4,89.9,10.6,10.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,58,53,40,40,46,124,125,179,58,53,40,40,46,124,125,0,0,0,0,0,0,0,0,27.3,41.6,42.0,51.2,26.9,39.6,40.0,48.2,27.3,41.6,42.0,51.2,26.9,39.6,40.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100202,2010-02-02,85692,CMX,1,85,132113,40438,22166,18656,59788,78511,118882,119333,13231,12780,132113,40438,22166,18656,59788,78511,118882,119333,13231,12780,0,0,0,0,0,0,0,0,0,0,-8570.0,-8289.0,2209.0,-370.0,1727.0,-8956.0,-6932.0,-7117.0,-1638.0,-1453.0,100,30.6,16.8,14.1,45.3,59.4,90.0,90.3,10.0,9.7,100,30.6,16.8,14.1,45.3,59.4,90.0,90.3,10.0,9.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,56,53,46,38,40,126,124,176,56,53,46,38,40,126,124,0,0,0,0,0,0,0,0,28.8,39.2,44.9,49.9,28.6,37.3,42.7,45.9,28.8,39.2,44.9,49.9,28.6,37.3,42.7,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100209,2010-02-09,85692,CMX,1,85,124076,35897,22247,13682,61623,73751,111202,109680,12874,14396,124076,35897,22247,13682,61623,73751,111202,109680,12874,14396,0,0,0,0,0,0,0,0,0,0,-8037.0,-4541.0,81.0,-4974.0,1835.0,-4760.0,-7680.0,-9653.0,-357.0,1616.0,100,28.9,17.9,11.0,49.7,59.4,89.6,88.4,10.4,11.6,100,28.9,17.9,11.0,49.7,59.4,89.6,88.4,10.4,11.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,43,50,38,38,39,107,114,155,43,50,38,38,39,107,114,0,0,0,0,0,0,0,0,30.2,39.1,46.2,50.0,29.9,35.6,45.0,44.4,30.2,39.1,46.2,50.0,29.9,35.6,45.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100216,2010-02-16,85692,CMX,1,85,126363,37722,23642,15610,59887,70916,113219,110168,13144,16195,126363,37722,23642,15610,59887,70916,113219,110168,13144,16195,0,0,0,0,0,0,0,0,0,0,2287.0,1825.0,1395.0,1928.0,-1736.0,-2835.0,2017.0,488.0,270.0,1799.0,100,29.9,18.7,12.4,47.4,56.1,89.6,87.2,10.4,12.8,100,29.9,18.7,12.4,47.4,56.1,89.6,87.2,10.4,12.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,45,56,38,38,42,109,121,161,45,56,38,38,42,109,121,0,0,0,0,0,0,0,0,29.9,37.2,45.2,48.4,29.4,34.4,44.3,42.9,29.9,37.2,45.2,48.4,29.4,34.4,44.3,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100223,2010-02-23,85692,CMX,1,85,126394,38991,23027,15423,58116,72507,112530,110957,13864,15437,126394,38991,23027,15423,58116,72507,112530,110957,13864,15437,0,0,0,0,0,0,0,0,0,0,31.0,1269.0,-615.0,-187.0,-1771.0,1591.0,-689.0,789.0,720.0,-758.0,100,30.8,18.2,12.2,46.0,57.4,89.0,87.8,11.0,12.2,100,30.8,18.2,12.2,46.0,57.4,89.0,87.8,11.0,12.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,40,56,40,40,44,112,124,164,40,56,40,40,44,112,124,0,0,0,0,0,0,0,0,30.0,37.9,44.4,48.4,29.6,36.3,43.9,45.1,30.0,37.9,44.4,48.4,29.6,36.3,43.9,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100302,2010-03-02,85692,CMX,1,85,125878,38872,23005,14371,60663,73576,113906,110952,11972,14926,125878,38872,23005,14371,60663,73576,113906,110952,11972,14926,0,0,0,0,0,0,0,0,0,0,-516.0,-119.0,-22.0,-1052.0,2547.0,1069.0,1376.0,-5.0,-1892.0,-511.0,100,30.9,18.3,11.4,48.2,58.5,90.5,88.1,9.5,11.9,100,30.9,18.3,11.4,48.2,58.5,90.5,88.1,9.5,11.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,43,67,39,40,44,114,129,173,43,67,39,40,44,114,129,0,0,0,0,0,0,0,0,30.2,37.3,46.7,48.3,29.9,35.8,44.9,44.6,30.2,37.3,46.7,48.3,29.9,35.8,44.9,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100309,2010-03-09,85692,CMX,1,85,127613,41913,23635,15085,60020,76984,117018,115704,10595,11909,127613,41913,23635,15085,60020,76984,117018,115704,10595,11909,0,0,0,0,0,0,0,0,0,0,1735.0,3041.0,630.0,714.0,-643.0,3408.0,3112.0,4752.0,-1377.0,-3017.0,100,32.8,18.5,11.8,47.0,60.3,91.7,90.7,8.3,9.3,100,32.8,18.5,11.8,47.0,60.3,91.7,90.7,8.3,9.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,49,66,36,41,42,119,122,176,49,66,36,41,42,119,122,0,0,0,0,0,0,0,0,29.4,39.0,45.5,49.5,29.4,37.8,44.3,46.6,29.4,39.0,45.5,49.5,29.4,37.8,44.3,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)"
