Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
GOLD - COMMODITY EXCHANGE INC.,100105,2010-01-05,88691,CMX,1,88,507643,263008,35241,67958,98195,376746,429161,479945,78482,27698,507643,263008,35241,67958,98195,376746,429161,479945,78482,27698,0,0,0,0,0,0,0,0,0,0,15931.0,-623.0,2100.0,7286.0,3354.0,2963.0,10017.0,12349.0,5914.0,3582.0,100,51.8,6.9,13.4,19.3,74.2,84.5,94.5,15.5,5.5,100,51.8,6.9,13.4,19.3,74.2,84.5,94.5,15.5,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,203,57,65,41,48,273,148,331,203,57,65,41,48,273,148,0,0,0,0,0,0,0,0,29.7,44.3,38.2,62.9,21.8,41.2,27.6,51.7,29.7,44.3,38.2,62.9,21.8,41.2,27.6,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100112,2010-01-12,88691,CMX,1,88,523266,271260,41918,75955,100451,382939,447666,500812,75600,22454,523266,271260,41918,75955,100451,382939,447666,500812,75600,22454,0,0,0,0,0,0,0,0,0,0,15623.0,8252.0,6677.0,7997.0,2256.0,6193.0,18505.0,20867.0,-2882.0,-5244.0,100,51.8,8.0,14.5,19.2,73.2,85.6,95.7,14.4,4.3,100,51.8,8.0,14.5,19.2,73.2,85.6,95.7,14.4,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,202,58,61,39,49,269,146,328,202,58,61,39,49,269,146,0,0,0,0,0,0,0,0,30.5,44.6,38.6,63.2,21.4,40.8,26.7,51.5,30.5,44.6,38.6,63.2,21.4,40.8,26.7,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100119,2010-01-19,88691,CMX,1,88,528924,261276,39807,82893,109197,382844,453366,505544,75558,23380,528924,261276,39807,82893,109197,382844,453366,505544,75558,23380,0,0,0,0,0,0,0,0,0,0,5658.0,-9984.0,-2111.0,6938.0,8746.0,-95.0,5700.0,4732.0,-42.0,926.0,100,49.4,7.5,15.7,20.6,72.4,85.7,95.6,14.3,4.4,100,49.4,7.5,15.7,20.6,72.4,85.7,95.6,14.3,4.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,196,63,58,44,49,273,143,328,196,63,58,44,49,273,143,0,0,0,0,0,0,0,0,31.0,46.7,39.6,64.0,21.3,40.8,26.7,50.8,31.0,46.7,39.6,64.0,21.3,40.8,26.7,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100126,2010-01-26,88691,CMX,1,88,507565,246223,34299,76151,111492,360110,433866,470560,73699,37005,507565,246223,34299,76151,111492,360110,433866,470560,73699,37005,0,0,0,0,0,0,0,0,0,0,-21359.0,-15053.0,-5508.0,-6742.0,2295.0,-22734.0,-19500.0,-34984.0,-1859.0,13625.0,100,48.5,6.8,15.0,22.0,70.9,85.5,92.7,14.5,7.3,100,48.5,6.8,15.0,22.0,70.9,85.5,92.7,14.5,7.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,174,63,66,45,48,249,153,302,174,63,66,45,48,249,153,0,0,0,0,0,0,0,0,30.6,45.1,39.6,61.0,22.9,40.1,28.5,49.4,30.6,45.1,39.6,61.0,22.9,40.1,28.5,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100202,2010-02-02,88691,CMX,1,88,480860,246048,35879,68851,103361,347940,418260,452670,62600,28190,480860,246048,35879,68851,103361,347940,418260,452670,62600,28190,0,0,0,0,0,0,0,0,0,0,-26705.0,-175.0,1580.0,-7300.0,-8131.0,-12170.0,-15606.0,-17890.0,-11099.0,-8815.0,100,51.2,7.5,14.3,21.5,72.4,87.0,94.1,13.0,5.9,100,51.2,7.5,14.3,21.5,72.4,87.0,94.1,13.0,5.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,170,64,62,48,52,246,154,305,170,64,62,48,52,246,154,0,0,0,0,0,0,0,0,32.5,43.1,40.7,59.5,23.4,37.1,29.0,47.6,32.5,43.1,40.7,59.5,23.4,37.1,29.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100209,2010-02-09,88691,CMX,1,88,466905,222775,41256,70832,110759,324186,404366,436274,62539,30631,466905,222775,41256,70832,110759,324186,404366,436274,62539,30631,0,0,0,0,0,0,0,0,0,0,-13955.0,-23273.0,5377.0,1981.0,7398.0,-23754.0,-13894.0,-16396.0,-61.0,2441.0,100,47.7,8.8,15.2,23.7,69.4,86.6,93.4,13.4,6.6,100,47.7,8.8,15.2,23.7,69.4,86.6,93.4,13.4,6.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,162,79,64,47,48,243,160,309,162,79,64,47,48,243,160,0,0,0,0,0,0,0,0,32.2,42.0,41.6,59.2,23.4,36.2,29.3,45.9,32.2,42.0,41.6,59.2,23.4,36.2,29.3,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100216,2010-02-16,88691,CMX,1,88,466509,224715,35857,68959,105334,325212,399008,430028,67501,36481,466509,224715,35857,68959,105334,325212,399008,430028,67501,36481,0,0,0,0,0,0,0,0,0,0,-396.0,1940.0,-5399.0,-1873.0,-5425.0,1026.0,-5358.0,-6246.0,4962.0,5850.0,100,48.2,7.7,14.8,22.6,69.7,85.5,92.2,14.5,7.8,100,48.2,7.7,14.8,22.6,69.7,85.5,92.2,14.5,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,173,59,63,46,50,247,147,304,173,59,63,46,50,247,147,0,0,0,0,0,0,0,0,30.7,43.6,39.2,59.4,20.9,36.6,27.2,45.1,30.7,43.6,39.2,59.4,20.9,36.6,27.2,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100223,2010-02-23,88691,CMX,1,88,466572,233106,32484,67508,97536,335580,398150,435572,68422,31000,466572,233106,32484,67508,97536,335580,398150,435572,68422,31000,0,0,0,0,0,0,0,0,0,0,63.0,8391.0,-3373.0,-1451.0,-7798.0,10368.0,-858.0,5544.0,921.0,-5481.0,100,50.0,7.0,14.5,20.9,71.9,85.3,93.4,14.7,6.6,100,50.0,7.0,14.5,20.9,71.9,85.3,93.4,14.7,6.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,169,62,63,43,58,245,155,305,169,62,63,43,58,245,155,0,0,0,0,0,0,0,0,29.3,44.2,37.6,59.7,20.6,37.2,26.4,46.0,29.3,44.2,37.6,59.7,20.6,37.2,26.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100302,2010-03-02,88691,CMX,1,88,482786,239765,32393,72852,101700,353237,414317,458482,68469,24304,482786,239765,32393,72852,101700,353237,414317,458482,68469,24304,0,0,0,0,0,0,0,0,0,0,16214.0,6659.0,-91.0,5344.0,4164.0,17657.0,16167.0,22910.0,47.0,-6696.0,100,49.7,6.7,15.1,21.1,73.2,85.8,95.0,14.2,5.0,100,49.7,6.7,15.1,21.1,73.2,85.8,95.0,14.2,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,182,61,66,42,59,259,158,321,182,61,66,42,59,259,158,0,0,0,0,0,0,0,0,29.7,45.4,37.7,61.2,20.2,36.9,26.1,46.8,29.7,45.4,37.7,61.2,20.2,36.9,26.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100309,2010-03-09,88691,CMX,1,88,493909,240868,32674,72523,112952,364739,426343,469936,67566,23973,493909,240868,32674,72523,112952,364739,426343,469936,67566,23973,0,0,0,0,0,0,0,0,0,0,11123.0,1103.0,281.0,-329.0,11252.0,11502.0,12026.0,11454.0,-903.0,-331.0,100,48.8,6.6,14.7,22.9,73.8,86.3,95.1,13.7,4.9,100,48.8,6.6,14.7,22.9,73.8,86.3,95.1,13.7,4.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,182,61,69,47,57,266,155,321,182,61,69,47,57,266,155,0,0,0,0,0,0,0,0,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100316,2010-03-16,88691,CMX,1,88,496481,239065,38719,80696,109825,352120,429586,471535,66895,24946,496481,239065,38719,80696,109825,352120,429586,471535,66895,24946,0,0,0,0,0,0,0,0,0,0,2572.0,-1803.0,6045.0,8173.0,-3127.0,-12619.0,3243.0,1599.0,-671.0,973.0,100,48.2,7.8,16.3,22.1,70.9,86.5,95.0,13.5,5.0,100,48.2,7.8,16.3,22.1,70.9,86.5,95.0,13.5,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,172,71,76,49,53,266,162,321,172,71,76,49,53,266,162,0,0,0,0,0,0,0,0,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,31.4,46.4,39.8,61.8,20.2,36.2,26.7,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100323,2010-03-23,88691,CMX,1,88,495143,221472,37600,83751,124504,348327,429727,469678,65416,25465,495143,221472,37600,83751,124504,348327,429727,469678,65416,25465,0,0,0,0,0,0,0,0,0,0,-1338.0,-17593.0,-1119.0,3055.0,14679.0,-3793.0,141.0,-1857.0,-1479.0,519.0,100,44.7,7.6,16.9,25.1,70.3,86.8,94.9,13.2,5.1,100,44.7,7.6,16.9,25.1,70.3,86.8,94.9,13.2,5.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,167,72,73,50,49,263,156,315,167,72,73,50,49,263,156,0,0,0,0,0,0,0,0,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,31.6,45.4,41.1,60.9,20.2,35.2,26.6,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100330,2010-03-30,88691,CMX,1,88,466678,209874,36108,67642,135472,343163,412988,446913,53690,19765,466678,209874,36108,67642,135472,343163,412988,446913,53690,19765,0,0,0,0,0,0,0,0,0,0,-28465.0,-11598.0,-1492.0,-16109.0,10968.0,-5164.0,-16739.0,-22765.0,-11726.0,-5700.0,100,45.0,7.7,14.5,29.0,73.5,88.5,95.8,11.5,4.2,100,45.0,7.7,14.5,29.0,73.5,88.5,95.8,11.5,4.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,159,63,65,50,49,247,145,298,159,63,65,50,49,247,145,0,0,0,0,0,0,0,0,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,30.7,43.8,42.4,59.7,23.1,35.6,30.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100406,2010-04-06,88691,CMX,1,88,497388,242302,38856,69884,126670,371576,438856,480316,58532,17072,497388,242302,38856,69884,126670,371576,438856,480316,58532,17072,0,0,0,0,0,0,0,0,0,0,30710.0,32428.0,2748.0,2242.0,-8802.0,28413.0,25868.0,33403.0,4842.0,-2693.0,100,48.7,7.8,14.1,25.5,74.7,88.2,96.6,11.8,3.4,100,48.7,7.8,14.1,25.5,74.7,88.2,96.6,11.8,3.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,184,61,64,47,54,266,149,323,184,61,64,47,54,266,149,0,0,0,0,0,0,0,0,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,29.3,43.1,39.2,58.3,22.2,35.5,28.5,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100413,2010-04-13,88691,CMX,1,88,528856,262599,41857,69469,135469,398953,467537,510279,61319,18577,528856,262599,41857,69469,135469,398953,467537,510279,61319,18577,0,0,0,0,0,0,0,0,0,0,31468.0,20297.0,3001.0,-415.0,8799.0,27377.0,28681.0,29963.0,2787.0,1505.0,100,49.7,7.9,13.1,25.6,75.4,88.4,96.5,11.6,3.5,100,49.7,7.9,13.1,25.6,75.4,88.4,96.5,11.6,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,209,58,67,47,55,291,151,348,209,58,67,47,55,291,151,0,0,0,0,0,0,0,0,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,27.9,41.0,38.6,58.4,21.5,35.5,27.9,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100420,2010-04-20,88691,CMX,1,88,521338,251244,40593,64759,139961,397357,455964,502709,65374,18629,521338,251244,40593,64759,139961,397357,455964,502709,65374,18629,0,0,0,0,0,0,0,0,0,0,-7518.0,-11355.0,-1264.0,-4710.0,4492.0,-1596.0,-11573.0,-7570.0,4055.0,52.0,100,48.2,7.8,12.4,26.8,76.2,87.5,96.4,12.5,3.6,100,48.2,7.8,12.4,26.8,76.2,87.5,96.4,12.5,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,192,57,63,48,56,274,149,331,192,57,63,48,56,274,149,0,0,0,0,0,0,0,0,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,27.8,40.9,38.6,59.3,22.4,37.0,28.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100427,2010-04-27,88691,CMX,1,88,538591,263472,37804,62744,145584,411106,471800,511654,66791,26937,538591,263472,37804,62744,145584,411106,471800,511654,66791,26937,0,0,0,0,0,0,0,0,0,0,17253.0,12228.0,-2789.0,-2015.0,5623.0,13749.0,15836.0,8945.0,1417.0,8308.0,100,48.9,7.0,11.6,27.0,76.3,87.6,95.0,12.4,5.0,100,48.9,7.0,11.6,27.0,76.3,87.6,95.0,12.4,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,190,64,72,45,57,276,159,335,190,64,72,45,57,276,159,0,0,0,0,0,0,0,0,27.1,39.8,38.3,57.6,22.1,35.3,28.1,45.5,27.1,39.8,38.3,57.6,22.1,35.3,28.1,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100504,2010-05-04,88691,CMX,1,88,551616,271511,40964,64110,151675,423261,487296,528335,64320,23281,551616,271511,40964,64110,151675,423261,487296,528335,64320,23281,0,0,0,0,0,0,0,0,0,0,13025.0,8039.0,3160.0,1366.0,6091.0,12155.0,15496.0,16681.0,-2471.0,-3656.0,100,49.2,7.4,11.6,27.5,76.7,88.3,95.8,11.7,4.2,100,49.2,7.4,11.6,27.5,76.7,88.3,95.8,11.7,4.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,208,66,67,46,56,288,159,352,208,66,67,46,56,288,159,0,0,0,0,0,0,0,0,26.4,40.6,38.1,58.1,22.1,36.2,28.3,45.6,26.4,40.6,38.1,58.1,22.1,36.2,28.3,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
GOLD - COMMODITY EXCHANGE INC.,100511,2010-05-11,88691,CMX,1,88,583504,282375,46550,58622,168306,450950,509303,556122,74201,27382,583504,282375,46550,58622,168306,450950,509303,556122,74201,27382,0,0,0,0,0,0,0,0,0,0,31888.0,10864.0,5586.0,-5488.0,16631.0,27689.0,22007.0,27787.0,9881.0,4101.0,100,48.4,8.0,10.0,28.8,77.3,87.3,95.3,12.7,4.7,100,48.4,8.0,10.0,28.8,77.3,87.3,95.3,12.7,4.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,203,74,72,45,58,287,169,356,203,74,72,45,58,287,169,0,0,0,0,0,0,0,0,25.9,41.6,37.4,58.9,22.5,36.7,28.0,46.4,25.9,41.6,37.4,58.9,22.5,36.7,28.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
