Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100105,2010-01-05,22651,NYME,1,22,317155,67465,17088,29911,170665,239844,268041,286843,49114,30312,317155,67465,17088,29911,170665,239844,268041,286843,49114,30312,0,0,0,0,0,0,0,0,0,0,2259.0,7773.0,1957.0,1772.0,-13465.0,-3418.0,-3920.0,311.0,6179.0,1948.0,100,21.3,5.4,9.4,53.8,75.6,84.5,90.4,15.5,9.6,100,21.3,5.4,9.4,53.8,75.6,84.5,90.4,15.5,9.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,52,19,35,69,82,140,123,168,52,19,35,69,82,140,123,0,0,0,0,0,0,0,0,23.1,25.6,33.0,36.8,18.0,19.3,26.7,26.6,23.1,25.6,33.0,36.8,18.0,19.3,26.7,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100112,2010-01-12,22651,NYME,1,22,332408,67656,18287,39121,178504,246670,285281,304078,47127,28330,332408,67656,18287,39121,178504,246670,285281,304078,47127,28330,0,0,0,0,0,0,0,0,0,0,15253.0,191.0,1199.0,9210.0,7839.0,6826.0,17240.0,17235.0,-1987.0,-1982.0,100,20.4,5.5,11.8,53.7,74.2,85.8,91.5,14.2,8.5,100,20.4,5.5,11.8,53.7,74.2,85.8,91.5,14.2,8.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,53,23,43,72,85,150,132,175,53,23,43,72,85,150,132,0,0,0,0,0,0,0,0,20.9,23.3,30.2,34.2,15.9,18.1,24.2,24.6,20.9,23.3,30.2,34.2,15.9,18.1,24.2,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100119,2010-01-19,22651,NYME,1,22,311199,56219,17961,39063,175376,228000,270658,285024,40541,26175,311199,56219,17961,39063,175376,228000,270658,285024,40541,26175,0,0,0,0,0,0,0,0,0,0,-21209.0,-11437.0,-326.0,-58.0,-3128.0,-18670.0,-14623.0,-19054.0,-6586.0,-2155.0,100,18.1,5.8,12.6,56.4,73.3,87.0,91.6,13.0,8.4,100,18.1,5.8,12.6,56.4,73.3,87.0,91.6,13.0,8.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,51,18,40,73,82,148,125,168,51,18,40,73,82,148,125,0,0,0,0,0,0,0,0,22.5,24.8,32.8,35.4,18.2,19.6,27.2,26.4,22.5,24.8,32.8,35.4,18.2,19.6,27.2,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100126,2010-01-26,22651,NYME,1,22,315328,51566,24649,38669,182224,223172,272459,286490,42869,28838,315328,51566,24649,38669,182224,223172,272459,286490,42869,28838,0,0,0,0,0,0,0,0,0,0,4129.0,-4653.0,6688.0,-394.0,6848.0,-4828.0,1801.0,1466.0,2328.0,2663.0,100,16.4,7.8,12.3,57.8,70.8,86.4,90.9,13.6,9.1,100,16.4,7.8,12.3,57.8,70.8,86.4,90.9,13.6,9.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,46,24,42,64,79,138,126,165,46,24,42,64,79,138,126,0,0,0,0,0,0,0,0,23.8,23.3,34.3,33.5,19.9,18.5,29.0,25.3,23.8,23.3,34.3,33.5,19.9,18.5,29.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100202,2010-02-02,22651,NYME,1,22,312191,49530,27246,40831,184171,215571,274532,283648,37659,28543,312191,49530,27246,40831,184171,215571,274532,283648,37659,28543,0,0,0,0,0,0,0,0,0,0,-3137.0,-2036.0,2597.0,2162.0,1947.0,-7601.0,2073.0,-2842.0,-5210.0,-295.0,100,15.9,8.7,13.1,59.0,69.1,87.9,90.9,12.1,9.1,100,15.9,8.7,13.1,59.0,69.1,87.9,90.9,12.1,9.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,45,27,41,70,85,140,135,169,45,27,41,70,85,140,135,0,0,0,0,0,0,0,0,24.2,22.5,35.2,33.0,20.6,18.2,30.3,25.4,24.2,22.5,35.2,33.0,20.6,18.2,30.3,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100209,2010-02-09,22651,NYME,1,22,313712,41845,27087,42779,191688,213998,276312,283864,37400,29848,313712,41845,27087,42779,191688,213998,276312,283864,37400,29848,0,0,0,0,0,0,0,0,0,0,1521.0,-7685.0,-159.0,1948.0,7517.0,-1573.0,1780.0,216.0,-259.0,1305.0,100,13.3,8.6,13.6,61.1,68.2,88.1,90.5,11.9,9.5,100,13.3,8.6,13.6,61.1,68.2,88.1,90.5,11.9,9.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,32,27,42,72,80,129,131,153,32,27,42,72,80,129,131,0,0,0,0,0,0,0,0,23.7,22.4,34.6,32.8,20.1,18.2,29.8,25.4,23.7,22.4,34.6,32.8,20.1,18.2,29.8,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100216,2010-02-16,22651,NYME,1,22,300777,42141,25957,39123,181885,206579,263149,271659,37628,29118,300777,42141,25957,39123,181885,206579,263149,271659,37628,29118,0,0,0,0,0,0,0,0,0,0,-12935.0,296.0,-1130.0,-3656.0,-9803.0,-7419.0,-13163.0,-12205.0,228.0,-730.0,100,14.0,8.6,13.0,60.5,68.7,87.5,90.3,12.5,9.7,100,14.0,8.6,13.0,60.5,68.7,87.5,90.3,12.5,9.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,36,22,39,70,78,126,124,148,36,22,39,70,78,126,124,0,0,0,0,0,0,0,0,23.4,23.0,33.8,33.0,19.8,18.4,29.9,26.0,23.4,23.0,33.8,33.0,19.8,18.4,29.9,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100223,2010-02-23,22651,NYME,1,22,304732,49653,21430,37933,174884,219051,262470,278414,42262,26318,304732,49653,21430,37933,174884,219051,262470,278414,42262,26318,0,0,0,0,0,0,0,0,0,0,3955.0,7512.0,-4527.0,-1190.0,-7001.0,12472.0,-679.0,6755.0,4634.0,-2800.0,100,16.3,7.0,12.4,57.4,71.9,86.1,91.4,13.9,8.6,100,16.3,7.0,12.4,57.4,71.9,86.1,91.4,13.9,8.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,42,22,42,62,76,129,122,153,42,22,42,62,76,129,122,0,0,0,0,0,0,0,0,22.9,25.3,33.2,35.7,18.9,21.7,28.9,28.8,22.9,25.3,33.2,35.7,18.9,21.7,28.9,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100302,2010-03-02,22651,NYME,1,22,300511,48779,24944,37123,172758,214932,258660,276999,41851,23512,300511,48779,24944,37123,172758,214932,258660,276999,41851,23512,0,0,0,0,0,0,0,0,0,0,-4221.0,-874.0,3514.0,-810.0,-2126.0,-4119.0,-3810.0,-1415.0,-411.0,-2806.0,100,16.2,8.3,12.4,57.5,71.5,86.1,92.2,13.9,7.8,100,16.2,8.3,12.4,57.5,71.5,86.1,92.2,13.9,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,38,25,42,66,76,133,122,156,38,25,42,66,76,133,122,0,0,0,0,0,0,0,0,22.8,25.5,33.7,36.6,18.8,21.5,29.1,29.2,22.8,25.5,33.7,36.6,18.8,21.5,29.1,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100309,2010-03-09,22651,NYME,1,22,318425,50966,26168,37616,185680,231415,274262,295199,44163,23226,318425,50966,26168,37616,185680,231415,274262,295199,44163,23226,0,0,0,0,0,0,0,0,0,0,17914.0,2187.0,1224.0,493.0,12922.0,16483.0,15602.0,18200.0,2312.0,-286.0,100,16.0,8.2,11.8,58.3,72.7,86.1,92.7,13.9,7.3,100,16.0,8.2,11.8,58.3,72.7,86.1,92.7,13.9,7.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,40,25,44,73,80,144,127,165,40,25,44,73,80,144,127,0,0,0,0,0,0,0,0,20.7,25.8,31.4,36.8,17.6,21.6,27.3,29.2,20.7,25.8,31.4,36.8,17.6,21.6,27.3,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)"
