Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,13874A,CME,0,138,2406829,379409,286336,22713,1812522,1859405,2214644,2168454,192185,238375,2406829,379409,286336,22713,1812522,1859405,2214644,2168454,192185,238375,0,0,0,0,0,0,0,0,0,0,6202.0,3080.0,-29482.0,13773.0,-19021.0,20175.0,-2168.0,4466.0,8370.0,1736.0,100,15.8,11.9,0.9,75.3,77.3,92.0,90.1,8.0,9.9,100,15.8,11.9,0.9,75.3,77.3,92.0,90.1,8.0,9.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413,92,79,29,144,160,249,255,413,92,79,29,144,160,249,255,0,0,0,0,0,0,0,0,22.3,24.2,33.0,33.4,21.4,21.4,30.3,30.3,22.3,24.2,33.0,33.4,21.4,21.4,30.3,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,13874A,CME,0,138,2445201,383303,334458,15854,1846532,1826040,2245689,2176352,199512,268849,2445201,383303,334458,15854,1846532,1826040,2245689,2176352,199512,268849,0,0,0,0,0,0,0,0,0,0,38372.0,3894.0,48122.0,-6859.0,34010.0,-33365.0,31045.0,7898.0,7327.0,30474.0,100,15.7,13.7,0.6,75.5,74.7,91.8,89.0,8.2,11.0,100,15.7,13.7,0.6,75.5,74.7,91.8,89.0,8.2,11.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,94,87,28,152,159,257,263,424,94,87,28,152,159,257,263,0,0,0,0,0,0,0,0,22.2,21.2,32.9,29.7,21.4,18.3,30.3,26.5,22.2,21.2,32.9,29.7,21.4,18.3,30.3,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,13874A,CME,0,138,2479545,396022,346720,14740,1878802,1846906,2289564,2208366,189981,271179,2479545,396022,346720,14740,1878802,1846906,2289564,2208366,189981,271179,0,0,0,0,0,0,0,0,0,0,34344.0,12719.0,12262.0,-1114.0,32270.0,20866.0,43875.0,32014.0,-9531.0,2330.0,100,16.0,14.0,0.6,75.8,74.5,92.3,89.1,7.7,10.9,100,16.0,14.0,0.6,75.8,74.5,92.3,89.1,7.7,10.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427,93,89,32,150,163,260,267,427,93,89,32,150,163,260,267,0,0,0,0,0,0,0,0,21.8,20.2,32.1,28.2,21.0,17.3,29.3,25.2,21.8,20.2,32.1,28.2,21.0,17.3,29.3,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,13874A,CME,0,138,2633024,501352,409006,28886,1889805,1926274,2420043,2364166,212981,268858,2633024,501352,409006,28886,1889805,1926274,2420043,2364166,212981,268858,0,0,0,0,0,0,0,0,0,0,153479.0,105330.0,62286.0,14146.0,11003.0,79368.0,130479.0,155800.0,23000.0,-2321.0,100,19.0,15.5,1.1,71.8,73.2,91.9,89.8,8.1,10.2,100,19.0,15.5,1.1,71.8,73.2,91.9,89.8,8.1,10.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,98,92,37,152,162,265,277,439,98,92,37,152,162,265,277,0,0,0,0,0,0,0,0,21.2,20.4,32.8,28.3,21.2,17.5,30.2,25.2,21.2,20.4,32.8,28.3,21.2,17.5,30.2,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,13874A,CME,0,138,2710912,554666,455450,22897,1867372,1923817,2444935,2402164,265977,308748,2710912,554666,455450,22897,1867372,1923817,2444935,2402164,265977,308748,0,0,0,0,0,0,0,0,0,0,77888.0,53314.0,46444.0,-5989.0,-22433.0,-2457.0,24892.0,37998.0,52996.0,39890.0,100,20.5,16.8,0.8,68.9,71.0,90.2,88.6,9.8,11.4,100,20.5,16.8,0.8,68.9,71.0,90.2,88.6,9.8,11.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,96,97,39,154,164,267,284,444,96,97,39,154,164,267,284,0,0,0,0,0,0,0,0,22.0,19.9,32.8,27.2,21.7,17.0,30.0,24.0,22.0,19.9,32.8,27.2,21.7,17.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,13874A,CME,0,138,2835286,672728,432358,18392,1895447,2016966,2586567,2467716,248719,367570,2835286,672728,432358,18392,1895447,2016966,2586567,2467716,248719,367570,0,0,0,0,0,0,0,0,0,0,124374.0,118062.0,-23092.0,-4505.0,28075.0,93149.0,141632.0,65552.0,-17258.0,58822.0,100,23.7,15.2,0.6,66.9,71.1,91.2,87.0,8.8,13.0,100,23.7,15.2,0.6,66.9,71.1,91.2,87.0,8.8,13.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453,92,103,35,155,176,259,303,453,92,103,35,155,176,259,303,0,0,0,0,0,0,0,0,24.9,19.5,35.4,26.5,24.8,16.5,32.8,23.0,24.9,19.5,35.4,26.5,24.8,16.5,32.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,13874A,CME,0,138,2827987,693451,462331,17189,1923118,2037876,2633758,2517396,194229,310591,2827987,693451,462331,17189,1923118,2037876,2633758,2517396,194229,310591,0,0,0,0,0,0,0,0,0,0,-7299.0,20723.0,29973.0,-1203.0,27671.0,20910.0,47191.0,49680.0,-54490.0,-56979.0,100,24.5,16.3,0.6,68.0,72.1,93.1,89.0,6.9,11.0,100,24.5,16.3,0.6,68.0,72.1,93.1,89.0,6.9,11.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462,93,109,36,151,175,260,305,462,93,109,36,151,175,260,305,0,0,0,0,0,0,0,0,26.5,20.8,37.6,27.8,26.3,17.7,35.1,24.2,26.5,20.8,37.6,27.8,26.3,17.7,35.1,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,13874A,CME,0,138,2847974,707401,468932,23929,1950668,2025239,2681998,2518100,165976,329874,2847974,707401,468932,23929,1950668,2025239,2681998,2518100,165976,329874,0,0,0,0,0,0,0,0,0,0,19987.0,13950.0,6601.0,6740.0,27550.0,-12637.0,48240.0,704.0,-28253.0,19283.0,100,24.8,16.5,0.8,68.5,71.1,94.2,88.4,5.8,11.6,100,24.8,16.5,0.8,68.5,71.1,94.2,88.4,5.8,11.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,88,106,37,153,170,260,295,444,88,106,37,153,170,260,295,0,0,0,0,0,0,0,0,26.8,19.7,37.8,26.3,26.4,16.6,35.0,22.6,26.8,19.7,37.8,26.3,26.4,16.6,35.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,13874A,CME,0,138,2870663,719461,476567,27082,1927973,2025890,2674516,2529539,196147,341124,2870663,719461,476567,27082,1927973,2025890,2674516,2529539,196147,341124,0,0,0,0,0,0,0,0,0,0,22689.0,12060.0,7635.0,3153.0,-22695.0,651.0,-7482.0,11439.0,30171.0,11250.0,100,25.1,16.6,0.9,67.2,70.6,93.2,88.1,6.8,11.9,100,25.1,16.6,0.9,67.2,70.6,93.2,88.1,6.8,11.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461,93,109,38,155,177,268,305,461,93,109,38,155,177,268,305,0,0,0,0,0,0,0,0,26.3,19.6,37.6,26.3,26.1,16.5,35.0,22.7,26.3,19.6,37.6,26.3,26.1,16.5,35.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,13874A,CME,0,138,2971944,705372,502237,36588,2025881,2126061,2767841,2664886,204103,307058,2971944,705372,502237,36588,2025881,2126061,2767841,2664886,204103,307058,0,0,0,0,0,0,0,0,0,0,101281.0,-14089.0,25670.0,9506.0,97908.0,100171.0,93325.0,135347.0,7956.0,-34066.0,100,23.7,16.9,1.2,68.2,71.5,93.1,89.7,6.9,10.3,100,23.7,16.9,1.2,68.2,71.5,93.1,89.7,6.9,10.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465,103,106,38,152,182,272,310,465,103,106,38,152,182,272,310,0,0,0,0,0,0,0,0,26.0,20.0,37.4,26.6,24.9,16.3,33.2,22.7,26.0,20.0,37.4,26.6,24.9,16.3,33.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($50 X S&P 500 INDEX)
