Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,23651,NYME,1,23,724087,82285,238874,257881,308551,188724,648717,685479,75370,38608,724087,82285,238874,257881,308551,188724,648717,685479,75370,38608,0,0,0,0,0,0,0,0,0,0,22185.0,-436.0,9624.0,12484.0,5555.0,-3962.0,17603.0,18146.0,4582.0,4039.0,100,11.4,33.0,35.6,42.6,26.1,89.6,94.7,10.4,5.3,100,11.4,33.0,35.6,42.6,26.1,89.6,94.7,10.4,5.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,67,81,104,83,67,222,194,250,67,81,104,83,67,222,194,0,0,0,0,0,0,0,0,21.0,37.2,33.5,48.4,13.5,23.8,19.2,29.1,21.0,37.2,33.5,48.4,13.5,23.8,19.2,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,23651,NYME,1,23,760159,90030,253840,271504,320780,194134,682314,719478,77845,40681,760159,90030,253840,271504,320780,194134,682314,719478,77845,40681,0,0,0,0,0,0,0,0,0,0,36072.0,7745.0,14966.0,13623.0,12229.0,5410.0,33597.0,33999.0,2475.0,2073.0,100,11.8,33.4,35.7,42.2,25.5,89.8,94.6,10.2,5.4,100,11.8,33.4,35.7,42.2,25.5,89.8,94.6,10.2,5.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,74,81,110,82,66,228,198,252,74,81,110,82,66,228,198,0,0,0,0,0,0,0,0,21.6,36.8,34.2,47.7,13.6,23.2,19.4,28.6,21.6,36.8,34.2,47.7,13.6,23.2,19.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,23651,NYME,1,23,782549,88567,257289,285653,333490,202002,707710,744944,74839,37605,782549,88567,257289,285653,333490,202002,707710,744944,74839,37605,0,0,0,0,0,0,0,0,0,0,22390.0,-1463.0,3449.0,14149.0,12710.0,7868.0,25396.0,25466.0,-3006.0,-3076.0,100,11.3,32.9,36.5,42.6,25.8,90.4,95.2,9.6,4.8,100,11.3,32.9,36.5,42.6,25.8,90.4,95.2,9.6,4.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,78,83,115,84,70,236,208,263,78,83,115,84,70,236,208,0,0,0,0,0,0,0,0,21.9,36.6,34.6,47.7,13.7,22.8,19.6,27.7,21.9,36.6,34.6,47.7,13.7,22.8,19.6,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,23651,NYME,1,23,769887,88479,251033,289885,318212,194613,696576,735531,73311,34356,769887,88479,251033,289885,318212,194613,696576,735531,73311,34356,0,0,0,0,0,0,0,0,0,0,-12662.0,-88.0,-6256.0,4232.0,-15278.0,-7389.0,-11134.0,-9413.0,-1528.0,-3249.0,100,11.5,32.6,37.7,41.3,25.3,90.5,95.5,9.5,4.5,100,11.5,32.6,37.7,41.3,25.3,90.5,95.5,9.5,4.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,65,89,109,84,71,225,205,253,65,89,109,84,71,225,205,0,0,0,0,0,0,0,0,22.5,36.9,35.1,47.9,13.5,22.3,19.5,27.4,22.5,36.9,35.1,47.9,13.5,22.3,19.5,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,23651,NYME,1,23,782673,76996,236354,306387,323105,199940,706488,742681,76185,39992,782673,76996,236354,306387,323105,199940,706488,742681,76185,39992,0,0,0,0,0,0,0,0,0,0,12786.0,-11483.0,-14679.0,16502.0,4893.0,5327.0,9912.0,7150.0,2874.0,5636.0,100,9.8,30.2,39.1,41.3,25.5,90.3,94.9,9.7,5.1,100,9.8,30.2,39.1,41.3,25.5,90.3,94.9,9.7,5.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,68,93,116,82,71,229,216,262,68,93,116,82,71,229,216,0,0,0,0,0,0,0,0,22.9,33.9,34.9,45.0,13.4,18.7,19.0,23.8,22.9,33.9,34.9,45.0,13.4,18.7,19.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,23651,NYME,1,23,775827,77392,228219,312312,309849,193069,699553,733600,76274,42227,775827,77392,228219,312312,309849,193069,699553,733600,76274,42227,0,0,0,0,0,0,0,0,0,0,-6846.0,396.0,-8135.0,5925.0,-13256.0,-6871.0,-6935.0,-9081.0,89.0,2235.0,100,10.0,29.4,40.3,39.9,24.9,90.2,94.6,9.8,5.4,100,10.0,29.4,40.3,39.9,24.9,90.2,94.6,9.8,5.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,63,88,113,80,69,222,208,251,63,88,113,80,69,222,208,0,0,0,0,0,0,0,0,23.3,33.9,35.2,44.8,13.2,18.3,18.5,23.2,23.3,33.9,35.2,44.8,13.2,18.3,18.5,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,23651,NYME,1,23,780477,78088,232380,312548,313047,192694,703683,737622,76794,42855,780477,78088,232380,312548,313047,192694,703683,737622,76794,42855,0,0,0,0,0,0,0,0,0,0,4650.0,696.0,4161.0,236.0,3198.0,-375.0,4130.0,4022.0,520.0,628.0,100,10.0,29.8,40.0,40.1,24.7,90.2,94.5,9.8,5.5,100,10.0,29.8,40.0,40.1,24.7,90.2,94.5,9.8,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,70,89,125,80,67,236,214,261,70,89,125,80,67,236,214,0,0,0,0,0,0,0,0,23.0,33.3,35.1,43.9,13.4,18.0,18.7,22.7,23.0,33.3,35.1,43.9,13.4,18.0,18.7,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,23651,NYME,1,23,794836,76544,242835,319187,322650,191096,718381,753118,76455,41718,794836,76544,242835,319187,322650,191096,718381,753118,76455,41718,0,0,0,0,0,0,0,0,0,0,14359.0,-1544.0,10455.0,6639.0,9603.0,-1598.0,14698.0,15496.0,-339.0,-1137.0,100,9.6,30.6,40.2,40.6,24.0,90.4,94.8,9.6,5.2,100,9.6,30.6,40.2,40.6,24.0,90.4,94.8,9.6,5.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,71,87,113,81,67,224,210,257,71,87,113,81,67,224,210,0,0,0,0,0,0,0,0,24.9,33.9,36.8,44.4,13.2,17.0,18.2,23.2,24.9,33.9,36.8,44.4,13.2,17.0,18.2,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,23651,NYME,1,23,820300,86997,257664,325764,329774,189427,742535,772855,77765,47445,820300,86997,257664,325764,329774,189427,742535,772855,77765,47445,0,0,0,0,0,0,0,0,0,0,25464.0,10453.0,14829.0,6577.0,7124.0,-1669.0,24154.0,19737.0,1310.0,5727.0,100,10.6,31.4,39.7,40.2,23.1,90.5,94.2,9.5,5.8,100,10.6,31.4,39.7,40.2,23.1,90.5,94.2,9.5,5.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,74,94,114,83,68,230,217,270,74,94,114,83,68,230,217,0,0,0,0,0,0,0,0,24.5,33.4,36.0,44.6,13.1,17.8,18.4,24.1,24.5,33.4,36.0,44.6,13.1,17.8,18.4,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)"
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,23651,NYME,1,23,853259,92921,267490,337818,343835,201266,774574,806574,78685,46685,853259,92921,267490,337818,343835,201266,774574,806574,78685,46685,0,0,0,0,0,0,0,0,0,0,32959.0,5924.0,9826.0,12054.0,14061.0,11839.0,32039.0,33719.0,920.0,-760.0,100,10.9,31.3,39.6,40.3,23.6,90.8,94.5,9.2,5.5,100,10.9,31.3,39.6,40.3,23.6,90.8,94.5,9.2,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,77,92,118,79,66,232,218,270,77,92,118,79,66,232,218,0,0,0,0,0,0,0,0,24.3,32.5,35.6,45.0,12.8,17.4,17.9,24.0,24.3,32.5,35.6,45.0,12.8,17.4,17.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)"
