Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,75651,NYME,1,75,23379,16060,1942,322,4063,20470,20445,22734,2934,645,23379,16060,1942,322,4063,20470,20445,22734,2934,645,0,0,0,0,0,0,0,0,0,0,977.0,-38.0,-170.0,140.0,499.0,778.0,601.0,748.0,376.0,229.0,100,68.7,8.3,1.4,17.4,87.6,87.5,97.2,12.5,2.8,100,68.7,8.3,1.4,17.4,87.6,87.5,97.2,12.5,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,89,16,5,19,27,111,45,148,89,16,5,19,27,111,45,0,0,0,0,0,0,0,0,21.0,43.2,35.0,64.9,20.3,43.0,34.3,64.6,21.0,43.2,35.0,64.9,20.3,43.0,34.3,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,75651,NYME,1,75,23437,15603,2783,484,4136,19583,20223,22850,3214,587,23437,15603,2783,484,4136,19583,20223,22850,3214,587,0,0,0,0,0,0,0,0,0,0,58.0,-457.0,841.0,162.0,73.0,-887.0,-222.0,116.0,280.0,-58.0,100,66.6,11.9,2.1,17.6,83.6,86.3,97.5,13.7,2.5,100,66.6,11.9,2.1,17.6,83.6,86.3,97.5,13.7,2.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,89,22,6,21,28,114,53,156,89,22,6,21,28,114,53,0,0,0,0,0,0,0,0,20.7,40.5,34.2,62.0,20.0,40.0,33.4,61.2,20.7,40.5,34.2,62.0,20.0,40.0,33.4,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,75651,NYME,1,75,23262,15612,3313,717,3919,18757,20248,22787,3014,475,23262,15612,3313,717,3919,18757,20248,22787,3014,475,0,0,0,0,0,0,0,0,0,0,-175.0,9.0,530.0,233.0,-217.0,-826.0,25.0,-63.0,-200.0,-112.0,100,67.1,14.2,3.1,16.8,80.6,87.0,98.0,13.0,2.0,100,67.1,14.2,3.1,16.8,80.6,87.0,98.0,13.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,92,20,8,20,29,117,53,156,92,20,8,20,29,117,53,0,0,0,0,0,0,0,0,20.7,39.2,34.9,61.4,19.9,38.8,34.1,60.6,20.7,39.2,34.9,61.4,19.9,38.8,34.1,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,75651,NYME,1,75,23354,15964,3928,631,3934,18274,20529,22833,2825,521,23354,15964,3928,631,3934,18274,20529,22833,2825,521,0,0,0,0,0,0,0,0,0,0,92.0,352.0,615.0,-86.0,15.0,-483.0,281.0,46.0,-189.0,46.0,100,68.4,16.8,2.7,16.8,78.2,87.9,97.8,12.1,2.2,100,68.4,16.8,2.7,16.8,78.2,87.9,97.8,12.1,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,85,25,8,21,29,111,58,154,85,25,8,21,29,111,58,0,0,0,0,0,0,0,0,21.8,37.0,35.7,58.8,21.0,36.6,34.8,58.0,21.8,37.0,35.7,58.8,21.0,36.6,34.8,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,75651,NYME,1,75,23024,16222,3894,553,3480,18064,20255,22511,2769,513,23024,16222,3894,553,3480,18064,20255,22511,2769,513,0,0,0,0,0,0,0,0,0,0,-330.0,258.0,-34.0,-78.0,-454.0,-210.0,-274.0,-322.0,-56.0,-8.0,100,70.5,16.9,2.4,15.1,78.5,88.0,97.8,12.0,2.2,100,70.5,16.9,2.4,15.1,78.5,88.0,97.8,12.0,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,88,26,8,22,30,116,60,161,88,26,8,22,30,116,60,0,0,0,0,0,0,0,0,21.9,37.4,36.4,59.1,21.9,36.6,36.1,58.3,21.9,37.4,36.4,59.1,21.9,36.6,36.1,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,75651,NYME,1,75,22095,16383,4077,481,2902,17149,19766,21707,2329,388,22095,16383,4077,481,2902,17149,19766,21707,2329,388,0,0,0,0,0,0,0,0,0,0,-929.0,161.0,183.0,-72.0,-578.0,-915.0,-489.0,-804.0,-440.0,-125.0,100,74.1,18.5,2.2,13.1,77.6,89.5,98.2,10.5,1.8,100,74.1,18.5,2.2,13.1,77.6,89.5,98.2,10.5,1.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,74,31,8,19,32,100,68,153,74,31,8,19,32,100,68,0,0,0,0,0,0,0,0,24.6,39.7,39.9,59.2,24.6,39.2,39.9,58.7,24.6,39.7,39.9,59.2,24.6,39.2,39.9,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,75651,NYME,1,75,22813,17027,3953,446,2781,17825,20254,22224,2559,589,22813,17027,3953,446,2781,17825,20254,22224,2559,589,0,0,0,0,0,0,0,0,0,0,718.0,644.0,-124.0,-35.0,-121.0,676.0,488.0,517.0,230.0,201.0,100,74.6,17.3,2.0,12.2,78.1,88.8,97.4,11.2,2.6,100,74.6,17.3,2.0,12.2,78.1,88.8,97.4,11.2,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,76,26,7,18,34,100,64,148,76,26,7,18,34,100,64,0,0,0,0,0,0,0,0,24.8,38.1,39.7,57.1,24.7,38.1,39.3,57.0,24.8,38.1,39.7,57.1,24.7,38.1,39.3,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,75651,NYME,1,75,23459,16537,3404,411,3078,18330,20026,22145,3433,1314,23459,16537,3404,411,3078,18330,20026,22145,3433,1314,0,0,0,0,0,0,0,0,0,0,646.0,-490.0,-549.0,-35.0,297.0,505.0,-228.0,-79.0,874.0,725.0,100,70.5,14.5,1.8,13.1,78.1,85.4,94.4,14.6,5.6,100,70.5,14.5,1.8,13.1,78.1,85.4,94.4,14.6,5.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,71,26,4,19,28,94,55,139,71,26,4,19,28,94,55,0,0,0,0,0,0,0,0,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,75651,NYME,1,75,21597,15802,3465,78,3062,17651,18942,21194,2655,403,21597,15802,3465,78,3062,17651,18942,21194,2655,403,0,0,0,0,0,0,0,0,0,0,-1862.0,-735.0,61.0,-333.0,-16.0,-679.0,-1084.0,-951.0,-778.0,-911.0,100,73.2,16.0,0.4,14.2,81.7,87.7,98.1,12.3,1.9,100,73.2,16.0,0.4,14.2,81.7,87.7,98.1,12.3,1.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,76,22,2,23,30,101,52,142,76,22,2,23,30,101,52,0,0,0,0,0,0,0,0,24.8,41.9,40.2,61.6,24.8,41.8,40.2,61.3,24.8,41.9,40.2,61.6,24.8,41.8,40.2,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,75651,NYME,1,75,22195,15831,3235,94,3258,18381,19183,21710,3012,485,22195,15831,3235,94,3258,18381,19183,21710,3012,485,0,0,0,0,0,0,0,0,0,0,598.0,29.0,-230.0,16.0,196.0,730.0,241.0,516.0,357.0,82.0,100,71.3,14.6,0.4,14.7,82.8,86.4,97.8,13.6,2.2,100,71.3,14.6,0.4,14.7,82.8,86.4,97.8,13.6,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,83,20,3,20,29,106,49,147,83,20,3,20,29,106,49,0,0,0,0,0,0,0,0,24.5,41.6,38.1,61.0,24.5,41.6,38.1,60.4,24.5,41.6,38.1,61.0,24.5,41.6,38.1,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES)
