Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,76651,NYME,1,76,33582,21663,1285,273,6265,30858,28201,32416,5381,1166,33582,21663,1285,273,6265,30858,28201,32416,5381,1166,0,0,0,0,0,0,0,0,0,0,1109.0,612.0,-507.0,-213.0,489.0,1647.0,888.0,927.0,221.0,182.0,100,64.5,3.8,0.8,18.7,91.9,84.0,96.5,16.0,3.5,100,64.5,3.8,0.8,18.7,91.9,84.0,96.5,16.0,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,80,9,3,18,30,101,39,130,80,9,3,18,30,101,39,0,0,0,0,0,0,0,0,22.3,30.7,34.7,50.5,22.3,30.7,34.7,50.4,22.3,30.7,34.7,50.5,22.3,30.7,34.7,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,76651,NYME,1,76,34502,23013,2854,196,5770,30368,28979,33418,5523,1084,34502,23013,2854,196,5770,30368,28979,33418,5523,1084,0,0,0,0,0,0,0,0,0,0,920.0,1350.0,1569.0,-77.0,-495.0,-490.0,778.0,1002.0,142.0,-82.0,100,66.7,8.3,0.6,16.7,88.0,84.0,96.9,16.0,3.1,100,66.7,8.3,0.6,16.7,88.0,84.0,96.9,16.0,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,82,12,2,17,32,101,44,136,82,12,2,17,32,101,44,0,0,0,0,0,0,0,0,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,76651,NYME,1,76,34352,22844,3416,471,5634,29221,28949,33108,5403,1244,34352,22844,3416,471,5634,29221,28949,33108,5403,1244,0,0,0,0,0,0,0,0,0,0,-150.0,-169.0,562.0,275.0,-136.0,-1147.0,-30.0,-310.0,-120.0,160.0,100,66.5,9.9,1.4,16.4,85.1,84.3,96.4,15.7,3.6,100,66.5,9.9,1.4,16.4,85.1,84.3,96.4,15.7,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,83,16,6,17,32,105,50,142,83,16,6,17,32,105,50,0,0,0,0,0,0,0,0,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,76651,NYME,1,76,34697,22932,4418,647,5976,28528,29555,33593,5142,1104,34697,22932,4418,647,5976,28528,29555,33593,5142,1104,0,0,0,0,0,0,0,0,0,0,345.0,88.0,1002.0,176.0,342.0,-693.0,606.0,485.0,-261.0,-140.0,100,66.1,12.7,1.9,17.2,82.2,85.2,96.8,14.8,3.2,100,66.1,12.7,1.9,17.2,82.2,85.2,96.8,14.8,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,81,20,7,17,30,104,52,141,81,20,7,17,30,104,52,0,0,0,0,0,0,0,0,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,76651,NYME,1,76,35072,23309,4286,623,6178,28810,30110,33719,4962,1353,35072,23309,4286,623,6178,28810,30110,33719,4962,1353,0,0,0,0,0,0,0,0,0,0,375.0,377.0,-132.0,-24.0,202.0,282.0,555.0,126.0,-180.0,249.0,100,66.5,12.2,1.8,17.6,82.1,85.9,96.1,14.1,3.9,100,66.5,12.2,1.8,17.6,82.1,85.9,96.1,14.1,3.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,84,21,7,17,32,106,56,146,84,21,7,17,32,106,56,0,0,0,0,0,0,0,0,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,76651,NYME,1,76,34325,23263,3929,770,5771,28300,29804,32999,4521,1326,34325,23263,3929,770,5771,28300,29804,32999,4521,1326,0,0,0,0,0,0,0,0,0,0,-747.0,-46.0,-357.0,147.0,-407.0,-510.0,-306.0,-720.0,-441.0,-27.0,100,67.8,11.4,2.2,16.8,82.4,86.8,96.1,13.2,3.9,100,67.8,11.4,2.2,16.8,82.4,86.8,96.1,13.2,3.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,85,20,9,19,32,112,55,147,85,20,9,19,32,112,55,0,0,0,0,0,0,0,0,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,76651,NYME,1,76,35153,23881,3824,774,5497,29027,30152,33625,5001,1528,35153,23881,3824,774,5497,29027,30152,33625,5001,1528,0,0,0,0,0,0,0,0,0,0,828.0,618.0,-105.0,4.0,-274.0,727.0,348.0,626.0,480.0,202.0,100,67.9,10.9,2.2,15.6,82.6,85.8,95.7,14.2,4.3,100,67.9,10.9,2.2,15.6,82.6,85.8,95.7,14.2,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,85,16,9,20,34,112,54,145,85,16,9,20,34,112,54,0,0,0,0,0,0,0,0,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,76651,NYME,1,76,34991,23303,3026,780,5576,29726,29659,33532,5332,1459,34991,23303,3026,780,5576,29726,29659,33532,5332,1459,0,0,0,0,0,0,0,0,0,0,-162.0,-578.0,-798.0,6.0,79.0,699.0,-493.0,-93.0,331.0,-69.0,100,66.6,8.6,2.2,15.9,85.0,84.8,95.8,15.2,4.2,100,66.6,8.6,2.2,15.9,85.0,84.8,95.8,15.2,4.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,84,17,8,20,33,110,53,144,84,17,8,20,33,110,53,0,0,0,0,0,0,0,0,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,76651,NYME,1,76,35096,23711,2608,375,5526,30799,29612,33782,5484,1314,35096,23711,2608,375,5526,30799,29612,33782,5484,1314,0,0,0,0,0,0,0,0,0,0,105.0,408.0,-418.0,-405.0,-50.0,1073.0,-47.0,250.0,152.0,-145.0,100,67.6,7.4,1.1,15.7,87.8,84.4,96.3,15.6,3.7,100,67.6,7.4,1.1,15.7,87.8,84.4,96.3,15.6,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,82,16,4,21,32,107,49,141,82,16,4,21,32,107,49,0,0,0,0,0,0,0,0,18.7,33.7,30.7,53.1,18.7,33.6,30.7,52.9,18.7,33.7,30.7,53.1,18.7,33.6,30.7,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,76651,NYME,1,76,35953,24468,2978,428,5710,31012,30606,34418,5347,1535,35953,24468,2978,428,5710,31012,30606,34418,5347,1535,0,0,0,0,0,0,0,0,0,0,857.0,757.0,370.0,53.0,184.0,213.0,994.0,636.0,-137.0,221.0,100,68.1,8.3,1.2,15.9,86.3,85.1,95.7,14.9,4.3,100,68.1,8.3,1.2,15.9,86.3,85.1,95.7,14.9,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,86,17,4,22,33,112,52,148,86,17,4,22,33,112,52,0,0,0,0,0,0,0,0,18.3,31.5,30.0,49.7,18.3,31.4,30.0,49.6,18.3,31.5,30.0,49.7,18.3,31.4,30.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES)
