Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
SILVER - COMMODITY EXCHANGE INC.,100105,2010-01-05,84691,CMX,1,84,125391,44312,4813,22940,26098,83488,93350,111241,32041,14150,125391,44312,4813,22940,26098,83488,93350,111241,32041,14150,0,0,0,0,0,0,0,0,0,0,1057.0,2426.0,1648.0,-725.0,-1262.0,-1222.0,439.0,-299.0,618.0,1356.0,100,35.3,3.8,18.3,20.8,66.6,74.4,88.7,25.6,11.3,100,35.3,3.8,18.3,20.8,66.6,74.4,88.7,25.6,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,86,17,27,35,34,135,70,159,86,17,27,35,34,135,70,0,0,0,0,0,0,0,0,19.9,56.2,28.7,67.5,10.5,45.9,18.8,53.2,19.9,56.2,28.7,67.5,10.5,45.9,18.8,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100112,2010-01-12,84691,CMX,1,84,128675,48703,4175,23583,26124,87870,98410,115628,30265,13047,128675,48703,4175,23583,26124,87870,98410,115628,30265,13047,0,0,0,0,0,0,0,0,0,0,3284.0,4391.0,-638.0,643.0,26.0,4382.0,5060.0,4387.0,-1776.0,-1103.0,100,37.8,3.2,18.3,20.3,68.3,76.5,89.9,23.5,10.1,100,37.8,3.2,18.3,20.3,68.3,76.5,89.9,23.5,10.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,80,20,30,35,33,128,75,156,80,20,30,35,33,128,75,0,0,0,0,0,0,0,0,20.6,57.7,29.2,68.8,11.0,47.7,19.1,55.1,20.6,57.7,29.2,68.8,11.0,47.7,19.1,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100119,2010-01-19,84691,CMX,1,84,131385,49357,5056,22737,26749,88439,98843,116232,32542,15153,131385,49357,5056,22737,26749,88439,98843,116232,32542,15153,0,0,0,0,0,0,0,0,0,0,2710.0,654.0,881.0,-846.0,625.0,569.0,433.0,604.0,2277.0,2106.0,100,37.6,3.8,17.3,20.4,67.3,75.2,88.5,24.8,11.5,100,37.6,3.8,17.3,20.4,67.3,75.2,88.5,24.8,11.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,77,28,32,35,33,129,79,160,77,28,32,35,33,129,79,0,0,0,0,0,0,0,0,19.5,54.7,27.6,65.8,11.1,46.5,18.8,53.9,19.5,54.7,27.6,65.8,11.1,46.5,18.8,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100126,2010-01-26,84691,CMX,1,84,124895,41473,4404,22369,29036,83747,92878,110520,32017,14375,124895,41473,4404,22369,29036,83747,92878,110520,32017,14375,0,0,0,0,0,0,0,0,0,0,-6490.0,-7884.0,-652.0,-368.0,2287.0,-4692.0,-5965.0,-5712.0,-525.0,-778.0,100,33.2,3.5,17.9,23.2,67.1,74.4,88.5,25.6,11.5,100,33.2,3.5,17.9,23.2,67.1,74.4,88.5,25.6,11.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,76,22,29,38,32,128,72,154,76,22,29,38,32,128,72,0,0,0,0,0,0,0,0,18.8,55.9,27.0,67.1,10.2,47.1,17.3,54.5,18.8,55.9,27.0,67.1,10.2,47.1,17.3,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100202,2010-02-02,84691,CMX,1,84,122261,36924,6047,23263,32572,79135,92759,108445,29502,13816,122261,36924,6047,23263,32572,79135,92759,108445,29502,13816,0,0,0,0,0,0,0,0,0,0,-2634.0,-4549.0,1643.0,894.0,3536.0,-4612.0,-119.0,-2075.0,-2515.0,-559.0,100,30.2,4.9,19.0,26.6,64.7,75.9,88.7,24.1,11.3,100,30.2,4.9,19.0,26.6,64.7,75.9,88.7,24.1,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,72,23,31,40,34,128,75,151,72,23,31,40,34,128,75,0,0,0,0,0,0,0,0,21.0,54.3,29.9,66.6,12.1,45.1,19.5,53.3,21.0,54.3,29.9,66.6,12.1,45.1,19.5,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100209,2010-02-09,84691,CMX,1,84,118593,32438,9073,22446,34830,72630,89714,104149,28879,14444,118593,32438,9073,22446,34830,72630,89714,104149,28879,14444,0,0,0,0,0,0,0,0,0,0,-3668.0,-4486.0,3026.0,-817.0,2258.0,-6505.0,-3045.0,-4296.0,-623.0,628.0,100,27.4,7.7,18.9,29.4,61.2,75.6,87.8,24.4,12.2,100,27.4,7.7,18.9,29.4,61.2,75.6,87.8,24.4,12.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,58,30,31,39,36,117,79,141,58,30,31,39,36,117,79,0,0,0,0,0,0,0,0,21.2,50.6,31.5,63.6,13.0,42.8,20.5,49.1,21.2,50.6,31.5,63.6,13.0,42.8,20.5,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100216,2010-02-16,84691,CMX,1,84,120166,34615,9237,22395,35553,73779,92563,105411,27603,14755,120166,34615,9237,22395,35553,73779,92563,105411,27603,14755,0,0,0,0,0,0,0,0,0,0,1573.0,2177.0,164.0,-51.0,723.0,1149.0,2849.0,1262.0,-1276.0,311.0,100,28.8,7.7,18.6,29.6,61.4,77.0,87.7,23.0,12.3,100,28.8,7.7,18.6,29.6,61.4,77.0,87.7,23.0,12.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,66,25,29,38,36,121,76,143,66,25,29,38,36,121,76,0,0,0,0,0,0,0,0,20.8,49.4,31.8,63.6,12.9,41.7,20.3,48.8,20.8,49.4,31.8,63.6,12.9,41.7,20.3,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100223,2010-02-23,84691,CMX,1,84,117376,35495,7679,19832,36528,76298,91855,103809,25521,13567,117376,35495,7679,19832,36528,76298,91855,103809,25521,13567,0,0,0,0,0,0,0,0,0,0,-2790.0,880.0,-1558.0,-2563.0,975.0,2519.0,-708.0,-1602.0,-2082.0,-1188.0,100,30.2,6.5,16.9,31.1,65.0,78.3,88.4,21.7,11.6,100,30.2,6.5,16.9,31.1,65.0,78.3,88.4,21.7,11.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,69,20,30,40,39,121,80,143,69,20,30,40,39,121,80,0,0,0,0,0,0,0,0,19.0,48.8,30.7,62.5,13.2,42.7,20.5,49.6,19.0,48.8,30.7,62.5,13.2,42.7,20.5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100302,2010-03-02,84691,CMX,1,84,108248,36721,5663,16388,31034,71974,84143,94025,24105,14223,108248,36721,5663,16388,31034,71974,84143,94025,24105,14223,0,0,0,0,0,0,0,0,0,0,-9128.0,1226.0,-2016.0,-3444.0,-5494.0,-4324.0,-7712.0,-9784.0,-1416.0,656.0,100,33.9,5.2,15.1,28.7,66.5,77.7,86.9,22.3,13.1,100,33.9,5.2,15.1,28.7,66.5,77.7,86.9,22.3,13.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,67,20,31,38,32,119,71,137,67,20,31,38,32,119,71,0,0,0,0,0,0,0,0,19.0,48.9,30.3,64.5,14.4,44.3,22.8,53.7,19.0,48.9,30.3,64.5,14.4,44.3,22.8,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
SILVER - COMMODITY EXCHANGE INC.,100309,2010-03-09,84691,CMX,1,84,112130,40051,4886,17569,29220,75019,86840,97474,25290,14656,112130,40051,4886,17569,29220,75019,86840,97474,25290,14656,0,0,0,0,0,0,0,0,0,0,3882.0,3330.0,-777.0,1181.0,-1814.0,3045.0,2697.0,3449.0,1185.0,433.0,100,35.7,4.4,15.7,26.1,66.9,77.4,86.9,22.6,13.1,100,35.7,4.4,15.7,26.1,66.9,77.4,86.9,22.6,13.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,71,24,31,38,33,121,78,145,71,24,31,38,33,121,78,0,0,0,0,0,0,0,0,18.7,48.2,29.7,64.7,13.5,43.2,21.4,54.3,18.7,48.2,29.7,64.7,13.5,43.2,21.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)"
