Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100105,2010-01-05,26603,CBT,0,26,163587,53813,24788,14142,65642,108438,133597,147368,29990,16219,146087,51247,21325,11453,55711,98188,118411,130966,27676,15121,17500,3566,4463,1689,9931,10250,15186,16402,2314,1098,4838.0,4818.0,371.0,620.0,-1308.0,3875.0,4130.0,4866.0,708.0,-28.0,100,32.9,15.2,8.6,40.1,66.3,81.7,90.1,18.3,9.9,100,35.1,14.6,7.8,38.1,67.2,81.1,89.6,18.9,10.4,100,20.4,25.5,9.7,56.7,58.6,86.8,93.7,13.2,6.3,161,55,30,31,53,48,133,94,160,57,31,30,53,47,131,93,50,7,10,6,24,14,36,28,15.7,39.7,24.2,52.6,15.2,32.1,22.9,41.9,15.0,39.2,23.9,52.1,14.4,32.7,22.7,42.4,47.3,57.2,60.4,77.7,46.9,55.2,58.9,68.8,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100112,2010-01-12,26603,CBT,0,26,164952,50917,24330,18737,67094,101659,136748,144726,28204,20226,145418,47282,19881,16170,56380,90601,119832,126652,25586,18766,19534,4324,5138,1878,10714,11058,16916,18074,2618,1460,1365.0,-2896.0,-458.0,4595.0,1452.0,-6779.0,3151.0,-2642.0,-1786.0,4007.0,100,30.9,14.7,11.4,40.7,61.6,82.9,87.7,17.1,12.3,100,32.5,13.7,11.1,38.8,62.3,82.4,87.1,17.6,12.9,100,22.1,26.3,9.6,54.8,56.6,86.6,92.5,13.4,7.5,162,47,36,38,56,50,135,102,161,49,37,38,56,49,134,101,52,6,12,6,28,12,39,27,17.7,36.7,27.8,49.1,17.6,32.8,27.7,42.4,17.2,36.0,28.4,48.6,17.1,33.1,27.6,43.2,44.8,59.1,58.0,78.6,44.4,59.0,56.5,69.5,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100119,2010-01-19,26603,CBT,0,26,170137,49717,21122,20411,69444,107428,139572,148961,30565,21176,147853,46507,18031,15661,58036,94849,120204,128541,27649,19312,22284,6026,5907,1934,11408,12579,19368,20420,2916,1864,5185.0,-1200.0,-3208.0,1674.0,2350.0,5769.0,2824.0,4235.0,2361.0,950.0,100,29.2,12.4,12.0,40.8,63.1,82.0,87.6,18.0,12.4,100,31.5,12.2,10.6,39.3,64.2,81.3,86.9,18.7,13.1,100,27.0,26.5,8.7,51.2,56.4,86.9,91.6,13.1,8.4,159,47,33,40,56,52,134,104,158,52,31,39,56,50,132,102,60,8,14,9,32,12,46,31,17.6,39.3,27.1,51.8,17.6,36.0,27.0,45.7,17.2,40.2,27.5,52.7,17.2,37.2,27.1,48.0,42.1,61.0,53.4,76.6,42.1,59.8,53.2,70.5,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100126,2010-01-26,26603,CBT,0,26,179176,54955,23793,22444,72431,110556,149830,156793,29346,22383,155761,51059,20204,18041,60251,96945,129351,135190,26410,20571,23415,6287,5980,2012,12180,13611,20479,21603,2936,1812,9039.0,5238.0,2671.0,2033.0,2987.0,3128.0,10258.0,7832.0,-1219.0,1207.0,100,30.7,13.3,12.5,40.4,61.7,83.6,87.5,16.4,12.5,100,32.8,13.0,11.6,38.7,62.2,83.0,86.8,17.0,13.2,100,26.9,25.5,8.6,52.0,58.1,87.5,92.3,12.5,7.7,162,53,31,47,56,48,141,106,161,57,30,46,54,48,137,106,67,12,15,11,33,12,53,33,16.2,37.0,25.6,49.1,16.2,32.8,25.1,42.5,15.7,37.8,26.2,48.8,15.6,33.7,25.9,43.6,38.4,62.9,50.2,78.0,38.4,60.3,49.9,71.7,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100202,2010-02-02,26603,CBT,0,26,187955,54813,28829,23466,78775,110228,157054,162523,30901,25432,158423,46959,25459,18476,65939,91723,131374,135658,27049,22765,29532,10788,6304,2056,12836,18505,25680,26865,3852,2667,8779.0,-142.0,5036.0,1022.0,6344.0,-328.0,7224.0,5730.0,1555.0,3049.0,100,29.2,15.3,12.5,41.9,58.6,83.6,86.5,16.4,13.5,100,29.6,16.1,11.7,41.6,57.9,82.9,85.6,17.1,14.4,100,36.5,21.3,7.0,43.5,62.7,87.0,91.0,13.0,9.0,162,49,35,49,56,49,134,116,160,51,35,46,55,46,128,113,66,12,15,12,31,15,52,36,16.3,36.2,26.9,47.4,16.0,31.3,26.3,40.3,16.3,36.3,27.5,46.2,16.0,32.5,26.8,41.1,36.2,61.2,51.5,75.3,36.2,59.5,51.5,70.4,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100209,2010-02-09,26603,CBT,0,26,201425,53143,31759,27573,90045,113101,170761,172433,30664,28992,169556,45166,29190,22652,75245,91658,143063,143500,26493,26056,31869,9506,4098,3392,14800,21443,27698,28933,4171,2936,13470.0,-1670.0,2930.0,4107.0,11270.0,2873.0,13707.0,9910.0,-237.0,3560.0,100,26.4,15.8,13.7,44.7,56.2,84.8,85.6,15.2,14.4,100,26.6,17.2,13.4,44.4,54.1,84.4,84.6,15.6,15.4,100,29.8,12.9,10.6,46.4,67.3,86.9,90.8,13.1,9.2,177,48,44,57,60,51,144,133,174,48,47,55,59,48,139,129,74,16,14,16,35,16,61,40,16.8,34.7,27.3,45.3,16.3,30.2,26.6,37.5,16.8,33.5,28.1,42.2,16.2,29.0,27.2,36.8,33.6,59.2,48.5,73.4,33.6,55.8,48.5,67.0,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100216,2010-02-16,26603,CBT,0,26,206310,55259,31857,27768,91377,119225,174404,178850,31906,27460,172869,47370,26652,22887,74971,98966,145228,148505,27641,24364,33441,9217,6533,3553,16406,20259,29176,30345,4265,3096,4885.0,2116.0,98.0,195.0,1332.0,6124.0,3643.0,6417.0,1242.0,-1532.0,100,26.8,15.4,13.5,44.3,57.8,84.5,86.7,15.5,13.3,100,27.4,15.4,13.2,43.4,57.2,84.0,85.9,16.0,14.1,100,27.6,19.5,10.6,49.1,60.6,87.2,90.7,12.8,9.3,171,50,37,53,61,52,146,123,169,55,36,52,60,50,142,121,74,15,19,15,33,15,58,41,16.9,36.6,27.0,47.6,16.6,31.1,26.5,38.8,16.4,35.7,27.3,45.6,16.1,28.7,26.7,36.6,31.9,53.4,50.1,67.8,31.9,51.0,49.8,64.5,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100223,2010-02-23,26603,CBT,0,26,201275,53158,28438,26386,88154,119365,167698,174189,33577,27086,165313,44882,23194,20704,70560,97664,136146,141562,29167,23751,35962,9911,6879,4047,17594,21701,31552,32627,4410,3335,-5035.0,-2101.0,-3419.0,-1382.0,-3223.0,140.0,-6706.0,-4661.0,1671.0,-374.0,100,26.4,14.1,13.1,43.8,59.3,83.3,86.5,16.7,13.5,100,27.1,14.0,12.5,42.7,59.1,82.4,85.6,17.6,14.4,100,27.6,19.1,11.3,48.9,60.3,87.7,90.7,12.3,9.3,171,45,41,53,60,50,146,121,169,46,44,50,60,48,142,118,80,21,16,17,34,16,65,42,16.3,39.5,25.8,49.6,16.1,32.6,25.4,40.6,15.6,38.9,26.9,49.0,15.4,30.2,26.2,38.7,29.2,50.8,47.7,65.3,29.2,48.4,47.7,61.5,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100302,2010-03-02,26603,CBT,0,26,197262,50711,31686,27019,86794,112551,164524,171256,32738,26006,158768,43359,24881,19691,68267,92159,131317,136731,27451,22037,38494,10734,10187,3946,18527,20392,33207,34525,5287,3969,-4013.0,-2447.0,3248.0,633.0,-1360.0,-6814.0,-3174.0,-2933.0,-839.0,-1080.0,100,25.7,16.1,13.7,44.0,57.1,83.4,86.8,16.6,13.2,100,27.3,15.7,12.4,43.0,58.0,82.7,86.1,17.3,13.9,100,27.9,26.5,10.3,48.1,53.0,86.3,89.7,13.7,10.3,166,44,43,49,58,47,136,118,162,44,42,45,58,45,131,113,82,21,17,17,35,16,66,44,17.0,37.7,27.1,48.6,16.9,30.8,26.2,39.0,16.4,39.1,27.9,49.5,16.3,32.6,27.2,39.8,28.5,52.4,46.1,66.6,28.5,50.9,46.1,62.8,(CONTRACTS OF 100 TONS)
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100309,2010-03-09,26603,CBT,0,26,203028,47807,41741,29085,95350,103287,172242,174113,30786,28915,159636,39775,33049,21107,74062,81000,134944,135156,24692,24480,43392,11230,11890,4780,21288,22287,37298,38957,6094,4435,5766.0,-2904.0,10055.0,2066.0,8556.0,-9264.0,7718.0,2857.0,-1952.0,2909.0,100,23.5,20.6,14.3,47.0,50.9,84.8,85.8,15.2,14.2,100,24.9,20.7,13.2,46.4,50.7,84.5,84.7,15.5,15.3,100,25.9,27.4,11.0,49.1,51.4,86.0,89.8,14.0,10.2,176,38,54,51,63,42,139,123,170,39,51,46,63,39,133,115,88,23,17,19,38,17,72,47,16.1,34.1,26.8,43.6,15.0,27.1,24.8,35.3,16.8,35.9,28.4,44.8,15.8,31.4,26.6,40.0,27.3,49.4,44.5,62.9,27.3,48.3,44.5,59.6,(CONTRACTS OF 100 TONS)
