Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100105,2010-01-05,45601,CBT,0,45,485960,57675,56690,55438,337778,334788,450891,446916,35069,39044,485960,57675,56690,55438,337778,334788,450891,446916,35069,39044,0,0,0,0,0,0,0,0,0,0,-64887.0,-29307.0,4501.0,-3978.0,-35022.0,-66027.0,-68307.0,-65504.0,3420.0,617.0,100,11.9,11.7,11.4,69.5,68.9,92.8,92.0,7.2,8.0,100,11.9,11.7,11.4,69.5,68.9,92.8,92.0,7.2,8.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,27,26,31,45,53,85,101,112,27,26,31,45,53,85,101,0,0,0,0,0,0,0,0,39.7,31.1,55.1,41.9,28.2,13.3,34.9,21.2,39.7,31.1,55.1,41.9,28.2,13.3,34.9,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100112,2010-01-12,45601,CBT,0,45,527176,68033,66626,52563,371074,365451,491670,484640,35506,42536,527176,68033,66626,52563,371074,365451,491670,484640,35506,42536,0,0,0,0,0,0,0,0,0,0,41216.0,10358.0,9936.0,-2875.0,33296.0,30663.0,40779.0,37724.0,437.0,3492.0,100,12.9,12.6,10.0,70.4,69.3,93.3,91.9,6.7,8.1,100,12.9,12.6,10.0,70.4,69.3,93.3,91.9,6.7,8.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,21,33,29,46,54,83,103,117,21,33,29,46,54,83,103,0,0,0,0,0,0,0,0,39.9,30.5,54.5,42.2,31.0,12.6,38.8,21.3,39.9,30.5,54.5,42.2,31.0,12.6,38.8,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100119,2010-01-19,45601,CBT,0,45,555143,72529,69467,51461,385252,384617,509242,505545,45901,49598,555143,72529,69467,51461,385252,384617,509242,505545,45901,49598,0,0,0,0,0,0,0,0,0,0,27967.0,4496.0,2841.0,-1102.0,14178.0,19166.0,17572.0,20905.0,10395.0,7062.0,100,13.1,12.5,9.3,69.4,69.3,91.7,91.1,8.3,8.9,100,13.1,12.5,9.3,69.4,69.3,91.7,91.1,8.3,8.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,23,31,28,53,62,90,109,123,23,31,28,53,62,90,109,0,0,0,0,0,0,0,0,41.7,29.5,55.8,41.2,31.5,11.4,37.5,19.2,41.7,29.5,55.8,41.2,31.5,11.4,37.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100126,2010-01-26,45601,CBT,0,45,572149,76765,76502,57072,402371,394756,536208,528330,35941,43819,572149,76765,76502,57072,402371,394756,536208,528330,35941,43819,0,0,0,0,0,0,0,0,0,0,17006.0,4236.0,7035.0,5611.0,17119.0,10139.0,26966.0,22785.0,-9960.0,-5779.0,100,13.4,13.4,10.0,70.3,69.0,93.7,92.3,6.3,7.7,100,13.4,13.4,10.0,70.3,69.0,93.7,92.3,6.3,7.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,22,33,29,53,62,90,111,124,22,33,29,53,62,90,111,0,0,0,0,0,0,0,0,39.4,29.6,54.2,40.6,29.1,11.2,35.3,18.8,39.4,29.6,54.2,40.6,29.1,11.2,35.3,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100202,2010-02-02,45601,CBT,0,45,535585,55292,67053,61658,384458,366136,501408,494847,34177,40738,535585,55292,67053,61658,384458,366136,501408,494847,34177,40738,0,0,0,0,0,0,0,0,0,0,-36564.0,-21473.0,-9449.0,4586.0,-17913.0,-28620.0,-34800.0,-33483.0,-1764.0,-3081.0,100,10.3,12.5,11.5,71.8,68.4,93.6,92.4,6.4,7.6,100,10.3,12.5,11.5,71.8,68.4,93.6,92.4,6.4,7.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,19,30,29,53,56,88,103,115,19,30,29,53,56,88,103,0,0,0,0,0,0,0,0,38.8,29.8,52.8,41.7,25.8,9.3,32.0,15.9,38.8,29.8,52.8,41.7,25.8,9.3,32.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100209,2010-02-09,45601,CBT,0,45,551306,62446,68705,60456,391686,379019,514588,508180,36718,43126,551306,62446,68705,60456,391686,379019,514588,508180,36718,43126,0,0,0,0,0,0,0,0,0,0,15721.0,7154.0,1652.0,-1202.0,7228.0,12883.0,13180.0,13333.0,2541.0,2388.0,100,11.3,12.5,11.0,71.0,68.7,93.3,92.2,6.7,7.8,100,11.3,12.5,11.0,71.0,68.7,93.3,92.2,6.7,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,19,33,29,56,60,95,107,125,19,33,29,56,60,95,107,0,0,0,0,0,0,0,0,37.7,29.8,50.4,41.2,26.4,10.4,31.6,17.2,37.7,29.8,50.4,41.2,26.4,10.4,31.6,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100216,2010-02-16,45601,CBT,0,45,590370,67176,72089,71205,415350,407247,553731,550541,36639,39829,590370,67176,72089,71205,415350,407247,553731,550541,36639,39829,0,0,0,0,0,0,0,0,0,0,39064.0,4730.0,3384.0,10749.0,23664.0,28228.0,39143.0,42361.0,-79.0,-3297.0,100,11.4,12.2,12.1,70.4,69.0,93.8,93.3,6.2,6.7,100,11.4,12.2,12.1,70.4,69.0,93.8,93.3,6.2,6.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,17,32,30,60,61,97,109,125,17,32,30,60,61,97,109,0,0,0,0,0,0,0,0,37.3,30.9,49.8,41.1,27.9,12.7,33.1,18.8,37.3,30.9,49.8,41.1,27.9,12.7,33.1,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100223,2010-02-23,45601,CBT,0,45,653386,78479,83942,82497,451356,438772,612332,605211,41054,48175,653386,78479,83942,82497,451356,438772,612332,605211,41054,48175,0,0,0,0,0,0,0,0,0,0,63016.0,11303.0,11853.0,11292.0,36006.0,31525.0,58601.0,54670.0,4415.0,8346.0,100,12.0,12.8,12.6,69.1,67.2,93.7,92.6,6.3,7.4,100,12.0,12.8,12.6,69.1,67.2,93.7,92.6,6.3,7.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,21,32,31,60,64,101,112,131,21,32,31,60,64,101,112,0,0,0,0,0,0,0,0,35.7,29.3,49.4,39.4,27.8,13.5,33.0,18.8,35.7,29.3,49.4,39.4,27.8,13.5,33.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100302,2010-03-02,45601,CBT,0,45,618778,67462,81941,88840,425345,404070,581647,574851,37131,43927,618778,67462,81941,88840,425345,404070,581647,574851,37131,43927,0,0,0,0,0,0,0,0,0,0,-34608.0,-11017.0,-2001.0,6343.0,-26011.0,-34702.0,-30685.0,-30360.0,-3923.0,-4248.0,100,10.9,13.2,14.4,68.7,65.3,94.0,92.9,6.0,7.1,100,10.9,13.2,14.4,68.7,65.3,94.0,92.9,6.0,7.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,15,34,31,62,63,99,107,122,15,34,31,62,63,99,107,0,0,0,0,0,0,0,0,34.8,26.7,48.8,39.5,26.0,13.8,31.7,19.9,34.8,26.7,48.8,39.5,26.0,13.8,31.7,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE,100309,2010-03-09,45601,CBT,0,45,635336,74154,83345,87536,436358,415538,598048,586419,37288,48917,635336,74154,83345,87536,436358,415538,598048,586419,37288,48917,0,0,0,0,0,0,0,0,0,0,16558.0,6692.0,1404.0,-1304.0,11013.0,11468.0,16401.0,11568.0,157.0,4990.0,100,11.7,13.1,13.8,68.7,65.4,94.1,92.3,5.9,7.7,100,11.7,13.1,13.8,68.7,65.4,94.1,92.3,5.9,7.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,18,30,30,58,67,94,112,126,18,30,30,58,67,94,112,0,0,0,0,0,0,0,0,34.3,27.3,50.0,40.5,27.0,11.2,31.7,17.9,34.3,27.3,50.0,40.5,27.0,11.2,31.7,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $5,000,000)"
