Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100105,2010-01-05,132741,CME,0,132,6509938,746298,422126,780607,4200240,4464752,5727145,5667485,782793,842453,6509938,746298,422126,780607,4200240,4464752,5727145,5667485,782793,842453,0,0,0,0,0,0,0,0,0,0,153386.0,14968.0,-46431.0,63876.0,50744.0,126188.0,129588.0,143633.0,23798.0,9753.0,100,11.5,6.5,12.0,64.5,68.6,88.0,87.1,12.0,12.9,100,11.5,6.5,12.0,64.5,68.6,88.0,87.1,12.0,12.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,51,50,82,123,120,224,213,245,51,50,82,123,120,224,213,0,0,0,0,0,0,0,0,28.2,33.3,38.6,41.0,26.9,28.4,32.9,32.9,28.2,33.3,38.6,41.0,26.9,28.4,32.9,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100112,2010-01-12,132741,CME,0,132,6786350,1031850,374210,820020,4153788,4711073,6005658,5905303,780692,881047,6786350,1031850,374210,820020,4153788,4711073,6005658,5905303,780692,881047,0,0,0,0,0,0,0,0,0,0,276412.0,285552.0,-47916.0,39413.0,-46452.0,246321.0,278513.0,237818.0,-2101.0,38594.0,100,15.2,5.5,12.1,61.2,69.4,88.5,87.0,11.5,13.0,100,15.2,5.5,12.1,61.2,69.4,88.5,87.0,11.5,13.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,60,51,84,120,118,231,212,251,60,51,84,120,118,231,212,0,0,0,0,0,0,0,0,27.4,33.6,37.9,42.4,26.4,28.5,34.0,33.6,27.4,33.6,37.9,42.4,26.4,28.5,34.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100119,2010-01-19,132741,CME,0,132,6974400,1229283,365923,839685,4093156,4860558,6162124,6066166,812276,908234,6974400,1229283,365923,839685,4093156,4860558,6162124,6066166,812276,908234,0,0,0,0,0,0,0,0,0,0,188050.0,197433.0,-8287.0,19665.0,-60632.0,149485.0,156466.0,160863.0,31584.0,27187.0,100,17.6,5.2,12.0,58.7,69.7,88.4,87.0,11.6,13.0,100,17.6,5.2,12.0,58.7,69.7,88.4,87.0,11.6,13.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,66,49,86,116,118,229,216,253,66,49,86,116,118,229,216,0,0,0,0,0,0,0,0,28.4,32.8,38.8,41.5,27.5,27.8,34.4,33.1,28.4,32.8,38.8,41.5,27.5,27.8,34.4,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100126,2010-01-26,132741,CME,0,132,7343987,1361338,403701,859102,4291882,5180315,6512322,6443118,831665,900869,7343987,1361338,403701,859102,4291882,5180315,6512322,6443118,831665,900869,0,0,0,0,0,0,0,0,0,0,369587.0,132055.0,37778.0,19417.0,198726.0,319757.0,350198.0,376952.0,19389.0,-7365.0,100,18.5,5.5,11.7,58.4,70.5,88.7,87.7,11.3,12.3,100,18.5,5.5,11.7,58.4,70.5,88.7,87.7,11.3,12.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,63,53,86,124,118,236,219,259,63,53,86,124,118,236,219,0,0,0,0,0,0,0,0,29.0,32.4,39.8,41.7,28.3,27.6,35.8,32.6,29.0,32.4,39.8,41.7,28.3,27.6,35.8,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100202,2010-02-02,132741,CME,0,132,7542362,1371551,476932,926021,4413556,5245059,6711128,6648012,831234,894350,7542362,1371551,476932,926021,4413556,5245059,6711128,6648012,831234,894350,0,0,0,0,0,0,0,0,0,0,198375.0,10213.0,73231.0,66919.0,121674.0,64744.0,198806.0,204894.0,-431.0,-6519.0,100,18.2,6.3,12.3,58.5,69.5,89.0,88.1,11.0,11.9,100,18.2,6.3,12.3,58.5,69.5,89.0,88.1,11.0,11.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,60,60,89,124,120,238,225,263,60,60,89,124,120,238,225,0,0,0,0,0,0,0,0,29.2,31.7,39.8,40.7,28.9,27.4,36.4,32.5,29.2,31.7,39.8,40.7,28.9,27.4,36.4,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100209,2010-02-09,132741,CME,0,132,7600103,1374886,540059,919751,4472627,5222235,6767264,6682045,832839,918058,7600103,1374886,540059,919751,4472627,5222235,6767264,6682045,832839,918058,0,0,0,0,0,0,0,0,0,0,57741.0,3335.0,63127.0,-6270.0,59071.0,-22824.0,56136.0,34033.0,1605.0,23708.0,100,18.1,7.1,12.1,58.8,68.7,89.0,87.9,11.0,12.1,100,18.1,7.1,12.1,58.8,68.7,89.0,87.9,11.0,12.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,61,63,87,121,121,236,227,268,61,63,87,121,121,236,227,0,0,0,0,0,0,0,0,30.0,31.6,40.3,41.5,29.6,27.6,37.0,33.0,30.0,31.6,40.3,41.5,29.6,27.6,37.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100216,2010-02-16,132741,CME,0,132,7512633,1388519,577111,841629,4414887,5175865,6645035,6594605,867598,918028,7512633,1388519,577111,841629,4414887,5175865,6645035,6594605,867598,918028,0,0,0,0,0,0,0,0,0,0,-87470.0,13633.0,37052.0,-78122.0,-57740.0,-46370.0,-122229.0,-87440.0,34759.0,-30.0,100,18.5,7.7,11.2,58.8,68.9,88.5,87.8,11.5,12.2,100,18.5,7.7,11.2,58.8,68.9,88.5,87.8,11.5,12.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,62,65,88,120,121,238,226,268,62,65,88,120,121,238,226,0,0,0,0,0,0,0,0,30.4,32.3,40.5,41.7,30.0,28.3,37.1,33.8,30.4,32.3,40.5,41.7,30.0,28.3,37.1,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100223,2010-02-23,132741,CME,0,132,7679246,1365163,531394,951665,4587778,5327058,6904606,6810117,774640,869129,7679246,1365163,531394,951665,4587778,5327058,6904606,6810117,774640,869129,0,0,0,0,0,0,0,0,0,0,166613.0,-23356.0,-45717.0,110036.0,172891.0,151193.0,259571.0,215512.0,-92958.0,-48899.0,100,17.8,6.9,12.4,59.7,69.4,89.9,88.7,10.1,11.3,100,17.8,6.9,12.4,59.7,69.4,89.9,88.7,10.1,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,63,63,89,127,127,246,232,276,63,63,89,127,127,246,232,0,0,0,0,0,0,0,0,31.2,31.2,41.7,40.2,30.8,27.1,38.2,32.4,31.2,31.2,41.7,40.2,30.8,27.1,38.2,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100302,2010-03-02,132741,CME,0,132,8064422,1516839,612407,999329,4786074,5592256,7302242,7203992,762180,860430,8064422,1516839,612407,999329,4786074,5592256,7302242,7203992,762180,860430,0,0,0,0,0,0,0,0,0,0,385176.0,151676.0,81013.0,47664.0,198296.0,265198.0,397636.0,393875.0,-12460.0,-8699.0,100,18.8,7.6,12.4,59.3,69.3,90.5,89.3,9.5,10.7,100,18.8,7.6,12.4,59.3,69.3,90.5,89.3,9.5,10.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,67,71,93,130,129,256,241,289,67,71,93,130,129,256,241,0,0,0,0,0,0,0,0,32.4,31.0,43.4,40.4,32.1,27.1,39.6,32.4,32.4,31.0,43.4,40.4,32.1,27.1,39.6,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE,100309,2010-03-09,132741,CME,0,132,8119253,1380438,615462,1036550,4927943,5592013,7344931,7244025,774322,875228,8119253,1380438,615462,1036550,4927943,5592013,7344931,7244025,774322,875228,0,0,0,0,0,0,0,0,0,0,54831.0,-136401.0,3055.0,37221.0,141869.0,-243.0,42689.0,40033.0,12142.0,14798.0,100,17.0,7.6,12.8,60.7,68.9,90.5,89.2,9.5,10.8,100,17.0,7.6,12.8,60.7,68.9,90.5,89.2,9.5,10.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292,66,65,91,132,142,257,248,292,66,65,91,132,142,257,248,0,0,0,0,0,0,0,0,31.9,30.5,41.6,39.3,31.7,26.4,38.4,31.9,31.9,30.5,41.6,39.3,31.7,26.4,38.4,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000)"
