Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100105,2010-01-05,85692,CMX,1,85,158539,4058,79113,64352,7729,8001,45703,28631,6290,6035,6579,9248,143687,145591,14852,12948,158539,4058,79113,64352,7729,8001,45703,28631,6290,6035,6579,9248,143687,145591,14852,12948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980.0,-879.0,297.0,-185.0,673.0,2081.0,856.0,-208.0,450.0,409.0,-521.0,357.0,3089.0,3129.0,891.0,851.0,100,2.6,49.9,40.6,4.9,5.0,28.8,18.1,4.0,3.8,4.1,5.8,90.6,91.8,9.4,8.2,100,2.6,49.9,40.6,4.9,5.0,28.8,18.1,4.0,3.8,4.1,5.8,90.6,91.8,9.4,8.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,17.0,28.0,17.0,8.0,15.0,50.0,23.0,19.0,12.0,28.0,15.0,125,117.0,179.0,17.0,28.0,17.0,8.0,15.0,50.0,23.0,19.0,12.0,28.0,15.0,125.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,43.1,48.4,54.6,31.2,42.5,45.9,52.9,31.7,43.1,48.4,54.6,31.2,42.5,45.9,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100112,2010-01-12,85692,CMX,1,85,151321,4246,75727,53363,8785,9207,46290,23198,6131,5684,6235,9464,134385,138747,16936,12574,151321,4246,75727,53363,8785,9207,46290,23198,6131,5684,6235,9464,134385,138747,16936,12574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7218.0,188.0,-3386.0,-10989.0,1056.0,1206.0,587.0,-5433.0,-159.0,-351.0,-344.0,216.0,-9302.0,-6844.0,2084.0,-374.0,100,2.8,50.0,35.3,5.8,6.1,30.6,15.3,4.1,3.8,4.1,6.3,88.8,91.7,11.2,8.3,100,2.8,50.0,35.3,5.8,6.1,30.6,15.3,4.1,3.8,4.1,6.3,88.8,91.7,11.2,8.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,19.0,27.0,17.0,8.0,15.0,53.0,24.0,18.0,11.0,26.0,17.0,129,116.0,179.0,19.0,27.0,17.0,8.0,15.0,53.0,24.0,18.0,11.0,26.0,17.0,129.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,41.9,44.5,53.2,28.0,41.6,41.7,51.6,28.5,41.9,44.5,53.2,28.0,41.6,41.7,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100119,2010-01-19,85692,CMX,1,85,143012,5087,73601,46345,8805,8957,45009,16438,7118,5753,6657,9637,127906,131213,15106,11799,143012,5087,73601,46345,8805,8957,45009,16438,7118,5753,6657,9637,127906,131213,15106,11799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8309.0,841.0,-2126.0,-7018.0,20.0,-250.0,-1281.0,-6760.0,987.0,69.0,422.0,173.0,-6479.0,-7534.0,-1830.0,-775.0,100,3.6,51.5,32.4,6.2,6.3,31.5,11.5,5.0,4.0,4.7,6.7,89.4,91.7,10.6,8.3,100,3.6,51.5,32.4,6.2,6.3,31.5,11.5,5.0,4.0,4.7,6.7,89.4,91.7,10.6,8.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,18.0,28.0,17.0,8.0,14.0,55.0,24.0,20.0,9.0,31.0,20.0,133,125.0,189.0,18.0,28.0,17.0,8.0,14.0,55.0,24.0,20.0,9.0,31.0,20.0,133.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,41.4,41.8,51.3,26.6,39.9,40.0,49.2,27.1,41.4,41.8,51.3,26.6,39.9,40.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100126,2010-01-26,85692,CMX,1,85,140683,5451,70884,44874,8847,7736,43187,13180,8155,5540,6777,10871,125814,126450,14869,14233,140683,5451,70884,44874,8847,7736,43187,13180,8155,5540,6777,10871,125814,126450,14869,14233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2329.0,364.0,-2717.0,-1471.0,42.0,-1221.0,-1822.0,-3258.0,1037.0,-213.0,120.0,1234.0,-2092.0,-4763.0,-237.0,2434.0,100,3.9,50.4,31.9,6.3,5.5,30.7,9.4,5.8,3.9,4.8,7.7,89.4,89.9,10.6,10.1,100,3.9,50.4,31.9,6.3,5.5,30.7,9.4,5.8,3.9,4.8,7.7,89.4,89.9,10.6,10.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,18.0,26.0,17.0,10.0,15.0,50.0,22.0,21.0,8.0,31.0,19.0,124,125.0,179.0,18.0,26.0,17.0,10.0,15.0,50.0,22.0,21.0,8.0,31.0,19.0,124.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,41.6,42.0,51.2,26.9,39.6,40.0,48.2,27.3,41.6,42.0,51.2,26.9,39.6,40.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100202,2010-02-02,85692,CMX,1,85,132113,6719,63920,46189,7711,6880,33044,16462,8115,7394,5704,10541,118882,119333,13231,12780,132113,6719,63920,46189,7711,6880,33044,16462,8115,7394,5704,10541,118882,119333,13231,12780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8570.0,1268.0,-6964.0,1315.0,-1136.0,-856.0,-10143.0,3282.0,-40.0,1854.0,-1073.0,-330.0,-6932.0,-7117.0,-1638.0,-1453.0,100,5.1,48.4,35.0,5.8,5.2,25.0,12.5,6.1,5.6,4.3,8.0,90.0,90.3,10.0,9.7,100,5.1,48.4,35.0,5.8,5.2,25.0,12.5,6.1,5.6,4.3,8.0,90.0,90.3,10.0,9.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,17.0,25.0,14.0,9.0,13.0,40.0,28.0,24.0,16.0,25.0,22.0,126,124.0,176.0,17.0,25.0,14.0,9.0,13.0,40.0,28.0,24.0,16.0,25.0,22.0,126.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,39.2,44.9,49.9,28.6,37.3,42.7,45.9,28.8,39.2,44.9,49.9,28.6,37.3,42.7,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100209,2010-02-09,85692,CMX,1,85,124076,9357,60745,46264,7004,6002,29581,17091,5664,6316,5156,8018,111202,109680,12874,14396,124076,9357,60745,46264,7004,6002,29581,17091,5664,6316,5156,8018,111202,109680,12874,14396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8037.0,2638.0,-3175.0,75.0,-707.0,-878.0,-3463.0,629.0,-2451.0,-1078.0,-548.0,-2523.0,-7680.0,-9653.0,-357.0,1616.0,100,7.5,49.0,37.3,5.6,4.8,23.8,13.8,4.6,5.1,4.2,6.5,89.6,88.4,10.4,11.6,100,7.5,49.0,37.3,5.6,4.8,23.8,13.8,4.6,5.1,4.2,6.5,89.6,88.4,10.4,11.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,17.0,24.0,14.0,9.0,13.0,33.0,28.0,22.0,10.0,22.0,16.0,107,114.0,155.0,17.0,24.0,14.0,9.0,13.0,33.0,28.0,22.0,10.0,22.0,16.0,107.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,39.1,46.2,50.0,29.9,35.6,45.0,44.4,30.2,39.1,46.2,50.0,29.9,35.6,45.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100216,2010-02-16,85692,CMX,1,85,126363,8430,58889,46245,6815,5212,30696,16868,6184,7026,6774,9426,113219,110168,13144,16195,126363,8430,58889,46245,6815,5212,30696,16868,6184,7026,6774,9426,113219,110168,13144,16195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287.0,-927.0,-1856.0,-19.0,-189.0,-790.0,1115.0,-223.0,520.0,710.0,1618.0,1408.0,2017.0,488.0,270.0,1799.0,100,6.7,46.6,36.6,5.4,4.1,24.3,13.3,4.9,5.6,5.4,7.5,89.6,87.2,10.4,12.8,100,6.7,46.6,36.6,5.4,4.1,24.3,13.3,4.9,5.6,5.4,7.5,89.6,87.2,10.4,12.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,17.0,25.0,15.0,8.0,15.0,31.0,30.0,20.0,14.0,26.0,18.0,109,121.0,161.0,17.0,25.0,15.0,8.0,15.0,31.0,30.0,20.0,14.0,26.0,18.0,109.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,37.2,45.2,48.4,29.4,34.4,44.3,42.9,29.9,37.2,45.2,48.4,29.4,34.4,44.3,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100223,2010-02-23,85692,CMX,1,85,126394,6674,60800,46348,6613,5094,32754,14552,5811,6237,8475,9612,112530,110957,13864,15437,126394,6674,60800,46348,6613,5094,32754,14552,5811,6237,8475,9612,112530,110957,13864,15437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,-1756.0,1911.0,103.0,-202.0,-118.0,2058.0,-2316.0,-373.0,-789.0,1701.0,186.0,-689.0,789.0,720.0,-758.0,100,5.3,48.1,36.7,5.2,4.0,25.9,11.5,4.6,4.9,6.7,7.6,89.0,87.8,11.0,12.2,100,5.3,48.1,36.7,5.2,4.0,25.9,11.5,4.6,4.9,6.7,7.6,89.0,87.8,11.0,12.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,18.0,27.0,16.0,8.0,15.0,32.0,28.0,21.0,8.0,28.0,19.0,112,124.0,164.0,18.0,27.0,16.0,8.0,15.0,32.0,28.0,21.0,8.0,28.0,19.0,112.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.9,44.4,48.4,29.6,36.3,43.9,45.1,30.0,37.9,44.4,48.4,29.6,36.3,43.9,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100302,2010-03-02,85692,CMX,1,85,125878,6169,60757,47732,6057,6762,33356,13721,5301,5516,9284,9070,113906,110952,11972,14926,125878,6169,60757,47732,6057,6762,33356,13721,5301,5516,9284,9070,113906,110952,11972,14926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-516.0,-505.0,-43.0,1384.0,-556.0,1668.0,602.0,-831.0,-510.0,-721.0,809.0,-542.0,1376.0,-5.0,-1892.0,-511.0,100,4.9,48.3,37.9,4.8,5.4,26.5,10.9,4.2,4.4,7.4,7.2,90.5,88.1,9.5,11.9,100,4.9,48.3,37.9,4.8,5.4,26.5,10.9,4.2,4.4,7.4,7.2,90.5,88.1,9.5,11.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,18.0,27.0,16.0,9.0,14.0,38.0,29.0,21.0,5.0,38.0,18.0,114,129.0,173.0,18.0,27.0,16.0,9.0,14.0,38.0,29.0,21.0,5.0,38.0,18.0,114.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,37.3,46.7,48.3,29.9,35.8,44.9,44.6,30.2,37.3,46.7,48.3,29.9,35.8,44.9,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,100309,2010-03-09,85692,CMX,1,85,127613,6405,63921,48057,7505,5558,36197,13813,5608,5716,9822,9477,117018,115704,10595,11909,127613,6405,63921,48057,7505,5558,36197,13813,5608,5716,9822,9477,117018,115704,10595,11909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735.0,236.0,3164.0,325.0,1448.0,-1204.0,2841.0,92.0,307.0,200.0,538.0,407.0,3112.0,4752.0,-1377.0,-3017.0,100,5.0,50.1,37.7,5.9,4.4,28.4,10.8,4.4,4.5,7.7,7.4,91.7,90.7,8.3,9.3,100,5.0,50.1,37.7,5.9,4.4,28.4,10.8,4.4,4.5,7.7,7.4,91.7,90.7,8.3,9.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,19.0,26.0,16.0,9.0,13.0,42.0,28.0,19.0,7.0,38.0,17.0,119,122.0,176.0,19.0,26.0,16.0,9.0,13.0,42.0,28.0,19.0,7.0,38.0,17.0,119.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,39.0,45.5,49.5,29.4,37.8,44.3,46.6,29.4,39.0,45.5,49.5,29.4,37.8,44.3,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 25,000 POUNDS)",N25,FutOnly
