Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,100105,2010-01-05,88691,CMX,1,88,507643,40511,227533,45718,137247,11966,198506,6907,45804,64502,28334,22154,429161,479945,78482,27698,507643,40511,227533,45718,137247,11966,198506,6907,45804,64502,28334,22154,429161,479945,78482,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15931.0,-502.0,875.0,1495.0,-273.0,2361.0,-3245.0,981.0,7220.0,2622.0,1119.0,66.0,10017.0,12349.0,5914.0,3582.0,100,8.0,44.8,9.0,27.0,2.4,39.1,1.4,9.0,12.7,5.6,4.4,84.5,94.5,15.5,5.5,100,8.0,44.8,9.0,27.0,2.4,39.1,1.4,9.0,12.7,5.6,4.4,84.5,94.5,15.5,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,17.0,26.0,14.0,17.0,15.0,98.0,15.0,20.0,105.0,42.0,45.0,273,148.0,331.0,17.0,26.0,14.0,17.0,15.0,98.0,15.0,20.0,105.0,42.0,45.0,273.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,44.3,38.2,62.9,21.8,41.2,27.6,51.7,29.7,44.3,38.2,62.9,21.8,41.2,27.6,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100112,2010-01-12,88691,CMX,1,88,523266,40771,237041,45191,131409,14489,202180,11137,53282,69080,30781,22673,447666,500812,75600,22454,523266,40771,237041,45191,131409,14489,202180,11137,53282,69080,30781,22673,447666,500812,75600,22454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15623.0,260.0,9508.0,-527.0,-5838.0,2523.0,3674.0,4230.0,7478.0,4578.0,2447.0,519.0,18505.0,20867.0,-2882.0,-5244.0,100,7.8,45.3,8.6,25.1,2.8,38.6,2.1,10.2,13.2,5.9,4.3,85.6,95.7,14.4,4.3,100,7.8,45.3,8.6,25.1,2.8,38.6,2.1,10.2,13.2,5.9,4.3,85.6,95.7,14.4,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,16.0,28.0,13.0,16.0,15.0,97.0,16.0,17.0,105.0,42.0,44.0,269,146.0,328.0,16.0,28.0,13.0,16.0,15.0,97.0,16.0,17.0,105.0,42.0,44.0,269.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,44.6,38.6,63.2,21.4,40.8,26.7,51.5,30.5,44.6,38.6,63.2,21.4,40.8,26.7,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100119,2010-01-19,88691,CMX,1,88,528924,43562,234633,46708,129284,18927,200320,7695,58198,60956,32112,24695,453366,505544,75558,23380,528924,43562,234633,46708,129284,18927,200320,7695,58198,60956,32112,24695,453366,505544,75558,23380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658.0,2791.0,-2408.0,1517.0,-2125.0,4438.0,-1860.0,-3442.0,4916.0,-8124.0,1331.0,2022.0,5700.0,4732.0,-42.0,926.0,100,8.2,44.4,8.8,24.4,3.6,37.9,1.5,11.0,11.5,6.1,4.7,85.7,95.6,14.3,4.4,100,8.2,44.4,8.8,24.4,3.6,37.9,1.5,11.0,11.5,6.1,4.7,85.7,95.6,14.3,4.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,15.0,26.0,16.0,15.0,21.0,103.0,15.0,16.0,93.0,48.0,42.0,273,143.0,328.0,15.0,26.0,16.0,15.0,21.0,103.0,15.0,16.0,93.0,48.0,42.0,273.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,46.7,39.6,64.0,21.3,40.8,26.7,50.8,31.0,46.7,39.6,64.0,21.3,40.8,26.7,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100126,2010-01-26,88691,CMX,1,88,507565,42580,215889,49961,125270,18951,182133,7766,47295,64090,26533,28856,433866,470560,73699,37005,507565,42580,215889,49961,125270,18951,182133,7766,47295,64090,26533,28856,433866,470560,73699,37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21359.0,-982.0,-18744.0,3253.0,-4014.0,24.0,-18187.0,71.0,-10903.0,3134.0,-5579.0,4161.0,-19500.0,-34984.0,-1859.0,13625.0,100,8.4,42.5,9.8,24.7,3.7,35.9,1.5,9.3,12.6,5.2,5.7,85.5,92.7,14.5,7.3,100,8.4,42.5,9.8,24.7,3.7,35.9,1.5,9.3,12.6,5.2,5.7,85.5,92.7,14.5,7.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,16.0,25.0,16.0,15.0,21.0,87.0,17.0,18.0,87.0,46.0,48.0,249,153.0,302.0,16.0,25.0,16.0,15.0,21.0,87.0,17.0,18.0,87.0,46.0,48.0,249.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,45.1,39.6,61.0,22.9,40.1,28.5,49.4,30.6,45.1,39.6,61.0,22.9,40.1,28.5,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100202,2010-02-02,88691,CMX,1,88,480860,36275,199560,48602,129896,18484,187024,8423,45516,59024,27456,23335,418260,452670,62600,28190,480860,36275,199560,48602,129896,18484,187024,8423,45516,59024,27456,23335,418260,452670,62600,28190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26705.0,-6305.0,-16329.0,-1359.0,4626.0,-467.0,4891.0,657.0,-1779.0,-5066.0,923.0,-5521.0,-15606.0,-17890.0,-11099.0,-8815.0,100,7.5,41.5,10.1,27.0,3.8,38.9,1.8,9.5,12.3,5.7,4.9,87.0,94.1,13.0,5.9,100,7.5,41.5,10.1,27.0,3.8,38.9,1.8,9.5,12.3,5.7,4.9,87.0,94.1,13.0,5.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,18.0,30.0,16.0,17.0,19.0,84.0,15.0,20.0,86.0,49.0,42.0,246,154.0,305.0,18.0,30.0,16.0,17.0,19.0,84.0,15.0,20.0,86.0,49.0,42.0,246.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,43.1,40.7,59.5,23.4,37.1,29.0,47.6,32.5,43.1,40.7,59.5,23.4,37.1,29.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100209,2010-02-09,88691,CMX,1,88,466905,39206,186145,54500,120988,17053,166132,13404,46866,56643,27852,23966,404366,436274,62539,30631,466905,39206,186145,54500,120988,17053,166132,13404,46866,56643,27852,23966,404366,436274,62539,30631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13955.0,2931.0,-13415.0,5898.0,-8908.0,-1431.0,-20892.0,4981.0,1350.0,-2381.0,396.0,631.0,-13894.0,-16396.0,-61.0,2441.0,100,8.4,39.9,11.7,25.9,3.7,35.6,2.9,10.0,12.1,6.0,5.1,86.6,93.4,13.4,6.6,100,8.4,39.9,11.7,25.9,3.7,35.6,2.9,10.0,12.1,6.0,5.1,86.6,93.4,13.4,6.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,19.0,26.0,16.0,16.0,18.0,80.0,23.0,19.0,82.0,56.0,45.0,243,160.0,309.0,19.0,26.0,16.0,16.0,18.0,80.0,23.0,19.0,82.0,56.0,45.0,243.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,42.0,41.6,59.2,23.4,36.2,29.3,45.9,32.2,42.0,41.6,59.2,23.4,36.2,29.3,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100216,2010-02-16,88691,CMX,1,88,466509,39006,176708,48447,130623,17881,167613,10459,48494,57102,25398,20465,399008,430028,67501,36481,466509,39006,176708,48447,130623,17881,167613,10459,48494,57102,25398,20465,399008,430028,67501,36481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-396.0,-200.0,-9437.0,-6053.0,9635.0,828.0,1481.0,-2945.0,1628.0,459.0,-2454.0,-3501.0,-5358.0,-6246.0,4962.0,5850.0,100,8.4,37.9,10.4,28.0,3.8,35.9,2.2,10.4,12.2,5.4,4.4,85.5,92.2,14.5,7.8,100,8.4,37.9,10.4,28.0,3.8,35.9,2.2,10.4,12.2,5.4,4.4,85.5,92.2,14.5,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,18.0,30.0,16.0,16.0,16.0,86.0,16.0,19.0,87.0,43.0,44.0,247,147.0,304.0,18.0,30.0,16.0,16.0,16.0,86.0,16.0,19.0,87.0,43.0,44.0,247.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,43.6,39.2,59.4,20.9,36.6,27.2,45.1,30.7,43.6,39.2,59.4,20.9,36.6,27.2,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100223,2010-02-23,88691,CMX,1,88,466572,33555,188865,46135,128869,17846,171565,6909,46366,61541,25575,21142,398150,435572,68422,31000,466572,33555,188865,46135,128869,17846,171565,6909,46366,61541,25575,21142,398150,435572,68422,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,-5451.0,12157.0,-2312.0,-1754.0,-35.0,3952.0,-3550.0,-2128.0,4439.0,177.0,677.0,-858.0,5544.0,921.0,-5481.0,100,7.2,40.5,9.9,27.6,3.8,36.8,1.5,9.9,13.2,5.5,4.5,85.3,93.4,14.7,6.6,100,7.2,40.5,9.9,27.6,3.8,36.8,1.5,9.9,13.2,5.5,4.5,85.3,93.4,14.7,6.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,16.0,33.0,13.0,19.0,20.0,81.0,16.0,18.0,88.0,46.0,45.0,245,155.0,305.0,16.0,33.0,13.0,19.0,20.0,81.0,16.0,18.0,88.0,46.0,45.0,245.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,44.2,37.6,59.7,20.6,37.2,26.4,46.0,29.3,44.2,37.6,59.7,20.6,37.2,26.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100302,2010-03-02,88691,CMX,1,88,482786,33337,194206,46283,136951,22080,182360,5689,51919,57405,26704,20933,414317,458482,68469,24304,482786,33337,194206,46283,136951,22080,182360,5689,51919,57405,26704,20933,414317,458482,68469,24304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16214.0,-218.0,5341.0,148.0,8082.0,4234.0,10795.0,-1220.0,5553.0,-4136.0,1129.0,-209.0,16167.0,22910.0,47.0,-6696.0,100,6.9,40.2,9.6,28.4,4.6,37.8,1.2,10.8,11.9,5.5,4.3,85.8,95.0,14.2,5.0,100,6.9,40.2,9.6,28.4,4.6,37.8,1.2,10.8,11.9,5.5,4.3,85.8,95.0,14.2,5.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,14.0,35.0,13.0,19.0,20.0,91.0,14.0,18.0,91.0,47.0,48.0,259,158.0,321.0,14.0,35.0,13.0,19.0,20.0,91.0,14.0,18.0,91.0,47.0,48.0,259.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,45.4,37.7,61.2,20.2,36.9,26.1,46.8,29.7,45.4,37.7,61.2,20.2,36.9,26.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,100309,2010-03-09,88691,CMX,1,88,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,493909,39179,198734,48572,140804,25201,179078,4670,49950,61790,28004,22573,426343,469936,67566,23973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11123.0,5842.0,4528.0,2289.0,3853.0,3121.0,-3282.0,-1019.0,-1969.0,4385.0,1300.0,1640.0,12026.0,11454.0,-903.0,-331.0,100,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100,7.9,40.2,9.8,28.5,5.1,36.3,0.9,10.1,12.5,5.7,4.6,86.3,95.1,13.7,4.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,19.0,32.0,15.0,19.0,19.0,87.0,10.0,18.0,95.0,51.0,51.0,266,155.0,321.0,19.0,32.0,15.0,19.0,19.0,87.0,10.0,18.0,95.0,51.0,51.0,266.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,29.2,46.0,37.3,61.0,20.4,36.8,26.2,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
