Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100105,2010-01-05,22651,NYME,1,22,317155,74811,218279,75693,1404,20161,51877,12998,16297,15588,4090,13614,268041,286843,49114,30312,317155,74811,218279,75693,1404,20161,51877,12998,16297,15588,4090,13614,268041,286843,49114,30312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2259.0,-12559.0,-2028.0,218.0,-266.0,-1124.0,9302.0,1443.0,2874.0,-1529.0,514.0,-1102.0,-3920.0,311.0,6179.0,1948.0,100,23.6,68.8,23.9,0.4,6.4,16.4,4.1,5.1,4.9,1.3,4.3,84.5,90.4,15.5,9.6,100,23.6,68.8,23.9,0.4,6.4,16.4,4.1,5.1,4.9,1.3,4.3,84.5,90.4,15.5,9.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,50.0,70.0,16.0,,12.0,41.0,8.0,16.0,11.0,11.0,19.0,140,123.0,168.0,50.0,70.0,16.0,,12.0,41.0,8.0,16.0,11.0,11.0,19.0,140.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,25.6,33.0,36.8,18.0,19.3,26.7,26.6,23.1,25.6,33.0,36.8,18.0,19.3,26.7,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100112,2010-01-12,22651,NYME,1,22,332408,82598,224009,74711,1466,21195,53216,14955,21487,14440,3332,17634,285281,304078,47127,28330,332408,82598,224009,74711,1466,21195,53216,14955,21487,14440,3332,17634,285281,304078,47127,28330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15253.0,7787.0,5730.0,-982.0,62.0,1034.0,1339.0,1957.0,5190.0,-1148.0,-758.0,4020.0,17240.0,17235.0,-1987.0,-1982.0,100,24.8,67.4,22.5,0.4,6.4,16.0,4.5,6.5,4.3,1.0,5.3,85.8,91.5,14.2,8.5,100,24.8,67.4,22.5,0.4,6.4,16.0,4.5,6.5,4.3,1.0,5.3,85.8,91.5,14.2,8.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,53.0,73.0,16.0,,12.0,42.0,11.0,21.0,11.0,12.0,22.0,150,132.0,175.0,53.0,73.0,16.0,,12.0,42.0,11.0,21.0,11.0,12.0,22.0,150.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,23.3,30.2,34.2,15.9,18.1,24.2,24.6,20.9,23.3,30.2,34.2,15.9,18.1,24.2,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100119,2010-01-19,22651,NYME,1,22,311199,77672,208126,79174,1344,18530,40927,14712,21545,15292,3249,17518,270658,285024,40541,26175,311199,77672,208126,79174,1344,18530,40927,14712,21545,15292,3249,17518,270658,285024,40541,26175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21209.0,-4926.0,-15883.0,4463.0,-122.0,-2665.0,-12289.0,-243.0,58.0,852.0,-83.0,-116.0,-14623.0,-19054.0,-6586.0,-2155.0,100,25.0,66.9,25.4,0.4,6.0,13.2,4.7,6.9,4.9,1.0,5.6,87.0,91.6,13.0,8.4,100,25.0,66.9,25.4,0.4,6.0,13.2,4.7,6.9,4.9,1.0,5.6,87.0,91.6,13.0,8.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,52.0,68.0,18.0,,14.0,38.0,8.0,19.0,13.0,10.0,21.0,148,125.0,168.0,52.0,68.0,18.0,,14.0,38.0,8.0,19.0,13.0,10.0,21.0,148.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,24.8,32.8,35.4,18.2,19.6,27.2,26.4,22.5,24.8,32.8,35.4,18.2,19.6,27.2,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100126,2010-01-26,22651,NYME,1,22,315328,82802,205917,83407,1240,16015,34280,20901,19640,17286,3748,19029,272459,286490,42869,28838,315328,82802,205917,83407,1240,16015,34280,20901,19640,17286,3748,19029,272459,286490,42869,28838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129.0,5130.0,-2209.0,4233.0,-104.0,-2515.0,-6647.0,6189.0,-1905.0,1994.0,499.0,1511.0,1801.0,1466.0,2328.0,2663.0,100,26.3,65.3,26.5,0.4,5.1,10.9,6.6,6.2,5.5,1.2,6.0,86.4,90.9,13.6,9.1,100,26.3,65.3,26.5,0.4,5.1,10.9,6.6,6.2,5.5,1.2,6.0,86.4,90.9,13.6,9.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,47.0,67.0,16.0,,11.0,33.0,13.0,20.0,13.0,11.0,22.0,138,126.0,165.0,47.0,67.0,16.0,,11.0,33.0,13.0,20.0,13.0,11.0,22.0,138.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,23.3,34.3,33.5,19.9,18.5,29.0,25.3,23.8,23.3,34.3,33.5,19.9,18.5,29.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100202,2010-02-02,22651,NYME,1,22,312191,83634,201134,87268,1168,13269,32942,23399,20103,16588,3847,20728,274532,283648,37659,28543,312191,83634,201134,87268,1168,13269,32942,23399,20103,16588,3847,20728,274532,283648,37659,28543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3137.0,832.0,-4783.0,3861.0,-72.0,-2746.0,-1338.0,2498.0,463.0,-698.0,99.0,1699.0,2073.0,-2842.0,-5210.0,-295.0,100,26.8,64.4,28.0,0.4,4.3,10.6,7.5,6.4,5.3,1.2,6.6,87.9,90.9,12.1,9.1,100,26.8,64.4,28.0,0.4,4.3,10.6,7.5,6.4,5.3,1.2,6.6,87.9,90.9,12.1,9.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,55.0,73.0,15.0,,11.0,32.0,15.0,19.0,13.0,12.0,22.0,140,135.0,169.0,55.0,73.0,15.0,,11.0,32.0,15.0,19.0,13.0,12.0,22.0,140.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,22.5,35.2,33.0,20.6,18.2,30.3,25.4,24.2,22.5,35.2,33.0,20.6,18.2,30.3,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100209,2010-02-09,22651,NYME,1,22,313712,87013,199987,92021,1357,12654,26675,23560,23424,15170,3527,19355,276312,283864,37400,29848,313712,87013,199987,92021,1357,12654,26675,23560,23424,15170,3527,19355,276312,283864,37400,29848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521.0,3379.0,-1147.0,4753.0,189.0,-615.0,-6267.0,161.0,3321.0,-1418.0,-320.0,-1373.0,1780.0,216.0,-259.0,1305.0,100,27.7,63.7,29.3,0.4,4.0,8.5,7.5,7.5,4.8,1.1,6.2,88.1,90.5,11.9,9.5,100,27.7,63.7,29.3,0.4,4.0,8.5,7.5,7.5,4.8,1.1,6.2,88.1,90.5,11.9,9.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,54.0,67.0,17.0,,12.0,21.0,16.0,20.0,11.0,11.0,22.0,129,131.0,153.0,54.0,67.0,17.0,,12.0,21.0,16.0,20.0,11.0,11.0,22.0,129.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,22.4,34.6,32.8,20.1,18.2,29.8,25.4,23.7,22.4,34.6,32.8,20.1,18.2,29.8,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100216,2010-02-16,22651,NYME,1,22,300777,78081,189760,88522,1537,15282,27231,21934,20661,14910,4023,18462,263149,271659,37628,29118,300777,78081,189760,88522,1537,15282,27231,21934,20661,14910,4023,18462,263149,271659,37628,29118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12935.0,-8932.0,-10227.0,-3499.0,180.0,2628.0,556.0,-1626.0,-2763.0,-260.0,496.0,-893.0,-13163.0,-12205.0,228.0,-730.0,100,26.0,63.1,29.4,0.5,5.1,9.1,7.3,6.9,5.0,1.3,6.1,87.5,90.3,12.5,9.7,100,26.0,63.1,29.4,0.5,5.1,9.1,7.3,6.9,5.0,1.3,6.1,87.5,90.3,12.5,9.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,52.0,64.0,17.0,,13.0,24.0,12.0,18.0,12.0,10.0,21.0,126,124.0,148.0,52.0,64.0,17.0,,13.0,24.0,12.0,18.0,12.0,10.0,21.0,126.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,23.0,33.8,33.0,19.8,18.4,29.9,26.0,23.4,23.0,33.8,33.0,19.8,18.4,29.9,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100223,2010-02-23,22651,NYME,1,22,304732,74340,200660,83684,1531,16860,38132,15996,18451,11521,5434,19482,262470,278414,42262,26318,304732,74340,200660,83684,1531,16860,38132,15996,18451,11521,5434,19482,262470,278414,42262,26318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955.0,-3741.0,10900.0,-4838.0,-6.0,1578.0,10901.0,-5938.0,-2210.0,-3389.0,1411.0,1020.0,-679.0,6755.0,4634.0,-2800.0,100,24.4,65.8,27.5,0.5,5.5,12.5,5.2,6.1,3.8,1.8,6.4,86.1,91.4,13.9,8.6,100,24.4,65.8,27.5,0.5,5.5,12.5,5.2,6.1,3.8,1.8,6.4,86.1,91.4,13.9,8.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,47.0,66.0,15.0,,9.0,30.0,10.0,19.0,12.0,12.0,23.0,129,122.0,153.0,47.0,66.0,15.0,,9.0,30.0,10.0,19.0,12.0,12.0,23.0,129.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,25.3,33.2,35.7,18.9,21.7,28.9,28.8,22.9,25.3,33.2,35.7,18.9,21.7,28.9,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100302,2010-03-02,22651,NYME,1,22,300511,74803,198491,83138,1624,14817,38101,17215,16731,10678,7729,20392,258660,276999,41851,23512,300511,74803,198491,83138,1624,14817,38101,17215,16731,10678,7729,20392,258660,276999,41851,23512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4221.0,463.0,-2169.0,-546.0,93.0,-2043.0,-31.0,1219.0,-1720.0,-843.0,2295.0,910.0,-3810.0,-1415.0,-411.0,-2806.0,100,24.9,66.1,27.7,0.5,4.9,12.7,5.7,5.6,3.6,2.6,6.8,86.1,92.2,13.9,7.8,100,24.9,66.1,27.7,0.5,4.9,12.7,5.7,5.6,3.6,2.6,6.8,86.1,92.2,13.9,7.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,50.0,65.0,15.0,,10.0,29.0,10.0,18.0,9.0,15.0,24.0,133,122.0,156.0,50.0,65.0,15.0,,10.0,29.0,10.0,18.0,9.0,15.0,24.0,133.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,25.5,33.7,36.6,18.8,21.5,29.1,29.2,22.8,25.5,33.7,36.6,18.8,21.5,29.1,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE",100309,2010-03-09,22651,NYME,1,22,318425,91081,215975,81199,2040,13400,40996,14422,20240,9970,11746,17376,274262,295199,44163,23226,318425,91081,215975,81199,2040,13400,40996,14422,20240,9970,11746,17376,274262,295199,44163,23226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17914.0,16278.0,17484.0,-1939.0,416.0,-1417.0,2895.0,-2793.0,3509.0,-708.0,4017.0,-3016.0,15602.0,18200.0,2312.0,-286.0,100,28.6,67.8,25.5,0.6,4.2,12.9,4.5,6.4,3.1,3.7,5.5,86.1,92.7,13.9,7.3,100,28.6,67.8,25.5,0.6,4.2,12.9,4.5,6.4,3.1,3.7,5.5,86.1,92.7,13.9,7.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,56.0,68.0,15.0,,11.0,33.0,10.0,21.0,7.0,15.0,23.0,144,127.0,165.0,56.0,68.0,15.0,,11.0,33.0,10.0,21.0,7.0,15.0,23.0,144.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,25.8,31.4,36.8,17.6,21.6,27.3,29.2,20.7,25.8,31.4,36.8,17.6,21.6,27.3,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)",N10,FutOnly
