Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,23651,NYME,1,23,724087,77237,100319,156383,13474,74931,76202,184650,194909,6083,54224,62972,648717,685479,75370,38608,724087,77237,100319,156383,13474,74931,76202,184650,194909,6083,54224,62972,648717,685479,75370,38608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22185.0,-2503.0,-4284.0,6945.0,-791.0,1113.0,-1277.0,9656.0,9987.0,841.0,-32.0,2497.0,17603.0,18146.0,4582.0,4039.0,100,10.7,13.9,21.6,1.9,10.3,10.5,25.5,26.9,0.8,7.5,8.7,89.6,94.7,10.4,5.3,100,10.7,13.9,21.6,1.9,10.3,10.5,25.5,26.9,0.8,7.5,8.7,89.6,94.7,10.4,5.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,53.0,41.0,21.0,11.0,24.0,44.0,46.0,62.0,23.0,35.0,42.0,222,194.0,250.0,53.0,41.0,21.0,11.0,24.0,44.0,46.0,62.0,23.0,35.0,42.0,222.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,37.2,33.5,48.4,13.5,23.8,19.2,29.1,21.0,37.2,33.5,48.4,13.5,23.8,19.2,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,23651,NYME,1,23,760159,72969,100871,166912,12364,80899,82550,195730,204648,7480,58110,66856,682314,719478,77845,40681,760159,72969,100871,166912,12364,80899,82550,195730,204648,7480,58110,66856,682314,719478,77845,40681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36072.0,-4268.0,552.0,10529.0,-1110.0,5968.0,6348.0,11080.0,9739.0,1397.0,3886.0,3884.0,33597.0,33999.0,2475.0,2073.0,100,9.6,13.3,22.0,1.6,10.6,10.9,25.7,26.9,1.0,7.6,8.8,89.8,94.6,10.2,5.4,100,9.6,13.3,22.0,1.6,10.6,10.9,25.7,26.9,1.0,7.6,8.8,89.8,94.6,10.2,5.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,50.0,39.0,22.0,10.0,27.0,46.0,42.0,60.0,28.0,39.0,50.0,228,198.0,252.0,50.0,39.0,22.0,10.0,27.0,46.0,42.0,60.0,28.0,39.0,50.0,228.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,36.8,34.2,47.7,13.6,23.2,19.4,28.6,21.6,36.8,34.2,47.7,13.6,23.2,19.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,23651,NYME,1,23,782549,81412,109198,171534,12260,80544,81808,193673,213398,6759,63616,72255,707710,744944,74839,37605,782549,81412,109198,171534,12260,80544,81808,193673,213398,6759,63616,72255,707710,744944,74839,37605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22390.0,8443.0,8327.0,4622.0,-104.0,-355.0,-742.0,-2057.0,8750.0,-721.0,5506.0,5399.0,25396.0,25466.0,-3006.0,-3076.0,100,10.4,14.0,21.9,1.6,10.3,10.5,24.7,27.3,0.9,8.1,9.2,90.4,95.2,9.6,4.8,100,10.4,14.0,21.9,1.6,10.3,10.5,24.7,27.3,0.9,8.1,9.2,90.4,95.2,9.6,4.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,51.0,41.0,21.0,13.0,28.0,48.0,45.0,61.0,30.0,38.0,54.0,236,208.0,263.0,51.0,41.0,21.0,13.0,28.0,48.0,45.0,61.0,30.0,38.0,54.0,236.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,36.6,34.6,47.7,13.7,22.8,19.6,27.7,21.9,36.6,34.6,47.7,13.7,22.8,19.6,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,23651,NYME,1,23,769887,72076,103483,167366,12360,78770,83051,193047,221683,5428,57986,68202,696576,735531,73311,34356,769887,72076,103483,167366,12360,78770,83051,193047,221683,5428,57986,68202,696576,735531,73311,34356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12662.0,-9336.0,-5715.0,-4168.0,100.0,-1774.0,1243.0,-626.0,8285.0,-1331.0,-5630.0,-4053.0,-11134.0,-9413.0,-1528.0,-3249.0,100,9.4,13.4,21.7,1.6,10.2,10.8,25.1,28.8,0.7,7.5,8.9,90.5,95.5,9.5,4.5,100,9.4,13.4,21.7,1.6,10.2,10.8,25.1,28.8,0.7,7.5,8.9,90.5,95.5,9.5,4.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,50.0,41.0,22.0,13.0,29.0,43.0,49.0,60.0,22.0,40.0,49.0,225,205.0,253.0,50.0,41.0,22.0,13.0,29.0,43.0,49.0,60.0,22.0,40.0,49.0,225.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,36.9,35.1,47.9,13.5,22.3,19.5,27.4,22.5,36.9,35.1,47.9,13.5,22.3,19.5,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,23651,NYME,1,23,782673,72206,105925,174292,17408,76607,71288,174507,239632,5708,61847,66755,706488,742681,76185,39992,782673,72206,105925,174292,17408,76607,71288,174507,239632,5708,61847,66755,706488,742681,76185,39992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12786.0,130.0,2442.0,6926.0,5048.0,-2163.0,-11763.0,-18540.0,17949.0,280.0,3861.0,-1447.0,9912.0,7150.0,2874.0,5636.0,100,9.2,13.5,22.3,2.2,9.8,9.1,22.3,30.6,0.7,7.9,8.5,90.3,94.9,9.7,5.1,100,9.2,13.5,22.3,2.2,9.8,9.1,22.3,30.6,0.7,7.9,8.5,90.3,94.9,9.7,5.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,49.0,42.0,21.0,13.0,28.0,44.0,49.0,63.0,24.0,44.0,53.0,229,216.0,262.0,49.0,42.0,21.0,13.0,28.0,44.0,49.0,63.0,24.0,44.0,53.0,229.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,33.9,34.9,45.0,13.4,18.7,19.0,23.8,22.9,33.9,34.9,45.0,13.4,18.7,19.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,23651,NYME,1,23,775827,72128,104561,165125,15912,72596,71970,169508,238226,5422,58711,74086,699553,733600,76274,42227,775827,72128,104561,165125,15912,72596,71970,169508,238226,5422,58711,74086,699553,733600,76274,42227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6846.0,-78.0,-1364.0,-9167.0,-1496.0,-4011.0,682.0,-4999.0,-1406.0,-286.0,-3136.0,7331.0,-6935.0,-9081.0,89.0,2235.0,100,9.3,13.5,21.3,2.1,9.4,9.3,21.8,30.7,0.7,7.6,9.5,90.2,94.6,9.8,5.4,100,9.3,13.5,21.3,2.1,9.4,9.3,21.8,30.7,0.7,7.6,9.5,90.2,94.6,9.8,5.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,47.0,39.0,19.0,15.0,29.0,44.0,43.0,60.0,19.0,45.0,53.0,222,208.0,251.0,47.0,39.0,19.0,15.0,29.0,44.0,43.0,60.0,19.0,45.0,53.0,222.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,33.9,35.2,44.8,13.2,18.3,18.5,23.2,23.3,33.9,35.2,44.8,13.2,18.3,18.5,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,23651,NYME,1,23,780477,69362,100862,168329,16476,75356,72214,175606,229737,5874,56774,82811,703683,737622,76794,42855,780477,69362,100862,168329,16476,75356,72214,175606,229737,5874,56774,82811,703683,737622,76794,42855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650.0,-2766.0,-3699.0,3204.0,564.0,2760.0,244.0,6098.0,-8489.0,452.0,-1937.0,8725.0,4130.0,4022.0,520.0,628.0,100,8.9,12.9,21.6,2.1,9.7,9.3,22.5,29.4,0.8,7.3,10.6,90.2,94.5,9.8,5.5,100,8.9,12.9,21.6,2.1,9.7,9.3,22.5,29.4,0.8,7.3,10.6,90.2,94.5,9.8,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,48.0,39.0,20.0,13.0,27.0,46.0,48.0,68.0,24.0,41.0,57.0,236,214.0,261.0,48.0,39.0,20.0,13.0,27.0,46.0,48.0,68.0,24.0,41.0,57.0,236.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,33.3,35.1,43.9,13.4,18.0,18.7,22.7,23.0,33.3,35.1,43.9,13.4,18.0,18.7,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,23651,NYME,1,23,794836,72213,97962,170738,13435,79699,64559,195461,239297,11985,47374,79890,718381,753118,76455,41718,794836,72213,97962,170738,13435,79699,64559,195461,239297,11985,47374,79890,718381,753118,76455,41718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14359.0,2851.0,-2900.0,2409.0,-3041.0,4343.0,-7655.0,19855.0,9560.0,6111.0,-9400.0,-2921.0,14698.0,15496.0,-339.0,-1137.0,100,9.1,12.3,21.5,1.7,10.0,8.1,24.6,30.1,1.5,6.0,10.1,90.4,94.8,9.6,5.2,100,9.1,12.3,21.5,1.7,10.0,8.1,24.6,30.1,1.5,6.0,10.1,90.4,94.8,9.6,5.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,49.0,39.0,20.0,13.0,27.0,50.0,52.0,62.0,21.0,35.0,51.0,224,210.0,257.0,49.0,39.0,20.0,13.0,27.0,50.0,52.0,62.0,21.0,35.0,51.0,224.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,33.9,36.8,44.4,13.2,17.0,18.2,23.2,24.9,33.9,36.8,44.4,13.2,17.0,18.2,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,23651,NYME,1,23,820300,75665,99221,177171,13268,76938,68101,215431,248543,18896,42233,77221,742535,772855,77765,47445,820300,75665,99221,177171,13268,76938,68101,215431,248543,18896,42233,77221,742535,772855,77765,47445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25464.0,3452.0,1259.0,6433.0,-167.0,-2761.0,3542.0,19970.0,9246.0,6911.0,-5141.0,-2669.0,24154.0,19737.0,1310.0,5727.0,100,9.2,12.1,21.6,1.6,9.4,8.3,26.3,30.3,2.3,5.1,9.4,90.5,94.2,9.5,5.8,100,9.2,12.1,21.6,1.6,9.4,8.3,26.3,30.3,2.3,5.1,9.4,90.5,94.2,9.5,5.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,51.0,42.0,21.0,12.0,25.0,50.0,60.0,64.0,24.0,34.0,50.0,230,217.0,270.0,51.0,42.0,21.0,12.0,25.0,50.0,60.0,64.0,24.0,34.0,50.0,230.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,33.4,36.0,44.6,13.1,17.8,18.4,24.1,24.5,33.4,36.0,44.6,13.1,17.8,18.4,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,23651,NYME,1,23,853259,81679,106078,180424,13456,81732,73156,224463,257908,19765,43027,79910,774574,806574,78685,46685,853259,81679,106078,180424,13456,81732,73156,224463,257908,19765,43027,79910,774574,806574,78685,46685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32959.0,6014.0,6857.0,3253.0,188.0,4794.0,5055.0,9032.0,9365.0,869.0,794.0,2689.0,32039.0,33719.0,920.0,-760.0,100,9.6,12.4,21.1,1.6,9.6,8.6,26.3,30.2,2.3,5.0,9.4,90.8,94.5,9.2,5.5,100,9.6,12.4,21.1,1.6,9.6,8.6,26.3,30.2,2.3,5.0,9.4,90.8,94.5,9.2,5.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,48.0,40.0,21.0,11.0,25.0,50.0,60.0,63.0,27.0,32.0,55.0,232,218.0,270.0,48.0,40.0,21.0,11.0,25.0,50.0,60.0,63.0,27.0,32.0,55.0,232.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,32.5,35.6,45.0,12.8,17.4,17.9,24.0,24.3,32.5,35.6,45.0,12.8,17.4,17.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
