Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,75651,NYME,1,75,23379,661,16344,3402,4126,0,12401,844,259,3659,1098,63,20445,22734,2934,645,23379,661,16344,3402,4126,0,12401,844,259,3659,1098,63,20445,22734,2934,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977.0,116.0,102.0,423.0,716.0,-40.0,-13.0,56.0,148.0,-25.0,-226.0,-8.0,601.0,748.0,376.0,229.0,100,2.8,69.9,14.6,17.6,0.0,53.0,3.6,1.1,15.7,4.7,0.3,87.5,97.2,12.5,2.8,100,2.8,69.9,14.6,17.6,0.0,53.0,3.6,1.1,15.7,4.7,0.3,87.5,97.2,12.5,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,7.0,19.0,12.0,8.0,0.0,53.0,6.0,,36.0,10.0,,111,45.0,148.0,7.0,19.0,12.0,8.0,0.0,53.0,6.0,,36.0,10.0,,111.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,43.2,35.0,64.9,20.3,43.0,34.3,64.6,21.0,43.2,35.0,64.9,20.3,43.0,34.3,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,75651,NYME,1,75,23437,735,15585,3341,3938,60,11609,1048,314,3994,1735,170,20223,22850,3214,587,23437,735,15585,3341,3938,60,11609,1048,314,3994,1735,170,20223,22850,3214,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,74.0,-759.0,-61.0,-188.0,60.0,-792.0,204.0,55.0,335.0,637.0,107.0,-222.0,116.0,280.0,-58.0,100,3.1,66.5,14.3,16.8,0.3,49.5,4.5,1.3,17.0,7.4,0.7,86.3,97.5,13.7,2.5,100,3.1,66.5,14.3,16.8,0.3,49.5,4.5,1.3,17.0,7.4,0.7,86.3,97.5,13.7,2.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,9.0,19.0,12.0,8.0,,52.0,7.0,,37.0,15.0,,114,53.0,156.0,9.0,19.0,12.0,8.0,,52.0,7.0,,37.0,15.0,,114.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,40.5,34.2,62.0,20.0,40.0,33.4,61.2,20.7,40.5,34.2,62.0,20.0,40.0,33.4,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,75651,NYME,1,75,23262,670,14661,3189,4036,60,11862,1229,516,3750,2084,201,20248,22787,3014,475,23262,670,14661,3189,4036,60,11862,1229,516,3750,2084,201,20248,22787,3014,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175.0,-65.0,-924.0,-152.0,98.0,0.0,253.0,181.0,202.0,-244.0,349.0,31.0,25.0,-63.0,-200.0,-112.0,100,2.9,63.0,13.7,17.4,0.3,51.0,5.3,2.2,16.1,9.0,0.9,87.0,98.0,13.0,2.0,100,2.9,63.0,13.7,17.4,0.3,51.0,5.3,2.2,16.1,9.0,0.9,87.0,98.0,13.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,8.0,20.0,12.0,8.0,,56.0,7.0,4.0,36.0,13.0,4.0,117,53.0,156.0,8.0,20.0,12.0,8.0,,56.0,7.0,4.0,36.0,13.0,4.0,117.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,39.2,34.9,61.4,19.9,38.8,34.1,60.6,20.7,39.2,34.9,61.4,19.9,38.8,34.1,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,75651,NYME,1,75,23354,766,14066,3081,4121,87,12129,1478,400,3835,2450,231,20529,22833,2825,521,23354,766,14066,3081,4121,87,12129,1478,400,3835,2450,231,20529,22833,2825,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,96.0,-595.0,-108.0,85.0,27.0,267.0,249.0,-116.0,85.0,366.0,30.0,281.0,46.0,-189.0,46.0,100,3.3,60.2,13.2,17.6,0.4,51.9,6.3,1.7,16.4,10.5,1.0,87.9,97.8,12.1,2.2,100,3.3,60.2,13.2,17.6,0.4,51.9,6.3,1.7,16.4,10.5,1.0,87.9,97.8,12.1,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,9.0,19.0,12.0,8.0,,55.0,9.0,4.0,30.0,16.0,4.0,111,58.0,154.0,9.0,19.0,12.0,8.0,,55.0,9.0,4.0,30.0,16.0,4.0,111.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,37.0,35.7,58.8,21.0,36.6,34.8,58.0,21.8,37.0,35.7,58.8,21.0,36.6,34.8,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,75651,NYME,1,75,23024,770,13770,2590,4174,120,12450,1631,213,3772,2263,340,20255,22511,2769,513,23024,770,13770,2590,4174,120,12450,1631,213,3772,2263,340,20255,22511,2769,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-330.0,4.0,-296.0,-491.0,53.0,33.0,321.0,153.0,-187.0,-63.0,-187.0,109.0,-274.0,-322.0,-56.0,-8.0,100,3.3,59.8,11.2,18.1,0.5,54.1,7.1,0.9,16.4,9.8,1.5,88.0,97.8,12.0,2.2,100,3.3,59.8,11.2,18.1,0.5,54.1,7.1,0.9,16.4,9.8,1.5,88.0,97.8,12.0,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,9.0,20.0,13.0,8.0,,57.0,8.0,,31.0,18.0,5.0,116,60.0,161.0,9.0,20.0,13.0,8.0,,57.0,8.0,,31.0,18.0,5.0,116.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,37.4,36.4,59.1,21.9,36.6,36.1,58.3,21.9,37.4,36.4,59.1,21.9,36.6,36.1,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,75651,NYME,1,75,22095,653,13523,2090,3467,159,12310,1893,186,4073,2184,295,19766,21707,2329,388,22095,653,13523,2090,3467,159,12310,1893,186,4073,2184,295,19766,21707,2329,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-929.0,-117.0,-247.0,-500.0,-707.0,39.0,-140.0,262.0,-27.0,301.0,-79.0,-45.0,-489.0,-804.0,-440.0,-125.0,100,3.0,61.2,9.5,15.7,0.7,55.7,8.6,0.8,18.4,9.9,1.3,89.5,98.2,10.5,1.8,100,3.0,61.2,9.5,15.7,0.7,55.7,8.6,0.8,18.4,9.9,1.3,89.5,98.2,10.5,1.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,5.0,22.0,13.0,8.0,,47.0,10.0,,27.0,21.0,5.0,100,68.0,153.0,5.0,22.0,13.0,8.0,,47.0,10.0,,27.0,21.0,5.0,100.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,39.7,39.9,59.2,24.6,39.2,39.9,58.7,24.6,39.7,39.9,59.2,24.6,39.2,39.9,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,75651,NYME,1,75,22813,484,13706,2088,3910,209,12788,1943,206,4239,2010,240,20254,22224,2559,589,22813,484,13706,2088,3910,209,12788,1943,206,4239,2010,240,20254,22224,2559,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718.0,-169.0,183.0,-2.0,443.0,50.0,478.0,50.0,20.0,166.0,-174.0,-55.0,488.0,517.0,230.0,201.0,100,2.1,60.1,9.2,17.1,0.9,56.1,8.5,0.9,18.6,8.8,1.1,88.8,97.4,11.2,2.6,100,2.1,60.1,9.2,17.1,0.9,56.1,8.5,0.9,18.6,8.8,1.1,88.8,97.4,11.2,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,6.0,21.0,10.0,9.0,6.0,49.0,9.0,4.0,27.0,17.0,,100,64.0,148.0,6.0,21.0,10.0,9.0,6.0,49.0,9.0,4.0,27.0,17.0,,100.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,38.1,39.7,57.1,24.7,38.1,39.3,57.0,24.8,38.1,39.7,57.1,24.7,38.1,39.3,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,75651,NYME,1,75,23459,603,14373,2365,3847,110,12800,1934,343,3737,1470,68,20026,22145,3433,1314,23459,603,14373,2365,3847,110,12800,1934,343,3737,1470,68,20026,22145,3433,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.0,119.0,667.0,277.0,-63.0,-99.0,12.0,-9.0,137.0,-502.0,-540.0,-172.0,-228.0,-79.0,874.0,725.0,100,2.6,61.3,10.1,16.4,0.5,54.6,8.2,1.5,15.9,6.3,0.3,85.4,94.4,14.6,5.6,100,2.6,61.3,10.1,16.4,0.5,54.6,8.2,1.5,15.9,6.3,0.3,85.4,94.4,14.6,5.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,6.0,19.0,10.0,8.0,4.0,49.0,9.0,,22.0,17.0,,94,55.0,139.0,6.0,19.0,10.0,8.0,4.0,49.0,9.0,,22.0,17.0,,94.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,23.1,39.4,38.4,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,75651,NYME,1,75,21597,511,14421,2539,3218,12,12201,2088,78,3601,1377,0,18942,21194,2655,403,21597,511,14421,2539,3218,12,12201,2088,78,3601,1377,0,18942,21194,2655,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1862.0,-92.0,48.0,174.0,-629.0,-98.0,-599.0,154.0,-265.0,-136.0,-93.0,-68.0,-1084.0,-951.0,-778.0,-911.0,100,2.4,66.8,11.8,14.9,0.1,56.5,9.7,0.4,16.7,6.4,0.0,87.7,98.1,12.3,1.9,100,2.4,66.8,11.8,14.9,0.1,56.5,9.7,0.4,16.7,6.4,0.0,87.7,98.1,12.3,1.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,10.0,21.0,11.0,8.0,,48.0,10.0,,28.0,12.0,0.0,101,52.0,142.0,10.0,21.0,11.0,8.0,,48.0,10.0,,28.0,12.0,0.0,101.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,41.9,40.2,61.6,24.8,41.8,40.2,61.3,24.8,41.9,40.2,61.6,24.8,41.8,40.2,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,75651,NYME,1,75,22195,489,14766,2764,3610,5,12221,2035,94,3610,1200,0,19183,21710,3012,485,22195,489,14766,2764,3610,5,12221,2035,94,3610,1200,0,19183,21710,3012,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.0,-22.0,345.0,225.0,392.0,-7.0,20.0,-53.0,16.0,9.0,-177.0,0.0,241.0,516.0,357.0,82.0,100,2.2,66.5,12.5,16.3,0.0,55.1,9.2,0.4,16.3,5.4,0.0,86.4,97.8,13.6,2.2,100,2.2,66.5,12.5,16.3,0.0,55.1,9.2,0.4,16.3,5.4,0.0,86.4,97.8,13.6,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,8.0,21.0,11.0,8.0,,52.0,10.0,,31.0,10.0,0.0,106,49.0,147.0,8.0,21.0,11.0,8.0,,52.0,10.0,,31.0,10.0,0.0,106.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,41.6,38.1,61.0,24.5,41.6,38.1,60.4,24.5,41.6,38.1,61.0,24.5,41.6,38.1,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
