Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100105,2010-01-05,76651,NYME,1,76,33582,773,18285,5337,12418,155,18185,325,239,3478,960,34,28201,32416,5381,1166,33582,773,18285,5337,12418,155,18185,325,239,3478,960,34,28201,32416,5381,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.0,268.0,703.0,342.0,1065.0,-121.0,787.0,-291.0,-96.0,-175.0,-216.0,-117.0,888.0,927.0,221.0,182.0,100,2.3,54.4,15.9,37.0,0.5,54.2,1.0,0.7,10.4,2.9,0.1,84.0,96.5,16.0,3.5,100,2.3,54.4,15.9,37.0,0.5,54.2,1.0,0.7,10.4,2.9,0.1,84.0,96.5,16.0,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,6.0,19.0,9.0,11.0,,60.0,,,20.0,6.0,,101,39.0,130.0,6.0,19.0,9.0,11.0,,60.0,,,20.0,6.0,,101.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,30.7,34.7,50.5,22.3,30.7,34.7,50.4,22.3,30.7,34.7,50.5,22.3,30.7,34.7,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100112,2010-01-12,76651,NYME,1,76,34502,632,17529,5021,12722,117,18510,537,196,4503,2317,0,28979,33418,5523,1084,34502,632,17529,5021,12722,117,18510,537,196,4503,2317,0,28979,33418,5523,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.0,-141.0,-756.0,-316.0,304.0,-38.0,325.0,212.0,-43.0,1025.0,1357.0,-34.0,778.0,1002.0,142.0,-82.0,100,1.8,50.8,14.6,36.9,0.3,53.6,1.6,0.6,13.1,6.7,0.0,84.0,96.9,16.0,3.1,100,1.8,50.8,14.6,36.9,0.3,53.6,1.6,0.6,13.1,6.7,0.0,84.0,96.9,16.0,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,6.0,21.0,8.0,11.0,,59.0,4.0,,23.0,8.0,0.0,101,44.0,136.0,6.0,21.0,8.0,11.0,,59.0,4.0,,23.0,8.0,0.0,101.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,21.3,32.1,33.2,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100119,2010-01-19,76651,NYME,1,76,34352,566,17181,4965,11937,103,19047,910,402,3797,2506,69,28949,33108,5403,1244,34352,566,17181,4965,11937,103,19047,910,402,3797,2506,69,28949,33108,5403,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-150.0,-66.0,-348.0,-56.0,-785.0,-14.0,537.0,373.0,206.0,-706.0,189.0,69.0,-30.0,-310.0,-120.0,160.0,100,1.6,50.0,14.5,34.7,0.3,55.4,2.6,1.2,11.1,7.3,0.2,84.3,96.4,15.7,3.6,100,1.6,50.0,14.5,34.7,0.3,55.4,2.6,1.2,11.1,7.3,0.2,84.3,96.4,15.7,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,7.0,21.0,8.0,11.0,,61.0,7.0,,22.0,9.0,4.0,105,50.0,142.0,7.0,21.0,8.0,11.0,,61.0,7.0,,22.0,9.0,4.0,105.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,21.1,30.8,33.4,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100126,2010-01-26,76651,NYME,1,76,34697,616,16382,5057,11843,303,18964,1092,579,3968,3326,68,29555,33593,5142,1104,34697,616,16382,5057,11843,303,18964,1092,579,3968,3326,68,29555,33593,5142,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.0,50.0,-799.0,92.0,-94.0,200.0,-83.0,182.0,177.0,171.0,820.0,-1.0,606.0,485.0,-261.0,-140.0,100,1.8,47.2,14.6,34.1,0.9,54.7,3.1,1.7,11.4,9.6,0.2,85.2,96.8,14.8,3.2,100,1.8,47.2,14.6,34.1,0.9,54.7,3.1,1.7,11.4,9.6,0.2,85.2,96.8,14.8,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,7.0,20.0,7.0,10.0,,59.0,7.0,4.0,22.0,13.0,,104,52.0,141.0,7.0,20.0,7.0,10.0,,59.0,7.0,4.0,22.0,13.0,,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,19.5,32.8,32.2,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100202,2010-02-02,76651,NYME,1,76,35072,657,15822,5233,12700,288,19108,1180,547,4201,3106,76,30110,33719,4962,1353,35072,657,15822,5233,12700,288,19108,1180,547,4201,3106,76,30110,33719,4962,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.0,41.0,-560.0,176.0,857.0,-15.0,144.0,88.0,-32.0,233.0,-220.0,8.0,555.0,126.0,-180.0,249.0,100,1.9,45.1,14.9,36.2,0.8,54.5,3.4,1.6,12.0,8.9,0.2,85.9,96.1,14.1,3.9,100,1.9,45.1,14.9,36.2,0.8,54.5,3.4,1.6,12.0,8.9,0.2,85.9,96.1,14.1,3.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,7.0,20.0,7.0,11.0,4.0,58.0,8.0,,26.0,13.0,4.0,106,56.0,146.0,7.0,20.0,7.0,11.0,4.0,58.0,8.0,,26.0,13.0,4.0,106.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,18.9,31.5,32.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100209,2010-02-09,76651,NYME,1,76,34325,637,15405,4761,12522,373,18220,1155,620,5043,2774,150,29804,32999,4521,1326,34325,637,15405,4761,12522,373,18220,1155,620,5043,2774,150,29804,32999,4521,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-747.0,-20.0,-417.0,-472.0,-178.0,85.0,-888.0,-25.0,73.0,842.0,-332.0,74.0,-306.0,-720.0,-441.0,-27.0,100,1.9,44.9,13.9,36.5,1.1,53.1,3.4,1.8,14.7,8.1,0.4,86.8,96.1,13.2,3.9,100,1.9,44.9,13.9,36.5,1.1,53.1,3.4,1.8,14.7,8.1,0.4,86.8,96.1,13.2,3.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,7.0,19.0,8.0,11.0,6.0,56.0,8.0,4.0,29.0,12.0,5.0,112,55.0,147.0,7.0,19.0,8.0,11.0,6.0,56.0,8.0,4.0,29.0,12.0,5.0,112.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,18.8,33.2,31.2,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100216,2010-02-16,76651,NYME,1,76,35153,569,16062,4580,12617,348,18373,1277,630,5508,2547,144,30152,33625,5001,1528,35153,569,16062,4580,12617,348,18373,1277,630,5508,2547,144,30152,33625,5001,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828.0,-68.0,657.0,-181.0,95.0,-25.0,153.0,122.0,10.0,465.0,-227.0,-6.0,348.0,626.0,480.0,202.0,100,1.6,45.7,13.0,35.9,1.0,52.3,3.6,1.8,15.7,7.2,0.4,85.8,95.7,14.2,4.3,100,1.6,45.7,13.0,35.9,1.0,52.3,3.6,1.8,15.7,7.2,0.4,85.8,95.7,14.2,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,7.0,20.0,8.0,12.0,7.0,56.0,8.0,4.0,29.0,8.0,5.0,112,54.0,145.0,7.0,20.0,8.0,12.0,7.0,56.0,8.0,4.0,29.0,8.0,5.0,112.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,18.6,31.8,30.6,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100223,2010-02-23,76651,NYME,1,76,34991,546,16116,4712,13292,318,18968,1168,639,4335,1858,141,29659,33532,5332,1459,34991,546,16116,4712,13292,318,18968,1168,639,4335,1858,141,29659,33532,5332,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.0,-23.0,54.0,132.0,675.0,-30.0,595.0,-109.0,9.0,-1173.0,-689.0,-3.0,-493.0,-93.0,331.0,-69.0,100,1.6,46.1,13.5,38.0,0.9,54.2,3.3,1.8,12.4,5.3,0.4,84.8,95.8,15.2,4.2,100,1.6,46.1,13.5,38.0,0.9,54.2,3.3,1.8,12.4,5.3,0.4,84.8,95.8,15.2,4.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,6.0,21.0,8.0,12.0,6.0,60.0,7.0,4.0,24.0,10.0,4.0,110,53.0,144.0,6.0,21.0,8.0,12.0,6.0,60.0,7.0,4.0,24.0,10.0,4.0,110.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,18.7,33.3,30.7,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100302,2010-03-02,76651,NYME,1,76,35096,417,16128,4787,14349,322,19588,1060,314,4123,1548,61,29612,33782,5484,1314,35096,417,16128,4787,14349,322,19588,1060,314,4123,1548,61,29612,33782,5484,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,-129.0,12.0,75.0,1057.0,4.0,620.0,-108.0,-325.0,-212.0,-310.0,-80.0,-47.0,250.0,152.0,-145.0,100,1.2,46.0,13.6,40.9,0.9,55.8,3.0,0.9,11.7,4.4,0.2,84.4,96.3,15.6,3.7,100,1.2,46.0,13.6,40.9,0.9,55.8,3.0,0.9,11.7,4.4,0.2,84.4,96.3,15.6,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,7.0,21.0,8.0,11.0,6.0,59.0,6.0,,23.0,10.0,,107,49.0,141.0,7.0,21.0,8.0,11.0,6.0,59.0,6.0,,23.0,10.0,,107.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,33.7,30.7,53.1,18.7,33.6,30.7,52.9,18.7,33.7,30.7,53.1,18.7,33.6,30.7,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
PLATINUM - NEW YORK MERCANTILE EXCHANGE,100309,2010-03-09,76651,NYME,1,76,35953,456,16668,4893,13983,361,20179,1184,297,4289,1794,131,30606,34418,5347,1535,35953,456,16668,4893,13983,361,20179,1184,297,4289,1794,131,30606,34418,5347,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.0,39.0,540.0,106.0,-366.0,39.0,591.0,124.0,-17.0,166.0,246.0,70.0,994.0,636.0,-137.0,221.0,100,1.3,46.4,13.6,38.9,1.0,56.1,3.3,0.8,11.9,5.0,0.4,85.1,95.7,14.9,4.3,100,1.3,46.4,13.6,38.9,1.0,56.1,3.3,0.8,11.9,5.0,0.4,85.1,95.7,14.9,4.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,8.0,20.0,8.0,12.0,7.0,61.0,7.0,,25.0,10.0,,112,52.0,148.0,8.0,20.0,8.0,12.0,7.0,61.0,7.0,,25.0,10.0,,112.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,31.5,30.0,49.7,18.3,31.4,30.0,49.6,18.3,31.5,30.0,49.7,18.3,31.4,30.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 50 TROY OUNCES),N20,FutOnly
