Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SILVER - COMMODITY EXCHANGE INC.,100105,2010-01-05,84691,CMX,1,84,125391,6422,64263,17675,17224,2001,29548,3026,15599,14764,1787,7341,93350,111241,32041,14150,125391,6422,64263,17675,17224,2001,29548,3026,15599,14764,1787,7341,93350,111241,32041,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057.0,-135.0,-1706.0,-1389.0,222.0,262.0,2448.0,1513.0,44.0,-22.0,135.0,-769.0,439.0,-299.0,618.0,1356.0,100,5.1,51.3,14.1,13.7,1.6,23.6,2.4,12.4,11.8,1.4,5.9,74.4,88.7,25.6,11.3,100,5.1,51.3,14.1,13.7,1.6,23.6,2.4,12.4,11.8,1.4,5.9,74.4,88.7,25.6,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,12.0,21.0,16.0,8.0,12.0,46.0,7.0,7.0,40.0,10.0,20.0,135,70.0,159.0,12.0,21.0,16.0,8.0,12.0,46.0,7.0,7.0,40.0,10.0,20.0,135.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,56.2,28.7,67.5,10.5,45.9,18.8,53.2,19.9,56.2,28.7,67.5,10.5,45.9,18.8,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100112,2010-01-12,84691,CMX,1,84,128675,7260,67768,17236,18474,1628,35721,1409,16692,12982,2766,6891,98410,115628,30265,13047,128675,7260,67768,17236,18474,1628,35721,1409,16692,12982,2766,6891,98410,115628,30265,13047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284.0,838.0,3505.0,-439.0,1250.0,-373.0,6173.0,-1617.0,1093.0,-1782.0,979.0,-450.0,5060.0,4387.0,-1776.0,-1103.0,100,5.6,52.7,13.4,14.4,1.3,27.8,1.1,13.0,10.1,2.1,5.4,76.5,89.9,23.5,10.1,100,5.6,52.7,13.4,14.4,1.3,27.8,1.1,13.0,10.1,2.1,5.4,76.5,89.9,23.5,10.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,13.0,21.0,15.0,9.0,10.0,46.0,6.0,7.0,34.0,14.0,23.0,128,75.0,156.0,13.0,21.0,15.0,9.0,10.0,46.0,6.0,7.0,34.0,14.0,23.0,128.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,57.7,29.2,68.8,11.0,47.7,19.1,55.1,20.6,57.7,29.2,68.8,11.0,47.7,19.1,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100119,2010-01-19,84691,CMX,1,84,131385,7031,67341,17921,19301,1797,36951,900,15368,12406,4156,7369,98843,116232,32542,15153,131385,7031,67341,17921,19301,1797,36951,900,15368,12406,4156,7369,98843,116232,32542,15153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710.0,-229.0,-427.0,685.0,827.0,169.0,1230.0,-509.0,-1324.0,-576.0,1390.0,478.0,433.0,604.0,2277.0,2106.0,100,5.4,51.3,13.6,14.7,1.4,28.1,0.7,11.7,9.4,3.2,5.6,75.2,88.5,24.8,11.5,100,5.4,51.3,13.6,14.7,1.4,28.1,0.7,11.7,9.4,3.2,5.6,75.2,88.5,24.8,11.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,13.0,21.0,16.0,9.0,9.0,48.0,4.0,7.0,29.0,24.0,25.0,129,79.0,160.0,13.0,21.0,16.0,9.0,9.0,48.0,4.0,7.0,29.0,24.0,25.0,129.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,54.7,27.6,65.8,11.1,46.5,18.8,53.9,19.5,54.7,27.6,65.8,11.1,46.5,18.8,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100126,2010-01-26,84691,CMX,1,84,124895,6850,65986,18737,14312,3449,26832,1895,14738,14641,2509,7631,92878,110520,32017,14375,124895,6850,65986,18737,14312,3449,26832,1895,14738,14641,2509,7631,92878,110520,32017,14375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6490.0,-181.0,-1355.0,816.0,-4989.0,1652.0,-10119.0,995.0,-630.0,2235.0,-1647.0,262.0,-5965.0,-5712.0,-525.0,-778.0,100,5.5,52.8,15.0,11.5,2.8,21.5,1.5,11.8,11.7,2.0,6.1,74.4,88.5,25.6,11.5,100,5.5,52.8,15.0,11.5,2.8,21.5,1.5,11.8,11.7,2.0,6.1,74.4,88.5,25.6,11.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,15.0,20.0,17.0,8.0,10.0,41.0,6.0,6.0,35.0,16.0,23.0,128,72.0,154.0,15.0,20.0,17.0,8.0,10.0,41.0,6.0,6.0,35.0,16.0,23.0,128.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,55.9,27.0,67.1,10.2,47.1,17.3,54.5,18.8,55.9,27.0,67.1,10.2,47.1,17.3,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100202,2010-02-02,84691,CMX,1,84,122261,7065,62141,21431,12918,4076,21528,4273,15250,15396,1774,8013,92759,108445,29502,13816,122261,7065,62141,21431,12918,4076,21528,4273,15250,15396,1774,8013,92759,108445,29502,13816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2634.0,215.0,-3845.0,2694.0,-1394.0,627.0,-5304.0,2378.0,512.0,755.0,-735.0,382.0,-119.0,-2075.0,-2515.0,-559.0,100,5.8,50.8,17.5,10.6,3.3,17.6,3.5,12.5,12.6,1.5,6.6,75.9,88.7,24.1,11.3,100,5.8,50.8,17.5,10.6,3.3,17.6,3.5,12.5,12.6,1.5,6.6,75.9,88.7,24.1,11.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,16.0,21.0,17.0,8.0,12.0,32.0,11.0,8.0,40.0,12.0,23.0,128,75.0,151.0,16.0,21.0,17.0,8.0,12.0,32.0,11.0,8.0,40.0,12.0,23.0,128.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,54.3,29.9,66.6,12.1,45.1,19.5,53.3,21.0,54.3,29.9,66.6,12.1,45.1,19.5,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100209,2010-02-09,84691,CMX,1,84,118593,7428,55713,22346,11861,5056,17686,6401,12574,14752,2672,9872,89714,104149,28879,14444,118593,7428,55713,22346,11861,5056,17686,6401,12574,14752,2672,9872,89714,104149,28879,14444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3668.0,363.0,-6428.0,915.0,-1057.0,980.0,-3842.0,2128.0,-2676.0,-644.0,898.0,1859.0,-3045.0,-4296.0,-623.0,628.0,100,6.3,47.0,18.8,10.0,4.3,14.9,5.4,10.6,12.4,2.3,8.3,75.6,87.8,24.4,12.2,100,6.3,47.0,18.8,10.0,4.3,14.9,5.4,10.6,12.4,2.3,8.3,75.6,87.8,24.4,12.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,17.0,20.0,15.0,8.0,15.0,24.0,12.0,8.0,34.0,18.0,23.0,117,79.0,141.0,17.0,20.0,15.0,8.0,15.0,24.0,12.0,8.0,34.0,18.0,23.0,117.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,50.6,31.5,63.6,13.0,42.8,20.5,49.1,21.2,50.6,31.5,63.6,13.0,42.8,20.5,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100216,2010-02-16,84691,CMX,1,84,120166,7636,55660,21870,12072,6047,19247,6835,12280,15368,2402,10115,92563,105411,27603,14755,120166,7636,55660,21870,12072,6047,19247,6835,12280,15368,2402,10115,92563,105411,27603,14755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573.0,208.0,-53.0,-476.0,211.0,991.0,1561.0,434.0,-294.0,616.0,-270.0,243.0,2849.0,1262.0,-1276.0,311.0,100,6.4,46.3,18.2,10.0,5.0,16.0,5.7,10.2,12.8,2.0,8.4,77.0,87.7,23.0,12.3,100,6.4,46.3,18.2,10.0,5.0,16.0,5.7,10.2,12.8,2.0,8.4,77.0,87.7,23.0,12.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,18.0,20.0,14.0,8.0,14.0,27.0,11.0,8.0,39.0,14.0,21.0,121,76.0,143.0,18.0,20.0,14.0,8.0,14.0,27.0,11.0,8.0,39.0,14.0,21.0,121.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,49.4,31.8,63.6,12.9,41.7,20.3,48.8,20.8,49.4,31.8,63.6,12.9,41.7,20.3,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100223,2010-02-23,84691,CMX,1,84,117376,9799,58236,20795,12128,5934,19154,6530,8529,16341,1149,11303,91855,103809,25521,13567,117376,9799,58236,20795,12128,5934,19154,6530,8529,16341,1149,11303,91855,103809,25521,13567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2790.0,2163.0,2576.0,-1075.0,56.0,-113.0,-93.0,-305.0,-3751.0,973.0,-1253.0,1188.0,-708.0,-1602.0,-2082.0,-1188.0,100,8.3,49.6,17.7,10.3,5.1,16.3,5.6,7.3,13.9,1.0,9.6,78.3,88.4,21.7,11.6,100,8.3,49.6,17.7,10.3,5.1,16.3,5.6,7.3,13.9,1.0,9.6,78.3,88.4,21.7,11.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,17.0,21.0,15.0,9.0,17.0,25.0,12.0,8.0,44.0,8.0,22.0,121,80.0,143.0,17.0,21.0,15.0,9.0,17.0,25.0,12.0,8.0,44.0,8.0,22.0,121.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,48.8,30.7,62.5,13.2,42.7,20.5,49.6,19.0,48.8,30.7,62.5,13.2,42.7,20.5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100302,2010-03-02,84691,CMX,1,84,108248,7654,55302,20976,14268,2404,21737,3903,7471,14984,1760,8917,84143,94025,24105,14223,108248,7654,55302,20976,14268,2404,21737,3903,7471,14984,1760,8917,84143,94025,24105,14223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9128.0,-2145.0,-2934.0,181.0,2140.0,-3530.0,2583.0,-2627.0,-1058.0,-1357.0,611.0,-2386.0,-7712.0,-9784.0,-1416.0,656.0,100,7.1,51.1,19.4,13.2,2.2,20.1,3.6,6.9,13.8,1.6,8.2,77.7,86.9,22.3,13.1,100,7.1,51.1,19.4,13.2,2.2,20.1,3.6,6.9,13.8,1.6,8.2,77.7,86.9,22.3,13.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,14.0,17.0,15.0,10.0,14.0,29.0,11.0,9.0,38.0,9.0,22.0,119,71.0,137.0,14.0,17.0,15.0,10.0,14.0,29.0,11.0,9.0,38.0,9.0,22.0,119.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,48.9,30.3,64.5,14.4,44.3,22.8,53.7,19.0,48.9,30.3,64.5,14.4,44.3,22.8,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
SILVER - COMMODITY EXCHANGE INC.,100309,2010-03-09,84691,CMX,1,84,112130,6382,56569,20368,15980,2470,26134,2671,8698,13917,2215,8871,86840,97474,25290,14656,112130,6382,56569,20368,15980,2470,26134,2671,8698,13917,2215,8871,86840,97474,25290,14656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882.0,-1272.0,1267.0,-608.0,1712.0,66.0,4397.0,-1232.0,1227.0,-1067.0,455.0,-46.0,2697.0,3449.0,1185.0,433.0,100,5.7,50.4,18.2,14.3,2.2,23.3,2.4,7.8,12.4,2.0,7.9,77.4,86.9,22.6,13.1,100,5.7,50.4,18.2,14.3,2.2,23.3,2.4,7.8,12.4,2.0,7.9,77.4,86.9,22.6,13.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,13.0,16.0,16.0,10.0,16.0,36.0,11.0,8.0,35.0,13.0,23.0,121,78.0,145.0,13.0,16.0,16.0,10.0,16.0,36.0,11.0,8.0,35.0,13.0,23.0,121.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,48.2,29.7,64.7,13.5,43.2,21.4,54.3,18.7,48.2,29.7,64.7,13.5,43.2,21.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",N20,FutOnly
