Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SOYBEANS - CHICAGO BOARD OF TRADE,100105,2010-01-05,5602,CBT,0,5,424304,54382,220682,125004,5794,16425,112240,16299,33681,17359,25491,24778,383869,343150,40435,81154,344940,40770,193176,115210,12381,2189,92496,17105,22199,18164,20841,20791,311819,288682,33121,56258,79364,13612,27506,22317,5936,1713,29658,9108,1568,1859,7314,1323,72050,54468,7314,24896,1009.0,-8305.0,1337.0,-1876.0,-1535.0,3017.0,18632.0,872.0,-1238.0,-739.0,4862.0,-3708.0,5783.0,3607.0,-4774.0,-2598.0,100,12.8,52.0,29.5,1.4,3.9,26.5,3.8,7.9,4.1,6.0,5.8,90.5,80.9,9.5,19.1,100,11.8,56.0,33.4,3.6,0.6,26.8,5.0,6.4,5.3,6.0,6.0,90.4,83.7,9.6,16.3,100,17.2,34.7,28.1,7.5,2.2,37.4,11.5,2.0,2.3,9.2,1.7,90.8,68.6,9.2,31.4,438,63.0,137.0,20.0,6.0,18.0,90.0,21.0,35.0,46.0,97.0,78.0,310,317.0,434.0,60.0,134.0,19.0,7.0,11.0,90.0,24.0,25.0,53.0,90.0,70.0,291.0,301.0,230.0,22.0,102.0,13.0,6.0,9.0,24.0,9.0,,19.0,46.0,10.0,88.0,176.0,16.5,18.6,27.4,27.7,15.2,17.1,24.3,23.6,19.3,21.4,30.8,30.6,19.2,19.2,29.5,26.8,39.5,20.2,54.7,29.1,39.5,20.0,54.7,28.3,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100112,2010-01-12,5602,CBT,0,5,438758,67868,214115,135182,5620,16015,97476,26547,37962,18505,27075,21443,394451,348777,44307,89981,350653,50734,184553,123869,11999,2089,79341,28679,23000,20587,22754,15623,315243,288697,35410,61956,88105,17134,29562,23524,5832,1715,31335,11068,1762,2270,8673,1468,79208,60080,8897,28025,14454.0,13486.0,-6567.0,10178.0,-174.0,-410.0,-14764.0,10248.0,4281.0,1146.0,1584.0,-3335.0,10582.0,5627.0,3872.0,8827.0,100,15.5,48.8,30.8,1.3,3.7,22.2,6.1,8.7,4.2,6.2,4.9,89.9,79.5,10.1,20.5,100,14.5,52.6,35.3,3.4,0.6,22.6,8.2,6.6,5.9,6.5,4.5,89.9,82.3,10.1,17.7,100,19.4,33.6,26.7,6.6,1.9,35.6,12.6,2.0,2.6,9.8,1.7,89.9,68.2,10.1,31.8,438,67.0,137.0,19.0,6.0,18.0,74.0,37.0,39.0,51.0,89.0,78.0,301,331.0,434.0,64.0,137.0,19.0,6.0,12.0,74.0,37.0,27.0,59.0,85.0,70.0,280.0,319.0,246.0,29.0,106.0,14.0,5.0,9.0,23.0,12.0,,20.0,51.0,13.0,100.0,187.0,17.5,17.8,28.0,25.3,16.0,16.5,25.1,22.6,20.7,19.9,31.7,28.2,20.6,18.3,30.8,25.7,35.8,17.7,51.5,27.4,35.8,17.1,50.7,26.4,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100119,2010-01-19,5602,CBT,0,5,454690,74732,214956,143071,5746,16661,87557,30743,43619,19687,26361,26126,411453,364212,43237,90478,360672,54573,184302,130171,12250,2684,70448,32484,28686,21690,21928,17517,325769,299851,34903,60821,94018,20159,30654,25063,5659,1814,30154,11304,1888,3541,9977,3065,85684,64361,8334,29657,15932.0,6864.0,841.0,7889.0,126.0,646.0,-9919.0,4196.0,5657.0,1182.0,-714.0,4683.0,17002.0,15435.0,-1070.0,497.0,100,16.4,47.3,31.5,1.3,3.7,19.3,6.8,9.6,4.3,5.8,5.7,90.5,80.1,9.5,19.9,100,15.1,51.1,36.1,3.4,0.7,19.5,9.0,8.0,6.0,6.1,4.9,90.3,83.1,9.7,16.9,100,21.4,32.6,26.7,6.0,1.9,32.1,12.0,2.0,3.8,10.6,3.3,91.1,68.5,8.9,31.5,449,73.0,135.0,18.0,7.0,18.0,67.0,43.0,45.0,58.0,86.0,84.0,314,344.0,441.0,70.0,132.0,18.0,7.0,13.0,66.0,43.0,37.0,66.0,84.0,65.0,290.0,322.0,260.0,29.0,104.0,15.0,5.0,8.0,22.0,15.0,,37.0,44.0,22.0,116.0,193.0,18.1,18.3,28.2,25.3,16.6,17.2,25.6,22.7,21.4,20.2,31.9,28.5,21.3,19.0,31.4,26.2,35.8,17.3,52.3,26.2,35.0,16.8,51.5,25.2,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100126,2010-01-26,5602,CBT,0,5,457213,82513,207288,142168,5544,16989,83352,41148,43592,20118,23226,29273,418005,367060,39208,90153,360027,58930,177190,129076,11659,3346,68421,41765,26146,22078,19843,20747,328744,300696,31283,59331,97186,23583,30098,24773,5566,1962,30520,14972,1857,3698,9041,2868,89261,66364,7925,30822,2523.0,7781.0,-7668.0,-903.0,-202.0,328.0,-4205.0,10405.0,-27.0,431.0,-3135.0,3147.0,6552.0,2848.0,-4029.0,-325.0,100,18.0,45.3,31.1,1.2,3.7,18.2,9.0,9.5,4.4,5.1,6.4,91.4,80.3,8.6,19.7,100,16.4,49.2,35.9,3.2,0.9,19.0,11.6,7.3,6.1,5.5,5.8,91.3,83.5,8.7,16.5,100,24.3,31.0,25.5,5.7,2.0,31.4,15.4,1.9,3.8,9.3,3.0,91.8,68.3,8.2,31.7,448,74.0,135.0,20.0,5.0,20.0,65.0,52.0,50.0,62.0,77.0,86.0,312,354.0,438.0,70.0,132.0,18.0,7.0,13.0,64.0,48.0,39.0,69.0,75.0,74.0,288.0,331.0,262.0,30.0,103.0,15.0,6.0,10.0,23.0,20.0,6.0,30.0,48.0,18.0,113.0,201.0,17.8,17.9,28.0,24.7,16.4,16.4,25.6,21.6,21.5,20.7,31.8,28.1,21.3,18.9,31.4,25.5,35.9,15.6,51.5,24.8,35.1,15.1,50.6,23.8,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100202,2010-02-02,5602,CBT,0,5,472953,97792,205538,140348,7782,20718,78711,46146,46406,20601,23896,26705,431281,377191,41672,95762,369550,69940,174633,129626,13860,6366,64843,46928,26971,21414,20145,17040,336200,305943,33350,63607,103403,27852,30905,22736,5936,2338,30533,15883,2770,6104,10668,2748,95081,71248,8322,32155,15740.0,15279.0,-1750.0,-1820.0,2238.0,3729.0,-4641.0,4998.0,2814.0,483.0,670.0,-2568.0,13276.0,10131.0,2464.0,5609.0,100,20.7,43.5,29.7,1.6,4.4,16.6,9.8,9.8,4.4,5.1,5.6,91.2,79.8,8.8,20.2,100,18.9,47.3,35.1,3.8,1.7,17.5,12.7,7.3,5.8,5.5,4.6,91.0,82.8,9.0,17.2,100,26.9,29.9,22.0,5.7,2.3,29.5,15.4,2.7,5.9,10.3,2.7,92.0,68.9,8.0,31.1,432,70.0,126.0,22.0,6.0,22.0,60.0,49.0,52.0,63.0,73.0,94.0,316,346.0,422.0,66.0,123.0,20.0,8.0,14.0,59.0,49.0,35.0,65.0,76.0,77.0,286.0,317.0,260.0,29.0,97.0,16.0,6.0,13.0,21.0,20.0,9.0,32.0,51.0,19.0,117.0,201.0,17.3,17.3,28.4,23.8,15.8,15.5,24.6,20.6,21.2,20.4,32.6,27.8,21.0,18.4,31.6,24.9,37.7,14.9,52.0,22.9,36.9,14.4,49.8,22.2,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100209,2010-02-09,5602,CBT,0,5,478719,104728,188335,139236,7828,18205,72791,60997,51020,20570,27212,30779,437329,384376,41390,94343,365460,68454,158083,127405,13993,3669,60094,59883,30366,21849,17738,20567,332404,304299,33056,61161,113259,36274,30252,23775,5779,2592,31484,19901,1867,5766,16519,3167,104925,80077,8334,33182,5766.0,6936.0,-17203.0,-1112.0,46.0,-2513.0,-5920.0,14851.0,4614.0,-31.0,3316.0,4074.0,6048.0,7185.0,-282.0,-1419.0,100,21.9,39.3,29.1,1.6,3.8,15.2,12.7,10.7,4.3,5.7,6.4,91.4,80.3,8.6,19.7,100,18.7,43.3,34.9,3.8,1.0,16.4,16.4,8.3,6.0,4.9,5.6,91.0,83.3,9.0,16.7,100,32.0,26.7,21.0,5.1,2.3,27.8,17.6,1.6,5.1,14.6,2.8,92.6,70.7,7.4,29.3,427,76.0,117.0,21.0,7.0,20.0,53.0,54.0,53.0,61.0,79.0,98.0,311,354.0,417.0,72.0,113.0,18.0,10.0,13.0,52.0,55.0,37.0,60.0,82.0,75.0,279.0,322.0,259.0,30.0,88.0,16.0,6.0,13.0,28.0,22.0,10.0,35.0,49.0,20.0,127.0,192.0,18.4,16.2,28.8,22.3,17.3,15.0,26.1,19.6,20.9,19.6,31.8,26.7,20.7,18.3,31.3,24.2,38.5,15.0,51.2,23.6,37.8,14.3,50.3,22.9,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100216,2010-02-16,5602,CBT,0,5,482183,98984,198193,138685,7928,18283,75618,46790,48214,19019,28244,37465,436268,385117,45915,97066,363253,61677,166087,126132,14078,2835,61736,45417,27762,20786,17694,25793,326721,299666,36532,63587,118930,37307,32106,24871,6168,3130,32229,19720,2105,6217,18534,3688,109547,85451,9383,33479,3464.0,-5744.0,9858.0,-551.0,100.0,78.0,2827.0,-14207.0,-2806.0,-1551.0,1032.0,6686.0,-1061.0,741.0,4525.0,2723.0,100,20.5,41.1,28.8,1.6,3.8,15.7,9.7,10.0,3.9,5.9,7.8,90.5,79.9,9.5,20.1,100,17.0,45.7,34.7,3.9,0.8,17.0,12.5,7.6,5.7,4.9,7.1,89.9,82.5,10.1,17.5,100,31.4,27.0,20.9,5.2,2.6,27.1,16.6,1.8,5.2,15.6,3.1,92.1,71.8,7.9,28.2,428,77.0,118.0,22.0,6.0,21.0,55.0,44.0,50.0,61.0,81.0,111.0,333,349.0,417.0,73.0,114.0,19.0,9.0,16.0,53.0,49.0,34.0,70.0,76.0,88.0,299.0,321.0,264.0,30.0,86.0,18.0,5.0,14.0,28.0,21.0,12.0,32.0,58.0,17.0,128.0,196.0,18.5,16.4,28.6,22.7,17.0,15.4,25.8,20.2,20.8,20.0,31.1,27.2,20.6,18.3,30.6,24.4,36.4,16.3,48.7,24.8,35.6,15.7,47.7,24.1,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100223,2010-02-23,5602,CBT,0,5,448051,91358,191008,139896,8162,18035,72444,37503,42678,14190,34339,23369,401970,355094,46081,92957,324536,50544,156887,128433,14915,1826,58121,36389,21203,13272,20641,14147,287546,266008,36990,58528,123515,40814,34121,24517,6301,3155,33513,20304,2285,6455,19235,3685,114424,89086,9091,34429,-34132.0,-7626.0,-7185.0,1211.0,234.0,-248.0,-3174.0,-9287.0,-5536.0,-4829.0,6095.0,-14096.0,-34298.0,-30023.0,166.0,-4109.0,100,20.4,42.6,31.2,1.8,4.0,16.2,8.4,9.5,3.2,7.7,5.2,89.7,79.3,10.3,20.7,100,15.6,48.3,39.6,4.6,0.6,17.9,11.2,6.5,4.1,6.4,4.4,88.6,82.0,11.4,18.0,100,33.0,27.6,19.8,5.1,2.6,27.1,16.4,1.8,5.2,15.6,3.0,92.6,72.1,7.4,27.9,416,78.0,123.0,20.0,7.0,22.0,55.0,46.0,48.0,46.0,86.0,79.0,298,341.0,400.0,70.0,120.0,18.0,9.0,10.0,54.0,49.0,34.0,50.0,81.0,60.0,259.0,309.0,272.0,33.0,90.0,16.0,6.0,14.0,28.0,22.0,10.0,27.0,62.0,16.0,123.0,207.0,20.5,16.5,31.7,23.6,18.5,15.0,28.1,19.5,23.5,20.4,35.4,29.2,23.3,19.2,34.3,26.1,36.6,16.4,48.8,24.4,35.7,15.6,47.7,23.7,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100302,2010-03-02,5602,CBT,0,5,426354,76038,177297,146039,7343,13424,71982,36820,41192,14342,37364,21218,384235,334658,42119,91696,296507,35283,141301,129530,8688,2168,54921,37633,17780,13475,23156,10492,263649,241218,32858,55289,129847,40755,35996,24581,6727,3184,37545,19671,2928,7898,21239,3695,120586,93440,9261,36407,-21697.0,-15320.0,-13711.0,6143.0,-819.0,-4611.0,-462.0,-683.0,-1486.0,152.0,3025.0,-2151.0,-17735.0,-20436.0,-3962.0,-1261.0,100,17.8,41.6,34.3,1.7,3.1,16.9,8.6,9.7,3.4,8.8,5.0,90.1,78.5,9.9,21.5,100,11.9,47.7,43.7,2.9,0.7,18.5,12.7,6.0,4.5,7.8,3.5,88.9,81.4,11.1,18.6,100,31.4,27.7,18.9,5.2,2.5,28.9,15.1,2.3,6.1,16.4,2.8,92.9,72.0,7.1,28.0,427,69.0,126.0,23.0,6.0,19.0,54.0,46.0,46.0,45.0,95.0,74.0,283,347.0,405.0,57.0,122.0,20.0,9.0,10.0,50.0,46.0,30.0,49.0,89.0,50.0,231.0,313.0,280.0,33.0,92.0,16.0,7.0,13.0,29.0,22.0,10.0,30.0,63.0,17.0,127.0,210.0,20.4,15.5,32.5,22.6,18.5,14.2,29.0,19.3,25.7,19.7,38.2,29.0,25.3,18.3,37.7,25.5,36.7,16.2,49.3,24.7,35.8,15.0,47.5,23.5,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,100309,2010-03-09,5602,CBT,0,5,433812,83409,170162,146964,7619,12197,72557,49188,47522,14752,35835,19264,396665,341787,37147,92025,302065,45140,133067,129087,9036,1490,53013,52367,21649,15638,22178,7743,273760,247530,28305,54535,131747,38269,37095,25604,6310,2980,41839,19116,3578,6959,21502,3676,122905,94257,8842,37490,7458.0,7371.0,-7135.0,925.0,276.0,-1227.0,575.0,12368.0,6330.0,410.0,-1529.0,-1954.0,12430.0,7129.0,-4972.0,329.0,100,19.2,39.2,33.9,1.8,2.8,16.7,11.3,11.0,3.4,8.3,4.4,91.4,78.8,8.6,21.2,100,14.9,44.1,42.7,3.0,0.5,17.6,17.3,7.2,5.2,7.3,2.6,90.6,81.9,9.4,18.1,100,29.0,28.2,19.4,4.8,2.3,31.8,14.5,2.7,5.3,16.3,2.8,93.3,71.5,6.7,28.5,425,71.0,121.0,20.0,8.0,20.0,51.0,56.0,47.0,51.0,94.0,70.0,276,350.0,406.0,59.0,117.0,18.0,10.0,10.0,48.0,57.0,34.0,54.0,87.0,43.0,226.0,316.0,277.0,36.0,92.0,17.0,7.0,13.0,30.0,24.0,10.0,29.0,60.0,18.0,133.0,206.0,20.9,15.5,32.5,22.5,19.1,14.3,29.4,19.1,25.6,20.1,37.8,28.8,25.3,18.6,37.3,25.1,35.4,14.2,49.0,22.6,34.8,12.9,46.9,21.2,"(CONTRACTS OF 5,000 BUSHELS)",A30,FutOnly
