Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100105,2010-01-05,26603,CBT,0,26,163587,60425,105149,4471,2543,746,51888,13077,6526,1925,11711,7616,133597,147368,29990,16219,146087,51628,94899,3404,2610,679,49093,9947,6360,2154,11378,5093,118411,130966,27676,15121,17500,8797,10250,1134,0,0,2961,3296,0,605,1167,1689,15186,16402,2314,1098,4838.0,-1242.0,4966.0,943.0,-82.0,-1009.0,5654.0,357.0,534.0,-836.0,14.0,86.0,4130.0,4866.0,708.0,-28.0,100,36.9,64.3,2.7,1.6,0.5,31.7,8.0,4.0,1.2,7.2,4.7,81.7,90.1,18.3,9.9,100,35.3,65.0,2.3,1.8,0.5,33.6,6.8,4.4,1.5,7.8,3.5,81.1,89.6,18.9,10.4,100,50.3,58.6,6.5,0.0,0.0,16.9,18.8,0.0,3.5,6.7,9.7,86.8,93.7,13.2,6.3,161,44.0,43.0,7.0,,,47.0,9.0,8.0,8.0,21.0,23.0,133,94.0,160.0,44.0,42.0,6.0,4.0,,47.0,8.0,8.0,10.0,23.0,22.0,131.0,93.0,50.0,20.0,14.0,4.0,0.0,0.0,,,0.0,6.0,7.0,6.0,36.0,28.0,15.7,39.7,24.2,52.6,15.2,32.1,22.9,41.9,15.0,39.2,23.9,52.1,14.4,32.7,22.7,42.4,47.3,57.2,60.4,77.7,46.9,55.2,58.9,68.8,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100112,2010-01-12,26603,CBT,0,26,164952,60071,97052,4970,2554,2053,48520,14363,9091,2397,9967,9646,136748,144726,28204,20226,145418,50950,85994,3582,2759,1848,44668,10448,9091,2614,9433,7079,119832,126652,25586,18766,19534,9121,11058,1593,0,0,3852,3915,0,472,1223,1878,16916,18074,2618,1460,1365.0,-354.0,-8097.0,499.0,11.0,1307.0,-3368.0,1286.0,2565.0,472.0,-1744.0,2030.0,3151.0,-2642.0,-1786.0,4007.0,100,36.4,58.8,3.0,1.5,1.2,29.4,8.7,5.5,1.5,6.0,5.8,82.9,87.7,17.1,12.3,100,35.0,59.1,2.5,1.9,1.3,30.7,7.2,6.3,1.8,6.5,4.9,82.4,87.1,17.6,12.9,100,46.7,56.6,8.2,0.0,0.0,19.7,20.0,0.0,2.4,6.3,9.6,86.6,92.5,13.4,7.5,162,45.0,43.0,9.0,,6.0,39.0,14.0,11.0,8.0,22.0,27.0,135,102.0,161.0,45.0,42.0,8.0,4.0,6.0,38.0,14.0,11.0,11.0,23.0,27.0,134.0,101.0,52.0,22.0,12.0,6.0,0.0,0.0,,,0.0,5.0,9.0,6.0,39.0,27.0,17.7,36.7,27.8,49.1,17.6,32.8,27.7,42.4,17.2,36.0,28.4,48.6,17.1,33.1,27.6,43.2,44.8,59.1,58.0,78.6,44.4,59.0,56.5,69.5,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100119,2010-01-19,26603,CBT,0,26,170137,62488,102349,4581,2704,2375,45810,11837,8344,3907,9285,12067,139572,148961,30565,21176,147853,52583,89770,3318,2944,2135,42033,7379,8159,4474,10652,7502,120204,128541,27649,19312,22284,9905,12579,1503,0,0,3952,4633,10,2074,1274,1924,19368,20420,2916,1864,5185.0,2417.0,5297.0,-389.0,150.0,322.0,-2710.0,-2526.0,-747.0,1510.0,-682.0,2421.0,2824.0,4235.0,2361.0,950.0,100,36.7,60.2,2.7,1.6,1.4,26.9,7.0,4.9,2.3,5.5,7.1,82.0,87.6,18.0,12.4,100,35.6,60.7,2.2,2.0,1.4,28.4,5.0,5.5,3.0,7.2,5.1,81.3,86.9,18.7,13.1,100,44.4,56.4,6.7,0.0,0.0,17.7,20.8,0.0,9.3,5.7,8.6,86.9,91.6,13.1,8.4,159,45.0,45.0,6.0,5.0,7.0,34.0,12.0,10.0,13.0,21.0,30.0,134,104.0,158.0,45.0,43.0,6.0,5.0,7.0,35.0,10.0,10.0,17.0,21.0,29.0,132.0,102.0,60.0,26.0,12.0,6.0,0.0,0.0,,,,7.0,11.0,8.0,46.0,31.0,17.6,39.3,27.1,51.8,17.6,36.0,27.0,45.7,17.2,40.2,27.5,52.7,17.2,37.2,27.1,48.0,42.1,61.0,53.4,76.6,42.1,59.8,53.2,70.5,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100126,2010-01-26,26603,CBT,0,26,179176,64002,103105,5152,4174,3277,47891,14777,9677,7064,9016,12767,149830,156793,29346,22383,155761,53857,89494,3655,4712,2739,44380,9808,9573,6679,10396,8468,129351,135190,26410,20571,23415,10145,13611,2035,0,0,3601,5059,14,2686,921,1998,20479,21603,2936,1812,9039.0,1514.0,756.0,571.0,1470.0,902.0,2081.0,2940.0,1333.0,3157.0,-269.0,700.0,10258.0,7832.0,-1219.0,1207.0,100,35.7,57.5,2.9,2.3,1.8,26.7,8.2,5.4,3.9,5.0,7.1,83.6,87.5,16.4,12.5,100,34.6,57.5,2.3,3.0,1.8,28.5,6.3,6.1,4.3,6.7,5.4,83.0,86.8,17.0,13.2,100,43.3,58.1,8.7,0.0,0.0,15.4,21.6,0.1,11.5,3.9,8.5,87.5,92.3,12.5,7.7,162,44.0,40.0,7.0,5.0,8.0,37.0,11.0,13.0,16.0,20.0,34.0,141,106.0,161.0,43.0,40.0,7.0,5.0,7.0,36.0,11.0,13.0,21.0,19.0,33.0,137.0,106.0,67.0,26.0,12.0,7.0,0.0,0.0,,,,10.0,12.0,9.0,53.0,33.0,16.2,37.0,25.6,49.1,16.2,32.8,25.1,42.5,15.7,37.8,26.2,48.8,15.6,33.7,25.9,43.6,38.4,62.9,50.2,78.0,38.4,60.3,49.9,71.7,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100202,2010-02-02,26603,CBT,0,26,187955,70801,102676,4846,4424,3128,44097,19171,10366,10716,9658,13100,157054,162523,30901,25432,158423,60086,84173,3256,4953,2597,38451,14178,9862,8508,11281,8614,131374,135658,27049,22765,29532,10715,18503,2119,0,2,6145,5492,5,4643,812,2051,25680,26865,3852,2667,8779.0,6799.0,-429.0,-306.0,250.0,-149.0,-3794.0,4394.0,689.0,3652.0,642.0,333.0,7224.0,5730.0,1555.0,3049.0,100,37.7,54.6,2.6,2.4,1.7,23.5,10.2,5.5,5.7,5.1,7.0,83.6,86.5,16.4,13.5,100,37.9,53.1,2.1,3.1,1.6,24.3,8.9,6.2,5.4,7.1,5.4,82.9,85.6,17.1,14.4,100,36.3,62.7,7.2,0.0,0.0,20.8,18.6,0.0,15.7,2.7,6.9,87.0,91.0,13.0,9.0,162,44.0,39.0,9.0,,10.0,31.0,19.0,18.0,18.0,16.0,31.0,134,116.0,160.0,44.0,37.0,9.0,,8.0,29.0,19.0,17.0,22.0,16.0,29.0,128.0,113.0,66.0,25.0,14.0,6.0,0.0,,4.0,,,8.0,13.0,11.0,52.0,36.0,16.3,36.2,26.9,47.4,16.0,31.3,26.3,40.3,16.3,36.3,27.5,46.2,16.0,32.5,26.8,41.1,36.2,61.2,51.5,75.3,36.2,59.5,51.5,70.4,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100209,2010-02-09,26603,CBT,0,26,201425,80595,103908,6587,6330,2863,42772,23366,13425,10371,8393,14148,170761,172433,30664,28992,169556,68303,82470,4613,6859,2329,37126,20292,12455,8040,8898,10197,143063,143500,26493,26056,31869,12292,21438,2503,0,5,5719,3147,897,3787,951,2495,27698,28933,4171,2936,13470.0,9794.0,1232.0,1741.0,1906.0,-265.0,-1325.0,4195.0,3059.0,-345.0,-1265.0,1048.0,13707.0,9910.0,-237.0,3560.0,100,40.0,51.6,3.3,3.1,1.4,21.2,11.6,6.7,5.1,4.2,7.0,84.8,85.6,15.2,14.4,100,40.3,48.6,2.7,4.0,1.4,21.9,12.0,7.3,4.7,5.2,6.0,84.4,84.6,15.6,15.4,100,38.6,67.3,7.9,0.0,0.0,17.9,9.9,2.8,11.9,3.0,7.8,86.9,90.8,13.1,9.2,177,45.0,41.0,11.0,4.0,10.0,29.0,29.0,20.0,19.0,15.0,37.0,144,133.0,174.0,45.0,39.0,11.0,4.0,8.0,27.0,29.0,20.0,21.0,18.0,35.0,139.0,129.0,74.0,28.0,15.0,7.0,0.0,,,,,13.0,11.0,14.0,61.0,40.0,16.8,34.7,27.3,45.3,16.3,30.2,26.6,37.5,16.8,33.5,28.1,42.2,16.2,29.0,27.2,36.8,33.6,59.2,48.5,73.4,33.6,55.8,48.5,67.0,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100216,2010-02-16,26603,CBT,0,26,206310,81688,109109,6424,6851,3265,44940,23771,13172,10319,8086,14596,174404,178850,31906,27460,172869,67861,88855,4466,7467,2644,39365,19081,12429,8005,7571,10458,145228,148505,27641,24364,33441,13827,20254,2574,0,5,5579,4694,739,3638,1839,2814,29176,30345,4265,3096,4885.0,1093.0,5201.0,-163.0,521.0,402.0,2168.0,405.0,-253.0,-52.0,-307.0,448.0,3643.0,6417.0,1242.0,-1532.0,100,39.6,52.9,3.1,3.3,1.6,21.8,11.5,6.4,5.0,3.9,7.1,84.5,86.7,15.5,13.3,100,39.3,51.4,2.6,4.3,1.5,22.8,11.0,7.2,4.6,4.4,6.0,84.0,85.9,16.0,14.1,100,41.3,60.6,7.7,0.0,0.0,16.7,14.0,2.2,10.9,5.5,8.4,87.2,90.7,12.8,9.3,171,46.0,41.0,9.0,6.0,11.0,32.0,20.0,16.0,18.0,17.0,37.0,146,123.0,169.0,46.0,40.0,9.0,6.0,9.0,31.0,18.0,16.0,24.0,18.0,36.0,142.0,121.0,74.0,26.0,14.0,7.0,0.0,,,5.0,,13.0,14.0,14.0,58.0,41.0,16.9,36.6,27.0,47.6,16.6,31.1,26.5,38.8,16.4,35.7,27.3,45.6,16.1,28.7,26.7,36.6,31.9,53.4,50.1,67.8,31.9,51.0,49.8,64.5,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100223,2010-02-23,26603,CBT,0,26,201275,78429,110108,6729,6261,2996,46421,19491,12255,6737,8947,14131,167698,174189,33577,27086,165313,63546,88592,4503,6561,2511,40539,14509,10804,4343,8685,9900,136146,141562,29167,23751,35962,14883,21516,2706,180,5,6024,5124,1309,3887,1755,2738,31552,32627,4410,3335,-5035.0,-3259.0,999.0,305.0,-590.0,-269.0,1481.0,-4280.0,-917.0,-3582.0,861.0,-465.0,-6706.0,-4661.0,1671.0,-374.0,100,39.0,54.7,3.3,3.1,1.5,23.1,9.7,6.1,3.3,4.4,7.0,83.3,86.5,16.7,13.5,100,38.4,53.6,2.7,4.0,1.5,24.5,8.8,6.5,2.6,5.3,6.0,82.4,85.6,17.6,14.4,100,41.4,59.8,7.5,0.5,0.0,16.8,14.2,3.6,10.8,4.9,7.6,87.7,90.7,12.3,9.3,171,45.0,41.0,10.0,5.0,9.0,34.0,17.0,16.0,11.0,24.0,37.0,146,121.0,169.0,45.0,40.0,10.0,5.0,8.0,32.0,17.0,16.0,14.0,27.0,34.0,142.0,118.0,80.0,27.0,14.0,7.0,,,5.0,5.0,,16.0,11.0,14.0,65.0,42.0,16.3,39.5,25.8,49.6,16.1,32.6,25.4,40.6,15.6,38.9,26.9,49.0,15.4,30.2,26.2,38.7,29.2,50.8,47.7,65.3,29.2,48.4,47.7,61.5,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100302,2010-03-02,26603,CBT,0,26,197262,76580,102382,7466,7421,2748,43849,22091,13297,6862,9595,13722,164524,171256,32738,26006,158768,60679,82175,5118,7514,2470,38841,15673,10407,4518,9208,9284,131317,136731,27451,22037,38494,15901,20207,2621,180,5,6597,8007,1301,4137,2180,2645,33207,34525,5287,3969,-4013.0,-1849.0,-7726.0,737.0,1160.0,-248.0,-2572.0,2600.0,1042.0,125.0,648.0,-409.0,-3174.0,-2933.0,-839.0,-1080.0,100,38.8,51.9,3.8,3.8,1.4,22.2,11.2,6.7,3.5,4.9,7.0,83.4,86.8,16.6,13.2,100,38.2,51.8,3.2,4.7,1.6,24.5,9.9,6.6,2.8,5.8,5.8,82.7,86.1,17.3,13.9,100,41.3,52.5,6.8,0.5,0.0,17.1,20.8,3.4,10.7,5.7,6.9,86.3,89.7,13.7,10.3,166,44.0,40.0,11.0,,7.0,30.0,19.0,15.0,14.0,24.0,34.0,136,118.0,162.0,44.0,39.0,10.0,4.0,6.0,29.0,17.0,15.0,15.0,25.0,30.0,131.0,113.0,82.0,28.0,14.0,7.0,,,6.0,5.0,,15.0,12.0,14.0,66.0,44.0,17.0,37.7,27.1,48.6,16.9,30.8,26.2,39.0,16.4,39.1,27.9,49.5,16.3,32.6,27.2,39.8,28.5,52.4,46.1,66.6,28.5,50.9,46.1,62.8,(CONTRACTS OF 100 TONS),A30,FutOnly
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,100309,2010-03-09,26603,CBT,0,26,203028,81613,93571,10676,6655,3061,40167,30132,15823,7640,11609,13262,172242,174113,30786,28915,159636,63059,71469,8202,6730,2801,34784,23625,13109,4991,9424,7998,134944,135156,24692,24480,43392,18554,22102,2729,180,5,6839,7963,1258,4391,3927,3522,37298,38957,6094,4435,5766.0,5033.0,-8811.0,3210.0,-766.0,313.0,-3682.0,8041.0,2526.0,778.0,2014.0,-460.0,7718.0,2857.0,-1952.0,2909.0,100,40.2,46.1,5.3,3.3,1.5,19.8,14.8,7.8,3.8,5.7,6.5,84.8,85.8,15.2,14.2,100,39.5,44.8,5.1,4.2,1.8,21.8,14.8,8.2,3.1,5.9,5.0,84.5,84.7,15.5,15.3,100,42.8,50.9,6.3,0.4,0.0,15.8,18.4,2.9,10.1,9.1,8.1,86.0,89.8,14.0,10.2,176,47.0,34.0,11.0,5.0,8.0,25.0,27.0,16.0,13.0,27.0,35.0,139,123.0,170.0,47.0,32.0,11.0,5.0,7.0,25.0,23.0,16.0,14.0,28.0,30.0,133.0,115.0,88.0,30.0,15.0,8.0,,,5.0,6.0,,18.0,11.0,16.0,72.0,47.0,16.1,34.1,26.8,43.6,15.0,27.1,24.8,35.3,16.8,35.9,28.4,44.8,15.8,31.4,26.6,40.0,27.3,49.4,44.5,62.9,27.3,48.3,44.5,59.6,(CONTRACTS OF 100 TONS),A30,FutOnly
