Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100105,2010-01-05,7601,CBT,0,7,206810,27779,120069,54762,6436,7450,48692,7912,11185,4814,15903,18988,173670,187943,33140,18867,189496,24979,110375,57053,6334,5006,44965,6804,8861,4159,20884,13222,158245,171486,31251,18010,17314,2800,9694,0,2393,153,5071,2452,980,6165,529,256,15425,16457,1889,857,-3238.0,-4146.0,5736.0,-1355.0,-31.0,756.0,8934.0,-1588.0,-2415.0,1342.0,4675.0,-11214.0,-8098.0,-4081.0,4860.0,843.0,100,13.4,58.1,26.5,3.1,3.6,23.5,3.8,5.4,2.3,7.7,9.2,84.0,90.9,16.0,9.1,100,13.2,58.2,30.1,3.3,2.6,23.7,3.6,4.7,2.2,11.0,7.0,83.5,90.5,16.5,9.5,100,16.2,56.0,0.0,13.8,0.9,29.3,14.2,5.7,35.6,3.1,1.5,89.1,95.1,10.9,4.9,224,33.0,45.0,14.0,,5.0,61.0,10.0,15.0,17.0,53.0,51.0,175,144.0,222.0,31.0,43.0,14.0,,4.0,61.0,9.0,14.0,20.0,55.0,48.0,169.0,139.0,45.0,13.0,13.0,0.0,5.0,,,,,8.0,6.0,5.0,27.0,30.0,19.2,28.3,29.4,39.9,17.7,27.0,25.0,37.2,20.0,29.8,30.2,41.6,20.0,29.2,28.0,41.0,62.8,43.3,81.3,66.9,57.1,42.3,75.6,65.0,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100112,2010-01-12,7601,CBT,0,7,212395,30388,122969,62768,4596,8247,42568,10061,11465,8886,16902,17831,182153,192071,30242,20324,193358,28525,109926,64754,5679,4891,36674,8877,10260,8072,21972,12243,165419,173848,27939,19510,19037,1863,13043,1115,2018,255,6069,1359,1030,6264,380,138,16734,18223,2303,814,5585.0,2609.0,2900.0,8006.0,-1840.0,797.0,-6124.0,2149.0,280.0,4072.0,999.0,-1157.0,8483.0,4128.0,-2898.0,1457.0,100,14.3,57.9,29.6,2.2,3.9,20.0,4.7,5.4,4.2,8.0,8.4,85.8,90.4,14.2,9.6,100,14.8,56.9,33.5,2.9,2.5,19.0,4.6,5.3,4.2,11.4,6.3,85.6,89.9,14.4,10.1,100,9.8,68.5,5.9,10.6,1.3,31.9,7.1,5.4,32.9,2.0,0.7,87.9,95.7,12.1,4.3,203,35.0,43.0,14.0,,7.0,48.0,13.0,17.0,18.0,45.0,43.0,155,139.0,201.0,33.0,42.0,14.0,,4.0,48.0,13.0,17.0,19.0,46.0,41.0,149.0,135.0,50.0,14.0,15.0,,4.0,,4.0,,,10.0,4.0,5.0,33.0,31.0,20.3,27.1,31.5,38.7,19.1,25.4,26.6,36.3,22.2,26.6,33.0,37.7,21.6,25.8,30.2,37.0,62.3,44.9,79.8,66.6,57.1,44.4,73.3,65.2,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100119,2010-01-19,7601,CBT,0,7,215427,38103,118381,68771,3573,8925,33085,15632,10823,9189,16013,19436,188332,192783,27095,22644,195219,36091,103973,70356,5138,5395,28192,15991,8169,8310,21358,13757,170270,173781,24949,21438,20208,2012,14408,1695,1715,250,6510,1258,1037,6470,246,88,18062,19002,2146,1206,3032.0,7715.0,-4588.0,6003.0,-1023.0,678.0,-9483.0,5571.0,-642.0,303.0,-889.0,1605.0,6179.0,712.0,-3147.0,2320.0,100,17.7,55.0,31.9,1.7,4.1,15.4,7.3,5.0,4.3,7.4,9.0,87.4,89.5,12.6,10.5,100,18.5,53.3,36.0,2.6,2.8,14.4,8.2,4.2,4.3,10.9,7.0,87.2,89.0,12.8,11.0,100,10.0,71.3,8.4,8.5,1.2,32.2,6.2,5.1,32.0,1.2,0.4,89.4,94.0,10.6,6.0,200,35.0,42.0,14.0,,9.0,39.0,21.0,16.0,20.0,36.0,36.0,143,139.0,198.0,34.0,42.0,14.0,,6.0,38.0,21.0,15.0,21.0,41.0,34.0,138.0,135.0,53.0,13.0,14.0,,4.0,,5.0,,,9.0,9.0,6.0,34.0,34.0,21.7,25.8,32.1,36.8,20.3,24.4,28.5,34.3,23.9,25.0,34.8,35.9,22.8,24.9,32.5,35.0,59.3,49.1,77.9,68.6,54.5,47.7,71.9,66.3,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100126,2010-01-26,7601,CBT,0,7,231137,48864,116878,67328,3160,11238,32277,24694,12373,9780,15735,21238,203098,205316,28039,25821,207409,45899,101322,69816,5541,5916,28671,24485,8766,7724,21767,14689,181481,182486,25928,24923,23728,2965,15556,2584,2691,250,6176,2779,1037,8551,463,54,21617,22830,2111,898,15710.0,10761.0,-1503.0,-1443.0,-413.0,2313.0,-808.0,9062.0,1550.0,591.0,-278.0,1802.0,14766.0,12533.0,944.0,3177.0,100,21.1,50.6,29.1,1.4,4.9,14.0,10.7,5.4,4.2,6.8,9.2,87.9,88.8,12.1,11.2,100,22.1,48.9,33.7,2.7,2.9,13.8,11.8,4.2,3.7,10.5,7.1,87.5,88.0,12.5,12.0,100,12.5,65.6,10.9,11.3,1.1,26.0,11.7,4.4,36.0,2.0,0.2,91.1,96.2,8.9,3.8,222,41.0,49.0,14.0,,9.0,41.0,28.0,18.0,21.0,39.0,43.0,156,163.0,219.0,40.0,48.0,14.0,,6.0,41.0,27.0,17.0,19.0,47.0,38.0,149.0,156.0,64.0,18.0,16.0,,4.0,,4.0,,,16.0,6.0,6.0,45.0,37.0,19.9,22.1,30.2,33.1,18.7,21.1,26.5,30.0,22.1,23.5,33.1,33.9,21.7,23.4,30.9,33.2,53.0,49.7,72.8,68.8,49.3,49.7,67.6,68.0,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100202,2010-02-02,7601,CBT,0,7,254212,53186,125602,73531,3971,12603,33968,29268,13457,13180,15613,27898,227823,228412,26389,25800,224143,49800,105367,74799,5510,8170,26640,28798,9727,10019,20990,21226,200381,199788,23762,24355,30069,3386,20235,2915,2644,250,10124,3266,934,9381,843,452,27442,28624,2627,1445,23075.0,4322.0,8724.0,6203.0,811.0,1365.0,1691.0,4574.0,1084.0,3400.0,-122.0,6660.0,24725.0,23096.0,-1650.0,-21.0,100,20.9,49.4,28.9,1.6,5.0,13.4,11.5,5.3,5.2,6.1,11.0,89.6,89.9,10.4,10.1,100,22.2,47.0,33.4,2.5,3.6,11.9,12.8,4.3,4.5,9.4,9.5,89.4,89.1,10.6,10.9,100,11.3,67.3,9.7,8.8,0.8,33.7,10.9,3.1,31.2,2.8,1.5,91.3,95.2,8.7,4.8,235,43.0,49.0,15.0,,11.0,38.0,29.0,21.0,28.0,38.0,51.0,168,177.0,231.0,42.0,48.0,15.0,,8.0,38.0,28.0,20.0,27.0,44.0,48.0,163.0,169.0,69.0,18.0,16.0,,4.0,,4.0,4.0,,18.0,9.0,8.0,47.0,41.0,19.2,21.9,29.8,33.0,17.2,20.3,24.8,29.2,21.6,22.6,31.9,32.7,20.2,22.5,29.1,32.0,46.2,51.7,66.6,69.2,46.2,51.6,65.8,67.8,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100209,2010-02-09,7601,CBT,0,7,289936,54935,151724,85226,2684,10874,38117,27150,21161,12886,12904,37123,260322,263620,29614,26316,255272,51738,127880,82994,5284,5971,32045,27551,16537,8149,16077,31800,229234,231100,26038,24172,34664,3197,23844,6835,2003,300,10246,3773,450,8622,712,1438,31088,32520,3576,2144,35724.0,1749.0,26122.0,11695.0,-1287.0,-1729.0,4149.0,-2118.0,7704.0,-294.0,-2709.0,9225.0,32499.0,35208.0,3225.0,516.0,100,18.9,52.3,29.4,0.9,3.8,13.1,9.4,7.3,4.4,4.5,12.8,89.8,90.9,10.2,9.1,100,20.3,50.1,32.5,2.1,2.3,12.6,10.8,6.5,3.2,6.3,12.5,89.8,90.5,10.2,9.5,100,9.2,68.8,19.7,5.8,0.9,29.6,10.9,1.3,24.9,2.1,4.1,89.7,93.8,10.3,6.2,245,46.0,49.0,16.0,,9.0,40.0,28.0,24.0,29.0,34.0,64.0,190,180.0,242.0,46.0,49.0,16.0,,5.0,37.0,30.0,22.0,25.0,46.0,60.0,182.0,175.0,81.0,18.0,16.0,5.0,,,7.0,,,27.0,8.0,15.0,61.0,48.0,17.4,24.9,29.3,36.6,15.2,21.5,23.7,31.3,19.4,22.5,32.0,33.5,17.9,21.9,26.7,30.8,35.9,58.2,57.6,71.6,35.2,58.1,55.9,71.4,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100216,2010-02-16,7601,CBT,0,7,289899,48320,158573,87828,1720,13228,42238,18897,22560,9884,14013,37356,261414,266347,28485,23552,252741,44551,135581,87612,4576,5749,33940,20033,17082,7368,16966,31510,227812,231497,24929,21244,37158,3769,22992,7448,4376,247,11075,1641,2701,6702,1233,1660,33602,34850,3556,2308,-37.0,-6615.0,6849.0,2602.0,-964.0,2354.0,4121.0,-8253.0,1399.0,-3002.0,1109.0,233.0,1092.0,2727.0,-1129.0,-2764.0,100,16.7,54.7,30.3,0.6,4.6,14.6,6.5,7.8,3.4,4.8,12.9,90.2,91.9,9.8,8.1,100,17.6,53.6,34.7,1.8,2.3,13.4,7.9,6.8,2.9,6.7,12.5,90.1,91.6,9.9,8.4,100,10.1,61.9,20.0,11.8,0.7,29.8,4.4,7.3,18.0,3.3,4.5,90.4,93.8,9.6,6.2,242,44.0,51.0,15.0,,10.0,44.0,23.0,24.0,25.0,40.0,63.0,185,182.0,238.0,43.0,51.0,15.0,,7.0,41.0,23.0,21.0,22.0,52.0,60.0,178.0,175.0,85.0,20.0,14.0,5.0,4.0,,8.0,,,24.0,12.0,15.0,64.0,47.0,19.4,26.4,31.8,38.4,16.3,23.9,24.7,34.2,20.2,23.2,34.3,36.1,18.3,22.8,29.0,32.3,34.1,54.2,55.8,69.9,33.5,52.5,52.3,66.0,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100223,2010-02-23,7601,CBT,0,7,291380,38638,151565,94496,1661,18574,44535,17437,22806,5870,18800,37235,262154,268078,29226,23302,251185,34192,126710,93425,5005,10575,35719,19129,16368,3844,21454,31139,225262,230380,25923,20805,40195,4446,24855,8783,4368,287,12431,1923,2823,6281,1601,1841,36892,37698,3303,2497,1481.0,-9682.0,-7008.0,6668.0,-59.0,5346.0,2297.0,-1460.0,246.0,-4014.0,4787.0,-121.0,740.0,1731.0,741.0,-250.0,100,13.3,52.0,32.4,0.6,6.4,15.3,6.0,7.8,2.0,6.5,12.8,90.0,92.0,10.0,8.0,100,13.6,50.4,37.2,2.0,4.2,14.2,7.6,6.5,1.5,8.5,12.4,89.7,91.7,10.3,8.3,100,11.1,61.8,21.9,10.9,0.7,30.9,4.8,7.0,15.6,4.0,4.6,91.8,93.8,8.2,6.2,239,40.0,48.0,16.0,,10.0,39.0,23.0,19.0,17.0,42.0,67.0,179,183.0,235.0,39.0,48.0,16.0,,8.0,37.0,24.0,14.0,18.0,55.0,62.0,170.0,175.0,90.0,19.0,15.0,6.0,4.0,,8.0,5.0,,23.0,16.0,15.0,66.0,52.0,20.8,27.6,35.7,38.5,17.4,26.3,27.1,34.7,22.8,24.2,38.9,36.2,19.6,23.6,31.6,33.2,33.0,54.2,54.4,70.2,32.0,53.3,50.8,66.4,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100302,2010-03-02,7601,CBT,0,7,279049,33401,163191,102160,1408,14878,46417,11661,24515,6081,21122,22488,249940,259263,29109,19786,234419,26008,134597,100827,5302,6391,38669,13211,18088,3925,24908,15220,209128,217717,25291,16702,44630,7393,28594,9533,4306,287,11258,1960,2917,7675,1733,1749,40812,41546,3818,3084,-12331.0,-5237.0,11626.0,7664.0,-253.0,-3696.0,1882.0,-5776.0,1709.0,211.0,2322.0,-14747.0,-12214.0,-8815.0,-117.0,-3516.0,100,12.0,58.5,36.6,0.5,5.3,16.6,4.2,8.8,2.2,7.6,8.1,89.6,92.9,10.4,7.1,100,11.1,57.4,43.0,2.3,2.7,16.5,5.6,7.7,1.7,10.6,6.5,89.2,92.9,10.8,7.1,100,16.6,64.1,21.4,9.6,0.6,25.2,4.4,6.5,17.2,3.9,3.9,91.4,93.1,8.6,6.9,223,34.0,50.0,16.0,,9.0,47.0,14.0,19.0,14.0,47.0,45.0,161,158.0,219.0,32.0,50.0,16.0,,6.0,44.0,16.0,15.0,16.0,56.0,37.0,148.0,151.0,90.0,19.0,18.0,6.0,4.0,,7.0,,,21.0,19.0,17.0,63.0,57.0,21.6,32.6,37.8,43.9,18.8,30.3,29.3,39.2,24.3,29.9,42.2,41.9,22.6,27.6,34.8,37.6,31.6,55.9,50.0,70.6,31.1,55.0,46.5,67.2,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
SOYBEAN OIL - CHICAGO BOARD OF TRADE,100309,2010-03-09,7601,CBT,0,7,284376,31470,166687,104386,500,14039,51956,14396,26367,5988,22162,18936,253142,263087,31234,21289,235873,23995,134074,98846,3897,7128,45291,17036,17683,3918,25428,12357,209218,217603,26655,18270,48503,7475,32613,12150,3213,301,11410,2105,3939,6688,1352,1961,43924,45484,4579,3019,5327.0,-1931.0,3496.0,2226.0,-908.0,-839.0,5539.0,2735.0,1852.0,-93.0,1040.0,-3552.0,3202.0,3824.0,2125.0,1503.0,100,11.1,58.6,36.7,0.2,4.9,18.3,5.1,9.3,2.1,7.8,6.7,89.0,92.5,11.0,7.5,100,10.2,56.8,41.9,1.7,3.0,19.2,7.2,7.5,1.7,10.8,5.2,88.7,92.3,11.3,7.7,100,15.4,67.2,25.0,6.6,0.6,23.5,4.3,8.1,13.8,2.8,4.0,90.6,93.8,9.4,6.2,221,40.0,49.0,17.0,,9.0,46.0,20.0,21.0,12.0,45.0,40.0,164,154.0,217.0,38.0,48.0,16.0,,8.0,44.0,21.0,17.0,14.0,54.0,32.0,151.0,148.0,95.0,20.0,20.0,10.0,,,9.0,4.0,,19.0,18.0,14.0,66.0,57.0,21.4,33.7,37.3,44.5,18.5,30.5,29.0,39.4,24.3,29.4,41.8,40.8,22.4,27.1,34.0,36.0,32.2,58.7,49.9,72.0,31.7,57.8,45.6,67.1,"(CONTRACTS OF 60,000 POUNDS)",A30,FutOnly
