Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT - CHICAGO BOARD OF TRADE,100105,2010-01-05,1602,CBT,0,1,363299,27136,134204,166626,22793,17059,57373,60691,34321,14880,32188,18461,335856,319717,27443,43582,224692,8548,79784,120810,9855,3593,49225,65126,7637,10827,25960,6548,207188,198503,17504,26189,138607,18588,54420,50547,17669,8735,25806,13223,9026,9843,12018,6123,128668,121214,9939,17393,1875.0,-999.0,6573.0,-258.0,-348.0,365.0,883.0,-4829.0,913.0,1684.0,2154.0,-740.0,1848.0,4088.0,27.0,-2213.0,100,7.5,36.9,45.9,6.3,4.7,15.8,16.7,9.4,4.1,8.9,5.1,92.4,88.0,7.6,12.0,100,3.8,35.5,53.8,4.4,1.6,21.9,29.0,3.4,4.8,11.6,2.9,92.2,88.3,7.8,11.7,100,13.4,39.3,36.5,12.7,6.3,18.6,9.5,6.5,7.1,8.7,4.4,92.8,87.5,7.2,12.5,359,40.0,73.0,19.0,9.0,19.0,56.0,71.0,50.0,41.0,65.0,57.0,241,273.0,336.0,25.0,68.0,19.0,9.0,7.0,50.0,71.0,31.0,38.0,68.0,21.0,176.0,233.0,219.0,26.0,63.0,10.0,14.0,15.0,29.0,18.0,16.0,34.0,39.0,31.0,131.0,168.0,25.5,19.8,42.2,27.6,23.3,17.9,39.3,24.4,34.6,18.5,49.7,27.3,34.6,18.5,49.7,27.2,38.2,27.9,51.5,39.1,35.0,24.9,44.2,31.5,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100112,2010-01-12,1602,CBT,0,1,382064,28189,141677,179775,23317,15683,59042,67424,34621,17357,32524,18622,353289,333868,28775,48196,236524,6388,86308,130380,8865,2869,51698,67623,7149,12298,27320,7058,217840,207192,18684,29332,145540,21801,55369,52703,17760,9506,26036,18493,8780,9674,9819,6949,135449,126676,10091,18864,18765.0,1053.0,7473.0,13149.0,524.0,-1376.0,1669.0,6733.0,300.0,2477.0,336.0,161.0,17433.0,14151.0,1332.0,4614.0,100,7.4,37.1,47.1,6.1,4.1,15.5,17.6,9.1,4.5,8.5,4.9,92.5,87.4,7.5,12.6,100,2.7,36.5,55.1,3.7,1.2,21.9,28.6,3.0,5.2,11.6,3.0,92.1,87.6,7.9,12.4,100,15.0,38.0,36.2,12.2,6.5,17.9,12.7,6.0,6.6,6.7,4.8,93.1,87.0,6.9,13.0,368,42.0,73.0,18.0,11.0,20.0,51.0,79.0,50.0,44.0,67.0,53.0,244,278.0,344.0,27.0,66.0,19.0,10.0,9.0,51.0,78.0,26.0,41.0,65.0,22.0,175.0,242.0,224.0,25.0,64.0,12.0,13.0,15.0,29.0,21.0,20.0,30.0,42.0,32.0,131.0,178.0,26.0,20.0,43.3,27.3,24.4,17.8,40.8,23.8,36.8,19.5,51.2,27.4,36.8,19.5,51.2,27.4,37.2,27.8,49.8,38.6,33.4,25.8,43.1,30.9,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100119,2010-01-19,1602,CBT,0,1,393291,30052,139011,192346,25385,14663,57909,75856,33827,15507,33402,19151,363455,341295,29836,51996,239920,6872,83762,136976,10575,1661,49045,71875,7269,13568,26501,5716,221107,207359,18813,32561,153371,23180,55249,58572,18012,9800,24483,19600,10939,8215,13177,7159,142348,133936,11023,19435,11227.0,1863.0,-2666.0,12571.0,2068.0,-1020.0,-1133.0,8432.0,-794.0,-1850.0,878.0,529.0,10166.0,7427.0,1061.0,3800.0,100,7.6,35.3,48.9,6.5,3.7,14.7,19.3,8.6,3.9,8.5,4.9,92.4,86.8,7.6,13.2,100,2.9,34.9,57.1,4.4,0.7,20.4,30.0,3.0,5.7,11.0,2.4,92.2,86.4,7.8,13.6,100,15.1,36.0,38.2,11.7,6.4,16.0,12.8,7.1,5.4,8.6,4.7,92.8,87.3,7.2,12.7,366,45.0,75.0,18.0,11.0,20.0,47.0,81.0,44.0,39.0,69.0,56.0,236,285.0,338.0,30.0,66.0,18.0,11.0,8.0,49.0,74.0,24.0,38.0,67.0,25.0,166.0,247.0,231.0,27.0,68.0,13.0,12.0,16.0,23.0,26.0,17.0,33.0,42.0,35.0,131.0,188.0,27.1,18.3,45.0,25.8,26.0,16.4,42.6,22.4,38.9,18.2,53.1,26.8,38.9,18.2,53.1,26.8,36.3,24.9,48.7,36.3,33.3,23.1,43.1,28.7,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100126,2010-01-26,1602,CBT,0,1,401938,29770,130428,197885,26372,15181,57406,90940,34027,15728,31021,21067,371064,349036,30874,52902,244025,5859,72404,140577,11130,2642,45691,84211,9129,15422,25945,5938,225258,211399,18767,32626,157913,23911,58024,60351,18285,9496,24197,19211,12416,8606,13376,6829,145806,137637,12107,20276,8647.0,-282.0,-8583.0,5539.0,987.0,518.0,-503.0,15084.0,200.0,221.0,-2381.0,1916.0,7609.0,7741.0,1038.0,906.0,100,7.4,32.4,49.2,6.6,3.8,14.3,22.6,8.5,3.9,7.7,5.2,92.3,86.8,7.7,13.2,100,2.4,29.7,57.6,4.6,1.1,18.7,34.5,3.7,6.3,10.6,2.4,92.3,86.6,7.7,13.4,100,15.1,36.7,38.2,11.6,6.0,15.3,12.2,7.9,5.4,8.5,4.3,92.3,87.2,7.7,12.8,369,47.0,73.0,19.0,10.0,19.0,46.0,84.0,47.0,47.0,61.0,58.0,242,287.0,341.0,31.0,66.0,19.0,9.0,6.0,45.0,82.0,25.0,43.0,62.0,31.0,173.0,250.0,235.0,29.0,68.0,13.0,13.0,16.0,27.0,28.0,20.0,35.0,38.0,32.0,139.0,186.0,27.2,15.2,45.0,22.9,26.1,13.4,42.7,19.8,38.6,13.9,53.0,23.0,38.6,13.9,53.0,22.9,35.7,23.1,47.7,34.1,32.8,20.9,42.2,27.4,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100202,2010-02-02,1602,CBT,0,1,429310,46242,140418,195518,29637,15229,55636,94425,31572,16070,30162,35732,395999,377175,33311,52135,254174,20590,66328,134588,13915,3063,42069,88178,9093,14074,30962,10626,234103,222165,20071,32009,175136,25652,74090,63851,18643,9245,26648,19328,9398,16159,13363,10943,161896,155010,13240,20126,27372.0,16472.0,9990.0,-2367.0,3265.0,48.0,-1770.0,3485.0,-2455.0,342.0,-859.0,14665.0,24935.0,28139.0,2437.0,-767.0,100,10.8,32.7,45.5,6.9,3.5,13.0,22.0,7.4,3.7,7.0,8.3,92.2,87.9,7.8,12.1,100,8.1,26.1,53.0,5.5,1.2,16.6,34.7,3.6,5.5,12.2,4.2,92.1,87.4,7.9,12.6,100,14.6,42.3,36.5,10.6,5.3,15.2,11.0,5.4,9.2,7.6,6.2,92.4,88.5,7.6,11.5,385,48.0,73.0,19.0,11.0,20.0,46.0,87.0,49.0,50.0,58.0,79.0,266,304.0,354.0,36.0,65.0,18.0,11.0,10.0,45.0,79.0,28.0,45.0,72.0,42.0,199.0,259.0,258.0,29.0,68.0,13.0,13.0,15.0,25.0,30.0,20.0,55.0,39.0,41.0,162.0,193.0,26.0,15.1,41.7,22.7,24.7,11.5,39.6,17.5,34.8,12.7,50.0,21.1,34.8,12.2,49.8,20.7,32.6,25.1,45.0,37.7,29.8,23.0,39.6,32.0,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100209,2010-02-09,1602,CBT,0,1,434580,46727,133340,195701,26434,14382,55491,105202,31374,17001,27747,40683,401359,379162,33221,55418,238233,21846,57954,118269,10727,2361,40206,90155,6188,16075,25303,13063,218008,205751,20225,32482,196347,24881,75386,79971,18246,9482,28502,28264,11969,12669,14187,15877,183351,173411,12996,22936,5270.0,485.0,-7078.0,183.0,-3203.0,-847.0,-145.0,10777.0,-198.0,931.0,-2415.0,4951.0,5360.0,1987.0,-90.0,3283.0,100,10.8,30.7,45.0,6.1,3.3,12.8,24.2,7.2,3.9,6.4,9.4,92.4,87.2,7.6,12.8,100,9.2,24.3,49.6,4.5,1.0,16.9,37.8,2.6,6.7,10.6,5.5,91.5,86.4,8.5,13.6,100,12.7,38.4,40.7,9.3,4.8,14.5,14.4,6.1,6.5,7.2,8.1,93.4,88.3,6.6,11.7,387,50.0,70.0,18.0,13.0,19.0,46.0,84.0,47.0,55.0,62.0,81.0,275,298.0,352.0,39.0,62.0,19.0,10.0,9.0,42.0,83.0,26.0,56.0,58.0,50.0,210.0,255.0,259.0,29.0,67.0,15.0,13.0,14.0,29.0,31.0,22.0,42.0,46.0,44.0,163.0,197.0,25.6,12.9,41.1,20.3,24.5,9.6,39.3,15.3,33.1,11.8,47.3,20.0,33.0,11.3,47.1,19.3,31.2,22.0,43.2,33.4,28.7,19.7,39.8,29.0,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100216,2010-02-16,1602,CBT,0,1,442610,44670,144385,198581,27135,13787,60602,99355,31839,17000,29442,41617,408096,387560,34514,55050,225651,17437,60594,112348,7717,2751,38511,79693,7604,15370,25639,11204,205225,195202,20426,30449,216959,27233,83791,87565,20750,9704,33605,31176,12721,12052,14225,19991,202871,192358,14088,24601,8030.0,-2057.0,11045.0,2880.0,701.0,-595.0,5111.0,-5847.0,465.0,-1.0,1695.0,934.0,6737.0,8398.0,1293.0,-368.0,100,10.1,32.6,44.9,6.1,3.1,13.7,22.4,7.2,3.8,6.7,9.4,92.2,87.6,7.8,12.4,100,7.7,26.9,49.8,3.4,1.2,17.1,35.3,3.4,6.8,11.4,5.0,90.9,86.5,9.1,13.5,100,12.6,38.6,40.4,9.6,4.5,15.5,14.4,5.9,5.6,6.6,9.2,93.5,88.7,6.5,11.3,383,50.0,70.0,19.0,12.0,21.0,50.0,78.0,50.0,51.0,64.0,86.0,282,299.0,345.0,37.0,63.0,20.0,8.0,13.0,47.0,74.0,27.0,52.0,60.0,52.0,213.0,253.0,267.0,29.0,65.0,15.0,14.0,14.0,30.0,35.0,23.0,39.0,53.0,47.0,169.0,203.0,25.1,14.4,41.0,21.8,24.0,11.2,39.2,17.0,33.1,11.6,47.6,19.7,32.7,11.6,47.2,19.5,30.2,22.4,42.3,33.3,28.4,19.4,39.3,28.1,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100223,2010-02-23,1602,CBT,0,1,423126,37165,147246,198725,26373,11093,58026,95817,34401,16392,20645,35052,390854,370627,32272,52499,191561,8710,55679,107449,6632,689,35012,76788,5747,12095,14382,4186,173888,164103,17673,27458,231565,28455,91567,92354,20819,9326,37535,33550,14133,11524,13490,23639,216966,206524,14599,25041,-19484.0,-7505.0,2861.0,144.0,-762.0,-2694.0,-2576.0,-3538.0,2562.0,-608.0,-8797.0,-6565.0,-17242.0,-16933.0,-2242.0,-2551.0,100,8.8,34.8,47.0,6.2,2.6,13.7,22.6,8.1,3.9,4.9,8.3,92.4,87.6,7.6,12.4,100,4.5,29.1,56.1,3.5,0.4,18.3,40.1,3.0,6.3,7.5,2.2,90.8,85.7,9.2,14.3,100,12.3,39.5,39.9,9.0,4.0,16.2,14.5,6.1,5.0,5.8,10.2,93.7,89.2,6.3,10.8,367,48.0,72.0,17.0,10.0,15.0,47.0,83.0,48.0,48.0,52.0,76.0,259,286.0,313.0,31.0,64.0,18.0,6.0,8.0,40.0,77.0,18.0,43.0,49.0,22.0,161.0,222.0,269.0,33.0,66.0,15.0,11.0,13.0,33.0,37.0,24.0,42.0,45.0,53.0,181.0,202.0,26.6,15.7,43.1,23.2,25.5,13.5,41.3,19.8,38.1,13.0,51.2,22.4,37.9,13.0,51.0,22.4,29.9,23.1,41.5,33.7,28.3,19.4,38.8,28.2,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100302,2010-03-02,1602,CBT,0,1,418958,35280,149109,202992,28660,10888,58429,92597,32282,16905,21692,31492,388268,366720,30690,52238,174402,4077,54123,108563,5965,162,34137,71908,2512,10931,14601,454,160836,149725,13566,24677,244556,31203,94986,95064,23330,10091,38463,34860,15599,11854,12971,25158,227432,216995,17124,27561,-4168.0,-1885.0,1863.0,4267.0,2287.0,-205.0,403.0,-3220.0,-2119.0,513.0,1047.0,-3560.0,-2586.0,-3907.0,-1582.0,-261.0,100,8.4,35.6,48.5,6.8,2.6,13.9,22.1,7.7,4.0,5.2,7.5,92.7,87.5,7.3,12.5,100,2.3,31.0,62.2,3.4,0.1,19.6,41.2,1.4,6.3,8.4,0.3,92.2,85.9,7.8,14.1,100,12.8,38.8,38.9,9.5,4.1,15.7,14.3,6.4,4.8,5.3,10.3,93.0,88.7,7.0,11.3,371,41.0,73.0,18.0,10.0,15.0,46.0,84.0,44.0,49.0,65.0,72.0,245,290.0,309.0,13.0,63.0,19.0,5.0,,41.0,73.0,12.0,45.0,52.0,9.0,131.0,204.0,276.0,37.0,68.0,16.0,11.0,14.0,28.0,38.0,24.0,42.0,49.0,60.0,186.0,216.0,27.6,16.8,44.4,24.7,26.6,14.6,42.8,21.1,42.3,15.3,57.2,25.5,42.3,15.3,57.2,25.1,28.9,22.8,40.1,32.4,27.5,19.3,37.6,27.0,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
WHEAT - CHICAGO BOARD OF TRADE,100309,2010-03-09,1602,CBT,0,1,422362,35531,149032,202790,29519,10567,57521,92647,33941,17041,19441,33516,390907,368663,31455,53699,171255,2842,52739,105300,6413,193,32668,72525,3147,13389,12051,69,157608,147137,13647,24118,251107,32689,96293,98424,24040,9440,39238,34507,16409,10779,14517,26320,233299,221526,17808,29581,3404.0,251.0,-77.0,-202.0,859.0,-321.0,-908.0,50.0,1659.0,136.0,-2251.0,2024.0,2639.0,1943.0,765.0,1461.0,100,8.4,35.3,48.0,7.0,2.5,13.6,21.9,8.0,4.0,4.6,7.9,92.6,87.3,7.4,12.7,100,1.7,30.8,61.5,3.7,0.1,19.1,42.3,1.8,7.8,7.0,0.0,92.0,85.9,8.0,14.1,100,13.0,38.3,39.2,9.6,3.8,15.6,13.7,6.5,4.3,5.8,10.5,92.9,88.2,7.1,11.8,385,43.0,73.0,18.0,11.0,19.0,49.0,95.0,49.0,53.0,58.0,73.0,255,306.0,317.0,12.0,61.0,18.0,7.0,,46.0,79.0,12.0,54.0,39.0,5.0,141.0,196.0,286.0,39.0,67.0,15.0,13.0,16.0,31.0,41.0,27.0,40.0,54.0,57.0,191.0,224.0,27.4,16.6,43.8,24.6,26.3,14.2,42.2,20.5,43.0,15.0,56.7,25.6,43.0,15.0,56.7,24.9,29.0,22.4,39.6,31.5,27.4,18.8,37.4,26.3,"(CONTRACTS OF 5,000 BUSHELS)",A10,FutOnly
