symbol,code,quote_code,close_time,point,currency,note,,"v,ok;x,fix;?,no show"
v,DX,TC.F.NYBOT.DX.HOT,210000,1000,USD,every point cost USD1000,,
v,AD,TC.F.CME.6A.HOT,210000,100000,USD,,,
#,v,BP,TC.F.CME.6B.HOT,210000,10000,USD,,
#,v,CD,TC.F.CME.6C.HOT,210000,100000,USD,,
v,EC,TC.F.CME.6E.HOT,210000,125000,USD,,,
v,JY,TC.F.CME.6J.HOT,210000,12.5,USD,,,
#,v,SF,TC.F.CME.6S.HOT,210000,125000,USD,,
?,MHI,TC.F.HKEX.MHI.HOT,83000,10,HKD,,,
v,SSI,TC.F.OSE.NK225M.HOT,61500,500,JPY,,,
#,v,CN,TC.F.SGXQ.CN.HOT,83500,1,USD,every point cost USD1,
#,9,TWN,TC.F.SGXQ.TW.HOT,55000,40,USD,,
#,v,IN,TC.F.SGXQ.IN.HOT,101500,2,USD,,
?,DXM,TC.F.EUREX.FDXM.HOT,200000,5,EUD,,,
v,MYM,TC.F.CBOT.MYM.HOT,210000,0.5,USD,,,
#,x,MES,TC.F.CME.MES.HOT,210000,5,USD,,
v,MNQ,TC.F.CME.MNQ.HOT,210000,2,USD,every point cost USD2,,
v,FITX,TC.F.TWF.FITX.HOT,54500,200,NTD,,,
v,FITE,TC.F.TWF.FITE.HOT,54500,4000,NTD,,,
v,TY,TC.F.CBOT.ZN.HOT,210000,1000,USD,every point cost USD1000,,
v,CL,TC.F.CME.CL.HOT,210000,1000,USD,every point cost USD2,,
#,v,HO,TC.F.CME.HO.HOT,210000,42000,USD,,
#,v,NG,TC.F.CME.NG.HOT,210000,10000,USD,,
v,GC,TC.F.CME.GC.HOT,210000,100,USD,,,
#,9,SI,TC.F.CME.SI.HOT,210000,50,USD,,
,HG,TC.F.CME.HG.HOT,210000,25000,USD,,,
#,9,PL,TC.F.CME.PL.HOT,210000,50,USD,,
#,9,C,TC.F.CBOT.ZC.HOT,182000,50,USD,,
#,9,S,TC.F.CBOT.ZS.HOT,182000,50,USD,,
?,W,TC.F.CBOT.ZW.HOT,182000,50,USD,,,
