日期,NTD/USD
20080102,32.443
20080103,32.431
20080104,32.439
20080107,32.466
20080108,32.457
20080109,32.466
20080110,32.487
20080111,32.466
20080114,32.37
20080115,32.26
20080116,32.272
20080117,32.278
20080118,32.315
20080121,32.348
20080122,32.439
20080123,32.405
20080124,32.352
20080125,32.3
20080128,32.345
20080129,32.314
20080130,32.248
20080131,32.198
20080201,32.178
20080204,32.07
20080205,32.01
20080212,31.884
20080213,31.688
20080214,31.7
20080215,31.74
20080218,31.746
20080219,31.698
20080220,31.648
20080221,31.521
20080222,31.495
20080225,31.388
20080226,31.21
20080227,30.929
20080229,30.95
20080303,31.102
20080304,30.95
20080305,30.879
20080306,30.748
20080307,30.75
20080310,30.658
20080311,30.624
20080312,30.69
20080313,30.686
20080314,30.744
20080317,30.85
20080318,30.747
20080319,30.72
20080320,30.692
20080321,30.55
20080324,30.229
20080325,30.1
20080326,30.01
20080327,30.18
20080328,30.402
20080331,30.405
20080401,30.318
20080402,30.38
20080403,30.43
20080407,30.418
20080408,30.524
20080409,30.465
20080410,30.308
20080411,30.319
20080414,30.325
20080415,30.266
20080416,30.255
20080417,30.275
20080418,30.284
20080421,30.288
20080422,30.288
20080423,30.293
20080424,30.297
20080425,30.34
20080428,30.412
20080429,30.408
20080430,30.449
20080502,30.455
20080505,30.498
20080506,30.49
20080507,30.521
20080508,30.824
20080509,30.653
20080512,30.85
20080513,30.873
20080514,31.002
20080515,30.88
20080516,30.66
20080519,30.548
20080520,30.584
20080521,30.499
20080522,30.38
20080523,30.5
20080526,30.507
20080527,30.54
20080528,30.512
20080529,30.456
20080530,30.413
20080602,30.219
20080603,30.29
20080604,30.35
20080605,30.392
20080606,30.335
20080609,30.299
20080610,30.36
20080611,30.375
20080612,30.451
20080613,30.451
20080616,30.389
20080617,30.317
20080618,30.353
20080619,30.38
20080620,30.382
20080623,30.401
20080624,30.437
20080625,30.38
20080626,30.383
20080627,30.388
20080630,30.354
20080701,30.36
20080702,30.372
20080703,30.39
20080704,30.401
20080707,30.399
20080708,30.397
20080709,30.399
20080710,30.418
20080711,30.392
20080714,30.404
20080715,30.39
20080716,30.382
20080717,30.359
20080718,30.36
20080721,30.363
20080722,30.381
20080723,30.394
20080724,30.418
20080725,30.407
20080729,30.465
20080730,30.51
20080731,30.59
20080801,30.645
20080804,30.666
20080805,30.721
20080806,30.738
20080807,30.87
20080808,31.09
20080811,31.166
20080812,31.189
20080813,31.15
20080814,31.24
20080815,31.33
20080818,31.307
20080819,31.389
20080820,31.39
20080821,31.389
20080822,31.37
20080825,31.43
20080826,31.489
20080827,31.481
20080828,31.479
20080829,31.52
20080901,31.593
20080902,31.75
20080903,31.835
20080904,31.761
20080905,31.875
20080908,31.799
20080909,31.872
20080910,31.863
20080911,32.04
20080912,32.041
20080915,32.039
20080916,32.07
20080917,32.082
20080918,32.218
20080919,32.158
20080922,32.03
20080923,31.937
20080924,31.961
20080925,31.998
20080926,32.045
20080930,32.13
20081001,32.029
20081002,32.16
20081003,32.187
20081006,32.343
20081007,32.35
20081008,32.448
20081009,32.437
20081013,32.388
20081014,32.388
20081015,32.4
20081016,32.537
20081017,32.55
20081020,32.58
20081021,32.697
20081022,32.99
20081023,33.296
20081024,33.412
20081027,33.497
20081028,33.438
20081029,33.295
20081030,32.799
20081031,33
20081103,32.898
20081104,32.869
20081105,32.83
20081106,32.819
20081107,32.824
20081110,32.823
20081111,32.874
20081112,32.994
20081113,33.177
20081114,33.079
20081117,33.17
20081118,33.234
20081119,33.265
20081120,33.405
20081121,33.388
20081124,33.421
20081125,33.352
20081126,33.306
20081127,33.302
20081128,33.295
20081201,33.35
20081202,33.489
20081203,33.528
20081204,33.55
20081205,33.549
20081208,33.517
20081209,33.546
20081210,33.449
20081211,33.309
20081212,33.315
20081215,33.199
20081216,33.03
20081217,32.72
20081218,32.471
20081219,32.53
20081222,32.93
20081223,33.085
20081224,33.045
20081225,33.03
20081226,33.025
20081229,33
20081230,32.865
20081231,32.86
20090105,33.005
20090106,33.054
20090107,32.98
20090108,33.115
20090109,33.155
20090110,33.16
20090112,33.235
20090113,33.265
20090114,33.258
20090115,33.379
20090116,33.36
20090117,33.501
20090119,33.535
20090120,33.639
20090121,33.634
20090122,33.55
20090123,33.801
20090202,33.749
20090203,33.72
20090204,33.67
20090205,33.705
20090206,33.75
20090209,33.961
20090210,33.967
20090211,34.001
20090212,34.025
20090213,34.05
20090216,34.28
20090217,34.62
20090218,34.65
20090219,34.675
20090220,34.808
20090223,34.628
20090224,34.797
20090225,34.747
20090226,34.85
20090227,34.95
20090302,35.174
20090303,35.095
20090304,35.067
20090305,34.945
20090306,34.78
20090309,34.815
20090310,34.6
20090311,34.515
20090312,34.494
20090313,34.495
20090316,34.416
20090317,34.278
20090318,34.156
20090319,33.924
20090320,33.8
20090323,33.785
20090324,33.788
20090325,33.888
20090326,33.82
20090327,33.779
20090330,34.015
20090331,33.917
20090401,33.835
20090402,33.58
20090403,33.38
20090406,33.25
20090407,33.569
20090408,33.9
20090409,33.777
20090410,33.795
20090413,33.697
20090414,33.62
20090415,33.79
20090416,33.8
20090417,33.816
20090420,33.83
20090421,33.86
20090422,33.86
20090423,33.82
20090424,33.711
20090427,33.73
20090428,33.795
20090429,33.658
20090430,33.233
20090504,33.192
20090505,33.133
20090506,33.18
20090507,33.132
20090508,33.04
20090511,32.889
20090512,32.893
20090513,32.89
20090514,32.955
20090515,32.95
20090518,32.994
20090519,32.882
20090520,32.855
20090521,32.738
20090522,32.679
20090525,32.626
20090526,32.66
20090527,32.65
20090601,32.375
20090602,32.534
20090603,32.505
20090604,32.597
20090605,32.607
20090606,32.72
20090608,32.875
20090609,32.853
20090610,32.715
20090611,32.798
20090612,32.8
20090615,32.94
20090616,32.885
20090617,32.889
20090618,32.904
20090619,32.878
20090622,32.898
20090623,32.925
20090624,32.862
20090625,32.97
20090626,32.925
20090629,32.943
20090630,32.818
20090701,32.785
20090702,32.947
20090703,32.89
20090706,32.988
20090707,32.989
20090708,33.036
20090709,32.97
20090710,33.05
20090713,33.193
20090714,33.09
20090715,32.975
20090716,32.959
20090717,32.955
20090720,32.794
20090721,32.799
20090722,32.875
20090723,32.802
20090724,32.955
20090727,32.82
20090728,32.743
20090729,32.871
20090730,32.857
20090731,32.818
20090803,32.768
20090804,32.674
20090805,32.72
20090806,32.792
20090810,32.818
20090811,32.855
20090812,32.95
20090813,32.898
20090814,32.895
20090817,32.985
20090818,32.964
20090819,33.01
20090820,32.966
20090821,32.906
20090824,32.863
20090825,32.92
20090826,32.924
20090827,32.916
20090828,32.925
20090831,32.923
20090901,32.857
20090902,32.918
20090903,32.907
20090904,32.905
20090907,32.865
20090908,32.76
20090909,32.745
20090910,32.649
20090911,32.628
20090914,32.668
20090915,32.637
20090916,32.492
20090917,32.41
20090918,32.458
20090921,32.419
20090922,32.386
20090923,32.369
20090924,32.395
20090925,32.428
20090928,32.475
20090929,32.376
20090930,32.2
20091001,32.319
20091002,32.35
20091005,32.255
20091006,32.18
20091007,32.18
20091008,32.143
20091009,32.24
20091012,32.29
20091013,32.302
20091014,32.242
20091015,32.218
20091016,32.3
20091019,32.325
20091020,32.275
20091021,32.359
20091022,32.403
20091023,32.398
20091026,32.394
20091027,32.48
20091028,32.496
20091029,32.58
20091030,32.535
20091102,32.553
20091103,32.575
20091104,32.558
20091105,32.536
20091106,32.509
20091109,32.365
20091110,32.349
20091111,32.31
20091112,32.33
20091113,32.339
20091116,32.198
20091117,32.12
20091118,32.128
20091119,32.29
