         買超概算   區間漲幅       代號            分類
0    2.830813  27.44       力山         傳產-電機
1    3.331373  22.96      堤維西      傳產-汽車零組件
2   -3.352870  -0.40       美時         傳產-生技
3    0.505527   1.16       廷鑫      電子下游-顯示器
4    8.449581   2.17     漢唐-◎   電子中游-儀器設備工程
5    5.518017  13.59       聯陽    電子上游-IC-設計
6   13.565438  -3.52     智原-◎    電子上游-IC-設計
7    0.428941   6.03       精確        傳產-自行車
8    8.560166   2.25     威剛-◎   電子上游-DRAM銷售
9   10.296497   5.08     欣銓-◎    電子上游-IC-封測
10   6.631986   8.95       智易       電子中游-網通
11   0.010515   0.67   太景*-KY         傳產-生技
12  -0.136831  -5.30    冠星-KY       傳產-紡織纖維
13   0.146047   1.74    力達-KY         傳產-電機
14   8.844555   5.12       致伸     電子下游-手機製造
15  -1.399883   2.76  臻鼎-KY-◎   電子上游-PCB-製造
16   8.176508   4.33     信驊-●    電子上游-IC-設計
17   1.290590  30.38      美而快         軟體-其他
18   3.969015   1.29       創惟    電子上游-IC-設計
19   7.981448   1.57     瑞儀-◎  電子中游-LCD-零組件
20   1.899356  15.26       佳邦  電子中游-變壓器與UPS
21   5.281455   4.23     樺漢-◎     電子下游-工業電腦
22  -1.194385  39.57    訊芯-KY    電子上游-IC-封測
23   0.183695   0.99      長科*  電子上游-LED及光元件
24  16.889132  10.50       矽創    電子上游-IC-設計
25  11.196862   3.60     南電-●   電子上游-PCB-製造
26  19.264233   1.71     群聯-●    電子上游-IC-設計
27  -0.130821  -7.25    紅木-KY         傳產-其他
28   0.215976   2.75    威宏-KY         傳產-其他
29   7.112749   4.88    鈺齊-KY         傳產-其他
         買超概算       代號            分類  node1
0    2.830813       力山         傳產-電機     很強
1    3.331373      堤維西      傳產-汽車零組件     很強
2   -3.352870       美時         傳產-生技   緩緩下跌
3    0.505527       廷鑫      電子下游-顯示器   緩緩上漲
4    8.449581     漢唐-◎   電子中游-儀器設備工程   緩緩上漲
5    5.518017       聯陽    電子上游-IC-設計  上漲ing
6   13.565438     智原-◎    電子上游-IC-設計   緩緩下跌
7    0.428941       精確        傳產-自行車   緩緩上漲
8    8.560166     威剛-◎   電子上游-DRAM銷售   緩緩上漲
9   10.296497     欣銓-◎    電子上游-IC-封測   緩緩上漲
10   6.631986       智易       電子中游-網通   緩緩上漲
11   0.010515   太景*-KY         傳產-生技   緩緩上漲
12  -0.136831    冠星-KY       傳產-紡織纖維   緩緩下跌
13   0.146047    力達-KY         傳產-電機   緩緩上漲
14   8.844555       致伸     電子下游-手機製造   緩緩上漲
15  -1.399883  臻鼎-KY-◎   電子上游-PCB-製造   緩緩上漲
16   8.176508     信驊-●    電子上游-IC-設計   緩緩上漲
17   1.290590      美而快         軟體-其他     很強
18   3.969015       創惟    電子上游-IC-設計   緩緩上漲
19   7.981448     瑞儀-◎  電子中游-LCD-零組件   緩緩上漲
20   1.899356       佳邦  電子中游-變壓器與UPS  上漲ing
21   5.281455     樺漢-◎     電子下游-工業電腦   緩緩上漲
22  -1.194385    訊芯-KY    電子上游-IC-封測     很強
23   0.183695      長科*  電子上游-LED及光元件   緩緩上漲
24  16.889132       矽創    電子上游-IC-設計  上漲ing
25  11.196862     南電-●   電子上游-PCB-製造   緩緩上漲
26  19.264233     群聯-●    電子上游-IC-設計   緩緩上漲
27  -0.130821    紅木-KY         傳產-其他   緩緩下跌
28   0.215976    威宏-KY         傳產-其他   緩緩上漲
29   7.112749    鈺齊-KY         傳產-其他   緩緩上漲
              分類  node1    node2     node3
0          傳產-電機     很強       力山   2.83(億)
1       傳產-汽車零組件     很強      堤維西   3.33(億)
2          傳產-生技   緩緩下跌       美時  -3.35(億)
3       電子下游-顯示器   緩緩上漲       廷鑫   0.51(億)
4    電子中游-儀器設備工程   緩緩上漲     漢唐-◎   8.45(億)
5     電子上游-IC-設計  上漲ing       聯陽   5.52(億)
6     電子上游-IC-設計   緩緩下跌     智原-◎  13.57(億)
7         傳產-自行車   緩緩上漲       精確   0.43(億)
8    電子上游-DRAM銷售   緩緩上漲     威剛-◎   8.56(億)
9     電子上游-IC-封測   緩緩上漲     欣銓-◎   10.3(億)
10       電子中游-網通   緩緩上漲       智易   6.63(億)
11         傳產-生技   緩緩上漲   太景*-KY   0.01(億)
12       傳產-紡織纖維   緩緩下跌    冠星-KY  -0.14(億)
13         傳產-電機   緩緩上漲    力達-KY   0.15(億)
14     電子下游-手機製造   緩緩上漲       致伸   8.84(億)
15   電子上游-PCB-製造   緩緩上漲  臻鼎-KY-◎   -1.4(億)
16    電子上游-IC-設計   緩緩上漲     信驊-●   8.18(億)
17         軟體-其他     很強      美而快   1.29(億)
18    電子上游-IC-設計   緩緩上漲       創惟   3.97(億)
19  電子中游-LCD-零組件   緩緩上漲     瑞儀-◎   7.98(億)
20  電子中游-變壓器與UPS  上漲ing       佳邦    1.9(億)
21     電子下游-工業電腦   緩緩上漲     樺漢-◎   5.28(億)
22    電子上游-IC-封測     很強    訊芯-KY  -1.19(億)
23  電子上游-LED及光元件   緩緩上漲      長科*   0.18(億)
24    電子上游-IC-設計  上漲ing       矽創  16.89(億)
25   電子上游-PCB-製造   緩緩上漲     南電-●   11.2(億)
26    電子上游-IC-設計   緩緩上漲     群聯-●  19.26(億)
27         傳產-其他   緩緩下跌    紅木-KY  -0.13(億)
28         傳產-其他   緩緩上漲    威宏-KY   0.22(億)
29         傳產-其他   緩緩上漲    鈺齊-KY   7.11(億)
    node1    node2     node3         node4
0      很強       力山   2.83(億)         傳產-電機
1      很強      堤維西   3.33(億)      傳產-汽車零組件
2    緩緩下跌       美時  -3.35(億)         傳產-生技
3    緩緩上漲       廷鑫   0.51(億)      電子下游-顯示器
4    緩緩上漲     漢唐-◎   8.45(億)   電子中游-儀器設備工程
5   上漲ing       聯陽   5.52(億)    電子上游-IC-設計
6    緩緩下跌     智原-◎  13.57(億)    電子上游-IC-設計
7    緩緩上漲       精確   0.43(億)        傳產-自行車
8    緩緩上漲     威剛-◎   8.56(億)   電子上游-DRAM銷售
9    緩緩上漲     欣銓-◎   10.3(億)    電子上游-IC-封測
10   緩緩上漲       智易   6.63(億)       電子中游-網通
11   緩緩上漲   太景*-KY   0.01(億)         傳產-生技
12   緩緩下跌    冠星-KY  -0.14(億)       傳產-紡織纖維
13   緩緩上漲    力達-KY   0.15(億)         傳產-電機
14   緩緩上漲       致伸   8.84(億)     電子下游-手機製造
15   緩緩上漲  臻鼎-KY-◎   -1.4(億)   電子上游-PCB-製造
16   緩緩上漲     信驊-●   8.18(億)    電子上游-IC-設計
17     很強      美而快   1.29(億)         軟體-其他
18   緩緩上漲       創惟   3.97(億)    電子上游-IC-設計
19   緩緩上漲     瑞儀-◎   7.98(億)  電子中游-LCD-零組件
20  上漲ing       佳邦    1.9(億)  電子中游-變壓器與UPS
21   緩緩上漲     樺漢-◎   5.28(億)     電子下游-工業電腦
22     很強    訊芯-KY  -1.19(億)    電子上游-IC-封測
23   緩緩上漲      長科*   0.18(億)  電子上游-LED及光元件
24  上漲ing       矽創  16.89(億)    電子上游-IC-設計
25   緩緩上漲     南電-●   11.2(億)   電子上游-PCB-製造
26   緩緩上漲     群聯-●  19.26(億)    電子上游-IC-設計
27   緩緩下跌    紅木-KY  -0.13(億)         傳產-其他
28   緩緩上漲    威宏-KY   0.22(億)         傳產-其他
29   緩緩上漲    鈺齊-KY   7.11(億)         傳產-其他
